LEFT,RIGHT,DIFF
35.7421875,-15.7265625,-51.46875
33.4546875,-17.15625,-50.6109375
31.7390625,-18.0140625,-49.753125
30.309375,-18.3,-48.609375
29.4515625,-18.3,-47.7515625
28.8796875,-18.3,-47.1796875
28.3078125,-18.3,-46.6078125
27.45,-18.3,-45.75
26.878125,-18.5859375,-45.4640625
26.5921875,-18.5859375,-45.178125
26.5921875,-18.5859375,-45.178125
27.1640625,-18.0140625,-45.178125
28.3078125,-17.4421875,-45.75
30.0234375,-16.2984375,-46.321875
32.025,-15.1546875,-47.1796875
34.3125,-14.0109375,-48.3234375
36.6,-13.153125,-49.753125
38.315625,-13.153125,-51.46875
39.7453125,-13.4390625,-53.184375
40.3171875,-14.5828125,-54.9
40.03125,-16.2984375,-56.3296875
39.459375,-18.3,-57.759375
38.6015625,-20.5875,-59.1890625
37.4578125,-22.303125,-59.7609375
36.8859375,-23.446875,-60.3328125
36.6,-23.7328125,-60.3328125
37.171875,-23.1609375,-60.3328125
38.315625,-22.0171875,-60.3328125
40.03125,-20.3015625,-60.3328125
41.746875,-18.5859375,-60.3328125
43.7484375,-16.584375,-60.3328125
45.178125,-15.1546875,-60.3328125
46.321875,-14.0109375,-60.3328125
46.6078125,-13.4390625,-60.046875
46.321875,-13.153125,-59.475
45.75,-12.8671875,-58.6171875
45.178125,-12.8671875,-58.0453125
44.60625,-12.009375,-56.615625
44.3203125,-10.865625,-55.1859375
44.8921875,-8.8640625,-53.75625
46.0359375,-6.290625,-52.3265625
47.7515625,-3.1453125,-50.896875
49.753125,0.0,-49.753125
52.040625,2.859375,-49.18125
54.0421875,5.146875,-48.8953125
55.471875,6.5765625,-48.8953125
56.04375,6.8625,-49.18125
56.04375,6.290625,-49.753125
54.9,4.8609375,-50.0390625
53.184375,2.859375,-50.325
51.1828125,0.8578125,-50.325
49.18125,-0.571875,-49.753125
47.7515625,-1.715625,-49.4671875
46.6078125,-2.0015625,-48.609375
46.6078125,-1.14375,-47.7515625
47.1796875,0.2859375,-46.89375
48.3234375,2.5734375,-45.75
50.0390625,5.4328125,-44.60625
51.7546875,7.7203125,-44.034375
52.8984375,9.721875,-43.1765625
53.4703125,10.5796875,-42.890625
53.184375,10.5796875,-42.6046875
52.040625,8.8640625,-43.1765625
49.753125,6.0046875,-43.7484375
46.6078125,2.2875,-44.3203125
42.890625,-2.0015625,-44.8921875
39.1734375,-6.5765625,-45.75
35.45625,-11.1515625,-46.6078125
32.596875,-15.1546875,-47.7515625
30.309375,-18.3,-48.609375
29.4515625,-20.3015625,-49.753125
29.165625,-21.4453125,-50.6109375
30.0234375,-21.73125,-51.7546875
31.7390625,-21.159375,-52.8984375
33.4546875,-20.5875,-54.0421875
35.1703125,-20.015625,-55.1859375
36.6,-20.015625,-56.615625
36.8859375,-20.8734375,-57.759375
36.3140625,-22.875,-59.1890625
34.3125,-26.30625,-60.61875
31.1671875,-30.5953125,-61.7625
27.1640625,-36.028125,-63.1921875
22.303125,-42.0328125,-64.3359375
17.4421875,-48.0375,-65.4796875
13.153125,-53.4703125,-66.6234375
9.721875,-57.759375,-67.48125
7.7203125,-60.046875,-67.7671875
7.7203125,-60.61875,-68.3390625
9.4359375,-58.903125,-68.3390625
13.4390625,-55.1859375,-68.625
18.871875,-49.753125,-68.625
25.4484375,-43.1765625,-68.625
32.8828125,-36.3140625,-69.196875
