LEFT,RIGHT,DIFF
-25.4484375,-50.0390625,-24.590625
-25.4484375,-49.753125,-24.3046875
-24.3046875,-48.3234375,-24.01875
-22.303125,-46.0359375,-23.7328125
-19.7296875,-42.890625,-23.1609375
-16.584375,-39.1734375,-22.5890625
-13.153125,-35.45625,-22.303125
-10.0078125,-31.7390625,-21.73125
-7.1484375,-28.3078125,-21.159375
-4.8609375,-25.4484375,-20.5875
-2.5734375,-22.875,-20.3015625
-0.8578125,-20.8734375,-20.015625
0.571875,-18.871875,-19.44375
2.2875,-17.15625,-19.44375
4.2890625,-15.440625,-19.7296875
6.290625,-13.725,-20.015625
8.2921875,-12.009375,-20.3015625
10.5796875,-10.29375,-20.8734375
12.58125,-8.8640625,-21.4453125
14.5828125,-7.7203125,-22.303125
15.7265625,-6.8625,-22.5890625
16.584375,-6.8625,-23.446875
16.584375,-7.434375,-24.01875
15.7265625,-8.8640625,-24.590625
14.296875,-10.865625,-25.1625
12.009375,-13.4390625,-25.4484375
8.8640625,-16.8703125,-25.734375
5.146875,-20.8734375,-26.0203125
0.8578125,-25.1625,-26.0203125
-3.43125,-30.0234375,-26.5921875
-8.8640625,-35.45625,-26.5921875
-14.296875,-40.8890625,-26.5921875
-20.3015625,-46.89375,-26.5921875
-26.30625,-52.8984375,-26.5921875
-32.596875,-58.903125,-26.30625
-38.315625,-64.9078125,-26.5921875
-43.7484375,-70.0546875,-26.30625
-48.3234375,-74.6296875,-26.30625
-51.7546875,-78.0609375,-26.30625
-53.4703125,-80.0625,-26.5921875
-53.4703125,-80.3484375,-26.878125
-51.7546875,-78.91875,-27.1640625
-47.7515625,-75.2015625,-27.45
-41.746875,-69.4828125,-27.7359375
-34.0265625,-61.7625,-27.7359375
-24.590625,-52.6125,-28.021875
-14.296875,-42.31875,-28.021875
-3.7171875,-31.453125,-27.7359375
6.8625,-20.5875,-27.45
16.8703125,-10.5796875,-27.45
25.4484375,-1.715625,-27.1640625
32.596875,5.146875,-27.45
37.4578125,10.29375,-27.1640625
40.03125,13.153125,-26.878125
40.603125,13.4390625,-27.1640625
38.6015625,12.009375,-26.5921875
34.884375,8.2921875,-26.5921875
30.0234375,3.43125,-26.5921875
24.01875,-2.0015625,-26.0203125
17.728125,-7.7203125,-25.4484375
11.7234375,-13.4390625,-25.1625
6.5765625,-18.5859375,-25.1625
2.2875,-22.5890625,-24.8765625
-0.2859375,-25.4484375,-25.1625
-1.715625,-26.878125,-25.1625
-2.2875,-27.45,-25.1625
-1.715625,-27.1640625,-25.4484375
-0.571875,-26.0203125,-25.4484375
0.571875,-25.1625,-25.734375
1.715625,-24.01875,-25.734375
2.2875,-23.7328125,-26.0203125
2.0015625,-23.446875,-25.4484375
1.14375,-24.01875,-25.1625
-0.2859375,-25.1625,-24.8765625
-2.5734375,-26.5921875,-24.01875
-4.8609375,-27.7359375,-22.875
