LEFT,RIGHT,DIFF
6.5765625,-38.6015625,-45.178125
6.0046875,-39.459375,-45.4640625
6.8625,-39.1734375,-46.0359375
8.578125,-37.74375,-46.321875
10.5796875,-36.028125,-46.6078125
12.58125,-34.3125,-46.89375
14.0109375,-33.16875,-47.1796875
14.296875,-32.8828125,-47.1796875
13.4390625,-33.4546875,-46.89375
12.009375,-35.1703125,-47.1796875
9.721875,-37.4578125,-47.1796875
7.434375,-40.03125,-47.465625
5.4328125,-42.31875,-47.7515625
4.2890625,-43.7484375,-48.0375
4.2890625,-44.3203125,-48.609375
5.146875,-43.7484375,-48.8953125
7.1484375,-42.31875,-49.4671875
9.721875,-40.03125,-49.753125
12.58125,-37.74375,-50.325
15.1546875,-35.45625,-50.6109375
16.8703125,-33.740625,-50.6109375
17.728125,-32.596875,-50.325
17.4421875,-32.8828125,-50.325
15.7265625,-33.740625,-49.4671875
13.725,-35.45625,-49.18125
10.865625,-37.4578125,-48.3234375
8.2921875,-39.459375,-47.7515625
6.0046875,-41.175,-47.1796875
4.2890625,-42.31875,-46.6078125
3.1453125,-42.890625,-46.0359375
2.5734375,-43.1765625,-45.75
2.2875,-43.1765625,-45.4640625
2.2875,-43.1765625,-45.4640625
1.715625,-43.7484375,-45.4640625
0.8578125,-44.8921875,-45.75
-0.571875,-46.6078125,-46.0359375
-2.5734375,-48.8953125,-46.321875
-4.8609375,-51.1828125,-46.321875
-7.1484375,-53.75625,-46.6078125
-8.578125,-55.1859375,-46.6078125
-9.4359375,-56.04375,-46.6078125
-9.15,-55.7578125,-46.6078125
-7.7203125,-54.0421875,-46.321875
-5.146875,-51.7546875,-46.6078125
-2.2875,-48.609375,-46.321875
0.571875,-45.4640625,-46.0359375
3.43125,-43.1765625,-46.6078125
4.8609375,-41.746875,-46.6078125
5.146875,-41.746875,-46.89375
3.7171875,-43.4625,-47.1796875
0.8578125,-46.6078125,-47.465625
-2.859375,-50.896875,-48.0375
-7.434375,-55.7578125,-48.3234375
-12.009375,-60.3328125,-48.3234375
-15.440625,-63.7640625,-48.3234375
-17.728125,-66.0515625,-48.3234375
-18.5859375,-66.909375,-48.3234375
-17.728125,-65.765625,-48.0375
-15.1546875,-63.478125,-48.3234375
-12.009375,-60.046875,-48.0375
-8.2921875,-56.615625,-48.3234375
-5.146875,-53.75625,-48.609375
-3.1453125,-52.040625,-48.8953125
-2.2875,-52.040625,-49.753125
-3.1453125,-53.4703125,-50.325
-5.4328125,-56.615625,-51.1828125
-8.578125,-60.61875,-52.040625
-12.009375,-64.621875,-52.6125
-15.1546875,-68.3390625,-53.184375
-17.15625,-70.9125,-53.75625
-17.4421875,-71.484375,-54.0421875
-15.7265625,-69.76875,-54.0421875
-12.2953125,-66.0515625,-53.75625
-7.434375,-60.3328125,-52.8984375
-1.715625,-53.75625,-52.040625
4.003125,-46.6078125,-50.6109375
9.4359375,-40.3171875,-49.753125
13.153125,-35.1703125,-48.3234375
15.1546875,-32.3109375,-47.465625
14.86875,-31.7390625,-46.6078125
12.2953125,-33.740625,-46.0359375
7.7203125,-37.74375,-45.4640625
2.2875,-43.4625,-45.75
-3.43125,-49.4671875,-46.0359375
-8.8640625,-55.7578125,-46.89375
-13.4390625,-60.9046875,-47.465625
-16.584375,-64.621875,-48.0375
-17.4421875,-66.6234375,-49.18125
-16.8703125,-66.6234375,-49.753125
-14.5828125,-65.19375,-50.6109375
-11.4375,-62.6203125,-51.1828125
-8.00625,-59.1890625,-51.1828125
-4.8609375,-56.04375,-51.1828125
-2.2875,-53.75625,-51.46875
-1.14375,-52.3265625,-51.1828125
-1.4296875,-52.040625,-50.6109375
-3.1453125,-53.4703125,-50.325
-6.0046875,-55.7578125,-49.753125
-9.4359375,-58.903125,-49.4671875
-13.4390625,-62.334375,-48.8953125
-17.15625,-65.765625,-48.609375
-20.3015625,-68.3390625,-48.0375
-22.303125,-70.340625,-48.0375
-23.1609375,-71.1984375,-48.0375
-23.1609375,-70.9125,-47.7515625
-21.73125,-69.4828125,-47.7515625
-19.1578125,-67.1953125,-48.0375
-16.0125,-64.05,-48.0375
-12.58125,-60.61875,-48.0375
-8.578125,-56.9015625,-48.3234375
-4.8609375,-53.184375,-48.3234375
-1.715625,-49.753125,-48.0375
0.8578125,-46.89375,-47.7515625
3.1453125,-44.60625,-47.7515625
4.575,-42.890625,-47.465625
5.146875,-42.0328125,-47.1796875
4.575,-42.0328125,-46.6078125
3.1453125,-42.890625,-46.0359375
0.8578125,-44.3203125,-45.178125
-2.0015625,-46.6078125,-44.60625
-5.4328125,-49.18125,-43.7484375
-9.4359375,-52.3265625,-42.890625
-13.153125,-55.1859375,-42.0328125
-16.8703125,-58.0453125,-41.175
-19.7296875,-60.3328125,-40.603125
-21.73125,-62.334375,-40.603125
-22.875,-63.1921875,-40.3171875
-22.5890625,-63.1921875,-40.603125
-21.73125,-62.6203125,-40.8890625
-19.7296875,-61.4765625,-41.746875
-17.4421875,-60.046875,-42.6046875
-14.86875,-58.33125,-43.4625
-12.2953125,-56.9015625,-44.60625
-10.5796875,-55.7578125,-45.178125
-9.15,-55.1859375,-46.0359375
-8.578125,-54.9,-46.321875
-8.2921875,-55.1859375,-46.89375
-8.8640625,-55.7578125,-46.89375
-9.4359375,-56.3296875,-46.89375
-10.0078125,-56.615625,-46.6078125
-10.5796875,-56.615625,-46.0359375
-10.5796875,-56.3296875,-45.75
-10.0078125,-55.471875,-45.4640625
-9.15,-54.328125,-45.178125
-8.2921875,-53.4703125,-45.178125
-7.7203125,-52.6125,-44.8921875
-7.1484375,-52.3265625,-45.178125
-7.434375,-52.8984375,-45.4640625
-8.2921875,-54.0421875,-45.75
-10.0078125,-56.3296875,-46.321875
-12.2953125,-58.903125,-46.6078125
-14.86875,-62.0484375,-47.1796875
-17.728125,-64.9078125,-47.1796875
-20.015625,-67.48125,-47.465625
-21.73125,-69.196875,-47.465625
-22.303125,-69.4828125,-47.1796875
-21.73125,-68.625,-46.89375
-20.015625,-66.6234375,-46.6078125
-17.4421875,-63.1921875,-45.75
-14.0109375,-59.1890625,-45.178125
-10.0078125,-54.6140625,-44.60625
-6.290625,-50.0390625,-43.7484375
-3.43125,-46.321875,-42.890625
-1.14375,-43.4625,-42.31875
0.0,-42.0328125,-42.0328125
0.0,-41.746875,-41.746875
-1.14375,-42.6046875,-41.4609375
-3.1453125,-44.8921875,-41.746875
-5.4328125,-47.465625,-42.0328125
-8.00625,-50.325,-42.31875
-10.0078125,-53.184375,-43.1765625
-11.4375,-55.1859375,-43.7484375
-11.7234375,-56.3296875,-44.60625
-11.1515625,-56.3296875,-45.178125
-9.4359375,-54.9,-45.4640625
-6.8625,-52.6125,-45.75
-3.7171875,-49.4671875,-45.75
-0.2859375,-46.0359375,-45.75
2.2875,-42.31875,-44.60625
4.575,-39.1734375,-43.7484375
6.0046875,-36.6,-42.6046875
6.290625,-35.45625,-41.746875
5.146875,-35.7421875,-40.8890625
2.859375,-37.171875,-40.03125
0.0,-40.03125,-40.03125
-4.003125,-43.7484375,-39.7453125
-8.578125,-48.0375,-39.459375
-12.8671875,-52.8984375,-40.03125
-16.8703125,-57.1875,-40.3171875
-20.015625,-60.9046875,-40.8890625
-22.0171875,-63.478125,-41.4609375
-23.1609375,-64.9078125,-41.746875
-23.1609375,-64.9078125,-41.746875
-22.0171875,-63.7640625,-41.746875
-20.3015625,-62.0484375,-41.746875
-18.5859375,-60.046875,-41.4609375
-16.8703125,-57.759375,-40.8890625
-15.440625,-56.04375,-40.603125
-15.1546875,-55.1859375,-40.03125
-15.440625,-55.471875,-40.03125
-16.2984375,-56.3296875,-40.03125
-18.0140625,-58.0453125,-40.03125
-19.7296875,-60.046875,-40.3171875
-21.159375,-61.7625,-40.603125
-22.0171875,-62.6203125,-40.603125
-21.4453125,-62.6203125,-41.175
-19.44375,-60.9046875,-41.4609375
-16.2984375,-57.759375,-41.4609375
-11.4375,-53.4703125,-42.0328125
-6.0046875,-48.0375,-42.0328125
-0.2859375,-42.6046875,-42.31875
4.575,-37.74375,-42.31875
8.578125,-34.0265625,-42.6046875
10.865625,-32.025,-42.890625
10.865625,-32.3109375,-43.1765625
8.578125,-34.884375,-43.4625
4.003125,-39.459375,-43.4625
