LEFT,RIGHT,DIFF
-66.3375,-68.053125,-1.715625
-61.7625,-64.621875,-2.859375
-59.1890625,-62.90625,-3.71718749999999
-59.475,-64.05,-4.575
-62.6203125,-67.48125,-4.8609375
-68.3390625,-73.2,-4.86093750000001
-76.059375,-80.634375,-4.575
-84.6375,-88.640625,-4.003125
-93.215625,-96.3609375,-3.1453125
-100.078125,-102.6515625,-2.5734375
-104.9390625,-106.6546875,-1.715625
-106.940625,-108.3703125,-1.4296875
-106.0828125,-106.940625,-0.857812499999994
-102.6515625,-103.2234375,-0.571875000000006
-97.5046875,-97.790625,-0.285937500000003
-90.928125,-91.5,-0.571874999999991
-84.6375,-85.209375,-0.571875000000006
-79.2046875,-79.490625,-0.285937500000003
-75.2015625,-75.4875,-0.285937499999989
-73.2,-73.4859375,-0.285937500000003
-73.4859375,-73.771875,-0.285937500000003
-75.4875,-75.7734375,-0.285937500000003
-79.2046875,-79.490625,-0.285937500000003
-83.49375,-84.065625,-0.571874999999991
-88.06875,-88.9265625,-0.857812499999994
-92.3578125,-93.5015625,-1.14375
-95.7890625,-97.21875,-1.4296875
-98.0765625,-100.078125,-2.00156249999999
-99.2203125,-101.79375,-2.5734375
-99.50625,-102.365625,-2.859375
-99.2203125,-101.79375,-2.5734375
-98.0765625,-100.65,-2.5734375
-96.646875,-98.934375,-2.28749999999999
-94.6453125,-96.3609375,-1.715625
-92.3578125,-93.7875,-1.4296875
-89.4984375,-90.6421875,-1.14375
-86.353125,-87.2109375,-0.857812499999994
-82.6359375,-84.065625,-1.4296875
-78.91875,-80.634375,-1.715625
-74.915625,-77.4890625,-2.5734375
-71.1984375,-75.2015625,-4.00312500000001
-68.3390625,-74.0578125,-5.71875
-66.909375,-74.0578125,-7.1484375
-66.6234375,-75.4875,-8.86406249999999
-68.3390625,-78.346875,-10.0078125
-71.484375,-82.6359375,-11.1515625
-75.7734375,-87.7828125,-12.009375
-80.9203125,-93.215625,-12.2953125
-85.78125,-98.0765625,-12.2953125
-89.784375,-102.0796875,-12.2953125
-92.071875,-104.3671875,-12.2953125
-92.3578125,-104.653125,-12.2953125
-90.6421875,-102.9375,-12.2953125
-86.925,-99.50625,-12.58125
-81.778125,-94.6453125,-12.8671875
-75.7734375,-89.4984375,-13.725
-70.0546875,-84.6375,-14.5828125
-65.19375,-80.634375,-15.440625
-62.334375,-78.6328125,-16.2984375
-61.7625,-78.6328125,-16.8703125
-63.7640625,-80.634375,-16.8703125
-67.48125,-84.6375,-17.15625
-72.9140625,-89.4984375,-16.584375
-78.91875,-95.2171875,-16.2984375
-84.9234375,-100.3640625,-15.440625
-89.4984375,-104.653125,-15.1546875
-92.3578125,-106.940625,-14.5828125
-93.215625,-107.5125,-14.296875
-91.7859375,-105.796875,-14.0109375
-88.06875,-102.6515625,-14.5828125
-83.2078125,-98.0765625,-14.86875
-77.4890625,-93.215625,-15.7265625
-72.05625,-88.3546875,-16.2984375
-67.1953125,-84.3515625,-17.15625
-63.7640625,-81.4921875,-17.728125
-62.0484375,-80.0625,-18.0140625
-62.0484375,-80.3484375,-18.3
-63.478125,-81.778125,-18.3
-66.3375,-84.065625,-17.728125
-69.76875,-87.2109375,-17.4421875
-73.4859375,-90.35625,-16.8703125
-77.203125,-93.215625,-16.0125
-80.3484375,-95.7890625,-15.440625
-82.921875,-97.790625,-14.86875
-84.9234375,-99.2203125,-14.296875
-86.0671875,-100.078125,-14.0109375
-87.2109375,-100.3640625,-13.153125
-87.7828125,-100.3640625,-12.58125
-88.3546875,-100.65,-12.2953125
-88.9265625,-100.9359375,-12.009375
-89.784375,-101.5078125,-11.7234375
-90.928125,-102.365625,-11.4375
-92.3578125,-103.509375,-11.1515625
-93.7875,-104.9390625,-11.1515625
-95.2171875,-106.36875,-11.1515625
-96.646875,-108.084375,-11.4375
-98.0765625,-109.5140625,-11.4375
-98.934375,-110.6578125,-11.7234375
-99.2203125,-111.515625,-12.2953125
-99.2203125,-111.2296875,-12.009375
-98.0765625,-110.371875,-12.2953125
-96.3609375,-108.084375,-11.7234375
-93.5015625,-105.225,-11.7234375
-90.0703125,-100.9359375,-10.865625
-85.78125,-96.075,-10.29375
-81.4921875,-90.6421875,-9.15000000000001
-76.9171875,-85.209375,-8.29218750000001
-72.9140625,-80.3484375,-7.434375
-69.76875,-76.63125,-6.86250000000001
-67.7671875,-74.0578125,-6.29062499999999
-67.48125,-72.9140625,-5.4328125
-68.625,-74.0578125,-5.4328125
-71.484375,-76.63125,-5.14687500000001
-75.2015625,-80.634375,-5.4328125
-80.0625,-85.4953125,-5.4328125
-85.209375,-90.6421875,-5.4328125
-89.784375,-95.7890625,-6.0046875
