LEFT,RIGHT,DIFF
-30.309375,-64.9078125,-34.5984375
-28.8796875,-62.90625,-34.0265625
-25.1625,-58.6171875,-33.4546875
-19.1578125,-52.3265625,-33.16875
-11.7234375,-44.8921875,-33.16875
-4.003125,-37.4578125,-33.4546875
2.859375,-30.5953125,-33.4546875
8.578125,-25.734375,-34.3125
11.7234375,-22.875,-34.5984375
12.2953125,-22.5890625,-34.884375
10.29375,-24.590625,-34.884375
6.290625,-28.59375,-34.884375
0.8578125,-33.4546875,-34.3125
-4.8609375,-38.6015625,-33.740625
-10.0078125,-42.890625,-32.8828125
-13.725,-46.0359375,-32.3109375
-15.7265625,-47.1796875,-31.453125
-15.440625,-46.6078125,-31.1671875
-12.8671875,-44.034375,-31.1671875
-9.15,-40.603125,-31.453125
-4.2890625,-36.3140625,-32.025
0.0,-32.3109375,-32.3109375
4.003125,-29.165625,-33.16875
6.5765625,-27.1640625,-33.740625
7.7203125,-26.878125,-34.5984375
7.1484375,-27.7359375,-34.884375
5.4328125,-29.7375,-35.1703125
2.859375,-31.7390625,-34.5984375
0.571875,-33.740625,-34.3125
-0.8578125,-34.3125,-33.4546875
-0.8578125,-33.4546875,-32.596875
0.571875,-30.5953125,-31.1671875
4.2890625,-26.30625,-30.5953125
9.4359375,-20.3015625,-29.7375
15.440625,-13.725,-29.165625
21.73125,-7.434375,-29.165625
26.5921875,-2.2875,-28.8796875
29.7375,0.2859375,-29.4515625
30.309375,0.0,-30.309375
27.1640625,-3.43125,-30.5953125
1.14375,-23.446875,-24.590625
5.4328125,-19.44375,-24.8765625
8.00625,-17.15625,-25.1625
9.15,-16.584375,-25.734375
9.4359375,-17.15625,-26.5921875
8.8640625,-18.5859375,-27.45
8.2921875,-20.3015625,-28.59375
7.7203125,-22.0171875,-29.7375
7.7203125,-23.1609375,-30.88125
8.2921875,-23.7328125,-32.025
9.721875,-23.7328125,-33.4546875
11.4375,-23.1609375,-34.5984375
13.4390625,-22.5890625,-36.028125
14.86875,-22.303125,-37.171875
16.0125,-22.5890625,-38.6015625
15.7265625,-24.01875,-39.7453125
14.0109375,-26.5921875,-40.603125
10.5796875,-30.309375,-40.8890625
6.0046875,-35.45625,-41.4609375
0.0,-41.175,-41.175
-40.8890625,-76.3453125,-35.45625
-40.3171875,-75.2015625,-34.884375
-36.6,-71.1984375,-34.5984375
-30.309375,-64.621875,-34.3125
-22.0171875,-56.04375,-34.0265625
-12.8671875,-46.6078125,-33.740625
-3.7171875,-37.171875,-33.4546875
3.7171875,-29.165625,-32.8828125
9.4359375,-22.875,-32.3109375
12.58125,-19.44375,-32.025
12.8671875,-18.5859375,-31.453125
10.29375,-20.5875,-30.88125
6.0046875,-24.590625,-30.5953125
0.2859375,-30.309375,-30.5953125
-5.4328125,-36.6,-31.1671875
-11.4375,-42.890625,-31.453125
-16.0125,-48.3234375,-32.3109375
