LEFT,RIGHT,DIFF
-80.0625,-79.7765625,0.285937500000003
-83.2078125,-83.49375,-0.285937500000003
-86.925,-87.496875,-0.571875000000006
-90.35625,-91.2140625,-0.857812499999994
-93.5015625,-93.7875,-0.285937500000003
-95.503125,-95.503125,0.0
-96.646875,-95.503125,1.14375000000001
-96.3609375,-94.359375,2.00156250000001
-95.2171875,-91.7859375,3.43125000000001
-93.215625,-88.640625,4.575
-90.6421875,-85.209375,5.4328125
-88.3546875,-82.0640625,6.29062499999999
-86.0671875,-79.7765625,6.29062500000001
-84.6375,-78.346875,6.29062500000001
-83.49375,-78.0609375,5.4328125
-83.2078125,-78.91875,4.2890625
-83.49375,-80.3484375,3.1453125
-84.065625,-82.35,1.71562499999999
-84.9234375,-84.6375,0.285937500000003
-85.209375,-86.0671875,-0.857812499999994
-85.4953125,-87.2109375,-1.715625
-85.209375,-87.2109375,-2.00156249999999
-84.6375,-86.6390625,-2.00156250000001
-83.7796875,-85.209375,-1.4296875
-82.6359375,-83.2078125,-0.571875000000006
-82.0640625,-81.4921875,0.571875000000006
-81.4921875,-79.7765625,1.715625
-81.4921875,-78.6328125,2.859375
-82.0640625,-78.0609375,4.003125
-82.921875,-78.0609375,4.86093749999999
-84.065625,-78.91875,5.14687499999999
-85.209375,-80.0625,5.14687500000001
-86.353125,-81.20625,5.14687500000001
-86.925,-82.35,4.57499999999999
-86.925,-82.921875,4.003125
-86.353125,-82.921875,3.43125000000001
-85.209375,-82.6359375,2.57343750000001
-83.7796875,-81.4921875,2.28750000000001
-82.0640625,-80.3484375,1.715625
-80.634375,-79.2046875,1.4296875
-79.490625,-78.346875,1.14375000000001
-78.91875,-78.0609375,0.857812499999994
-79.490625,-78.6328125,0.857812500000009
-80.9203125,-80.0625,0.857812500000009
-82.921875,-82.35,0.571874999999991
-85.78125,-85.4953125,0.285937500000003
-88.9265625,-89.2125,-0.285937500000003
-92.3578125,-93.215625,-0.857812499999994
-95.7890625,-96.9328125,-1.14375
-98.6484375,-100.3640625,-1.715625
-100.9359375,-103.2234375,-2.28749999999999
-102.6515625,-105.225,-2.57343750000001
-103.7953125,-106.36875,-2.5734375
-104.3671875,-106.940625,-2.5734375
-104.3671875,-106.940625,-2.5734375
-104.08125,-106.0828125,-2.00156250000001
-103.7953125,-104.9390625,-1.14375
-103.2234375,-103.7953125,-0.571875000000006
-102.6515625,-102.365625,0.285937499999989
-102.0796875,-100.65,1.4296875
-101.5078125,-99.2203125,2.28749999999999
-100.9359375,-97.790625,3.1453125
-100.3640625,-96.3609375,4.003125
-99.7921875,-95.2171875,4.57499999999999
-99.2203125,-94.0734375,5.14687500000001
-98.6484375,-92.9296875,5.71875
-98.0765625,-92.071875,6.0046875
-97.790625,-91.5,6.29062500000001
-97.5046875,-91.2140625,6.29062500000001
-97.5046875,-91.2140625,6.29062500000001
-97.5046875,-91.7859375,5.71875
-97.790625,-92.3578125,5.4328125
-98.3625,-93.5015625,4.86093749999999
-98.6484375,-94.359375,4.2890625
-99.2203125,-95.503125,3.71718750000001
-99.50625,-96.3609375,3.1453125
-99.7921875,-96.9328125,2.859375
-100.078125,-97.5046875,2.5734375
-100.078125,-97.790625,2.28749999999999
-100.078125,-97.790625,2.28749999999999
-100.078125,-97.790625,2.28749999999999
-100.3640625,-97.790625,2.5734375
-100.65,-97.790625,2.859375
-100.9359375,-98.0765625,2.859375
-101.5078125,-98.3625,3.1453125
-101.79375,-98.6484375,3.1453125
-102.0796875,-99.2203125,2.859375
-102.0796875,-99.50625,2.5734375
-101.79375,-99.2203125,2.5734375
-100.9359375,-98.934375,2.00156250000001
-99.50625,-98.0765625,1.4296875
-97.5046875,-96.646875,0.857812499999994
-95.2171875,-94.93125,0.285937500000003
-92.9296875,-92.9296875,0.0
-90.35625,-90.6421875,-0.285937500000003
-88.06875,-88.640625,-0.571874999999991
-86.0671875,-86.6390625,-0.571875000000006
-84.3515625,-85.209375,-0.857812500000009
-83.2078125,-83.7796875,-0.571875000000006
-82.35,-82.921875,-0.571874999999991
-81.4921875,-82.0640625,-0.571875000000006
-80.9203125,-81.4921875,-0.571874999999991
-80.3484375,-80.9203125,-0.571875000000006
-79.490625,-80.634375,-1.14375
-78.91875,-80.0625,-1.14375
-78.0609375,-80.0625,-2.00156249999999
-77.775,-80.0625,-2.28749999999999
-77.775,-80.9203125,-3.1453125
-78.6328125,-82.0640625,-3.43125000000001
-80.0625,-84.3515625,-4.2890625
