LEFT,RIGHT,DIFF
98.0765625,111.515625,13.4390625
95.2171875,109.5140625,14.296875
89.784375,105.225,15.440625
82.35,98.934375,16.584375
73.771875,91.2140625,17.4421875
65.19375,83.2078125,18.0140625
57.1875,75.7734375,18.5859375
51.1828125,70.340625,19.1578125
47.465625,66.909375,19.44375
46.89375,66.3375,19.44375
48.8953125,68.625,19.7296875
53.184375,73.2,20.015625
59.1890625,79.490625,20.3015625
65.19375,86.353125,21.159375
70.9125,92.9296875,22.0171875
74.915625,98.0765625,23.1609375
76.63125,101.221875,24.590625
75.7734375,101.79375,26.0203125
72.9140625,99.7921875,26.878125
68.3390625,95.7890625,27.45
63.1921875,90.35625,27.1640625
58.6171875,84.6375,26.0203125
55.7578125,80.0625,24.3046875
54.9,76.9171875,22.0171875
57.1875,76.3453125,19.1578125
62.334375,78.346875,16.0125
69.4828125,82.6359375,13.153125
77.775,88.3546875,10.5796875
85.78125,94.6453125,8.8640625
92.3578125,99.7921875,7.43437499999999
95.7890625,102.365625,6.57656250000001
94.93125,101.79375,6.8625
89.4984375,96.646875,7.1484375
79.2046875,86.925,7.72031249999999
64.9078125,72.9140625,8.00624999999999
46.89375,55.471875,8.578125
27.45,36.028125,8.578125
7.434375,16.0125,8.578125
-10.5796875,-2.859375,7.7203125
-26.30625,-19.1578125,7.1484375
-38.315625,-32.025,6.29062500000001
-45.4640625,-40.03125,5.4328125
-48.3234375,-43.1765625,5.146875
-46.6078125,-41.746875,4.8609375
-41.4609375,-36.3140625,5.146875
-32.8828125,-27.1640625,5.71875
-22.875,-16.0125,6.8625
-11.4375,-3.43125,8.00625
0.0,8.8640625,8.8640625
11.1515625,21.159375,10.0078125
21.4453125,32.596875,11.1515625
30.88125,42.6046875,11.7234375
39.1734375,51.1828125,12.009375
46.0359375,58.33125,12.2953125
52.040625,64.621875,12.58125
56.9015625,69.76875,12.8671875
60.9046875,74.6296875,13.725
64.3359375,78.91875,14.5828125
67.1953125,82.6359375,15.440625
69.76875,86.6390625,16.8703125
71.7703125,90.0703125,18.3
74.0578125,93.7875,19.7296875
76.059375,96.9328125,20.8734375
78.346875,100.078125,21.73125
80.634375,102.6515625,22.0171875
83.2078125,104.9390625,21.73125
85.78125,106.6546875,20.8734375
88.3546875,107.5125,19.1578125
90.35625,107.7984375,17.4421875
92.071875,107.5125,15.440625
92.9296875,106.36875,13.4390625
93.215625,104.9390625,11.7234375
92.3578125,103.2234375,10.865625
91.2140625,101.221875,10.0078125
89.4984375,99.2203125,9.721875
87.496875,97.5046875,10.0078125
85.209375,96.075,10.865625
83.2078125,94.93125,11.7234375
81.20625,94.0734375,12.8671875
79.490625,93.215625,13.725
77.775,92.64375,14.86875
76.3453125,91.7859375,15.440625
74.34375,90.35625,16.0125
72.628125,88.640625,16.0125
70.6265625,86.925,16.2984375
68.625,84.9234375,16.2984375
66.909375,83.49375,16.584375
66.0515625,82.921875,16.8703125
66.0515625,83.49375,17.4421875
67.7671875,85.209375,17.4421875
70.6265625,88.9265625,18.3
74.915625,93.7875,18.871875
80.3484375,99.7921875,19.44375
86.6390625,106.0828125,19.44375
92.64375,112.0875,19.44375
97.790625,116.9484375,19.1578125
101.221875,119.8078125,18.5859375
102.6515625,120.3796875,17.728125
101.221875,118.378125,17.15625
97.5046875,113.803125,16.2984375
91.5,106.940625,15.440625
