LEFT,RIGHT,DIFF
50.896875,-109.8,-160.696875
50.6109375,-109.5140625,-160.125
50.6109375,-108.65625,-159.2671875
50.6109375,-107.5125,-158.1234375
50.6109375,-106.36875,-156.9796875
50.6109375,-105.5109375,-156.121875
50.6109375,-105.225,-155.8359375
50.325,-105.5109375,-155.8359375
49.753125,-106.6546875,-156.4078125
49.18125,-108.084375,-157.265625
48.3234375,-110.0859375,-158.409375
47.465625,-112.0875,-159.553125
46.6078125,-113.803125,-160.4109375
46.0359375,-115.2328125,-161.26875
45.75,-116.090625,-161.840625
45.75,-116.090625,-161.840625
46.0359375,-115.51875,-161.5546875
46.6078125,-114.375,-160.9828125
47.465625,-112.3734375,-159.8390625
48.609375,-109.8,-158.409375
50.0390625,-107.2265625,-157.265625
52.040625,-104.08125,-156.121875
54.0421875,-100.9359375,-154.978125
56.3296875,-97.5046875,-153.834375
58.6171875,-94.359375,-152.9765625
61.190625,-91.2140625,-152.4046875
63.478125,-88.06875,-151.546875
65.19375,-85.4953125,-150.6890625
66.3375,-83.49375,-149.83125
66.909375,-82.35,-149.259375
66.3375,-82.0640625,-148.4015625
64.9078125,-83.2078125,-148.115625
62.6203125,-85.209375,-147.8296875
59.475,-88.640625,-148.115625
56.3296875,-92.64375,-148.9734375
53.184375,-97.21875,-150.403125
50.6109375,-101.221875,-151.8328125
48.8953125,-104.653125,-153.5484375
49.18125,-106.6546875,-155.8359375
50.6109375,-106.940625,-157.5515625
54.0421875,-105.225,-159.2671875
58.903125,-101.79375,-160.696875
64.621875,-96.646875,-161.26875
70.6265625,-90.35625,-160.9828125
76.3453125,-84.065625,-160.4109375
80.9203125,-78.346875,-159.2671875
84.065625,-73.771875,-157.8375
85.209375,-71.1984375,-156.4078125
84.065625,-70.6265625,-154.6921875
80.9203125,-72.3421875,-153.2625
76.3453125,-75.7734375,-152.11875
71.1984375,-80.3484375,-151.546875
65.765625,-85.209375,-150.975
61.190625,-89.4984375,-150.6890625
58.0453125,-92.64375,-150.6890625
56.3296875,-93.5015625,-149.83125
56.615625,-92.3578125,-148.9734375
58.903125,-89.4984375,-148.4015625
62.0484375,-84.6375,-146.6859375
66.3375,-78.91875,-145.25625
70.340625,-73.4859375,-143.8265625
74.0578125,-68.625,-142.6828125
76.3453125,-65.765625,-142.1109375
77.203125,-64.9078125,-142.1109375
76.63125,-66.6234375,-143.2546875
74.34375,-70.340625,-144.684375
70.9125,-76.3453125,-147.2578125
66.909375,-83.49375,-150.403125
62.6203125,-90.928125,-153.5484375
58.903125,-98.0765625,-156.9796875
56.3296875,-104.3671875,-160.696875
54.6140625,-108.65625,-163.2703125
54.328125,-111.515625,-165.84375
55.471875,-112.0875,-167.559375
57.4734375,-111.2296875,-168.703125
60.046875,-108.9421875,-168.9890625
62.90625,-106.0828125,-168.9890625
65.765625,-102.9375,-168.703125
68.3390625,-100.078125,-168.4171875
69.76875,-98.0765625,-167.8453125
70.6265625,-96.9328125,-167.559375
70.6265625,-96.646875,-167.2734375
69.4828125,-97.21875,-166.7015625
67.48125,-98.6484375,-166.1296875
64.9078125,-100.3640625,-165.271875
62.0484375,-102.6515625,-164.7
58.903125,-104.653125,-163.55625
55.7578125,-106.6546875,-162.4125
52.8984375,-108.3703125,-161.26875
50.896875,-109.8,-160.696875
49.18125,-110.94375,-160.125
48.3234375,-111.515625,-159.8390625
48.3234375,-111.8015625,-160.125
48.8953125,-111.8015625,-160.696875
50.0390625,-111.8015625,-161.840625
51.1828125,-111.515625,-162.6984375
52.3265625,-111.515625,-163.8421875
53.184375,-111.8015625,-164.9859375
53.4703125,-112.3734375,-165.84375
52.6125,-113.23125,-165.84375
50.896875,-114.375,-165.271875
48.3234375,-116.090625,-164.4140625
45.178125,-118.378125,-163.55625
41.4609375,-120.665625,-162.1265625
37.74375,-123.2390625,-160.9828125
34.5984375,-125.5265625,-160.125
32.3109375,-127.528125,-159.8390625
30.5953125,-128.9578125,-159.553125
30.309375,-130.1015625,-160.4109375
31.1671875,-130.6734375,-161.840625
32.596875,-130.6734375,-163.2703125
34.884375,-130.1015625,-164.9859375
37.171875,-129.5296875,-166.7015625
39.459375,-128.9578125,-168.4171875
41.175,-128.671875,-169.846875
42.31875,-128.3859375,-170.7046875
42.890625,-128.3859375,-171.2765625
42.890625,-128.9578125,-171.8484375
42.31875,-129.24375,-171.5625
42.0328125,-129.815625,-171.8484375
41.746875,-130.1015625,-171.8484375
42.0328125,-130.1015625,-172.134375
42.890625,-129.815625,-172.70625
44.034375,-128.9578125,-172.9921875
45.178125,-127.8140625,-172.9921875
46.6078125,-126.6703125,-173.278125
47.7515625,-125.5265625,-173.278125
48.3234375,-124.66875,-172.9921875
48.3234375,-124.66875,-172.9921875
47.1796875,-124.9546875,-172.134375
45.4640625,-125.8125,-171.2765625
43.4625,-126.95625,-170.41875
41.4609375,-128.3859375,-169.846875
39.7453125,-129.5296875,-169.275
39.1734375,-130.1015625,-169.275
39.459375,-129.815625,-169.275
40.8890625,-128.671875,-169.5609375
43.4625,-126.6703125,-170.1328125
47.1796875,-123.8109375,-170.990625
51.46875,-120.3796875,-171.8484375
55.471875,-116.9484375,-172.4203125
59.1890625,-113.803125,-172.9921875
61.7625,-111.515625,-173.278125
63.478125,-110.371875,-173.85
63.7640625,-110.0859375,-173.85
62.90625,-110.94375,-173.85
