LEFT,RIGHT,DIFF
-31.453125,-82.6359375,-51.1828125
-32.025,-82.35,-50.325
-31.7390625,-81.4921875,-49.753125
-30.88125,-80.0625,-49.18125
-30.0234375,-78.0609375,-48.0375
-29.165625,-75.7734375,-46.6078125
-28.59375,-73.771875,-45.178125
-28.3078125,-72.3421875,-44.034375
-29.165625,-71.7703125,-42.6046875
-30.88125,-72.3421875,-41.4609375
-33.16875,-73.771875,-40.603125
-36.3140625,-76.63125,-40.3171875
-39.7453125,-80.0625,-40.3171875
-43.1765625,-83.7796875,-40.603125
-45.75,-86.925,-41.175
-47.465625,-89.4984375,-42.0328125
-47.7515625,-90.6421875,-42.890625
-46.321875,-90.0703125,-43.7484375
-43.4625,-87.7828125,-44.3203125
-39.459375,-84.065625,-44.60625
-34.884375,-79.2046875,-44.3203125
-30.0234375,-74.34375,-44.3203125
-26.30625,-69.76875,-43.4625
-23.7328125,-66.6234375,-42.890625
-23.1609375,-65.19375,-42.0328125
-24.3046875,-66.0515625,-41.746875
-27.7359375,-68.9109375,-41.175
-32.596875,-73.771875,-41.175
-38.6015625,-79.490625,-40.8890625
-44.3203125,-86.0671875,-41.746875
-49.753125,-91.7859375,-42.0328125
-53.4703125,-96.075,-42.6046875
-55.471875,-98.6484375,-43.1765625
-55.471875,-98.934375,-43.4625
-53.75625,-97.21875,-43.4625
-50.896875,-93.5015625,-42.6046875
-47.1796875,-88.640625,-41.4609375
-43.7484375,-83.49375,-39.7453125
-41.175,-78.91875,-37.74375
-40.03125,-75.4875,-35.45625
-40.3171875,-73.771875,-33.4546875
-42.31875,-73.771875,-31.453125
-45.178125,-75.2015625,-30.0234375
-48.609375,-77.775,-29.165625
-52.040625,-80.9203125,-28.8796875
-54.328125,-84.065625,-29.7375
-55.471875,-86.6390625,-31.1671875
-55.1859375,-88.06875,-32.8828125
-53.4703125,-88.640625,-35.1703125
-50.896875,-88.3546875,-37.4578125
-47.7515625,-87.7828125,-40.03125
-45.178125,-87.2109375,-42.0328125
-43.4625,-87.2109375,-43.7484375
-42.890625,-88.06875,-45.178125
-44.034375,-90.0703125,-46.0359375
-46.321875,-92.9296875,-46.6078125
-49.4671875,-96.3609375,-46.89375
-52.8984375,-99.7921875,-46.89375
-55.7578125,-102.6515625,-46.89375
-57.1875,-104.08125,-46.89375
-57.1875,-104.08125,-46.89375
-55.1859375,-102.365625,-47.1796875
-51.46875,-98.934375,-47.465625
-46.6078125,-94.0734375,-47.465625
-40.8890625,-88.9265625,-48.0375
-35.45625,-83.7796875,-48.3234375
-30.88125,-79.490625,-48.609375
-27.7359375,-76.63125,-48.8953125
-26.0203125,-75.2015625,-49.18125
-26.30625,-75.4875,-49.18125
-27.7359375,-76.9171875,-49.18125
-30.0234375,-78.91875,-48.8953125
-32.025,-80.9203125,-48.8953125
-33.740625,-82.0640625,-48.3234375
-34.3125,-82.35,-48.0375
-33.740625,-81.20625,-47.465625
-32.025,-78.6328125,-46.6078125
-29.165625,-74.915625,-45.75
-26.0203125,-70.9125,-44.8921875
-23.1609375,-67.1953125,-44.034375
-21.159375,-64.05,-42.890625
-20.015625,-62.334375,-42.31875
-20.3015625,-62.0484375,-41.746875
-21.4453125,-63.1921875,-41.746875
-23.446875,-65.19375,-41.746875
-25.4484375,-67.48125,-42.0328125
-27.1640625,-69.76875,-42.6046875
-28.021875,-71.1984375,-43.1765625
-27.7359375,-71.484375,-43.7484375
-26.30625,-70.6265625,-44.3203125
-24.01875,-68.625,-44.60625
-21.73125,-66.3375,-44.60625
-19.7296875,-63.7640625,-44.034375
-18.871875,-62.334375,-43.4625
-20.015625,-62.334375,-42.31875
-23.1609375,-64.05,-40.8890625
-28.3078125,-67.7671875,-39.459375
-34.884375,-73.2,-38.315625
-42.31875,-79.490625,-37.171875
-49.4671875,-85.78125,-36.3140625
-55.471875,-91.2140625,-35.7421875
-59.1890625,-94.6453125,-35.45625
-60.046875,-95.7890625,-35.7421875
-57.759375,-94.0734375,-36.3140625
-52.8984375,-89.4984375,-36.6
-45.75,-82.35,-36.6
-37.171875,-74.0578125,-36.8859375
-28.59375,-65.4796875,-36.8859375
-20.8734375,-57.1875,-36.3140625
-14.86875,-50.6109375,-35.7421875
-11.1515625,-46.321875,-35.1703125
-10.0078125,-44.60625,-34.5984375
-11.1515625,-44.8921875,-33.740625
-14.0109375,-47.465625,-33.4546875
-17.4421875,-51.1828125,-33.740625
-21.159375,-55.1859375,-34.0265625
-24.01875,-58.6171875,-34.5984375
-25.4484375,-61.7625,-36.3140625
-26.0203125,-63.478125,-37.4578125
-25.1625,-64.621875,-39.459375
