LEFT,RIGHT,DIFF
-20.8734375,-61.190625,-40.3171875
-20.5875,-59.475,-38.8875
-20.015625,-58.0453125,-38.0296875
-19.7296875,-56.615625,-36.8859375
-18.871875,-55.7578125,-36.8859375
-18.3,-55.1859375,-36.8859375
-17.4421875,-54.6140625,-37.171875
-16.2984375,-54.328125,-38.0296875
-15.440625,-54.328125,-38.8875
-14.296875,-54.0421875,-39.7453125
-13.4390625,-53.75625,-40.3171875
-12.58125,-53.4703125,-40.8890625
-12.009375,-53.184375,-41.175
-12.009375,-52.8984375,-40.8890625
-12.009375,-52.8984375,-40.8890625
-12.58125,-53.184375,-40.603125
-13.4390625,-53.4703125,-40.03125
-14.5828125,-54.6140625,-40.03125
-16.2984375,-55.7578125,-39.459375
-18.0140625,-57.4734375,-39.459375
-19.7296875,-59.475,-39.7453125
-21.73125,-61.7625,-40.03125
-23.446875,-63.7640625,-40.3171875
-24.8765625,-65.765625,-40.8890625
-25.734375,-67.48125,-41.746875
-26.5921875,-68.625,-42.0328125
-26.5921875,-69.76875,-43.1765625
-26.5921875,-70.0546875,-43.4625
-26.0203125,-70.340625,-44.3203125
-24.8765625,-70.0546875,-45.178125
-23.446875,-69.76875,-46.321875
-22.0171875,-69.196875,-47.1796875
-20.3015625,-68.625,-48.3234375
-18.3,-68.053125,-49.753125
-16.584375,-67.48125,-50.896875
-14.5828125,-66.6234375,-52.040625
-12.8671875,-65.765625,-52.8984375
-11.1515625,-64.9078125,-53.75625
-10.0078125,-63.7640625,-53.75625
-9.15,-62.6203125,-53.4703125
-8.8640625,-61.4765625,-52.6125
-8.8640625,-60.61875,-51.7546875
-9.721875,-60.046875,-50.325
-10.865625,-60.046875,-49.18125
-12.58125,-60.3328125,-47.7515625
-14.5828125,-61.190625,-46.6078125
-16.584375,-62.334375,-45.75
-18.3,-63.478125,-45.178125
-20.015625,-64.9078125,-44.8921875
-20.8734375,-65.765625,-44.8921875
-20.8734375,-66.0515625,-45.178125
-20.015625,-65.4796875,-45.4640625
-18.5859375,-64.05,-45.4640625
-16.2984375,-61.7625,-45.4640625
-13.725,-58.903125,-45.178125
-10.865625,-55.471875,-44.60625
-8.578125,-52.040625,-43.4625
-6.8625,-49.18125,-42.31875
-6.0046875,-46.89375,-40.8890625
-6.0046875,-45.75,-39.7453125
-7.1484375,-45.75,-38.6015625
-9.4359375,-46.6078125,-37.171875
-12.2953125,-48.609375,-36.3140625
-15.440625,-51.1828125,-35.7421875
-18.5859375,-53.75625,-35.1703125
-21.159375,-55.7578125,-34.5984375
-23.1609375,-56.615625,-33.4546875
-23.7328125,-56.615625,-32.8828125
-23.446875,-54.9,-31.453125
-22.303125,-52.3265625,-30.0234375
-20.3015625,-48.609375,-28.3078125
-18.0140625,-44.3203125,-26.30625
-15.7265625,-40.03125,-24.3046875
-14.296875,-36.6,-22.303125
-13.725,-34.0265625,-20.3015625
-14.0109375,-33.4546875,-19.44375
-15.7265625,-34.3125,-18.5859375
-18.5859375,-36.6,-18.0140625
-22.303125,-40.3171875,-18.0140625
-26.30625,-44.8921875,-18.5859375
-30.309375,-49.753125,-19.44375
-33.740625,-54.328125,-20.5875
-36.028125,-57.759375,-21.73125
-37.4578125,-60.046875,-22.5890625
-37.4578125,-60.9046875,-23.446875
-36.3140625,-60.3328125,-24.01875
-34.0265625,-58.33125,-24.3046875
-31.1671875,-56.04375,-24.8765625
-28.3078125,-53.184375,-24.8765625
-25.4484375,-50.896875,-25.4484375
-23.446875,-49.4671875,-26.0203125
-22.303125,-48.8953125,-26.5921875
-22.0171875,-50.0390625,-28.021875
-22.303125,-52.3265625,-30.0234375
-23.7328125,-55.471875,-31.7390625
-25.1625,-59.475,-34.3125
-26.878125,-64.05,-37.171875
-28.3078125,-68.053125,-39.7453125
-29.4515625,-71.7703125,-42.31875
-29.7375,-74.34375,-44.60625
-29.4515625,-76.059375,-46.6078125
-28.3078125,-76.63125,-48.3234375
-27.1640625,-76.059375,-48.8953125
-25.4484375,-74.6296875,-49.18125
-23.7328125,-72.9140625,-49.18125
-22.303125,-70.9125,-48.609375
-21.159375,-68.9109375,-47.7515625
-20.3015625,-67.1953125,-46.89375
-19.7296875,-65.765625,-46.0359375
-19.7296875,-64.621875,-44.8921875
-19.7296875,-63.7640625,-44.034375
-19.7296875,-63.478125,-43.7484375
