LEFT,RIGHT,DIFF
-70.0546875,-120.665625,-50.6109375
-70.6265625,-122.953125,-52.3265625
-69.76875,-123.8109375,-54.0421875
-68.053125,-123.525,-55.471875
-66.0515625,-122.38125,-56.3296875
-63.7640625,-120.3796875,-56.615625
-62.334375,-118.6640625,-56.3296875
-61.7625,-117.5203125,-55.7578125
-62.334375,-116.9484375,-54.6140625
-64.05,-117.5203125,-53.4703125
-66.6234375,-118.6640625,-52.040625
-69.4828125,-119.8078125,-50.325
-72.05625,-120.9515625,-48.8953125
-73.4859375,-120.9515625,-47.465625
-73.4859375,-119.521875,-46.0359375
-71.484375,-116.6625,-45.178125
-67.7671875,-112.0875,-44.3203125
-62.6203125,-106.36875,-43.7484375
-56.3296875,-100.078125,-43.7484375
-50.325,-93.7875,-43.4625
-45.178125,-88.640625,-43.4625
-41.746875,-85.4953125,-43.7484375
-40.3171875,-84.3515625,-44.034375
-41.4609375,-85.78125,-44.3203125
-44.60625,-88.9265625,-44.3203125
-49.18125,-93.7875,-44.60625
-54.328125,-98.934375,-44.60625
-59.1890625,-103.509375,-44.3203125
-62.90625,-106.6546875,-43.7484375
-64.621875,-107.5125,-42.890625
-63.7640625,-105.796875,-42.0328125
-60.61875,-101.5078125,-40.8890625
-55.1859375,-94.93125,-39.7453125
-48.0375,-87.2109375,-39.1734375
-40.603125,-79.2046875,-38.6015625
-33.740625,-71.7703125,-38.0296875
-28.021875,-66.3375,-38.315625
-24.3046875,-62.90625,-38.6015625
-23.1609375,-62.334375,-39.1734375
-24.590625,-64.3359375,-39.7453125
-28.021875,-68.625,-40.603125
-32.596875,-74.34375,-41.746875
-38.0296875,-80.3484375,-42.31875
-43.1765625,-85.78125,-42.6046875
-47.1796875,-90.35625,-43.1765625
-49.4671875,-92.9296875,-43.4625
-50.0390625,-93.7875,-43.7484375
-48.8953125,-92.64375,-43.7484375
-46.0359375,-89.784375,-43.7484375
-42.6046875,-86.353125,-43.7484375
-38.6015625,-82.35,-43.7484375
-34.884375,-78.91875,-44.034375
-32.025,-76.3453125,-44.3203125
-30.0234375,-74.6296875,-44.60625
-29.4515625,-74.0578125,-44.60625
-29.7375,-74.34375,-44.60625
-30.88125,-75.2015625,-44.3203125
-32.3109375,-76.3453125,-44.034375
-34.0265625,-77.203125,-43.1765625
-35.1703125,-77.775,-42.6046875
-35.7421875,-77.4890625,-41.746875
-35.45625,-76.9171875,-41.4609375
-34.884375,-76.059375,-41.175
-34.0265625,-75.2015625,-41.175
-32.8828125,-74.6296875,-41.746875
-32.025,-74.6296875,-42.6046875
-31.7390625,-75.4875,-43.7484375
-32.025,-76.9171875,-44.8921875
-32.596875,-79.2046875,-46.6078125
-34.0265625,-82.0640625,-48.0375
-35.45625,-84.6375,-49.18125
-36.8859375,-86.925,-50.0390625
-38.0296875,-88.3546875,-50.325
-38.8875,-88.9265625,-50.0390625
-38.8875,-88.640625,-49.753125
-38.6015625,-87.496875,-48.8953125
-38.0296875,-85.78125,-47.7515625
-37.171875,-83.7796875,-46.6078125
-36.8859375,-82.0640625,-45.178125
-36.8859375,-80.9203125,-44.034375
-37.74375,-80.634375,-42.890625
-39.459375,-81.4921875,-42.0328125
-42.0328125,-83.2078125,-41.175
-45.4640625,-85.78125,-40.3171875
-49.18125,-88.9265625,-39.7453125
-52.8984375,-91.7859375,-38.8875
-56.3296875,-94.359375,-38.0296875
-58.903125,-96.075,-37.171875
-60.3328125,-96.646875,-36.3140625
-60.61875,-95.7890625,-35.1703125
-59.475,-94.0734375,-34.5984375
-57.1875,-91.2140625,-34.0265625
-54.0421875,-87.7828125,-33.740625
-50.325,-84.065625,-33.740625
-46.321875,-80.9203125,-34.5984375
-42.31875,-78.0609375,-35.7421875
-39.1734375,-76.059375,-36.8859375
-36.6,-75.2015625,-38.6015625
-34.884375,-75.4875,-40.603125
-34.0265625,-76.3453125,-42.31875
-34.3125,-78.0609375,-43.7484375
-35.1703125,-80.0625,-44.8921875
-36.6,-82.35,-45.75
-38.0296875,-84.3515625,-46.321875
-40.03125,-86.353125,-46.321875
-41.746875,-87.7828125,-46.0359375
-43.1765625,-88.9265625,-45.75
-44.3203125,-89.784375,-45.4640625
