LEFT,RIGHT,DIFF
-29.4515625,-64.05,-34.5984375
-28.3078125,-64.3359375,-36.028125
-27.45,-64.9078125,-37.4578125
-26.878125,-65.4796875,-38.6015625
-26.878125,-66.6234375,-39.7453125
-27.7359375,-67.7671875,-40.03125
-29.165625,-69.196875,-40.03125
-30.88125,-70.9125,-40.03125
-32.596875,-72.628125,-40.03125
-34.3125,-73.771875,-39.459375
-35.7421875,-74.34375,-38.6015625
-36.3140625,-74.0578125,-37.74375
-36.028125,-72.9140625,-36.8859375
-34.884375,-71.1984375,-36.3140625
-33.4546875,-68.625,-35.1703125
-31.453125,-65.4796875,-34.0265625
-29.165625,-62.334375,-33.16875
-26.878125,-59.475,-32.596875
-24.8765625,-56.615625,-31.7390625
-23.1609375,-54.0421875,-30.88125
-21.73125,-52.040625,-30.309375
-20.8734375,-50.6109375,-29.7375
-20.3015625,-49.4671875,-29.165625
-20.3015625,-48.609375,-28.3078125
-20.5875,-48.3234375,-27.7359375
-21.159375,-48.0375,-26.878125
-22.303125,-48.3234375,-26.0203125
-23.446875,-48.609375,-25.1625
-25.4484375,-49.18125,-23.7328125
-27.45,-49.753125,-22.303125
-29.7375,-50.6109375,-20.8734375
-32.025,-51.46875,-19.44375
-34.0265625,-52.040625,-18.0140625
-35.45625,-52.6125,-17.15625
-36.3140625,-52.6125,-16.2984375
-36.028125,-52.040625,-16.0125
-34.884375,-50.896875,-16.0125
-32.3109375,-49.18125,-16.8703125
-29.165625,-46.89375,-17.728125
-25.1625,-44.3203125,-19.1578125
-21.4453125,-41.746875,-20.3015625
-17.728125,-39.7453125,-22.0171875
-15.1546875,-38.0296875,-22.875
-14.0109375,-37.4578125,-23.446875
-14.5828125,-37.74375,-23.1609375
-16.584375,-39.1734375,-22.5890625
-20.015625,-41.746875,-21.73125
-24.590625,-45.178125,-20.5875
-30.0234375,-49.18125,-19.1578125
-34.884375,-52.8984375,-18.0140625
-39.459375,-56.3296875,-16.8703125
-42.31875,-58.903125,-16.584375
-43.7484375,-60.61875,-16.8703125
-42.890625,-60.9046875,-18.0140625
-40.3171875,-59.7609375,-19.44375
-36.028125,-57.4734375,-21.4453125
-30.309375,-54.328125,-24.01875
-24.3046875,-50.6109375,-26.30625
-18.3,-46.89375,-28.59375
-13.4390625,-43.7484375,-30.309375
-9.721875,-40.8890625,-31.1671875
-7.7203125,-39.1734375,-31.453125
-8.00625,-38.6015625,-30.5953125
-10.0078125,-39.1734375,-29.165625
-13.4390625,-40.8890625,-27.45
-18.3,-43.4625,-25.1625
-23.7328125,-46.6078125,-22.875
-29.165625,-50.0390625,-20.8734375
-33.740625,-53.184375,-19.44375
-37.4578125,-56.04375,-18.5859375
-39.7453125,-58.33125,-18.5859375
-40.603125,-60.046875,-19.44375
-40.3171875,-60.61875,-20.3015625
-38.6015625,-60.9046875,-22.303125
-36.028125,-60.3328125,-24.3046875
-32.8828125,-59.475,-26.5921875
-29.7375,-58.33125,-28.59375
-26.878125,-57.4734375,-30.5953125
-24.590625,-56.615625,-32.025
-23.1609375,-55.7578125,-32.596875
-22.0171875,-55.471875,-33.4546875
-21.73125,-55.1859375,-33.4546875
-22.0171875,-55.1859375,-33.16875
-22.5890625,-54.9,-32.3109375
-23.1609375,-54.6140625,-31.453125
-23.7328125,-54.328125,-30.5953125
-24.01875,-53.4703125,-29.4515625
-24.3046875,-52.3265625,-28.021875
-24.590625,-51.46875,-26.878125
-24.8765625,-50.325,-25.4484375
-25.1625,-49.18125,-24.01875
-25.734375,-48.609375,-22.875
-26.878125,-48.3234375,-21.4453125
-28.021875,-48.609375,-20.5875
-29.7375,-49.4671875,-19.7296875
-31.453125,-50.896875,-19.44375
-33.4546875,-52.8984375,-19.44375
-35.1703125,-54.9,-19.7296875
-36.6,-56.9015625,-20.3015625
-38.0296875,-58.903125,-20.8734375
-38.8875,-60.61875,-21.73125
-39.459375,-62.0484375,-22.5890625
-39.459375,-63.1921875,-23.7328125
-39.459375,-63.7640625,-24.3046875
-39.459375,-64.3359375,-24.8765625
-39.1734375,-64.9078125,-25.734375
-39.1734375,-65.4796875,-26.30625
-39.1734375,-65.765625,-26.5921875
-39.1734375,-66.3375,-27.1640625
-38.8875,-66.909375,-28.021875
-38.6015625,-67.48125,-28.8796875
-37.74375,-67.48125,-29.7375
-36.6,-67.1953125,-30.5953125
-35.1703125,-66.6234375,-31.453125
-33.16875,-65.19375,-32.025
-30.88125,-63.478125,-32.596875
-28.59375,-61.190625,-32.596875
-26.30625,-58.6171875,-32.3109375
-24.590625,-56.615625,-32.025
-23.7328125,-54.9,-31.1671875
-23.7328125,-54.0421875,-30.309375
-24.590625,-54.0421875,-29.4515625
-26.5921875,-55.471875,-28.8796875
-29.7375,-58.0453125,-28.3078125
-33.4546875,-61.7625,-28.3078125
-37.74375,-66.0515625,-28.3078125
-41.746875,-70.6265625,-28.8796875
-45.4640625,-75.2015625,-29.7375
-48.609375,-78.6328125,-30.0234375
-50.325,-81.20625,-30.88125
-50.6109375,-82.0640625,-31.453125
-49.4671875,-81.20625,-31.7390625
-46.89375,-78.91875,-32.025
-43.1765625,-74.915625,-31.7390625
-38.8875,-70.340625,-31.453125
-34.3125,-65.4796875,-31.1671875
-29.7375,-60.9046875,-31.1671875
-26.30625,-57.1875,-30.88125
-23.7328125,-54.9,-31.1671875
-22.875,-54.0421875,-31.1671875
-23.1609375,-54.9,-31.7390625
-24.590625,-57.1875,-32.596875
-27.1640625,-60.3328125,-33.16875
-29.7375,-63.7640625,-34.0265625
-32.596875,-67.1953125,-34.5984375
-34.5984375,-70.0546875,-35.45625
-35.7421875,-71.484375,-35.7421875
-35.1703125,-71.484375,-36.3140625
-33.4546875,-69.76875,-36.3140625
-30.5953125,-66.909375,-36.3140625
-26.878125,-62.90625,-36.028125
-22.875,-58.6171875,-35.7421875
-19.1578125,-54.6140625,-35.45625
-16.2984375,-51.46875,-35.1703125
-14.86875,-49.4671875,-34.5984375
-14.5828125,-49.18125,-34.5984375
-16.2984375,-50.325,-34.0265625
-18.871875,-52.8984375,-34.0265625
-22.875,-56.3296875,-33.4546875
-26.878125,-60.3328125,-33.4546875
-31.1671875,-64.3359375,-33.16875
-34.5984375,-67.7671875,-33.16875
