LEFT,RIGHT,DIFF
-24.01875,-46.89375,-22.875
-24.8765625,-47.1796875,-22.303125
-25.1625,-46.89375,-21.73125
-24.8765625,-45.75,-20.8734375
-24.01875,-44.034375,-20.015625
-22.875,-42.0328125,-19.1578125
-21.159375,-40.03125,-18.871875
-19.7296875,-38.0296875,-18.3
-18.3,-36.6,-18.3
-17.728125,-35.7421875,-18.0140625
-17.728125,-35.7421875,-18.0140625
-18.3,-36.6,-18.3
-19.7296875,-38.315625,-18.5859375
-22.0171875,-40.3171875,-18.3
-24.590625,-42.890625,-18.3
-27.1640625,-45.4640625,-18.3
-29.4515625,-47.465625,-18.0140625
-31.1671875,-49.18125,-18.0140625
-32.3109375,-50.325,-18.0140625
-32.596875,-50.6109375,-18.0140625
-31.7390625,-50.325,-18.5859375
-30.0234375,-49.4671875,-19.44375
-27.7359375,-48.0375,-20.3015625
-25.1625,-46.89375,-21.73125
-22.5890625,-45.4640625,-22.875
-20.5875,-44.60625,-24.01875
-19.1578125,-44.3203125,-25.1625
-18.871875,-44.60625,-25.734375
-19.44375,-45.4640625,-26.0203125
-21.159375,-46.6078125,-25.4484375
-23.7328125,-48.3234375,-24.590625
-26.878125,-50.325,-23.446875
-30.0234375,-52.3265625,-22.303125
-32.596875,-53.75625,-21.159375
-34.0265625,-54.6140625,-20.5875
-34.3125,-54.6140625,-20.3015625
-32.8828125,-53.75625,-20.8734375
-30.0234375,-51.7546875,-21.73125
-25.4484375,-48.8953125,-23.446875
-19.7296875,-45.178125,-25.4484375
-13.4390625,-41.175,-27.7359375
-7.1484375,-37.171875,-30.0234375
-1.715625,-33.16875,-31.453125
2.0015625,-30.0234375,-32.025
4.2890625,-28.021875,-32.3109375
4.8609375,-27.1640625,-32.025
3.1453125,-27.45,-30.5953125
0.0,-29.165625,-29.165625
-4.575,-31.7390625,-27.1640625
-10.0078125,-35.1703125,-25.1625
-15.440625,-38.6015625,-23.1609375
-20.015625,-42.31875,-22.303125
-24.01875,-45.178125,-21.159375
-26.30625,-47.465625,-21.159375
-27.45,-48.8953125,-21.4453125
-27.45,-49.753125,-22.303125
-26.5921875,-49.753125,-23.1609375
-25.4484375,-49.4671875,-24.01875
-24.590625,-48.8953125,-24.3046875
-24.01875,-48.8953125,-24.8765625
-24.3046875,-48.8953125,-24.590625
-25.1625,-49.753125,-24.590625
-26.5921875,-50.6109375,-24.01875
-28.59375,-52.040625,-23.446875
-30.0234375,-53.184375,-23.1609375
-30.88125,-53.75625,-22.875
-30.5953125,-53.75625,-23.1609375
-29.165625,-52.8984375,-23.7328125
-26.5921875,-51.1828125,-24.590625
-23.446875,-48.8953125,-25.4484375
-19.44375,-46.321875,-26.878125
-16.0125,-43.7484375,-27.7359375
-13.4390625,-42.0328125,-28.59375
-12.009375,-41.175,-29.165625
-12.58125,-42.0328125,-29.4515625
-14.86875,-44.60625,-29.7375
-18.5859375,-48.3234375,-29.7375
-23.7328125,-53.184375,-29.4515625
-29.4515625,-58.6171875,-29.165625
-34.5984375,-63.7640625,-29.165625
-38.6015625,-68.053125,-29.4515625
-40.8890625,-70.6265625,-29.7375
-41.175,-71.484375,-30.309375
-39.459375,-70.0546875,-30.5953125
-35.7421875,-66.909375,-31.1671875
-30.5953125,-62.0484375,-31.453125
-25.1625,-56.3296875,-31.1671875
-19.7296875,-50.6109375,-30.88125
-15.7265625,-46.0359375,-30.309375
-13.153125,-42.6046875,-29.4515625
-12.58125,-41.175,-28.59375
-14.0109375,-42.0328125,-28.021875
-17.4421875,-44.60625,-27.1640625
-21.73125,-49.18125,-27.45
-26.878125,-54.328125,-27.45
-32.025,-60.046875,-28.021875
-36.3140625,-65.19375,-28.8796875
-39.459375,-69.196875,-29.7375
-40.8890625,-71.7703125,-30.88125
-40.8890625,-72.628125,-31.7390625
-39.459375,-71.7703125,-32.3109375
-37.171875,-69.4828125,-32.3109375
-34.5984375,-66.6234375,-32.025
-31.7390625,-63.1921875,-31.453125
-29.7375,-60.3328125,-30.5953125
-28.3078125,-57.759375,-29.4515625
-27.7359375,-56.3296875,-28.59375
-28.021875,-56.04375,-28.021875
-28.8796875,-56.615625,-27.7359375
-30.309375,-58.0453125,-27.7359375
-31.453125,-59.7609375,-28.3078125
-32.596875,-61.7625,-29.165625
-32.8828125,-63.1921875,-30.309375
-32.8828125,-64.3359375,-31.453125
-32.025,-64.9078125,-32.8828125
-30.88125,-64.621875,-33.740625
-29.4515625,-63.478125,-34.0265625
-27.7359375,-61.7625,-34.0265625
-26.0203125,-59.7609375,-33.740625
-24.3046875,-57.4734375,-33.16875
-22.875,-55.1859375,-32.3109375
-21.4453125,-52.8984375,-31.453125
-20.5875,-50.896875,-30.309375
-19.7296875,-49.4671875,-29.7375
-18.871875,-48.3234375,-29.4515625
-18.3,-47.7515625,-29.4515625
-18.0140625,-47.465625,-29.4515625
-18.0140625,-48.0375,-30.0234375
-18.5859375,-49.18125,-30.5953125
-19.44375,-50.6109375,-31.1671875
-20.8734375,-52.6125,-31.7390625
-22.5890625,-54.9,-32.3109375
-24.590625,-56.9015625,-32.3109375
-26.5921875,-58.903125,-32.3109375
-28.3078125,-60.61875,-32.3109375
-29.4515625,-61.4765625,-32.025
-30.0234375,-61.7625,-31.7390625
-29.4515625,-61.4765625,-32.025
-28.59375,-60.3328125,-31.7390625
-26.878125,-58.903125,-32.025
-25.1625,-57.1875,-32.025
-23.446875,-56.04375,-32.596875
-22.0171875,-55.1859375,-33.16875
-21.73125,-55.1859375,-33.4546875
-22.0171875,-56.3296875,-34.3125
-23.7328125,-58.33125,-34.5984375
-26.0203125,-60.9046875,-34.884375
-28.8796875,-64.05,-35.1703125
-32.025,-67.1953125,-35.1703125
-34.884375,-70.0546875,-35.1703125
