LEFT,RIGHT,DIFF
-86.925,-62.0484375,24.8765625
-88.9265625,-63.7640625,25.1625
-90.6421875,-65.4796875,25.1625
-92.3578125,-66.6234375,25.734375
-92.9296875,-66.909375,26.0203125
-92.9296875,-66.3375,26.5921875
-92.3578125,-65.19375,27.1640625
-90.928125,-63.478125,27.45
-89.4984375,-61.7625,27.7359375
-88.3546875,-60.3328125,28.021875
-87.7828125,-59.7609375,28.021875
-87.7828125,-60.046875,27.7359375
-88.9265625,-61.4765625,27.45
-90.6421875,-64.05,26.5921875
-92.9296875,-67.48125,25.4484375
-95.2171875,-70.9125,24.3046875
-97.5046875,-74.34375,23.1609375
-98.934375,-77.203125,21.73125
-99.7921875,-78.91875,20.8734375
-99.50625,-79.7765625,19.7296875
-98.6484375,-79.2046875,19.44375
-96.9328125,-77.775,19.1578125
-94.6453125,-75.7734375,18.871875
-92.64375,-73.2,19.44375
-90.6421875,-70.6265625,20.015625
-89.2125,-68.3390625,20.8734375
-88.3546875,-66.909375,21.4453125
-88.3546875,-65.765625,22.5890625
-88.640625,-65.4796875,23.1609375
-89.4984375,-65.765625,23.7328125
-90.6421875,-66.3375,24.3046875
-91.7859375,-67.48125,24.3046875
-92.9296875,-68.625,24.3046875
-93.5015625,-69.76875,23.7328125
-94.0734375,-70.9125,23.1609375
-94.359375,-71.7703125,22.5890625
-94.6453125,-72.9140625,21.73125
-94.93125,-74.0578125,20.8734375
-95.2171875,-74.915625,20.3015625
-95.503125,-76.059375,19.44375
-96.075,-76.9171875,19.1578125
-96.3609375,-77.203125,19.1578125
-96.646875,-77.4890625,19.1578125
-96.3609375,-77.203125,19.1578125
-96.075,-76.3453125,19.7296875
-95.2171875,-74.915625,20.3015625
-94.359375,-73.4859375,20.8734375
-92.9296875,-71.7703125,21.159375
-91.7859375,-70.0546875,21.73125
-90.928125,-69.196875,21.73125
-90.35625,-68.625,21.73125
-90.35625,-69.196875,21.159375
-91.2140625,-70.340625,20.8734375
-92.64375,-72.3421875,20.3015625
-94.359375,-74.915625,19.44375
-96.646875,-77.4890625,19.1578125
-98.934375,-80.0625,18.871875
-100.65,-82.35,18.3
-102.0796875,-83.7796875,18.3
-102.6515625,-84.065625,18.5859375
-102.6515625,-83.49375,19.1578125
-101.79375,-82.0640625,19.7296875
-100.078125,-80.0625,20.015625
-98.0765625,-77.775,20.3015625
-95.7890625,-75.2015625,20.5875
-93.5015625,-72.9140625,20.5875
-91.5,-71.1984375,20.3015625
-89.784375,-70.0546875,19.7296875
-88.640625,-69.76875,18.871875
-88.06875,-70.0546875,18.0140625
-87.7828125,-70.9125,16.8703125
-88.06875,-72.05625,16.0125
-88.640625,-73.4859375,15.1546875
-89.784375,-74.915625,14.86875
-90.6421875,-76.3453125,14.296875
-92.071875,-77.775,14.296875
-93.5015625,-79.2046875,14.296875
-95.2171875,-80.9203125,14.296875
-96.9328125,-82.35,14.5828125
-98.6484375,-84.065625,14.5828125
-100.65,-85.78125,14.86875
-102.365625,-87.2109375,15.1546875
-103.7953125,-88.640625,15.1546875
-104.9390625,-89.4984375,15.440625
-105.796875,-90.0703125,15.7265625
-105.796875,-89.4984375,16.2984375
-105.5109375,-88.3546875,17.15625
-104.3671875,-86.353125,18.0140625
-102.9375,-83.7796875,19.1578125
-101.221875,-80.634375,20.5875
-99.2203125,-77.4890625,21.73125
-97.5046875,-74.6296875,22.875
-96.3609375,-72.3421875,24.01875
-95.503125,-71.1984375,24.3046875
-95.503125,-70.6265625,24.8765625
-95.7890625,-71.484375,24.3046875
-96.646875,-72.9140625,23.7328125
-97.5046875,-74.915625,22.5890625
-98.6484375,-77.203125,21.4453125
-99.7921875,-79.490625,20.3015625
-100.3640625,-81.20625,19.1578125
-100.3640625,-82.35,18.0140625
-100.078125,-82.921875,17.15625
-99.2203125,-82.35,16.8703125
-98.0765625,-81.4921875,16.584375
-96.646875,-80.0625,16.584375
-95.503125,-78.346875,17.15625
-94.6453125,-76.9171875,17.728125
-94.0734375,-75.4875,18.5859375
-93.7875,-74.6296875,19.1578125
-94.0734375,-74.0578125,20.015625
-94.359375,-74.0578125,20.3015625
-94.93125,-73.771875,21.159375
-95.503125,-73.771875,21.73125
-95.503125,-72.9140625,22.5890625
-95.2171875,-71.7703125,23.446875
-94.0734375,-69.76875,24.3046875
-92.64375,-67.1953125,25.4484375
-90.35625,-64.05,26.30625
-87.7828125,-60.3328125,27.45
-85.209375,-56.615625,28.59375
-82.921875,-53.4703125,29.4515625
-80.9203125,-50.6109375,30.309375
-79.7765625,-48.8953125,30.88125
-79.2046875,-48.3234375,30.88125
-79.490625,-48.8953125,30.5953125
-80.634375,-50.325,30.309375
-82.35,-52.3265625,30.0234375
-84.6375,-54.9,29.7375
-86.6390625,-57.4734375,29.165625
-88.3546875,-59.7609375,28.59375
-89.4984375,-61.190625,28.3078125
-89.784375,-61.4765625,28.3078125
-88.9265625,-60.9046875,28.021875
-87.496875,-59.1890625,28.3078125
-85.209375,-56.9015625,28.3078125
-82.6359375,-54.0421875,28.59375
-79.7765625,-51.1828125,28.59375
-77.4890625,-49.18125,28.3078125
-76.059375,-48.0375,28.021875
