LEFT,RIGHT,DIFF
-82.0640625,-104.3671875,-22.303125
-81.778125,-104.3671875,-22.5890625
-82.35,-104.653125,-22.303125
-83.2078125,-105.5109375,-22.303125
-84.9234375,-106.940625,-22.0171875
-87.2109375,-109.228125,-22.0171875
-89.784375,-112.0875,-22.303125
-92.9296875,-114.946875,-22.0171875
-95.7890625,-118.0921875,-22.303125
-98.3625,-120.665625,-22.303125
-100.3640625,-122.6671875,-22.303125
-100.9359375,-123.8109375,-22.875
-100.65,-124.096875,-23.446875
-99.2203125,-123.2390625,-24.01875
-96.9328125,-121.5234375,-24.590625
-94.0734375,-118.95,-24.8765625
-90.6421875,-116.6625,-26.0203125
-87.7828125,-114.0890625,-26.30625
-85.209375,-112.3734375,-27.1640625
-83.7796875,-111.2296875,-27.45
-83.49375,-111.515625,-28.021875
-84.3515625,-112.659375,-28.3078125
-86.353125,-114.6609375,-28.3078125
-89.2125,-117.5203125,-28.3078125
-92.3578125,-120.665625,-28.3078125
-95.7890625,-123.525,-27.7359375
-98.6484375,-125.5265625,-26.878125
-100.65,-126.95625,-26.30625
-101.5078125,-126.95625,-25.4484375
-101.221875,-125.8125,-24.590625
-99.7921875,-123.2390625,-23.446875
-97.21875,-120.09375,-22.875
-94.0734375,-116.3765625,-22.303125
-90.6421875,-112.659375,-22.0171875
-87.496875,-109.5140625,-22.0171875
-84.3515625,-107.2265625,-22.875
-82.35,-105.796875,-23.446875
-80.9203125,-105.796875,-24.8765625
-80.634375,-106.36875,-25.734375
-80.9203125,-108.084375,-27.1640625
-81.778125,-109.8,-28.021875
-82.921875,-111.8015625,-28.8796875
-84.065625,-113.5171875,-29.4515625
-84.9234375,-114.375,-29.4515625
-85.4953125,-114.946875,-29.4515625
-85.4953125,-114.6609375,-29.165625
-85.209375,-113.803125,-28.59375
-84.9234375,-112.9453125,-28.021875
-84.3515625,-112.3734375,-28.021875
-84.3515625,-112.0875,-27.7359375
-84.9234375,-112.659375,-27.7359375
-86.0671875,-114.0890625,-28.021875
-87.7828125,-116.3765625,-28.59375
-89.784375,-118.95,-29.165625
-92.3578125,-121.809375,-29.4515625
-94.6453125,-124.3828125,-29.7375
-96.3609375,-126.384375,-30.0234375
-97.21875,-127.2421875,-30.0234375
-97.21875,-126.95625,-29.7375
-95.7890625,-125.240625,-29.4515625
-93.5015625,-122.38125,-28.8796875
-90.35625,-118.6640625,-28.3078125
-86.6390625,-114.375,-27.7359375
-82.6359375,-110.371875,-27.7359375
-78.6328125,-106.36875,-27.7359375
-75.4875,-103.509375,-28.021875
-73.2,-101.5078125,-28.3078125
-72.05625,-100.65,-28.59375
-71.7703125,-100.9359375,-29.165625
-72.628125,-101.79375,-29.165625
-74.0578125,-103.509375,-29.4515625
-76.3453125,-105.5109375,-29.165625
-78.346875,-107.5125,-29.165625
-80.634375,-109.228125,-28.59375
-82.6359375,-110.94375,-28.3078125
-84.3515625,-112.0875,-27.7359375
-85.4953125,-113.23125,-27.7359375
-86.353125,-114.0890625,-27.7359375
-86.925,-114.946875,-28.021875
-87.496875,-116.090625,-28.59375
-87.7828125,-116.9484375,-29.165625
-88.06875,-118.0921875,-30.0234375
-88.06875,-118.6640625,-30.5953125
-87.7828125,-118.95,-31.1671875
-87.2109375,-118.6640625,-31.453125
-86.353125,-117.80625,-31.453125
-84.9234375,-116.090625,-31.1671875
-82.921875,-113.5171875,-30.5953125
-80.9203125,-110.6578125,-29.7375
-78.91875,-107.5125,-28.59375
-76.9171875,-104.3671875,-27.45
-75.7734375,-101.79375,-26.0203125
-75.2015625,-100.078125,-24.8765625
-75.4875,-99.50625,-24.01875
-76.63125,-99.7921875,-23.1609375
-78.6328125,-101.221875,-22.5890625
-81.20625,-103.2234375,-22.0171875
-84.065625,-105.796875,-21.73125
-86.925,-108.3703125,-21.4453125
-89.2125,-110.371875,-21.159375
-90.6421875,-112.0875,-21.4453125
-91.2140625,-113.23125,-22.0171875
-90.6421875,-113.23125,-22.5890625
-89.2125,-112.659375,-23.446875
-86.925,-111.2296875,-24.3046875
-84.3515625,-109.5140625,-25.1625
-81.20625,-107.5125,-26.30625
-78.0609375,-105.225,-27.1640625
-75.2015625,-103.2234375,-28.021875
-72.3421875,-100.9359375,-28.59375
-70.0546875,-98.6484375,-28.59375
-68.053125,-96.3609375,-28.3078125
-66.3375,-93.7875,-27.45
-65.19375,-91.5,-26.30625
-64.3359375,-89.4984375,-25.1625
-64.05,-87.7828125,-23.7328125
-64.621875,-86.6390625,-22.0171875
-66.0515625,-86.6390625,-20.5875
-68.3390625,-88.06875,-19.7296875
-71.7703125,-90.928125,-19.1578125
-76.63125,-95.503125,-18.871875
-82.0640625,-101.221875,-19.1578125
-88.3546875,-108.084375,-19.7296875
-94.6453125,-115.2328125,-20.5875
-100.65,-122.0953125,-21.4453125
-105.5109375,-128.1,-22.5890625
-108.9421875,-132.3890625,-23.446875
-110.371875,-134.6765625,-24.3046875
-109.8,-134.9625,-25.1625
-106.940625,-132.9609375,-26.0203125
-102.365625,-128.9578125,-26.5921875
-96.3609375,-123.525,-27.1640625
-89.784375,-117.80625,-28.021875
-83.2078125,-111.8015625,-28.59375
-77.203125,-106.36875,-29.165625
