LEFT,RIGHT,DIFF
1.715625,-24.01875,-25.734375
0.0,-24.8765625,-24.8765625
0.2859375,-23.446875,-23.7328125
2.859375,-20.3015625,-23.1609375
7.7203125,-15.7265625,-23.446875
13.725,-10.5796875,-24.3046875
20.015625,-5.146875,-25.1625
26.0203125,-0.8578125,-26.878125
30.88125,2.0015625,-28.8796875
33.740625,2.859375,-30.88125
34.0265625,2.0015625,-32.025
32.3109375,-0.571875,-32.8828125
28.3078125,-4.8609375,-33.16875
22.875,-10.0078125,-32.8828125
16.8703125,-15.1546875,-32.025
11.1515625,-19.44375,-30.5953125
6.0046875,-22.5890625,-28.59375
2.5734375,-23.7328125,-26.30625
1.14375,-23.1609375,-24.3046875
1.715625,-20.8734375,-22.5890625
4.2890625,-17.15625,-21.4453125
8.00625,-12.58125,-20.5875
12.2953125,-7.7203125,-20.015625
17.15625,-3.1453125,-20.3015625
21.159375,0.0,-21.159375
24.01875,2.0015625,-22.0171875
25.4484375,2.5734375,-22.875
25.1625,2.0015625,-23.1609375
23.446875,0.0,-23.446875
20.5875,-2.2875,-22.875
16.8703125,-5.4328125,-22.303125
12.8671875,-8.2921875,-21.159375
9.15,-10.5796875,-19.7296875
6.290625,-12.009375,-18.3
4.2890625,-12.58125,-16.8703125
3.7171875,-12.2953125,-16.0125
4.003125,-10.865625,-14.86875
5.71875,-9.15,-14.86875
8.00625,-6.8625,-14.86875
10.865625,-4.575,-15.440625
13.4390625,-2.5734375,-16.0125
15.7265625,-1.14375,-16.8703125
17.4421875,-0.571875,-18.0140625
17.728125,-0.8578125,-18.5859375
17.15625,-1.715625,-18.871875
15.7265625,-3.43125,-19.1578125
13.153125,-5.4328125,-18.5859375
10.29375,-8.00625,-18.3
6.8625,-10.865625,-17.728125
4.003125,-13.153125,-17.15625
1.4296875,-15.440625,-16.8703125
0.0,-16.8703125,-16.8703125
-0.8578125,-17.4421875,-16.584375
-0.2859375,-17.4421875,-17.15625
0.8578125,-16.584375,-17.4421875
3.1453125,-14.5828125,-17.728125
6.290625,-12.2953125,-18.5859375
9.4359375,-9.721875,-19.1578125
12.2953125,-7.1484375,-19.44375
14.86875,-4.575,-19.44375
16.584375,-2.5734375,-19.1578125
17.4421875,-1.14375,-18.5859375
17.15625,-0.571875,-17.728125
16.0125,-0.8578125,-16.8703125
14.0109375,-1.715625,-15.7265625
11.7234375,-2.859375,-14.5828125
9.15,-4.003125,-13.153125
7.1484375,-4.8609375,-12.009375
5.71875,-5.146875,-10.865625
5.4328125,-4.575,-10.0078125
6.0046875,-2.859375,-8.8640625
