LEFT,RIGHT,DIFF
-20.5875,-40.3171875,-19.7296875
-21.4453125,-40.03125,-18.5859375
-20.5875,-38.315625,-17.728125
-18.3,-35.45625,-17.15625
-14.86875,-32.025,-17.15625
-10.5796875,-28.021875,-17.4421875
-6.290625,-24.3046875,-18.0140625
-2.5734375,-21.159375,-18.5859375
0.0,-19.1578125,-19.1578125
1.14375,-18.5859375,-19.7296875
0.8578125,-19.44375,-20.3015625
-1.14375,-21.73125,-20.5875
-4.575,-25.1625,-20.5875
-9.4359375,-29.165625,-19.7296875
-14.5828125,-33.740625,-19.1578125
-19.44375,-37.4578125,-18.0140625
-23.1609375,-40.603125,-17.4421875
-25.4484375,-42.0328125,-16.584375
-26.0203125,-42.0328125,-16.0125
-24.3046875,-40.3171875,-16.0125
-20.8734375,-36.8859375,-16.0125
-15.7265625,-32.596875,-16.8703125
-9.4359375,-27.45,-18.0140625
-3.1453125,-22.0171875,-18.871875
2.2875,-17.4421875,-19.7296875
6.5765625,-13.725,-20.3015625
9.15,-11.7234375,-20.8734375
9.721875,-11.4375,-21.159375
8.00625,-12.8671875,-20.8734375
4.2890625,-16.0125,-20.3015625
-0.571875,-20.3015625,-19.7296875
-6.8625,-25.1625,-18.3
-13.153125,-30.309375,-17.15625
-18.871875,-34.5984375,-15.7265625
-23.446875,-38.0296875,-14.5828125
-26.30625,-40.03125,-13.725
-27.1640625,-40.603125,-13.4390625
-26.30625,-39.459375,-13.153125
-23.7328125,-37.171875,-13.4390625
-19.7296875,-33.740625,-14.0109375
-15.440625,-30.0234375,-14.5828125
-10.5796875,-26.5921875,-16.0125
-6.5765625,-23.446875,-16.8703125
-3.1453125,-21.159375,-18.0140625
-0.8578125,-20.015625,-19.1578125
0.0,-20.015625,-20.015625
0.0,-21.4453125,-21.4453125
-1.14375,-23.446875,-22.303125
-3.1453125,-26.0203125,-22.875
-5.4328125,-28.8796875,-23.446875
-7.434375,-31.1671875,-23.7328125
-9.15,-32.8828125,-23.7328125
-10.0078125,-33.740625,-23.7328125
-10.0078125,-33.740625,-23.7328125
-8.8640625,-32.596875,-23.7328125
-6.8625,-30.5953125,-23.7328125
-4.575,-28.021875,-23.446875
-2.0015625,-25.4484375,-23.446875
