LEFT,RIGHT,DIFF
-5.71875,-4.8609375,0.8578125
-4.2890625,-3.43125,0.8578125
-4.2890625,-3.1453125,1.14375
-5.146875,-3.7171875,1.4296875
-6.5765625,-5.146875,1.4296875
-8.2921875,-7.1484375,1.14375
-10.0078125,-10.0078125,0.0
-11.7234375,-12.8671875,-1.14375
-13.153125,-15.7265625,-2.5734375
-14.5828125,-18.871875,-4.2890625
-16.0125,-22.0171875,-6.0046875
-17.728125,-24.8765625,-7.1484375
-19.44375,-27.7359375,-8.2921875
-21.4453125,-30.0234375,-8.578125
-23.7328125,-31.7390625,-8.00625
-26.0203125,-33.16875,-7.1484375
-28.3078125,-33.740625,-5.4328125
-30.309375,-34.0265625,-3.7171875
-32.025,-33.740625,-1.715625
-33.16875,-33.16875,0.0
-34.0265625,-32.3109375,1.715625
-34.3125,-31.453125,2.859375
-34.0265625,-30.88125,3.1453125
-33.740625,-30.5953125,3.1453125
-33.16875,-30.309375,2.859375
-32.3109375,-30.309375,2.0015625
-31.7390625,-30.309375,1.4296875
-30.88125,-30.309375,0.571874999999999
-30.0234375,-29.7375,0.285937499999999
-29.165625,-28.59375,0.571875000000002
-27.7359375,-27.1640625,0.571875000000002
-26.30625,-25.1625,1.14375
-24.3046875,-23.1609375,1.14375
-22.303125,-20.8734375,1.4296875
-20.5875,-19.1578125,1.4296875
-18.871875,-18.3,0.571874999999999
-17.728125,-18.3,-0.571874999999999
-17.15625,-19.44375,-2.2875
-17.728125,-21.73125,-4.003125
-18.871875,-24.8765625,-6.0046875
-20.8734375,-28.8796875,-8.00625
-23.446875,-32.8828125,-9.4359375
-26.30625,-36.6,-10.29375
-28.8796875,-39.459375,-10.5796875
-30.88125,-41.175,-10.29375
-32.025,-41.175,-9.15000000000001
-32.3109375,-40.03125,-7.7203125
-31.1671875,-37.4578125,-6.290625
-29.4515625,-34.0265625,-4.575
-26.878125,-30.0234375,-3.1453125
-24.01875,-26.0203125,-2.0015625
-21.4453125,-22.875,-1.4296875
-19.1578125,-20.5875,-1.4296875
-18.0140625,-20.015625,-2.0015625
-18.0140625,-21.159375,-3.1453125
-19.44375,-24.01875,-4.575
-22.0171875,-28.59375,-6.5765625
-25.734375,-34.5984375,-8.8640625
-30.0234375,-41.4609375,-11.4375
-34.884375,-48.8953125,-14.0109375
-40.03125,-56.9015625,-16.8703125
-44.60625,-64.3359375,-19.7296875
-48.8953125,-71.1984375,-22.303125
-52.040625,-76.9171875,-24.8765625
-54.328125,-80.9203125,-26.5921875
-55.1859375,-83.2078125,-28.021875
-54.6140625,-83.2078125,-28.59375
-52.6125,-80.634375,-28.021875
-49.18125,-75.4875,-26.30625
-44.3203125,-68.3390625,-24.01875
-38.6015625,-58.6171875,-20.015625
-31.7390625,-47.465625,-15.7265625
-24.3046875,-35.1703125,-10.865625
-16.8703125,-22.875,-6.0046875
-9.721875,-11.1515625,-1.4296875
-3.43125,-0.8578125,2.5734375
1.715625,6.8625,5.146875
5.4328125,12.2953125,6.8625
7.434375,14.5828125,7.1484375
7.434375,14.0109375,6.5765625
6.0046875,10.865625,4.8609375
2.859375,5.4328125,2.5734375
-0.8578125,-1.4296875,-0.571875
-5.71875,-9.4359375,-3.7171875
-10.865625,-17.4421875,-6.5765625
-15.7265625,-24.8765625,-9.15
-20.015625,-31.1671875,-11.1515625
-23.446875,-36.3140625,-12.8671875
-25.734375,-40.03125,-14.296875
-27.1640625,-42.31875,-15.1546875
-27.7359375,-43.1765625,-15.440625
-27.1640625,-43.1765625,-16.0125
-26.30625,-42.0328125,-15.7265625
-24.8765625,-40.603125,-15.7265625
-23.446875,-38.315625,-14.86875
-21.73125,-35.7421875,-14.0109375
-20.015625,-32.596875,-12.58125
-18.5859375,-29.4515625,-10.865625
-17.15625,-26.30625,-9.15
-16.0125,-23.446875,-7.434375
-15.440625,-21.159375,-5.71875
-15.440625,-19.44375,-4.003125
-16.0125,-19.1578125,-3.1453125
-17.15625,-20.015625,-2.859375
-19.1578125,-22.303125,-3.1453125
-21.73125,-25.734375,-4.003125
-24.8765625,-30.0234375,-5.146875
-28.3078125,-35.1703125,-6.8625
-31.7390625,-40.03125,-8.2921875
-34.5984375,-44.034375,-9.4359375
-36.6,-47.1796875,-10.5796875
-37.4578125,-48.3234375,-10.865625
-37.171875,-47.465625,-10.29375
-35.45625,-44.60625,-9.15
-32.8828125,-40.3171875,-7.434375
-28.8796875,-34.884375,-6.0046875
-24.8765625,-28.8796875,-4.003125
-20.5875,-23.446875,-2.859375
-16.8703125,-19.1578125,-2.2875
-14.0109375,-16.2984375,-2.2875
-12.58125,-15.440625,-2.859375
-12.8671875,-16.8703125,-4.003125
-14.296875,-19.7296875,-5.4328125
-17.4421875,-24.3046875,-6.8625
-21.4453125,-29.165625,-7.7203125
-25.734375,-34.3125,-8.578125
-30.5953125,-38.6015625,-8.00625
-34.5984375,-41.746875,-7.1484375
-38.315625,-43.4625,-5.14687499999999
-40.603125,-43.4625,-2.859375
-42.0328125,-42.0328125,0.0
-42.31875,-39.459375,2.859375
-41.746875,-36.6,5.146875
-40.3171875,-33.740625,6.5765625
-38.8875,-31.453125,7.434375
-37.4578125,-29.7375,7.7203125
-36.3140625,-29.4515625,6.8625
-35.45625,-30.0234375,5.4328125
-35.45625,-31.7390625,3.7171875
-36.028125,-33.740625,2.2875
-36.8859375,-36.3140625,0.571875000000006
-38.315625,-38.8875,-0.571874999999999
-40.03125,-40.8890625,-0.857812500000001
-41.175,-42.0328125,-0.857812499999994
-42.31875,-42.6046875,-0.285937500000003
-43.1765625,-42.31875,0.857812500000001
-43.1765625,-41.175,2.0015625
-42.6046875,-39.459375,3.1453125
-41.4609375,-37.74375,3.7171875
-40.03125,-36.028125,4.003125
-38.315625,-34.5984375,3.7171875
-36.3140625,-33.4546875,2.859375
-34.5984375,-33.16875,1.4296875
-33.4546875,-33.4546875,0.0
-32.3109375,-34.3125,-2.0015625
-32.025,-35.45625,-3.43125000000001
-32.3109375,-36.8859375,-4.575
-32.8828125,-38.315625,-5.4328125
-33.740625,-39.7453125,-6.0046875
-34.884375,-41.175,-6.29062500000001
-36.028125,-41.746875,-5.71875
-36.6,-42.0328125,-5.4328125
-36.8859375,-41.746875,-4.8609375
-36.6,-40.603125,-4.003125
-35.45625,-38.8875,-3.43125
-33.740625,-36.6,-2.859375
-31.453125,-33.740625,-2.2875
-28.8796875,-30.5953125,-1.715625
-26.30625,-27.45,-1.14375
-23.446875,-24.3046875,-0.857812499999998
-21.4453125,-21.159375,0.285937499999999
-19.7296875,-18.871875,0.857812500000001
-18.871875,-16.8703125,2.0015625
-18.5859375,-16.0125,2.5734375
-19.44375,-16.0125,3.43125
-20.8734375,-17.15625,3.7171875
-22.875,-18.871875,4.003125
-25.1625,-21.73125,3.43125
-27.7359375,-24.8765625,2.859375
-30.0234375,-28.59375,1.4296875
-32.3109375,-32.3109375,0.0
-34.0265625,-36.028125,-2.0015625
-35.45625,-39.1734375,-3.71718749999999
-36.028125,-41.4609375,-5.4328125
-36.028125,-42.890625,-6.8625
-35.45625,-43.4625,-8.00624999999999
-34.3125,-43.1765625,-8.8640625
-32.596875,-41.746875,-9.15
-30.309375,-39.459375,-9.15
-27.45,-36.6,-9.15
-24.8765625,-33.16875,-8.2921875
-22.0171875,-29.7375,-7.7203125
-19.7296875,-26.5921875,-6.8625
-17.728125,-23.7328125,-6.0046875
-16.584375,-21.4453125,-4.8609375
-16.0125,-20.015625,-4.003125
-16.584375,-19.44375,-2.859375
-18.3,-19.7296875,-1.4296875
-20.5875,-20.8734375,-0.285937499999999
-23.7328125,-22.875,0.857812500000001
-27.1640625,-25.1625,2.0015625
-30.5953125,-27.7359375,2.859375
-34.0265625,-30.5953125,3.43125
-37.171875,-33.16875,4.003125
-39.459375,-35.45625,4.003125
-40.8890625,-37.171875,3.7171875
-41.175,-38.315625,2.859375
-40.8890625,-39.1734375,1.715625
-39.7453125,-39.1734375,0.571875000000006
