LEFT,RIGHT,DIFF
-12.009375,-22.5890625,-10.5796875
-6.8625,-16.8703125,-10.0078125
-2.5734375,-12.8671875,-10.29375
0.571875,-10.5796875,-11.1515625
3.1453125,-10.0078125,-13.153125
4.575,-11.4375,-16.0125
4.8609375,-14.0109375,-18.871875
4.2890625,-17.4421875,-21.73125
2.859375,-21.4453125,-24.3046875
1.4296875,-25.4484375,-26.878125
-0.2859375,-29.165625,-28.8796875
-2.0015625,-32.3109375,-30.309375
-3.7171875,-34.884375,-31.1671875
-5.146875,-36.8859375,-31.7390625
-6.5765625,-38.6015625,-32.025
-8.2921875,-39.7453125,-31.453125
-9.721875,-40.8890625,-31.1671875
-11.4375,-42.0328125,-30.5953125
-13.153125,-43.4625,-30.309375
-15.1546875,-44.60625,-29.4515625
-17.15625,-45.75,-28.59375
-19.1578125,-46.89375,-27.7359375
-20.8734375,-47.7515625,-26.878125
-22.0171875,-48.0375,-26.0203125
-22.875,-48.0375,-25.1625
-23.1609375,-47.465625,-24.3046875
-23.1609375,-46.6078125,-23.446875
-22.5890625,-45.4640625,-22.875
-21.73125,-44.3203125,-22.5890625
-20.8734375,-42.890625,-22.0171875
-20.015625,-41.746875,-21.73125
-19.1578125,-40.8890625,-21.73125
-18.871875,-40.03125,-21.159375
-18.5859375,-39.7453125,-21.159375
-18.871875,-39.7453125,-20.8734375
-19.1578125,-39.7453125,-20.5875
-19.7296875,-40.3171875,-20.5875
-20.5875,-40.8890625,-20.3015625
-21.159375,-41.4609375,-20.3015625
-22.0171875,-42.31875,-20.3015625
-23.1609375,-43.4625,-20.3015625
-24.01875,-44.60625,-20.5875
-24.8765625,-45.75,-20.8734375
-26.0203125,-46.89375,-20.8734375
-26.878125,-47.7515625,-20.8734375
-27.7359375,-48.3234375,-20.5875
-28.3078125,-48.3234375,-20.015625
-28.3078125,-48.0375,-19.7296875
-28.021875,-47.1796875,-19.1578125
-27.45,-45.75,-18.3
-26.5921875,-44.3203125,-17.728125
-25.1625,-42.6046875,-17.4421875
-24.01875,-41.4609375,-17.4421875
-22.875,-40.8890625,-18.0140625
-22.303125,-41.175,-18.871875
-22.0171875,-42.31875,-20.3015625
-22.5890625,-44.3203125,-21.73125
-23.446875,-46.89375,-23.446875
-24.8765625,-50.0390625,-25.1625
-26.30625,-53.184375,-26.878125
-27.7359375,-55.7578125,-28.021875
-28.59375,-57.4734375,-28.8796875
-28.8796875,-58.0453125,-29.165625
-28.3078125,-57.4734375,-29.165625
-27.1640625,-55.471875,-28.3078125
-24.8765625,-52.6125,-27.7359375
-22.5890625,-48.8953125,-26.30625
-19.7296875,-45.178125,-25.4484375
-17.4421875,-41.746875,-24.3046875
-15.7265625,-39.459375,-23.7328125
-14.86875,-38.315625,-23.446875
-14.86875,-38.315625,-23.446875
-16.0125,-40.03125,-24.01875
-18.0140625,-42.6046875,-24.590625
-20.8734375,-46.0359375,-25.1625
-23.7328125,-49.753125,-26.0203125
-26.878125,-53.4703125,-26.5921875
-29.7375,-56.9015625,-27.1640625
-32.025,-59.1890625,-27.1640625
-34.0265625,-61.190625,-27.1640625
-35.1703125,-62.0484375,-26.878125
-35.7421875,-62.334375,-26.5921875
-36.028125,-62.334375,-26.30625
-36.028125,-61.7625,-25.734375
-35.45625,-60.9046875,-25.4484375
-34.5984375,-60.046875,-25.4484375
-33.16875,-58.6171875,-25.4484375
-31.453125,-56.615625,-25.1625
-29.165625,-53.75625,-24.590625
-26.0203125,-50.0390625,-24.01875
-22.875,-45.4640625,-22.5890625
-19.1578125,-40.03125,-20.8734375
-15.440625,-34.0265625,-18.5859375
-12.2953125,-28.021875,-15.7265625
-10.0078125,-22.5890625,-12.58125
-8.8640625,-18.3,-9.4359375
-9.4359375,-16.0125,-6.5765625
-11.7234375,-15.7265625,-4.003125
-15.440625,-18.0140625,-2.5734375
-20.5875,-22.303125,-1.715625
-26.0203125,-28.3078125,-2.2875
-31.453125,-34.884375,-3.43125
-36.3140625,-42.0328125,-5.71875
-39.459375,-48.0375,-8.578125
-40.3171875,-52.3265625,-12.009375
-39.1734375,-54.6140625,-15.440625
-36.028125,-54.6140625,-18.5859375
-30.88125,-52.6125,-21.73125
-24.8765625,-48.8953125,-24.01875
-18.5859375,-44.3203125,-25.734375
-13.153125,-40.03125,-26.878125
-9.4359375,-36.6,-27.1640625
-7.7203125,-34.884375,-27.1640625
-8.578125,-35.7421875,-27.1640625
-12.009375,-38.6015625,-26.5921875
-17.4421875,-43.4625,-26.0203125
-24.3046875,-49.753125,-25.4484375
-31.453125,-56.615625,-25.1625
-38.315625,-63.1921875,-24.8765625
-44.034375,-68.3390625,-24.3046875
-48.3234375,-64.05,-15.7265625
-44.8921875,-63.7640625,-18.871875
-41.746875,-63.1921875,-21.4453125
-39.1734375,-62.334375,-23.1609375
-37.171875,-61.4765625,-24.3046875
-35.7421875,-60.3328125,-24.590625
-34.884375,-58.903125,-24.01875
-34.5984375,-56.9015625,-22.303125
-34.0265625,-54.328125,-20.3015625
-32.8828125,-51.1828125,-18.3
-31.453125,-47.7515625,-16.2984375
-29.165625,-43.7484375,-14.5828125
-26.30625,-40.3171875,-14.0109375
-22.875,-37.171875,-14.296875
-19.7296875,-35.1703125,-15.440625
-16.584375,-34.5984375,-18.0140625
-14.296875,-35.1703125,-20.8734375
-12.8671875,-37.74375,-24.8765625
-13.153125,-41.4609375,-28.3078125
-14.5828125,-46.0359375,-31.453125
-17.4421875,-51.1828125,-33.740625
