LEFT,RIGHT,DIFF
-94.0734375,-98.3625,-4.2890625
-91.7859375,-93.7875,-2.00156250000001
-88.3546875,-87.496875,0.857812499999994
-83.7796875,-80.634375,3.1453125
-78.346875,-72.9140625,5.4328125
-72.3421875,-65.19375,7.1484375
-66.3375,-57.759375,8.578125
-60.046875,-51.1828125,8.8640625
-54.328125,-45.75,8.578125
-49.4671875,-41.4609375,8.00625
-45.4640625,-38.8875,6.5765625
-42.890625,-38.0296875,4.8609375
-41.746875,-38.315625,3.43125
-41.746875,-40.03125,1.715625
-43.1765625,-43.1765625,0.0
-45.75,-46.89375,-1.14375
-49.18125,-50.896875,-1.715625
-53.184375,-55.471875,-2.2875
-57.1875,-59.7609375,-2.5734375
-60.9046875,-63.7640625,-2.859375
-64.05,-66.909375,-2.859375
-66.6234375,-69.76875,-3.14531249999999
-68.3390625,-71.7703125,-3.43125000000001
-69.4828125,-73.2,-3.71718749999999
-69.76875,-74.0578125,-4.2890625
-69.4828125,-74.34375,-4.86093749999999
-68.9109375,-74.915625,-6.0046875
-68.625,-75.2015625,-6.57656250000001
-68.3390625,-75.4875,-7.1484375
-68.3390625,-76.3453125,-8.00625000000001
-68.9109375,-76.9171875,-8.00624999999999
-69.76875,-78.0609375,-8.29218750000001
-70.9125,-78.6328125,-7.72031249999999
-72.05625,-79.2046875,-7.1484375
-72.9140625,-79.490625,-6.57656250000001
-73.771875,-78.91875,-5.14687499999999
-74.0578125,-77.775,-3.71718750000001
-74.34375,-76.3453125,-2.00156250000001
-74.0578125,-74.34375,-0.285937500000003
-74.0578125,-72.3421875,1.71562499999999
-74.34375,-70.340625,4.003125
-74.915625,-68.9109375,6.0046875
-76.3453125,-67.7671875,8.578125
-78.346875,-67.7671875,10.5796875
-80.9203125,-68.053125,12.8671875
-84.065625,-69.196875,14.86875
-87.496875,-70.340625,17.15625
-90.35625,-71.7703125,18.5859375
-92.64375,-72.628125,20.015625
-93.7875,-72.628125,21.159375
-93.7875,-72.05625,21.73125
-92.3578125,-70.340625,22.0171875
-89.784375,-68.053125,21.73125
-86.353125,-65.19375,21.159375
-82.6359375,-62.334375,20.3015625
-78.6328125,-59.7609375,18.871875
-75.4875,-57.759375,17.728125
-73.2,-57.1875,16.0125
-72.3421875,-57.759375,14.5828125
-72.3421875,-59.475,12.8671875
-73.771875,-62.0484375,11.7234375
-75.7734375,-65.19375,10.5796875
