LEFT,RIGHT,DIFF
-19.7296875,-26.878125,-7.1484375
-21.4453125,-28.59375,-7.1484375
-23.1609375,-30.5953125,-7.434375
-24.8765625,-32.3109375,-7.434375
-26.5921875,-33.740625,-7.1484375
-27.7359375,-34.5984375,-6.8625
-28.8796875,-35.45625,-6.5765625
-29.7375,-36.028125,-6.290625
-30.5953125,-36.6,-6.0046875
-31.1671875,-37.171875,-6.0046875
-31.7390625,-37.74375,-6.0046875
-32.3109375,-38.6015625,-6.290625
-32.8828125,-40.03125,-7.1484375
-33.4546875,-41.175,-7.72031250000001
-33.740625,-42.6046875,-8.8640625
-33.740625,-43.7484375,-10.0078125
-33.740625,-44.60625,-10.865625
-33.16875,-45.178125,-12.009375
-32.025,-45.4640625,-13.4390625
-30.5953125,-44.8921875,-14.296875
-28.59375,-44.034375,-15.440625
-26.30625,-42.890625,-16.584375
-24.01875,-41.4609375,-17.4421875
-21.4453125,-39.7453125,-18.3
-19.1578125,-38.315625,-19.1578125
-17.4421875,-36.8859375,-19.44375
-16.2984375,-36.028125,-19.7296875
-15.7265625,-35.45625,-19.7296875
-16.0125,-35.45625,-19.44375
-17.4421875,-35.7421875,-18.3
-19.1578125,-36.8859375,-17.728125
-21.4453125,-38.0296875,-16.584375
-24.01875,-39.459375,-15.440625
-26.5921875,-41.175,-14.5828125
-28.59375,-42.890625,-14.296875
-30.309375,-44.3203125,-14.0109375
-31.1671875,-45.4640625,-14.296875
-31.453125,-46.0359375,-14.5828125
-30.88125,-46.321875,-15.440625
-30.0234375,-46.0359375,-16.0125
-28.8796875,-45.178125,-16.2984375
-28.021875,-44.034375,-16.0125
-27.1640625,-42.890625,-15.7265625
-26.878125,-41.746875,-14.86875
-27.45,-41.175,-13.725
-28.59375,-41.175,-12.58125
-30.309375,-41.746875,-11.4375
-32.596875,-42.890625,-10.29375
-34.884375,-44.8921875,-10.0078125
-37.171875,-47.465625,-10.29375
-38.8875,-50.325,-11.4375
-40.03125,-52.8984375,-12.8671875
-40.03125,-55.1859375,-15.1546875
-39.459375,-56.615625,-17.15625
-37.74375,-56.615625,-18.871875
-35.7421875,-55.7578125,-20.015625
-33.16875,-53.4703125,-20.3015625
-30.5953125,-50.325,-19.7296875
-28.59375,-46.321875,-17.728125
-26.878125,-42.31875,-15.440625
-25.734375,-38.315625,-12.58125
-25.734375,-35.45625,-9.721875
-26.5921875,-33.740625,-7.1484375
-28.3078125,-33.4546875,-5.146875
-30.5953125,-34.884375,-4.2890625
-33.16875,-37.74375,-4.575
-36.028125,-41.746875,-5.71875
-38.6015625,-46.321875,-7.7203125
-41.175,-50.896875,-9.721875
-43.1765625,-54.9,-11.7234375
-44.60625,-57.4734375,-12.8671875
-45.4640625,-58.903125,-13.4390625
-45.4640625,-58.33125,-12.8671875
-44.60625,-55.7578125,-11.1515625
-42.890625,-51.7546875,-8.8640625
-40.603125,-46.89375,-6.29062500000001
-37.74375,-41.175,-3.43125000000001
-34.3125,-35.7421875,-1.4296875
-30.309375,-30.88125,-0.571874999999999
-26.30625,-27.1640625,-0.857812499999998
-22.5890625,-24.8765625,-2.2875
-18.5859375,-24.01875,-5.4328125
-15.440625,-24.3046875,-8.8640625
-12.58125,-25.734375,-13.153125
-10.5796875,-27.45,-16.8703125
-9.15,-29.165625,-20.015625
-8.578125,-30.88125,-22.303125
-8.2921875,-31.453125,-23.1609375
-8.2921875,-31.453125,-23.1609375
-8.578125,-30.5953125,-22.0171875
-8.578125,-28.8796875,-20.3015625
-8.578125,-26.5921875,-18.0140625
-8.00625,-24.3046875,-16.2984375
-7.1484375,-22.0171875,-14.86875
-6.0046875,-20.3015625,-14.296875
-4.575,-19.1578125,-14.5828125
-3.1453125,-18.5859375,-15.440625
-1.715625,-18.5859375,-16.8703125
-0.2859375,-18.871875,-18.5859375
0.0,-19.44375,-19.44375
0.2859375,-20.015625,-20.3015625
0.0,-20.3015625,-20.3015625
-0.8578125,-20.3015625,-19.44375
-2.2875,-20.3015625,-18.0140625
-4.2890625,-20.015625,-15.7265625
-6.290625,-19.7296875,-13.4390625
-8.2921875,-19.44375,-11.1515625
-10.0078125,-19.7296875,-9.721875
-11.1515625,-20.015625,-8.8640625
-12.009375,-20.3015625,-8.2921875
-12.2953125,-20.5875,-8.2921875
-12.009375,-20.8734375,-8.8640625
-10.865625,-20.5875,-9.721875
-9.721875,-19.44375,-9.721875
-8.2921875,-17.728125,-9.4359375
-6.5765625,-15.1546875,-8.578125
-5.4328125,-12.2953125,-6.8625
-4.575,-9.4359375,-4.8609375
-4.2890625,-6.8625,-2.5734375
-4.8609375,-5.146875,-0.2859375
-6.290625,-4.575,1.715625
-8.578125,-5.4328125,3.1453125
-11.4375,-8.00625,3.43125
-14.5828125,-11.7234375,2.859375
-18.0140625,-16.2984375,1.715625
-21.159375,-21.4453125,-0.285937499999999
-23.7328125,-26.30625,-2.5734375
-25.734375,-30.0234375,-4.2890625
-26.5921875,-32.8828125,-6.290625
-26.30625,-33.740625,-7.434375
-25.1625,-32.8828125,-7.7203125
-22.875,-30.5953125,-7.7203125
-20.015625,-27.1640625,-7.1484375
-16.8703125,-23.1609375,-6.290625
-13.725,-19.1578125,-5.4328125
-11.1515625,-16.0125,-4.8609375
-9.15,-13.725,-4.575
-8.00625,-13.153125,-5.146875
-7.434375,-13.4390625,-6.0046875
-7.7203125,-15.1546875,-7.434375
-8.578125,-17.4421875,-8.8640625
-9.721875,-20.015625,-10.29375
-10.865625,-22.0171875,-11.1515625
-11.7234375,-23.446875,-11.7234375
-12.2953125,-23.7328125,-11.4375
-12.58125,-23.1609375,-10.5796875
-12.58125,-21.4453125,-8.8640625
-12.009375,-19.44375,-7.434375
-11.7234375,-17.4421875,-5.71875
-11.4375,-16.0125,-4.575
-11.7234375,-15.1546875,-3.43125
-12.2953125,-15.7265625,-3.43125
-13.4390625,-17.4421875,-4.003125
-15.1546875,-20.3015625,-5.146875
-17.4421875,-23.7328125,-6.290625
-19.7296875,-27.1640625,-7.434375
-22.0171875,-30.5953125,-8.578125
-24.3046875,-33.16875,-8.8640625
-26.0203125,-34.3125,-8.2921875
-27.1640625,-34.5984375,-7.434375
-27.7359375,-33.4546875,-5.71875
-28.021875,-31.1671875,-3.1453125
-27.45,-28.59375,-1.14375
-26.878125,-25.4484375,1.4296875
-25.734375,-22.875,2.859375
-24.8765625,-20.8734375,4.003125
-23.7328125,-19.44375,4.2890625
-22.875,-19.1578125,3.7171875
-22.0171875,-19.44375,2.5734375
-21.4453125,-20.3015625,1.14375
-20.8734375,-21.4453125,-0.571874999999999
-20.3015625,-22.5890625,-2.2875
-20.015625,-23.446875,-3.43125
-19.44375,-23.7328125,-4.2890625
-19.1578125,-23.7328125,-4.575
-18.871875,-23.446875,-4.575
-18.5859375,-23.1609375,-4.575
-18.5859375,-22.875,-4.2890625
-18.871875,-23.1609375,-4.2890625
-19.44375,-24.01875,-4.575
-20.3015625,-25.734375,-5.4328125
-21.4453125,-28.021875,-6.5765625
-22.875,-30.88125,-8.00625
-24.3046875,-33.740625,-9.4359375
-25.4484375,-36.6,-11.1515625
-26.5921875,-38.8875,-12.2953125
-27.7359375,-40.603125,-12.8671875
-28.021875,-40.8890625,-12.8671875
-28.3078125,-40.3171875,-12.009375
-27.7359375,-38.315625,-10.5796875
-26.878125,-35.45625,-8.578125
-25.4484375,-32.025,-6.5765625
-23.446875,-28.021875,-4.575
-21.159375,-24.3046875,-3.1453125
-18.3,-20.5875,-2.2875
-15.7265625,-17.728125,-2.0015625
-13.153125,-15.7265625,-2.5734375
-10.865625,-14.5828125,-3.7171875
-9.15,-14.0109375,-4.8609375
-8.00625,-14.5828125,-6.5765625
-7.7203125,-15.440625,-7.7203125
-8.2921875,-16.584375,-8.2921875
-9.4359375,-18.0140625,-8.578125
-10.865625,-19.44375,-8.578125
-12.8671875,-20.3015625,-7.434375
-14.5828125,-21.159375,-6.5765625
-16.2984375,-21.159375,-4.8609375
-17.4421875,-21.159375,-3.7171875
-18.0140625,-20.5875,-2.5734375
-18.0140625,-20.015625,-2.0015625
-17.15625,-19.1578125,-2.0015625
-15.7265625,-18.5859375,-2.859375
-14.296875,-18.3,-4.003125
-12.8671875,-18.3,-5.4328125
-12.009375,-18.5859375,-6.5765625
-11.4375,-19.7296875,-8.2921875
-12.009375,-21.159375,-9.15
-13.4390625,-22.875,-9.4359375
-15.440625,-25.1625,-9.721875
-18.3,-27.1640625,-8.8640625
-21.159375,-29.165625,-8.00625
-24.3046875,-30.88125,-6.5765625
-26.5921875,-32.025,-5.4328125
-28.59375,-32.596875,-4.003125
-29.4515625,-32.596875,-3.1453125
-29.4515625,-32.025,-2.5734375
-28.8796875,-31.453125,-2.5734375
-27.7359375,-30.5953125,-2.859375
-26.30625,-29.7375,-3.43125
-24.8765625,-29.7375,-4.8609375
-24.01875,-30.0234375,-6.0046875
-23.7328125,-31.1671875,-7.434375
-24.3046875,-32.8828125,-8.578125
-25.734375,-34.884375,-9.15
-27.45,-37.4578125,-10.0078125
-29.7375,-39.7453125,-10.0078125
-32.025,-41.746875,-9.721875
-33.4546875,-43.1765625,-9.721875
-34.3125,-43.4625,-9.15
-34.0265625,-42.6046875,-8.578125
-32.3109375,-40.8890625,-8.578125
-29.4515625,-38.315625,-8.8640625
-25.1625,-34.884375,-9.721875
-20.3015625,-31.1671875,-10.865625
-15.1546875,-27.1640625,-12.009375
-9.721875,-23.446875,-13.725
-4.8609375,-20.015625,-15.1546875
-0.8578125,-17.4421875,-16.584375
1.715625,-15.1546875,-16.8703125
3.43125,-14.0109375,-17.4421875
4.003125,-13.153125,-17.15625
3.43125,-12.8671875,-16.2984375
2.0015625,-12.8671875,-14.86875
0.2859375,-13.4390625,-13.725
-1.715625,-14.296875,-12.58125
-4.003125,-15.1546875,-11.1515625
-6.290625,-16.584375,-10.29375
-8.2921875,-18.3,-10.0078125
-10.0078125,-20.015625,-10.0078125
-11.1515625,-22.0171875,-10.865625
-12.58125,-24.3046875,-11.7234375
-13.4390625,-26.30625,-12.8671875
-14.5828125,-28.3078125,-13.725
-15.440625,-29.7375,-14.296875
-16.2984375,-30.5953125,-14.296875
-17.15625,-30.5953125,-13.4390625
-17.728125,-30.0234375,-12.2953125
-17.728125,-28.59375,-10.865625
-17.728125,-26.878125,-9.15
-17.15625,-24.590625,-7.434375
-16.0125,-22.5890625,-6.5765625
-14.5828125,-20.5875,-6.0046875
-12.8671875,-19.1578125,-6.290625
-11.1515625,-18.3,-7.1484375
