LEFT,RIGHT,DIFF
-44.034375,-82.6359375,-38.6015625
-44.8921875,-84.065625,-39.1734375
-45.75,-85.78125,-40.03125
-46.89375,-88.06875,-41.175
-47.7515625,-90.35625,-42.6046875
-48.8953125,-92.071875,-43.1765625
-49.4671875,-93.5015625,-44.034375
-50.0390625,-94.359375,-44.3203125
-50.325,-94.359375,-44.034375
-50.0390625,-93.7875,-43.7484375
-49.4671875,-92.64375,-43.1765625
-48.609375,-91.5,-42.890625
-47.1796875,-90.35625,-43.1765625
-45.75,-89.2125,-43.4625
-44.034375,-88.640625,-44.60625
-42.31875,-88.3546875,-46.0359375
-40.603125,-88.3546875,-47.7515625
-39.1734375,-88.640625,-49.4671875
-37.74375,-88.9265625,-51.1828125
-36.6,-88.9265625,-52.3265625
-35.7421875,-88.640625,-52.8984375
-34.884375,-88.06875,-53.184375
-34.3125,-86.925,-52.6125
-34.0265625,-85.4953125,-51.46875
-33.4546875,-84.065625,-50.6109375
-33.4546875,-82.921875,-49.4671875
-33.16875,-82.0640625,-48.8953125
-33.16875,-81.778125,-48.609375
-33.16875,-82.0640625,-48.8953125
-33.740625,-83.2078125,-49.4671875
-34.3125,-84.6375,-50.325
-35.45625,-86.6390625,-51.1828125
-36.6,-88.9265625,-52.3265625
-38.315625,-90.6421875,-52.3265625
-40.03125,-92.3578125,-52.3265625
-42.0328125,-93.215625,-51.1828125
-43.7484375,-93.7875,-50.0390625
-45.178125,-93.5015625,-48.3234375
-46.0359375,-92.9296875,-46.89375
-46.321875,-91.7859375,-45.4640625
-46.0359375,-90.6421875,-44.60625
-44.8921875,-89.2125,-44.3203125
-42.890625,-88.3546875,-45.4640625
-40.3171875,-87.2109375,-46.89375
-37.171875,-86.353125,-49.18125
-33.740625,-85.78125,-52.040625
-30.5953125,-84.9234375,-54.328125
-27.7359375,-84.065625,-56.3296875
-25.4484375,-83.2078125,-57.759375
-23.7328125,-82.35,-58.6171875
-23.1609375,-81.778125,-58.6171875
-23.7328125,-80.9203125,-57.1875
-25.1625,-80.634375,-55.471875
-27.45,-80.9203125,-53.4703125
-30.309375,-81.4921875,-51.1828125
-33.740625,-82.921875,-49.18125
-37.171875,-84.6375,-47.465625
-40.603125,-87.2109375,-46.6078125
-43.7484375,-89.784375,-46.0359375
-46.321875,-92.3578125,-46.0359375
-48.3234375,-94.6453125,-46.321875
-49.753125,-96.646875,-46.89375
-50.325,-97.790625,-47.465625
-50.325,-98.3625,-48.0375
-49.753125,-98.0765625,-48.3234375
-48.8953125,-97.21875,-48.3234375
-47.7515625,-95.7890625,-48.0375
-46.6078125,-94.359375,-47.7515625
-45.178125,-92.64375,-47.465625
-44.3203125,-91.5,-47.1796875
-43.4625,-90.35625,-46.89375
-42.890625,-90.0703125,-47.1796875
-42.890625,-90.35625,-47.465625
-43.4625,-91.5,-48.0375
-44.3203125,-92.9296875,-48.609375
-46.0359375,-94.93125,-48.8953125
-47.7515625,-97.5046875,-49.753125
-50.0390625,-100.078125,-50.0390625
-52.6125,-102.365625,-49.753125
-54.9,-104.9390625,-50.0390625
-56.615625,-106.940625,-50.325
-58.0453125,-108.084375,-50.0390625
-58.903125,-108.9421875,-50.0390625
-58.903125,-108.9421875,-50.0390625
-58.0453125,-108.084375,-50.0390625
-56.3296875,-106.6546875,-50.325
-54.328125,-104.653125,-50.325
-51.7546875,-102.0796875,-50.325
-49.4671875,-99.7921875,-50.325
-47.1796875,-97.21875,-50.0390625
-45.4640625,-95.2171875,-49.753125
-44.60625,-93.7875,-49.18125
-44.034375,-92.9296875,-48.8953125
-44.3203125,-92.3578125,-48.0375
-44.8921875,-92.64375,-47.7515625
-45.4640625,-92.9296875,-47.465625
-46.0359375,-93.215625,-47.1796875
-45.75,-93.215625,-47.465625
