LEFT,RIGHT,DIFF
-231.0375,-249.0515625,-18.0140625
-232.18125,-249.909375,-17.728125
-233.6109375,-251.053125,-17.4421875
-235.3265625,-251.625,-16.2984375
-236.75625,-252.196875,-15.440625
-238.1859375,-252.196875,-14.0109375
-239.04375,-251.625,-12.58125
-239.3296875,-250.48125,-11.1515625
-238.7578125,-248.765625,-10.0078125
-237.6140625,-246.478125,-8.86406249999999
-235.6125,-243.61875,-8.00624999999999
-233.0390625,-240.759375,-7.72031250000001
-229.89375,-237.9,-8.00624999999999
-226.7484375,-235.040625,-8.29218749999998
-223.603125,-232.18125,-8.578125
-221.0296875,-229.89375,-8.86406249999999
-218.7421875,-227.60625,-8.86406250000002
-217.0265625,-226.1765625,-9.15000000000001
-216.16875,-225.0328125,-8.86406249999999
-216.4546875,-224.4609375,-8.00624999999999
-217.3125,-224.4609375,-7.1484375
-218.7421875,-225.31875,-6.57656250000002
-221.0296875,-226.4625,-5.43281249999998
-223.603125,-228.4640625,-4.86093750000001
-226.4625,-230.7515625,-4.2890625
-229.6078125,-233.0390625,-3.43124999999998
-232.18125,-235.6125,-3.43125000000001
-234.46875,-238.1859375,-3.71718750000002
-236.184375,-240.1875,-4.00312499999998
-237.328125,-241.33125,-4.00312500000001
-237.328125,-241.903125,-4.57500000000002
-236.4703125,-241.33125,-4.86093750000001
-234.46875,-239.9015625,-5.43281250000001
-231.8953125,-237.9,-6.00468749999999
-228.75,-235.040625,-6.29062500000001
-225.31875,-232.18125,-6.86249999999998
-221.8875,-229.321875,-7.43437499999999
-219.028125,-227.3203125,-8.29218749999998
-217.0265625,-225.890625,-8.86406249999999
-215.596875,-225.31875,-9.72187500000001
-215.596875,-226.1765625,-10.5796875
-216.4546875,-227.60625,-11.1515625
-218.45625,-230.1796875,-11.7234375
-220.74375,-232.753125,-12.009375
-223.3171875,-235.6125,-12.2953125
-225.890625,-237.6140625,-11.7234375
-227.60625,-238.7578125,-11.1515625
-228.4640625,-238.471875,-10.0078125
-227.8921875,-237.328125,-9.43593749999999
-226.4625,-234.7546875,-8.29218750000001
-223.603125,-231.0375,-7.43437500000002
-220.171875,-227.034375,-6.86250000000001
-216.16875,-222.7453125,-6.57656249999999
-212.165625,-218.7421875,-6.57656249999999
-208.734375,-215.8828125,-7.1484375
-206.1609375,-213.88125,-7.72031249999998
-204.73125,-212.7375,-8.00624999999999
-204.159375,-213.0234375,-8.86406249999999
-205.0171875,-214.1671875,-9.15000000000001
-206.446875,-215.8828125,-9.43593749999999
-208.4484375,-217.884375,-9.43593749999999
