LEFT,RIGHT,DIFF
-252.76875,-273.35625,-20.5875
-248.765625,-268.4953125,-19.7296875
-245.90625,-264.4921875,-18.5859375
-244.4765625,-261.6328125,-17.15625
-244.7625,-260.4890625,-15.7265625
-246.7640625,-260.203125,-13.4390625
-249.3375,-261.346875,-12.009375
-252.4828125,-263.0625,-10.5796875
-255.3421875,-265.35,-10.0078125
-257.915625,-267.6375,-9.72187499999995
-259.3453125,-269.925,-10.5796875
-259.9171875,-271.9265625,-12.009375
-259.3453125,-273.0703125,-13.725
-257.915625,-273.928125,-16.0125
-255.9140625,-274.2140625,-18.3
-253.6265625,-274.2140625,-20.5875
-251.3390625,-273.6421875,-22.303125
-249.3375,-272.784375,-23.446875
-247.621875,-271.640625,-24.01875
-246.478125,-270.2109375,-23.7328125
-245.90625,-269.0671875,-23.1609375
-245.90625,-267.9234375,-22.0171875
-246.478125,-267.3515625,-20.8734375
-247.621875,-267.3515625,-19.7296875
-249.0515625,-267.9234375,-18.871875
-251.3390625,-269.6390625,-18.3
-253.9125,-272.2125,-18.3
-257.0578125,-275.64375,-18.5859375
-260.203125,-279.646875,-19.44375
-263.0625,-283.65,-20.5875
-265.6359375,-287.3671875,-21.73125
-267.065625,-290.5125,-23.446875
-267.9234375,-292.5140625,-24.590625
-267.3515625,-292.8,-25.4484375
-265.921875,-291.9421875,-26.0203125
-263.9203125,-290.2265625,-26.30625
-261.346875,-287.653125,-26.30625
-259.3453125,-285.0796875,-25.734375
-258.2015625,-283.078125,-24.8765625
-258.4875,-282.50625,-24.01875
-260.775,-283.65,-22.875
-264.778125,-287.08125,-22.303125
-270.496875,-292.228125,-21.73125
-277.6453125,-298.8046875,-21.159375
-285.0796875,-306.2390625,-21.159375
-291.9421875,-313.3875,-21.4453125
-297.6609375,-319.9640625,-22.303125
-301.6640625,-324.5390625,-22.875
-303.09375,-327.3984375,-24.3046875
-302.521875,-327.9703125,-25.4484375
-299.9484375,-326.540625,-26.5921875
-296.5171875,-323.9671875,-27.45
-292.8,-321.1078125,-28.3078125
-289.940625,-318.2484375,-28.3078125
-289.0828125,-316.81875,-27.7359375
-290.5125,-317.1046875,-26.5921875
-293.94375,-319.3921875,-25.4484375
-299.6625,-323.3953125,-23.7328125
-306.8109375,-328.25625,-21.4453125
-313.6734375,-333.403125,-19.7296875
-319.9640625,-337.978125,-18.0140625
-323.9671875,-340.8375,-16.8703125
-325.1109375,-341.409375,-16.2984375
-323.3953125,-339.69375,-16.2984375
-318.8203125,-335.690625,-16.8703125
-312.24375,-329.971875,-17.728125
-304.5234375,-323.3953125,-18.871875
-296.803125,-317.1046875,-20.3015625
-290.5125,-311.9578125,-21.4453125
-286.2234375,-308.240625,-22.0171875
-284.5078125,-306.8109375,-22.303125
-285.365625,-306.8109375,-21.4453125
-287.653125,-308.240625,-20.5875
-290.5125,-310.2421875,-19.7296875
-292.8,-311.3859375,-18.5859375
-293.0859375,-311.1,-18.0140625
-291.084375,-308.5265625,-17.4421875
-285.9375,-303.9515625,-18.0140625
-278.503125,-297.6609375,-19.1578125
-269.0671875,-290.5125,-21.4453125
-259.63125,-283.65,-24.01875
-251.625,-278.7890625,-27.1640625
-246.7640625,-276.7875,-30.0234375
-246.1921875,-278.503125,-32.3109375
-250.48125,-284.79375,-34.3125
-259.63125,-295.0875,-35.45625
-273.0703125,-308.5265625,-35.45625
-288.796875,-323.3953125,-34.5984375
-305.0953125,-337.978125,-32.8828125
-320.25,-350.559375,-30.309375
-331.9734375,-359.4234375,-27.45
-339.121875,-363.7125,-24.590625
-341.1234375,-362.8546875,-21.73125
-337.978125,-357.421875,-19.44375
-331.115625,-348.271875,-17.15625
-321.6796875,-337.40625,-15.7265625
-311.9578125,-326.8265625,-14.86875
-303.665625,-317.6765625,-14.0109375
-298.2328125,-311.671875,-13.4390625
-297.0890625,-309.6703125,-12.58125
-300.234375,-311.9578125,-11.7234375
-307.096875,-317.6765625,-10.5796875
-316.5328125,-325.96875,-9.43593749999997
-326.540625,-334.8328125,-8.29218749999995
-335.9765625,-343.125,-7.1484375
-343.125,-349.1296875,-6.00468749999999
-346.2703125,-351.9890625,-5.71875
-345.4125,-351.4171875,-6.00468749999999
-340.265625,-347.7,-7.43437499999999
-332.259375,-341.409375,-9.14999999999998
-321.965625,-333.975,-12.009375
-311.671875,-327.1125,-15.440625
-302.521875,-321.39375,-18.871875
-296.23125,-318.534375,-22.303125
-293.371875,-319.10625,-25.734375
-294.515625,-322.5375,-28.021875
-299.3765625,-329.1140625,-29.7375
-307.3828125,-337.40625,-30.0234375
-316.81875,-346.2703125,-29.4515625
-327.1125,-354.8484375,-27.7359375
-336.5484375,-361.996875,-25.4484375
-344.5546875,-366.8578125,-22.303125
-349.9875,-369.43125,-19.44375
-353.1328125,-369.7171875,-16.584375
-353.41875,-368.2875,-14.86875
-351.9890625,-365.7140625,-13.725
-349.1296875,-362.56875,-13.4390625
-345.1265625,-359.9953125,-14.86875
-341.1234375,-357.99375,-16.8703125
-337.1203125,-356.85,-19.7296875
-333.6890625,-356.278125,-22.5890625
-330.54375,-356.278125,-25.734375
-327.3984375,-355.9921875,-28.59375
-324.825,-355.4203125,-30.5953125
-321.965625,-353.7046875,-31.7390625
-319.10625,-350.8453125,-31.7390625
-316.246875,-347.128125,-30.88125
-313.3875,-342.553125,-29.165625
-310.528125,-337.978125,-27.45
-308.5265625,-333.403125,-24.8765625
-307.096875,-329.6859375,-22.5890625
-306.2390625,-327.1125,-20.8734375
-305.953125,-325.6828125,-19.7296875
-306.2390625,-325.396875,-19.1578125
-306.8109375,-325.96875,-19.1578125
-307.096875,-326.540625,-19.44375
-306.8109375,-326.8265625,-20.015625
-305.953125,-326.2546875,-20.3015625
-304.2375,-324.5390625,-20.3015625
-301.6640625,-321.6796875,-20.015625
-298.2328125,-317.6765625,-19.44375
-294.515625,-313.1015625,-18.5859375
-290.7984375,-308.8125,-18.0140625
-287.3671875,-304.809375,-17.4421875
-284.5078125,-301.6640625,-17.15625
-282.7921875,-300.234375,-17.4421875
-282.2203125,-300.5203125,-18.3
-282.7921875,-302.521875,-19.7296875
-284.221875,-305.6671875,-21.4453125
-286.7953125,-309.6703125,-22.875
-289.940625,-313.959375,-24.01875
-293.371875,-317.9625,-24.590625
-297.0890625,-321.39375,-24.3046875
-300.80625,-323.68125,-22.875
-304.2375,-325.396875,-21.159375
-307.66875,-325.96875,-18.3
-311.1,-326.2546875,-15.1546875
-314.2453125,-326.540625,-12.2953125
-317.1046875,-326.8265625,-9.72187500000001
-319.678125,-327.9703125,-8.29218750000001
-321.965625,-329.971875,-8.00625000000002
-323.9671875,-332.83125,-8.86406249999999
-325.396875,-336.5484375,-11.1515625
-326.540625,-340.8375,-14.296875
-327.1125,-344.840625,-17.728125
-327.3984375,-349.1296875,-21.73125
-327.1125,-352.5609375,-25.4484375
-327.1125,-355.4203125,-28.3078125
-326.8265625,-357.1359375,-30.309375
-327.1125,-358.565625,-31.453125
-327.3984375,-359.1375,-31.7390625
-328.25625,-359.4234375,-31.1671875
-329.6859375,-359.709375,-30.0234375
-331.6875,-360.28125,-28.59375
-334.2609375,-360.853125,-26.5921875
-337.1203125,-362.2828125,-25.1625
-339.9796875,-363.9984375,-24.01875
-343.125,-366.0,-22.875
-346.2703125,-368.2875,-22.0171875
-349.1296875,-370.575,-21.4453125
-351.703125,-372.5765625,-20.8734375
-353.990625,-374.578125,-20.5875
-355.9921875,-376.0078125,-20.015625
-357.421875,-377.1515625,-19.7296875
-358.565625,-377.7234375,-19.1578125
-359.709375,-378.2953125,-18.5859375
-360.5671875,-378.58125,-18.0140625
-361.425,-379.153125,-17.728125
-362.56875,-380.0109375,-17.4421875
-364.284375,-381.7265625,-17.4421875
-366.571875,-384.3,-17.728125
-369.7171875,-388.0171875,-18.3
-374.00625,-392.878125,-18.871875
-379.4390625,-398.596875,-19.1578125
-385.1578125,-405.1734375,-20.015625
-391.4484375,-411.75,-20.3015625
-397.7390625,-418.040625,-20.3015625
-402.8859375,-422.9015625,-20.015625
-406.8890625,-426.3328125,-19.44375
-408.890625,-427.4765625,-18.5859375
-408.6046875,-426.3328125,-17.728125
-405.7453125,-422.3296875,-16.584375
-400.5984375,-416.325,-15.7265625
-393.45,-408.6046875,-15.1546875
-385.7296875,-400.0265625,-14.296875
-377.7234375,-392.0203125,-14.296875
-371.146875,-385.44375,-14.296875
-366.2859375,-381.1546875,-14.86875
-364.284375,-379.725,-15.440625
-365.1421875,-382.0125,-16.8703125
-369.1453125,-387.4453125,-18.3
-375.721875,-395.4515625,-19.7296875
-384.0140625,-405.1734375,-21.159375
-393.1640625,-415.4671875,-22.303125
-401.45625,-425.1890625,-23.7328125
