LEFT,RIGHT,DIFF
97.5046875,54.328125,-43.1765625
102.0796875,59.475,-42.6046875
106.0828125,63.1921875,-42.890625
108.9421875,65.4796875,-43.4625
110.94375,66.6234375,-44.3203125
111.8015625,66.3375,-45.4640625
111.8015625,65.19375,-46.6078125
111.515625,63.7640625,-47.7515625
111.2296875,62.6203125,-48.609375
111.2296875,62.334375,-48.8953125
112.3734375,62.90625,-49.4671875
114.6609375,64.9078125,-49.753125
118.378125,68.3390625,-50.0390625
123.2390625,72.9140625,-50.325
129.24375,78.6328125,-50.6109375
136.10625,84.9234375,-51.1828125
143.8265625,91.7859375,-52.040625
151.8328125,98.934375,-52.8984375
159.553125,106.0828125,-53.4703125
167.2734375,112.9453125,-54.328125
174.421875,119.2359375,-55.1859375
180.7125,124.9546875,-55.7578125
185.859375,130.1015625,-55.7578125
189.8625,134.390625,-55.471875
192.721875,137.25,-55.471875
193.865625,139.2515625,-54.6140625
193.865625,140.109375,-53.75625
192.721875,139.8234375,-52.8984375
191.00625,138.6796875,-52.3265625
189.0046875,137.5359375,-51.46875
187.2890625,136.3921875,-50.896875
186.7171875,136.3921875,-50.325
187.8609375,137.5359375,-50.325
190.7203125,140.68125,-50.0390625
195.8671875,145.5421875,-50.325
202.7296875,152.4046875,-50.325
211.59375,160.4109375,-51.1828125
221.0296875,169.5609375,-51.46875
230.7515625,178.425,-52.3265625
239.615625,186.43125,-53.184375
246.7640625,192.4359375,-54.328125
251.625,196.4390625,-55.1859375
253.6265625,197.5828125,-56.04375
253.340625,196.4390625,-56.9015625
250.48125,193.29375,-57.1875
246.1921875,189.0046875,-57.1875
241.33125,184.4296875,-56.9015625
237.0421875,180.7125,-56.3296875
233.896875,178.425,-55.471875
232.753125,178.425,-54.328125
233.896875,180.9984375,-52.8984375
237.0421875,185.2875,-51.7546875
241.903125,191.00625,-50.896875
247.621875,197.5828125,-50.0390625
253.340625,203.3015625,-50.0390625
258.2015625,207.8765625,-50.325
261.0609375,210.45,-50.6109375
261.91875,210.7359375,-51.1828125
260.4890625,208.734375,-51.7546875
257.0578125,204.73125,-52.3265625
252.4828125,199.8703125,-52.6125
247.3359375,195.2953125,-52.040625
243.046875,191.8640625,-51.1828125
240.4734375,190.7203125,-49.753125
240.4734375,192.4359375,-48.0375
243.61875,197.5828125,-46.0359375
249.909375,205.875,-44.034375
259.3453125,217.3125,-42.0328125
271.06875,230.7515625,-40.3171875
284.79375,245.334375,-39.459375
299.090625,260.203125,-38.8875
313.3875,274.2140625,-39.1734375
326.8265625,286.7953125,-40.03125
338.55,297.0890625,-41.4609375
348.271875,304.809375,-43.4625
355.4203125,309.95625,-45.4640625
360.28125,312.5296875,-47.7515625
362.8546875,312.815625,-50.0390625
363.140625,311.1,-52.040625
361.996875,307.66875,-54.328125
359.1375,303.3796875,-55.7578125
355.134375,298.2328125,-56.9015625
350.8453125,293.0859375,-57.759375
346.2703125,288.225,-58.0453125
342.2671875,283.9359375,-58.33125
339.121875,281.0765625,-58.0453125
337.1203125,279.9328125,-57.1875
337.1203125,280.790625,-56.3296875
338.8359375,283.3640625,-55.471875
342.553125,287.9390625,-54.6140625
347.9859375,293.94375,-54.0421875
354.5625,301.0921875,-53.4703125
361.7109375,308.240625,-53.4703125
368.859375,314.8171875,-54.0421875
375.4359375,320.5359375,-54.9
380.296875,324.5390625,-55.7578125
384.0140625,326.540625,-57.4734375
385.7296875,326.540625,-59.1890625
386.015625,325.396875,-60.61875
385.1578125,323.3953125,-61.7625
384.0140625,321.1078125,-62.90625
383.4421875,319.9640625,-63.478125
383.728125,319.9640625,-63.7640625
385.7296875,322.2515625,-63.478125
389.1609375,326.2546875,-62.90625
394.3078125,332.259375,-62.0484375
400.5984375,339.121875,-61.4765625
407.4609375,346.55625,-60.9046875
413.7515625,353.41875,-60.3328125
418.8984375,358.565625,-60.3328125
422.3296875,361.7109375,-60.61875
423.759375,362.8546875,-60.9046875
423.1875,361.7109375,-61.4765625
420.9,359.1375,-61.7625
418.040625,355.9921875,-62.0484375
414.8953125,353.1328125,-61.7625
412.89375,351.703125,-61.190625
412.321875,351.9890625,-60.3328125
414.3234375,354.8484375,-59.475
418.3265625,359.9953125,-58.33125
424.33125,367.14375,-57.1875
431.4796875,374.8640625,-56.615625
438.9140625,382.8703125,-56.04375
445.490625,389.446875,-56.04375
450.6375,394.021875,-56.615625
453.496875,395.7375,-57.759375
454.06875,394.8796875,-59.1890625
452.0671875,391.734375,-60.3328125
448.6359375,386.8734375,-61.7625
444.346875,381.440625,-62.90625
440.6296875,376.865625,-63.7640625
438.05625,373.7203125,-64.3359375
437.7703125,373.1484375,-64.621875
440.0578125,375.4359375,-64.621875
444.91875,380.5828125,-64.3359375000001
452.353125,388.0171875,-64.3359375
460.93125,396.309375,-64.621875
470.08125,404.8875,-65.19375
478.659375,412.6078125,-66.0515625
485.521875,418.040625,-67.48125
490.096875,421.1859375,-68.9109375
492.384375,421.471875,-70.9125
492.0984375,419.4703125,-72.628125
490.096875,416.0390625,-74.0578125
487.2375,412.0359375,-75.2015625
484.378125,408.890625,-75.4875
482.6625,407.4609375,-75.2015625
482.9484375,408.31875,-74.6296875
485.521875,412.0359375,-73.4859375
490.66875,418.6125,-72.05625
497.8171875,427.4765625,-70.340625
506.68125,437.7703125,-68.9109375
515.83125,448.0640625,-67.7671875
524.6953125,457.7859375,-66.909375
532.1296875,465.50625,-66.6234375
537.5625,470.9390625,-66.6234375
540.421875,473.2265625,-67.1953125
540.7078125,473.2265625,-67.48125
539.278125,470.9390625,-68.3390625
536.1328125,467.221875,-68.9109375
532.7015625,463.5046875,-69.196875
529.55625,460.359375,-69.196875
527.5546875,458.9296875,-68.625
527.5546875,459.7875,-67.7671875
530.128125,463.21875,-66.9093750000001
534.703125,468.9375,-65.765625
540.99375,476.371875,-64.6218749999999
548.7140625,484.95,-63.7640625
556.7203125,493.528125,-63.1921874999999
564.440625,501.534375,-62.9062500000001
570.4453125,507.825,-62.6203125
575.0203125,511.5421875,-63.478125
576.7359375,512.971875,-63.7640624999999
576.45,512.1140625,-64.3359375
574.1625,508.96875,-65.19375
570.159375,504.6796875,-65.4796875000001
565.584375,499.81875,-65.765625
561.2953125,495.24375,-66.0515625
557.8640625,492.0984375,-65.765625
556.434375,490.9546875,-65.4796875
556.7203125,491.8125,-64.9078125
559.5796875,495.24375,-64.3359374999999
564.7265625,500.390625,-64.3359375
571.303125,507.253125,-64.05
578.7375,514.4015625,-64.3359375
586.171875,521.55,-64.6218749999999
592.7484375,527.5546875,-65.19375
597.8953125,531.5578125,-66.3375
600.46875,533.559375,-66.909375
601.040625,533.2734375,-67.7671875
599.0390625,530.7,-68.3390625
595.321875,526.4109375,-68.9109374999999
590.4609375,521.55,-68.9109374999999
585.3140625,516.6890625,-68.625
581.025,512.971875,-68.0531249999999
578.7375,511.25625,-67.48125
578.7375,512.1140625,-66.6234375
581.596875,515.5453125,-66.0515625
587.0296875,521.55,-65.4796875
595.0359375,529.55625,-65.4796875000001
604.471875,538.9921875,-65.4796875000001
614.765625,548.428125,-66.3375
624.4875,557.2921875,-67.1953125
633.065625,564.7265625,-68.3390625000001
639.6421875,569.8734375,-69.76875
643.93125,572.7328125,-71.1984375
645.9328125,573.8765625,-72.0562500000001
646.21875,573.3046875,-72.9140625
645.075,571.875,-73.2
643.93125,570.73125,-73.1999999999999
643.359375,571.0171875,-72.3421875
644.2171875,573.01875,-71.1984375
647.0765625,577.021875,-70.0546875
651.9375,583.3125,-68.625
658.228125,591.0328125,-67.1953125
665.9484375,599.896875,-66.0515625
673.3828125,608.1890625,-65.19375
679.959375,615.3375,-64.621875
684.534375,619.9125,-64.621875
685.9640625,621.3421875,-64.621875
684.534375,619.6265625,-64.9078125000001
679.6734375,614.765625,-64.9078125
672.525,607.33125,-65.1937499999999
663.946875,598.753125,-65.1937499999999
654.796875,590.175,-64.6218749999999
647.0765625,582.740625,-64.3359375
641.64375,577.59375,-64.0500000000001
639.35625,575.878125,-63.478125
640.7859375,577.59375,-63.1921875
645.646875,582.740625,-62.90625
653.9390625,590.4609375,-63.478125
663.946875,600.1828125,-63.7640624999999
674.8125,610.190625,-64.6218749999999
685.3921875,619.9125,-65.4796875
694.25625,627.6328125,-66.6234375
700.8328125,633.6375,-67.1953125
704.55,636.7828125,-67.7671875000001
705.69375,637.9265625,-67.7671875
704.55,637.3546875,-67.1953125
702.2625,635.925,-66.3375
699.403125,634.4953125,-64.9078125
697.115625,633.9234375,-63.1921875
695.971875,634.4953125,-61.4765625
696.8296875,637.06875,-59.7609375
699.6890625,641.3578125,-58.33125
703.978125,646.790625,-57.1875
709.696875,653.08125,-56.6156249999999
715.7015625,659.371875,-56.3296875
721.4203125,664.8046875,-56.615625
726.5671875,669.09375,-57.4734375
730.284375,671.6671875,-58.6171875
732.571875,672.8109375,-59.7609375
733.4296875,672.8109375,-60.61875
733.14375,671.38125,-61.7625
732.2859375,669.665625,-62.6203125000001
731.428125,667.6640625,-63.7640625
730.5703125,666.234375,-64.3359375
730.284375,665.090625,-65.19375
730.5703125,664.8046875,-65.765625
731.428125,664.51875,-66.909375
732.2859375,664.8046875,-67.48125
733.4296875,665.090625,-68.3390625
734.0015625,665.090625,-68.9109374999999
734.2875,664.51875,-69.76875
734.0015625,663.946875,-70.0546875
733.715625,663.0890625,-70.6265625
733.4296875,662.5171875,-70.9125
733.4296875,662.5171875,-70.9125
734.2875,663.375,-70.9125
736.003125,665.3765625,-70.6265625000001
739.1484375,668.521875,-70.6265625
743.7234375,672.8109375,-70.9125
748.8703125,678.24375,-70.6265625000001
754.875,683.6765625,-71.1984375
760.59375,689.3953125,-71.1984375
766.0265625,694.5421875,-71.484375
770.315625,698.83125,-71.484375
773.4609375,701.9765625,-71.484375
775.1765625,703.978125,-71.1984375000001
775.4625,704.55,-70.9124999999999
774.890625,704.55,-70.3406249999999
774.0328125,704.2640625,-69.76875
772.8890625,703.6921875,-69.196875
772.3171875,703.40625,-68.9109375
772.603125,703.6921875,-68.9109374999999
773.746875,704.55,-69.196875
776.034375,705.9796875,-70.0546875
778.89375,707.6953125,-71.1984375000001
782.6109375,709.696875,-72.9140625
786.328125,711.4125,-74.915625
789.4734375,713.128125,-76.3453125
792.046875,713.9859375,-78.0609375
793.7625,714.271875,-79.490625
794.334375,713.7,-80.634375
794.0484375,712.8421875,-81.20625
792.61875,711.4125,-81.20625
790.33125,709.9828125,-80.3484375
787.7578125,708.2671875,-79.490625
785.184375,706.8375,-78.3468750000001
782.6109375,705.69375,-76.9171875
