LEFT,RIGHT,DIFF
-309.6703125,-288.225,21.4453125
-301.95,-280.5046875,21.4453125
-293.371875,-272.4984375,20.8734375
-284.5078125,-265.0640625,19.44375
-275.9296875,-258.4875,17.4421875
-268.78125,-253.0546875,15.7265625
-262.7765625,-248.765625,14.0109375
-258.2015625,-245.6203125,12.58125
-254.7703125,-243.61875,11.1515625
-252.76875,-242.1890625,10.5796875
-251.625,-241.33125,10.29375
-251.053125,-241.0453125,10.0078125
-251.053125,-240.759375,10.29375
-251.053125,-241.0453125,10.0078125
-251.3390625,-241.903125,9.43593749999999
-251.9109375,-243.046875,8.86406250000002
-252.4828125,-244.7625,7.72031250000001
-253.340625,-247.05,6.29062500000001
-254.484375,-249.6234375,4.86093749999998
-255.628125,-252.196875,3.43125000000001
-256.4859375,-254.484375,2.00156250000003
-257.34375,-256.2,1.14375000000001
-257.6296875,-256.771875,0.857812499999966
-257.0578125,-256.4859375,0.571874999999977
-255.3421875,-254.484375,0.857812500000023
-252.76875,-251.625,1.14375000000001
-249.3375,-247.621875,1.71562499999999
-245.0484375,-242.7609375,2.28749999999999
-240.1875,-237.9,2.28749999999999
-235.3265625,-233.325,2.00156250000001
-231.0375,-229.6078125,1.4296875
-227.8921875,-227.60625,0.285937499999989
-226.1765625,-227.034375,-0.857812499999994
-226.1765625,-228.75,-2.57343749999998
-228.178125,-232.18125,-4.00312499999998
-231.609375,-237.0421875,-5.43281250000001
-236.75625,-243.3328125,-6.57656249999999
-243.046875,-249.909375,-6.86250000000001
-249.6234375,-256.4859375,-6.86250000000001
-255.628125,-262.2046875,-6.57656250000002
-260.775,-266.49375,-5.71875
-264.20625,-268.4953125,-4.2890625
-265.921875,-268.78125,-2.859375
-265.35,-266.7796875,-1.4296875
-263.3484375,-263.0625,0.285937499999989
-259.9171875,-258.2015625,1.71562499999999
-255.628125,-252.76875,2.859375
-251.625,-247.9078125,3.71718749999999
-248.765625,-244.4765625,4.2890625
-247.621875,-243.046875,4.57500000000002
-248.765625,-243.9046875,4.86093749999998
-252.4828125,-247.3359375,5.14687500000002
-258.2015625,-253.0546875,5.14687500000002
-265.921875,-260.4890625,5.43281250000001
-274.5,-268.78125,5.71875
-283.078125,-276.7875,6.29062499999998
-290.5125,-283.9359375,6.57656249999997
-295.9453125,-288.796875,7.1484375
-299.090625,-291.084375,8.00624999999997
-299.3765625,-290.5125,8.86406250000005
-296.803125,-287.08125,9.72187500000001
-291.9421875,-281.934375,10.0078125
-285.365625,-275.071875,10.29375
-278.503125,-268.209375,10.29375
-271.9265625,-261.91875,10.0078125
-266.7796875,-257.34375,9.43593750000002
-263.3484375,-254.7703125,8.57812499999997
-262.490625,-254.7703125,7.72031250000001
-263.3484375,-256.771875,6.57656249999997
-266.2078125,-260.4890625,5.71875
-270.2109375,-265.35,4.86093749999998
-274.5,-270.2109375,4.2890625
-278.2171875,-274.5,3.71718750000002
-281.0765625,-277.359375,3.71718750000002
-282.7921875,-278.503125,4.2890625
-282.50625,-277.93125,4.57499999999999
-281.0765625,-275.9296875,5.14687500000002
-278.503125,-272.784375,5.71875
-275.3578125,-269.353125,6.00468749999999
-271.9265625,-265.6359375,6.29062499999998
-299.3765625,-295.659375,3.71718750000002
-304.2375,-299.6625,4.57499999999999
-307.096875,-301.95,5.14687500000002
-308.240625,-302.521875,5.71875
-308.240625,-301.6640625,6.57656250000002
-307.096875,-299.6625,7.43437499999999
-305.38125,-296.803125,8.578125
-303.3796875,-293.371875,10.0078125
-301.0921875,-289.940625,11.1515625
-298.51875,-286.509375,12.009375
-295.659375,-282.50625,13.153125
-292.228125,-278.2171875,14.0109375
-288.5109375,-273.928125,14.5828125
-283.9359375,-268.78125,15.1546875
-278.7890625,-263.634375,15.1546875
-273.928125,-258.4875,15.440625
-269.0671875,-254.1984375,14.86875
-265.6359375,-250.7671875,14.86875
-263.634375,-249.0515625,14.5828125
-263.634375,-249.6234375,14.0109375
-325.6828125,-303.3796875,22.303125
-321.965625,-299.3765625,22.5890625
-316.81875,-294.2296875,22.5890625
-311.3859375,-288.796875,22.5890625
-305.38125,-283.3640625,22.0171875
-300.234375,-278.7890625,21.4453125
-296.23125,-275.64375,20.5875
-293.94375,-274.2140625,19.7296875
-293.6578125,-274.5,19.1578125
-295.3734375,-276.7875,18.5859375
-298.51875,-280.5046875,18.0140625
-303.3796875,-285.0796875,18.3
-308.240625,-290.2265625,18.0140625
-313.1015625,-294.515625,18.5859375
-317.1046875,-297.6609375,19.44375
-319.10625,-299.3765625,19.7296875
-319.3921875,-299.090625,20.3015625
-317.6765625,-296.803125,20.8734375
-313.959375,-293.371875,20.5875
-309.0984375,-288.796875,20.3015625
-286.2234375,-277.6453125,8.578125
-287.3671875,-280.790625,6.57656249999997
-291.084375,-285.6515625,5.43281250000001
