LEFT,RIGHT,DIFF
189.5765625,145.25625,-44.3203125
187.8609375,144.684375,-43.1765625
187.575,146.1140625,-41.4609375
189.0046875,148.9734375,-40.03125
191.2921875,152.4046875,-38.8875
193.865625,156.121875,-37.74375
195.8671875,158.6953125,-37.171875
197.0109375,159.8390625,-37.171875
196.725,159.2671875,-37.4578125
194.4375,156.69375,-37.74375
190.7203125,152.11875,-38.6015625
185.5734375,145.828125,-39.7453125
179.2828125,138.6796875,-40.603125
172.70625,130.959375,-41.746875
166.1296875,123.525,-42.6046875
159.8390625,116.9484375,-42.890625
154.6921875,111.2296875,-43.4625
150.1171875,106.940625,-43.1765625
146.971875,104.08125,-42.890625
144.9703125,102.6515625,-42.31875
143.8265625,102.6515625,-41.175
144.1125,103.509375,-40.603125
145.25625,105.796875,-39.459375
147.8296875,108.9421875,-38.8875
151.8328125,113.23125,-38.6015625
156.69375,118.0921875,-38.6015625
162.984375,123.8109375,-39.1734375
169.846875,130.1015625,-39.7453125
176.9953125,136.10625,-40.8890625
183.8578125,141.5390625,-42.31875
189.5765625,146.1140625,-43.4625
193.5796875,148.6875,-44.8921875
195.2953125,149.259375,-46.0359375
194.1515625,147.2578125,-46.89375
190.1484375,142.96875,-47.1796875
183.571875,136.3921875,-47.1796875
174.7078125,128.1,-46.6078125
164.7,118.6640625,-46.0359375
154.1203125,109.5140625,-44.60625
144.1125,100.9359375,-43.1765625
135.8203125,94.0734375,-41.746875
129.5296875,89.2125,-40.3171875
125.8125,86.925,-38.8875
124.66875,86.6390625,-38.0296875
125.8125,88.3546875,-37.4578125
128.3859375,91.2140625,-37.171875
132.103125,94.93125,-37.171875
135.8203125,98.3625,-37.4578125
139.2515625,101.221875,-38.0296875
141.5390625,103.2234375,-38.315625
142.6828125,103.7953125,-38.8875
142.96875,103.509375,-39.459375
142.1109375,102.365625,-39.7453125
140.9671875,100.65,-40.3171875
139.5375,98.934375,-40.603125
138.1078125,97.5046875,-40.603125
137.25,96.3609375,-40.8890625
136.678125,95.503125,-41.175
136.10625,94.6453125,-41.4609375
135.534375,93.7875,-41.746875
134.390625,92.3578125,-42.0328125
132.3890625,90.0703125,-42.31875
129.24375,86.925,-42.31875
125.5265625,82.921875,-42.6046875
120.665625,78.0609375,-42.6046875
115.8046875,72.9140625,-42.890625
110.94375,68.053125,-42.890625
106.6546875,64.3359375,-42.31875
103.7953125,61.4765625,-42.31875
102.365625,60.3328125,-42.0328125
102.6515625,61.190625,-41.4609375
104.653125,63.1921875,-41.4609375
107.5125,66.6234375,-40.8890625
111.515625,70.6265625,-40.8890625
115.2328125,74.6296875,-40.603125
118.378125,77.775,-40.603125
120.3796875,79.490625,-40.8890625
120.665625,79.7765625,-40.8890625
118.95,78.0609375,-40.8890625
115.8046875,74.915625,-40.8890625
111.515625,70.340625,-41.175
106.36875,64.9078125,-41.4609375
100.9359375,59.475,-41.4609375
95.7890625,54.6140625,-41.175
91.7859375,50.6109375,-41.175
88.9265625,47.7515625,-41.175
87.496875,46.321875,-41.175
87.2109375,46.0359375,-41.175
88.06875,46.6078125,-41.4609375
89.4984375,48.0375,-41.4609375
91.2140625,49.4671875,-41.746875
92.64375,50.325,-42.31875
93.5015625,50.896875,-42.6046875
93.5015625,50.325,-43.1765625
92.9296875,49.4671875,-43.4625
91.5,47.7515625,-43.7484375
90.0703125,46.0359375,-44.034375
88.3546875,44.3203125,-44.034375
87.2109375,43.1765625,-44.034375
86.6390625,42.890625,-43.7484375
86.925,43.4625,-43.4625
88.06875,44.8921875,-43.1765625
89.4984375,46.89375,-42.6046875
91.5,49.18125,-42.31875
92.9296875,50.896875,-42.0328125
93.7875,51.7546875,-42.0328125
92.9296875,51.1828125,-41.746875
90.6421875,48.609375,-42.0328125
86.0671875,44.034375,-42.0328125
79.490625,37.171875,-42.31875
70.6265625,28.59375,-42.0328125
60.61875,18.871875,-41.746875
49.753125,8.2921875,-41.4609375
38.6015625,-1.4296875,-40.03125
28.3078125,-10.5796875,-38.8875
19.7296875,-18.0140625,-37.74375
13.153125,-23.1609375,-36.3140625
9.4359375,-25.1625,-34.5984375
8.578125,-24.590625,-33.16875
10.5796875,-21.4453125,-32.025
14.86875,-16.0125,-30.88125
21.159375,-8.8640625,-30.0234375
28.8796875,-1.14375,-30.0234375
36.8859375,6.5765625,-30.309375
44.3203125,13.725,-30.5953125
51.1828125,19.7296875,-31.453125
56.615625,24.3046875,-32.3109375
60.61875,27.45,-33.16875
62.90625,28.8796875,-34.0265625
64.05,29.4515625,-34.5984375
64.3359375,29.4515625,-34.884375
64.3359375,28.8796875,-35.45625
64.05,28.59375,-35.45625
64.3359375,28.59375,-35.7421875
64.9078125,29.4515625,-35.45625
65.765625,30.5953125,-35.1703125
66.909375,31.7390625,-35.1703125
67.7671875,32.8828125,-34.884375
67.7671875,33.16875,-34.5984375
66.909375,32.596875,-34.3125
35.45625,1.715625,-33.740625
35.1703125,1.715625,-33.4546875
34.3125,0.8578125,-33.4546875
32.596875,-1.14375,-33.740625
30.309375,-4.003125,-34.3125
27.1640625,-7.7203125,-34.884375
23.446875,-12.58125,-36.028125
18.871875,-18.0140625,-36.8859375
13.725,-23.7328125,-37.4578125
8.00625,-30.0234375,-38.0296875
2.0015625,-36.028125,-38.0296875
