LEFT,RIGHT,DIFF
-858.6703125,-826.359375,32.3109375
-861.5296875,-830.3625,31.1671875
-865.5328125,-835.2234375,30.3093749999999
-869.821875,-840.084375,29.7375
-873.825,-844.3734375,29.4515625
-876.9703125,-847.2328125,29.7375
-878.6859375,-848.3765625,30.309375
-878.6859375,-847.51875,31.1671875
-877.25625,-844.659375,32.596875
-874.1109375,-840.3703125,33.7406249999999
-869.5359375,-834.6515625,34.884375
-864.103125,-828.3609375,35.7421875
-857.8125,-821.784375,36.0281249999999
-851.2359375,-815.2078125,36.0281249999999
-844.3734375,-808.9171875,35.45625
-837.5109375,-802.9125,34.5984375
-830.3625,-797.4796875,32.8828125
-823.5,-792.3328125,31.1671875
-816.6375,-787.1859375,29.4515625
-810.0609375,-782.0390625,28.021875
-803.7703125,-776.8921875,26.8781250000001
-797.765625,-771.459375,26.30625
-792.046875,-766.0265625,26.0203124999999
-787.1859375,-760.3078125,26.878125
-782.896875,-755.1609375,27.7359375
-779.465625,-750.0140625,29.4515625
-776.60625,-745.153125,31.453125
-774.0328125,-740.578125,33.4546875
-771.1734375,-736.003125,35.1703124999999
-768.3140625,-731.7140625,36.5999999999999
-764.596875,-727.425,37.171875
-760.021875,-722.5640625,37.4578125
-754.303125,-717.4171875,36.8859375
-747.7265625,-711.6984375,36.0281249999999
-740.2921875,-705.69375,34.5984375
-732.571875,-699.6890625,32.8828125
-725.1375,-693.9703125,31.1671875000001
-717.9890625,-688.5375,29.4515625
-711.984375,-683.9625,28.021875
-707.409375,-680.2453125,27.1640625
-704.2640625,-677.671875,26.5921875
-702.5484375,-675.95625,26.5921874999999
-701.9765625,-675.384375,26.5921875
-701.9765625,-675.0984375,26.878125
-702.5484375,-674.8125,27.7359375
-702.834375,-674.5265625,28.3078125
-702.5484375,-673.9546875,28.59375
-701.690625,-672.525,29.1656250000001
-700.2609375,-670.5234375,29.7375000000001
-697.6875,-667.95,29.7375
-694.828125,-665.090625,29.7375
-691.6828125,-661.659375,30.0234375
-688.2515625,-658.228125,30.0234375
-684.8203125,-654.796875,30.0234375
-681.3890625,-651.0796875,30.309375
-677.9578125,-647.3625,30.5953125
-674.5265625,-643.6453125,30.88125
-671.0953125,-639.35625,31.7390624999999
-667.0921875,-635.0671875,32.025
-662.803125,-630.20625,32.596875
-657.9421875,-625.3453125,32.5968750000001
-653.08125,-620.484375,32.5968750000001
-647.934375,-615.6234375,32.3109375
-643.359375,-611.334375,32.025
-639.0703125,-607.6171875,31.453125
-635.353125,-604.471875,30.8812499999999
-632.49375,-602.184375,30.3093749999999
-630.20625,-600.46875,29.7375000000001
-628.2046875,-599.325,28.8796874999999
-626.4890625,-597.8953125,28.59375
-624.4875,-596.465625,28.021875
-622.4859375,-594.75,27.7359375
-619.6265625,-592.4625,27.1640625
-616.48125,-589.603125,26.8781250000001
-613.3359375,-586.74375,26.5921875
-609.9046875,-583.884375,26.0203125
-606.759375,-581.3109375,25.4484375
-604.1859375,-579.309375,24.8765625
-602.4703125,-577.8796875,24.5906249999999
-601.3265625,-576.7359375,24.590625
-600.46875,-576.1640625,24.3046875
-599.325,-574.734375,24.590625
-597.609375,-572.7328125,24.8765625
-594.4640625,-569.015625,25.4484375000001
-589.603125,-563.0109375,26.5921874999999
-582.16875,-555.0046875,27.1640625
