LEFT,RIGHT,DIFF
-1566.9375,-1537.2,29.7375
-1561.21875,-1532.053125,29.1656249999999
-1554.35625,-1526.0484375,28.3078125
-1546.6359375,-1519.471875,27.1640625
-1538.0578125,-1512.3234375,25.734375
-1528.9078125,-1504.8890625,24.01875
-1519.471875,-1497.4546875,22.0171874999999
-1510.321875,-1490.30625,20.015625
-1501.171875,-1483.44375,17.7281249999999
-1492.8796875,-1477.153125,15.7265625
-1485.73125,-1471.434375,14.296875
-1479.1546875,-1466.0015625,13.153125
-1473.4359375,-1461.140625,12.2953125000001
-1468.2890625,-1455.99375,12.2953124999999
-1463.428125,-1450.846875,12.5812500000002
-1458.853125,-1445.4140625,13.4390625000001
-1454.278125,-1439.6953125,14.5828125
-1449.703125,-1433.690625,16.0125
-1444.8421875,-1427.6859375,17.15625
-1439.98125,-1421.68125,18.3
-1435.1203125,-1416.2484375,18.8718749999998
-1430.5453125,-1411.3875,19.1578125000001
-1425.9703125,-1407.384375,18.5859375
-1421.3953125,-1404.2390625,17.15625
-1417.10625,-1401.665625,15.440625
-1412.8171875,-1399.378125,13.4390625000001
-1408.2421875,-1397.090625,11.1515625
-1402.809375,-1394.23125,8.578125
-1397.090625,-1390.8,6.29062500000009
-1390.5140625,-1386.225,4.2890625
-1383.0796875,-1380.50625,2.57343749999995
-1375.359375,-1373.9296875,1.4296875
-1367.0671875,-1366.4953125,0.571875000000091
-1358.775,-1358.203125,0.571875000000091
-1351.0546875,-1350.196875,0.857812499999909
-1343.6203125,-1342.190625,1.4296875
-1336.7578125,-1334.75625,2.00156249999986
-1331.0390625,-1327.89375,3.14531250000005
-1325.8921875,-1321.603125,4.2890625
-1321.03125,-1316.1703125,4.86093749999986
-1316.7421875,-1311.0234375,5.71875
-1312.1671875,-1305.8765625,6.29062499999986
-1307.30625,-1300.7296875,6.57656250000014
-1301.8734375,-1295.296875,6.57656250000014
-1295.86875,-1289.578125,6.29062500000009
-1289.2921875,-1283.2875,6.00468749999982
-1282.14375,-1276.7109375,5.43281249999995
-1274.9953125,-1270.134375,4.86093749999986
-1267.846875,-1263.84375,4.00312499999995
-1261.2703125,-1257.8390625,3.43125000000009
-1254.9796875,-1252.6921875,2.28749999999991
-1249.8328125,-1248.403125,1.4296875
-1245.2578125,-1244.971875,0.285937500000045
-1241.2546875,-1242.1125,-0.857812499999909
-1238.109375,-1240.1109375,-2.00156250000009
-1235.25,-1238.3953125,-3.14531250000005
-1232.390625,-1236.39375,-4.00312499999995
-1229.53125,-1234.3921875,-4.86093750000009
-1226.3859375,-1231.81875,-5.43281250000018
-1223.240625,-1228.6734375,-5.43281249999995
-1219.809375,-1224.6703125,-4.86093750000009
-1216.0921875,-1220.38125,-4.2890625
-1212.375,-1215.5203125,-3.14531250000005
-1208.6578125,-1210.0875,-1.4296875
-1204.940625,-1204.36875,0.571874999999864
-1201.2234375,-1198.3640625,2.859375
-1197.50625,-1192.359375,5.14687500000014
-1193.503125,-1186.06875,7.43437499999982
-1189.2140625,-1179.4921875,9.72187499999995
-1184.0671875,-1172.34375,11.7234375
-1178.0625,-1165.1953125,12.8671875
-1170.9140625,-1157.475,13.4390624999999
-1163.19375,-1149.7546875,13.4390625000001
-1154.615625,-1141.4625,13.153125
-1145.7515625,-1133.45625,12.2953125000001
-1136.6015625,-1125.45,11.1515625
-1128.0234375,-1118.015625,10.0078125
-1119.73125,-1111.4390625,8.29218749999995
-1112.86875,-1105.7203125,7.1484375
-1107.15,-1100.859375,6.29062500000009
-1035.665625,-1038.2390625,-2.57343749999995
-1036.2375,-1039.3828125,-3.14531250000005
-1036.809375,-1039.9546875,-3.14531250000005
-1037.0953125,-1039.9546875,-2.859375
-1036.5234375,-1039.096875,-2.57343749999995
-1035.3796875,-1037.0953125,-1.71562500000005
-1033.378125,-1034.2359375,-0.857812500000136
-1030.8046875,-1030.51875,0.285937500000045
-1027.3734375,-1026.515625,0.857812500000136
-1023.65625,-1022.5125,1.14374999999995
-1019.9390625,-1018.509375,1.4296875
-1016.5078125,-1015.078125,1.4296875
-1013.0765625,-1011.9328125,1.14374999999995
-1009.93125,-1009.0734375,0.857812500000023
-1007.3578125,-1006.7859375,0.571874999999977
-1004.4984375,-1004.2125,0.285937499999932
-1001.353125,-1001.6390625,-0.285937499999932
-997.921875,-997.921875,0.0
-993.346875,-993.6328125,-0.285937499999932
-988.2,-988.2,0.0
-884.690625,-896.4140625,-11.7234374999999
-881.5453125,-894.1265625,-12.5812500000001
-878.6859375,-892.4109375,-13.725
-876.684375,-891.2671875,-14.5828125
-874.96875,-890.409375,-15.4406250000001
-873.5390625,-889.5515625,-16.0125
-872.109375,-888.69375,-16.584375
-870.965625,-887.55,-16.584375
-869.5359375,-885.834375,-16.2984375
-868.10625,-883.546875,-15.440625
-866.390625,-880.6875,-14.296875
-864.3890625,-877.5421875,-13.153125
-862.1015625,-874.1109375,-12.009375
-860.1,-870.6796875,-10.5796875
-858.0984375,-867.534375,-9.43593750000002
-856.3828125,-864.675,-8.29218750000007
-854.953125,-862.3875,-7.43437500000005
-853.5234375,-860.1,-6.57656250000002
-852.3796875,-858.384375,-6.00468749999993
-850.95,-856.66875,-5.71875
-673.66875,-696.2578125,-22.5890625
-671.6671875,-695.6859375,-24.01875
-669.9515625,-695.1140625,-25.1625
-668.521875,-694.25625,-25.734375
-667.0921875,-693.1125,-26.0203125
-665.6625,-691.6828125,-26.0203125
-664.8046875,-689.68125,-24.8765625
-663.946875,-687.39375,-23.4468750000001
-663.0890625,-684.534375,-21.4453125
-662.5171875,-681.675,-19.1578125000001
-661.9453125,-678.24375,-16.2984375
-660.8015625,-674.8125,-14.0109375
-659.6578125,-671.38125,-11.7234375
-657.65625,-667.95,-10.29375
-655.0828125,-664.51875,-9.43593750000002
-651.6515625,-661.0875,-9.43593749999991
-647.3625,-657.9421875,-10.5796875
-642.7875,-654.796875,-12.009375
-637.640625,-651.6515625,-14.0109375000001
-632.2078125,-648.7921875,-16.584375
-627.0609375,-645.9328125,-18.871875
-622.4859375,-643.0734375,-20.5875000000001
-618.4828125,-640.2140625,-21.73125
-615.3375,-637.3546875,-22.0171875000001
-613.3359375,-634.78125,-21.4453125
-611.90625,-632.2078125,-20.3015625
-611.334375,-629.9203125,-18.5859375
-611.334375,-627.91875,-16.584375
-611.90625,-626.203125,-14.296875
-612.1921875,-625.3453125,-13.1531249999999
-612.7640625,-624.7734375,-12.009375
-612.7640625,-624.4875,-11.7234375
-612.1921875,-624.7734375,-12.58125
-611.0484375,-625.3453125,-14.296875
-609.046875,-625.9171875,-16.8703125000001
-606.759375,-626.203125,-19.44375
-603.9,-625.9171875,-22.0171875000001
-600.7546875,-625.3453125,-24.5906249999999
-597.3234375,-624.2015625,-26.878125
-594.178125,-622.4859375,-28.3078125
-563.5828125,-575.30625,-11.7234374999999
-565.0125,-576.1640625,-11.1515625
-566.15625,-576.7359375,-10.5796875
-566.4421875,-575.878125,-9.43593750000002
-565.2984375,-573.8765625,-8.578125
-562.153125,-569.5875,-7.43437499999993
-557.00625,-563.5828125,-6.57656250000002
-549.571875,-555.5765625,-6.00468750000005
-540.421875,-546.4265625,-6.00468750000005
-530.128125,-536.7046875,-6.57656249999991
-519.2625,-527.5546875,-8.29218749999995
-509.2546875,-519.834375,-10.5796875
-500.9625,-514.6875,-13.725
-495.815625,-513.2578125,-17.4421875
-494.1,-516.1171875,-22.0171875
-496.6734375,-523.5515625,-26.878125
-503.821875,-535.275,-31.4531249999999
-515.259375,-551.0015625,-35.7421875
-530.128125,-569.8734375,-39.7453125
-547.5703125,-590.175,-42.6046875000001
-566.15625,-610.4765625,-44.3203125
-584.7421875,-629.634375,-44.8921875
-601.6125,-645.9328125,-44.3203125
-615.6234375,-658.228125,-42.6046875
-625.63125,-665.6625,-40.03125
-631.0640625,-667.6640625,-36.6
-631.35,-664.51875,-33.16875
-626.775,-656.2265625,-29.4515625
-617.625,-643.6453125,-26.0203125
