LEFT,RIGHT,DIFF
20.5875,-7.7203125,-28.3078125
17.728125,-9.721875,-27.45
14.86875,-11.7234375,-26.5921875
12.009375,-13.4390625,-25.4484375
10.0078125,-14.296875,-24.3046875
8.8640625,-14.0109375,-22.875
8.8640625,-13.153125,-22.0171875
10.0078125,-11.4375,-21.4453125
12.2953125,-8.8640625,-21.159375
15.1546875,-6.0046875,-21.159375
18.0140625,-3.43125,-21.4453125
20.5875,-1.4296875,-22.0171875
22.303125,0.0,-22.303125
22.875,0.0,-22.875
21.73125,-0.8578125,-22.5890625
19.1578125,-3.1453125,-22.303125
15.7265625,-6.0046875,-21.73125
11.1515625,-9.4359375,-20.5875
6.5765625,-12.58125,-19.1578125
2.5734375,-15.7265625,-18.3
-0.2859375,-17.728125,-17.4421875
-2.0015625,-18.5859375,-16.584375
-2.0015625,-18.0140625,-16.0125
-0.571875,-16.2984375,-15.7265625
2.2875,-13.4390625,-15.7265625
6.290625,-9.721875,-16.0125
10.865625,-6.0046875,-16.8703125
14.86875,-2.2875,-17.15625
18.3,0.0,-18.3
20.3015625,1.715625,-18.5859375
20.8734375,2.0015625,-18.871875
19.44375,0.571875,-18.871875
16.584375,-2.0015625,-18.5859375
12.58125,-5.71875,-18.3
7.7203125,-10.0078125,-17.728125
2.859375,-14.296875,-17.15625
-1.14375,-18.0140625,-16.8703125
-4.575,-20.3015625,-15.7265625
-6.5765625,-21.4453125,-14.86875
-6.8625,-20.3015625,-13.4390625
-5.71875,-17.728125,-12.009375
-3.7171875,-13.725,-10.0078125
-0.8578125,-8.8640625,-8.00625
2.0015625,-3.43125,-5.4328125
4.8609375,1.14375,-3.7171875
6.5765625,5.146875,-1.4296875
7.434375,7.7203125,0.2859375
6.8625,8.2921875,1.4296875
4.8609375,6.8625,2.0015625
2.2875,4.003125,1.715625
-0.8578125,0.0,0.8578125
-4.2890625,-4.8609375,-0.571875
-7.434375,-9.721875,-2.2875
-9.721875,-14.296875,-4.575
-11.1515625,-17.728125,-6.5765625
-11.1515625,-20.015625,-8.8640625
-10.29375,-20.8734375,-10.5796875
-8.578125,-20.3015625,-11.7234375
-6.290625,-18.871875,-12.58125
-4.003125,-17.15625,-13.153125
-2.0015625,-15.1546875,-13.153125
-0.571875,-13.725,-13.153125
0.0,-12.8671875,-12.8671875
0.0,-13.153125,-13.153125
-0.8578125,-14.296875,-13.4390625
-2.2875,-16.0125,-13.725
-4.003125,-18.3,-14.296875
-5.71875,-20.3015625,-14.5828125
-7.1484375,-22.0171875,-14.86875
-8.2921875,-23.1609375,-14.86875
-8.8640625,-23.1609375,-14.296875
-8.8640625,-22.875,-14.0109375
-8.8640625,-21.4453125,-12.58125
-8.8640625,-20.015625,-11.1515625
-8.8640625,-18.871875,-10.0078125
-9.4359375,-17.728125,-8.2921875
-10.29375,-17.4421875,-7.1484375
-11.7234375,-17.728125,-6.0046875
-13.153125,-18.871875,-5.71875
-14.86875,-20.3015625,-5.4328125
-16.0125,-22.0171875,-6.0046875
-17.15625,-23.446875,-6.290625
-17.15625,-24.3046875,-7.1484375
-16.584375,-24.01875,-7.434375
-15.440625,-22.875,-7.434375
-13.4390625,-20.8734375,-7.434375
-11.1515625,-18.0140625,-6.8625
-8.578125,-14.86875,-6.290625
-6.5765625,-11.7234375,-5.146875
-5.146875,-9.4359375,-4.2890625
-4.2890625,-8.00625,-3.7171875
-4.2890625,-7.7203125,-3.43125
-5.146875,-8.8640625,-3.7171875
-6.5765625,-10.865625,-4.2890625
-8.2921875,-14.0109375,-5.71875
-9.721875,-17.4421875,-7.7203125
-10.865625,-20.5875,-9.721875
-11.4375,-23.446875,-12.009375
-11.1515625,-25.4484375,-14.296875
-10.5796875,-26.30625,-15.7265625
-9.15,-26.30625,-17.15625
-7.434375,-25.1625,-17.728125
-5.71875,-23.7328125,-18.0140625
-4.575,-22.0171875,-17.4421875
-3.7171875,-20.3015625,-16.584375
-3.43125,-18.871875,-15.440625
-3.7171875,-18.0140625,-14.296875
-4.575,-18.0140625,-13.4390625
-6.0046875,-18.3,-12.2953125
-7.1484375,-19.1578125,-12.009375
-8.2921875,-20.015625,-11.7234375
-9.4359375,-20.8734375,-11.4375
-9.721875,-21.4453125,-11.7234375
-9.721875,-21.73125,-12.009375
-9.4359375,-21.73125,-12.2953125
-9.15,-21.73125,-12.58125
-8.8640625,-21.73125,-12.8671875
-8.8640625,-22.0171875,-13.153125
-9.4359375,-22.5890625,-13.153125
-10.29375,-23.7328125,-13.4390625
-12.009375,-25.734375,-13.725
-13.725,-28.021875,-14.296875
-15.7265625,-30.5953125,-14.86875
-17.728125,-33.4546875,-15.7265625
-19.1578125,-35.7421875,-16.584375
-20.015625,-37.171875,-17.15625
-20.3015625,-38.315625,-18.0140625
-19.7296875,-38.315625,-18.5859375
-18.871875,-37.4578125,-18.5859375
-18.0140625,-36.028125,-18.0140625
-17.15625,-34.3125,-17.15625
-16.8703125,-32.8828125,-16.0125
-17.15625,-31.7390625,-14.5828125
-18.3,-31.1671875,-12.8671875
-20.015625,-31.453125,-11.4375
-22.5890625,-32.596875,-10.0078125
-25.4484375,-34.3125,-8.8640625
-28.021875,-36.6,-8.578125
-30.309375,-38.6015625,-8.2921875
-31.7390625,-40.03125,-8.2921875
-32.025,-40.603125,-8.578125
-31.1671875,-40.3171875,-9.15
-29.165625,-38.8875,-9.721875
-26.30625,-36.3140625,-10.0078125
-22.875,-33.16875,-10.29375
-19.44375,-30.0234375,-10.5796875
-16.2984375,-26.878125,-10.5796875
-13.725,-24.590625,-10.865625
-12.2953125,-23.446875,-11.1515625
-12.009375,-23.7328125,-11.7234375
-12.58125,-25.1625,-12.58125
-14.0109375,-27.45,-13.4390625
-16.2984375,-30.88125,-14.5828125
-18.5859375,-34.3125,-15.7265625
-20.5875,-37.74375,-17.15625
-22.5890625,-40.603125,-18.0140625
-23.7328125,-42.6046875,-18.871875
-24.590625,-43.4625,-18.871875
-25.1625,-43.7484375,-18.5859375
-25.4484375,-43.1765625,-17.728125
-26.0203125,-52.8984375,-26.878125
-29.4515625,-56.9015625,-27.45
-32.8828125,-61.190625,-28.3078125
-36.3140625,-65.4796875,-29.165625
-39.1734375,-69.4828125,-30.309375
-41.175,-72.628125,-31.453125
-42.31875,-74.6296875,-32.3109375
-42.890625,-75.7734375,-32.8828125
-42.6046875,-75.4875,-32.8828125
-42.0328125,-74.6296875,-32.596875
-41.175,-73.2,-32.025
-40.3171875,-71.7703125,-31.453125
-39.7453125,-70.340625,-30.5953125
-39.459375,-69.4828125,-30.0234375
-39.7453125,-69.196875,-29.4515625
-40.03125,-69.196875,-29.165625
-40.603125,-69.76875,-29.165625
-40.8890625,-70.340625,-29.4515625
-40.603125,-70.9125,-30.309375
-40.3171875,-71.1984375,-30.88125
-39.459375,-70.9125,-31.453125
-38.0296875,-70.0546875,-32.025
-36.6,-69.196875,-32.596875
-34.5984375,-67.7671875,-33.16875
-33.16875,-66.6234375,-33.4546875
-31.7390625,-65.4796875,-33.740625
-30.88125,-64.621875,-33.740625
-30.309375,-64.05,-33.740625
-30.5953125,-64.3359375,-33.740625
-30.88125,-64.9078125,-34.0265625
-31.7390625,-65.4796875,-33.740625
-32.596875,-66.3375,-33.740625
-33.4546875,-67.1953125,-33.740625
-34.0265625,-67.7671875,-33.740625
-34.5984375,-68.053125,-33.4546875
-34.884375,-68.053125,-33.16875
-34.884375,-67.48125,-32.596875
-34.884375,-66.909375,-32.025
-34.884375,-66.3375,-31.453125
-34.884375,-65.4796875,-30.5953125
-35.45625,-64.621875,-29.165625
-36.028125,-64.05,-28.021875
-36.8859375,-63.7640625,-26.878125
-38.0296875,-63.7640625,-25.734375
-39.1734375,-63.7640625,-24.590625
-40.603125,-64.05,-23.446875
-42.0328125,-64.621875,-22.5890625
-43.4625,-65.4796875,-22.0171875
-44.8921875,-66.6234375,-21.73125
-46.6078125,-68.3390625,-21.73125
-48.0375,-70.340625,-22.303125
-49.753125,-72.9140625,-23.1609375
-51.46875,-75.7734375,-24.3046875
-52.8984375,-78.91875,-26.0203125
-54.6140625,-81.778125,-27.1640625
-55.7578125,-84.065625,-28.3078125
-56.615625,-85.78125,-29.165625
-56.615625,-86.6390625,-30.0234375
-55.7578125,-86.353125,-30.5953125
-54.328125,-84.9234375,-30.5953125
-52.040625,-82.35,-30.309375
-49.18125,-79.490625,-30.309375
-46.0359375,-76.059375,-30.0234375
-42.890625,-72.9140625,-30.0234375
-40.3171875,-70.6265625,-30.309375
-38.6015625,-69.4828125,-30.88125
-38.0296875,-69.4828125,-31.453125
-38.315625,-70.9125,-32.596875
-40.03125,-73.2,-33.16875
-42.0328125,-75.7734375,-33.740625
-44.60625,-78.6328125,-34.0265625
-46.321875,-80.3484375,-34.0265625
-46.89375,-80.9203125,-34.0265625
-45.75,-79.490625,-33.740625
-42.6046875,-76.059375,-33.4546875
-37.171875,-70.9125,-33.740625
-29.7375,-64.05,-34.3125
-21.159375,-56.9015625,-35.7421875
-12.2953125,-50.0390625,-37.74375
-4.2890625,-45.178125,-40.8890625
0.8578125,-43.1765625,-44.034375
3.43125,-45.178125,-48.609375
1.14375,-51.7546875,-52.8984375
-5.4328125,-63.1921875,-57.759375
-17.728125,-79.2046875,-61.4765625
-34.3125,-99.2203125,-64.9078125
-54.9,-122.0953125,-67.1953125
-77.775,-146.1140625,-68.3390625
-101.5078125,-170.1328125,-68.625
-124.096875,-192.4359375,-68.3390625
-144.3984375,-211.021875,-66.6234375
-160.4109375,-225.6046875,-65.19375
-171.8484375,-234.46875,-62.6203125
-177.5671875,-237.9,-60.3328125
-178.1390625,-235.6125,-57.4734375
-173.278125,-227.8921875,-54.6140625
-164.4140625,-216.16875,-51.7546875
-152.11875,-200.728125,-48.609375
-137.821875,-183.0,-45.178125
-122.38125,-164.4140625,-42.0328125
-106.6546875,-145.5421875,-38.8875
-92.071875,-127.528125,-35.45625
-78.6328125,-110.94375,-32.3109375
-66.6234375,-96.9328125,-30.309375
-56.615625,-85.209375,-28.59375
-48.609375,-76.63125,-28.021875
-42.31875,-70.6265625,-28.3078125
-37.74375,-67.1953125,-29.4515625
-35.1703125,-66.3375,-31.1671875
-33.740625,-67.1953125,-33.4546875
-33.740625,-69.76875,-36.028125
-35.1703125,-73.4859375,-38.315625
-37.4578125,-77.775,-40.3171875
-40.8890625,-82.0640625,-41.175
-44.3203125,-86.0671875,-41.746875
-48.0375,-89.2125,-41.175
-51.7546875,-91.5,-39.7453125
-54.6140625,-92.64375,-38.0296875
-56.9015625,-92.9296875,-36.028125
-58.0453125,-92.071875,-34.0265625
-69.196875,-88.06875,-18.871875
-65.19375,-84.3515625,-19.1578125
-61.7625,-80.9203125,-19.1578125
-59.1890625,-78.346875,-19.1578125
-57.4734375,-76.63125,-19.1578125
