LEFT,RIGHT,DIFF
-304.2375,-286.2234375,18.0140625
-304.5234375,-286.2234375,18.3
-304.2375,-286.2234375,18.0140625
-303.3796875,-285.6515625,17.728125
-302.2359375,-285.0796875,17.15625
-300.80625,-284.5078125,16.2984375
-299.3765625,-283.9359375,15.440625
-298.2328125,-283.65,14.5828125
-297.375,-283.65,13.725
-296.5171875,-283.9359375,12.58125
-296.23125,-284.221875,12.009375
-295.9453125,-284.79375,11.1515625
-295.9453125,-285.6515625,10.29375
-295.9453125,-286.2234375,9.72187500000001
-295.659375,-286.509375,9.14999999999998
-295.659375,-286.7953125,8.86406249999999
-295.3734375,-287.08125,8.29218750000001
-294.8015625,-286.7953125,8.00624999999997
-294.2296875,-286.7953125,7.43437499999999
-293.371875,-286.2234375,7.1484375
-292.8,-285.9375,6.86250000000001
-291.9421875,-285.365625,6.57656249999997
-291.084375,-285.0796875,6.00468749999999
-290.5125,-284.5078125,6.00468749999999
-290.2265625,-284.221875,6.00468749999999
-289.940625,-284.221875,5.71875
-289.940625,-284.221875,5.71875
-290.5125,-284.221875,6.29062499999998
-291.084375,-284.5078125,6.57656250000002
-292.5140625,-285.0796875,7.43437499999999
-294.2296875,-285.6515625,8.578125
-296.23125,-286.509375,9.72187499999995
-298.51875,-287.653125,10.865625
-300.80625,-288.5109375,12.2953125
-303.09375,-289.36875,13.725
-305.0953125,-290.2265625,14.86875
-306.525,-290.7984375,15.7265625
-307.66875,-291.3703125,16.2984375
-308.240625,-291.3703125,16.8703125
-308.240625,-291.3703125,16.8703125
-307.66875,-291.084375,16.584375
-307.096875,-290.7984375,16.2984375
-306.2390625,-290.7984375,15.440625
-305.6671875,-290.7984375,14.86875
-305.38125,-291.084375,14.296875
-305.38125,-291.65625,13.725
-305.6671875,-292.5140625,13.153125
-306.2390625,-293.371875,12.8671875
-307.096875,-294.515625,12.58125
-307.9546875,-295.3734375,12.58125
-308.240625,-295.659375,12.58125
-308.240625,-295.659375,12.58125
-307.9546875,-295.3734375,12.58125
-307.096875,-294.2296875,12.8671875
-305.6671875,-293.0859375,12.58125
-304.2375,-291.65625,12.58125
-302.521875,-290.5125,12.009375
-301.378125,-289.36875,12.009375
-300.5203125,-289.0828125,11.4375
-300.5203125,-289.0828125,11.4375
-301.0921875,-289.940625,11.1515625
-301.95,-291.084375,10.865625
-303.665625,-292.8,10.865625
-305.0953125,-294.515625,10.5796875
-306.8109375,-295.9453125,10.865625
-307.9546875,-297.375,10.5796875
-308.5265625,-297.946875,10.5796875
-308.5265625,-297.6609375,10.865625
-307.9546875,-297.0890625,10.865625
-306.8109375,-295.9453125,10.865625
-305.6671875,-294.515625,11.1515625
-304.2375,-293.0859375,11.1515625
-303.3796875,-291.65625,11.7234375
-302.521875,-290.7984375,11.7234375
-302.521875,-290.5125,12.009375
-302.8078125,-290.7984375,12.009375
-303.665625,-291.084375,12.58125
-304.5234375,-291.9421875,12.58125
-305.38125,-292.8,12.58125
-306.2390625,-293.371875,12.8671875
-306.8109375,-293.6578125,13.153125
-306.8109375,-293.6578125,13.153125
-306.525,-293.0859375,13.4390625
-306.2390625,-292.5140625,13.725
-305.6671875,-291.65625,14.0109375
-305.6671875,-291.084375,14.5828125
-305.6671875,-290.7984375,14.86875
-306.525,-291.084375,15.440625
-307.9546875,-291.9421875,16.0125
-309.95625,-293.0859375,16.8703125
-312.24375,-294.515625,17.728125
-314.53125,-295.9453125,18.5859375
-316.5328125,-297.375,19.1578125
-318.2484375,-298.51875,19.7296875
-319.10625,-298.8046875,20.3015625
-319.3921875,-298.51875,20.8734375
-318.8203125,-297.375,21.4453125
-317.6765625,-295.659375,22.0171875
-316.246875,-293.371875,22.875
-314.53125,-290.7984375,23.7328125
-313.1015625,-288.225,24.8765625
-311.671875,-285.9375,25.734375
-311.1,-283.9359375,27.1640625
-310.8140625,-282.50625,28.3078125
-310.8140625,-281.6484375,29.165625
-311.3859375,-281.0765625,30.309375
-311.9578125,-281.3625,30.5953125
-312.5296875,-281.6484375,30.88125
-312.5296875,-282.2203125,30.309375
-312.24375,-282.7921875,29.4515625
-311.3859375,-283.3640625,28.021875
-310.2421875,-283.9359375,26.30625
-308.240625,-284.5078125,23.7328125
-306.2390625,-285.0796875,21.159375
-304.2375,-285.365625,18.871875
-301.95,-285.6515625,16.2984375
-300.234375,-286.2234375,14.0109375
-298.51875,-286.509375,12.009375
-297.375,-287.08125,10.29375
-296.5171875,-287.3671875,9.15000000000003
-296.23125,-287.3671875,8.86406249999999
-296.23125,-287.3671875,8.86406249999999
-296.23125,-287.3671875,8.86406249999999
-296.5171875,-287.08125,9.43593750000002
-296.803125,-286.2234375,10.5796875
-297.0890625,-285.365625,11.7234375
-297.0890625,-284.221875,12.8671875
-296.803125,-282.7921875,14.0109375
-296.5171875,-281.3625,15.1546875
-295.659375,-279.3609375,16.2984375
-294.8015625,-277.6453125,17.15625
-293.371875,-275.64375,17.728125
-292.228125,-273.928125,18.3
-291.084375,-272.2125,18.871875
-290.2265625,-271.3546875,18.871875
-289.940625,-270.7828125,19.1578125
-290.2265625,-271.06875,19.1578125
-291.3703125,-272.4984375,18.871875
-293.371875,-274.5,18.871875
-295.9453125,-277.359375,18.5859375
-299.090625,-280.790625,18.3
-302.521875,-284.79375,17.728125
-305.6671875,-288.796875,16.8703125
-308.8125,-292.228125,16.584375
-310.8140625,-295.3734375,15.440625
-312.24375,-297.6609375,14.5828125
-312.5296875,-299.090625,13.4390625
-312.24375,-299.6625,12.58125
-310.8140625,-299.3765625,11.4375
-309.384375,-299.090625,10.29375
-307.9546875,-298.51875,9.43593750000002
-307.3828125,-298.2328125,9.14999999999998
-307.3828125,-298.8046875,8.578125
-308.5265625,-299.9484375,8.578125
-310.8140625,-302.2359375,8.578125
-314.2453125,-305.0953125,9.14999999999998
-318.2484375,-308.240625,10.0078125
-322.8234375,-311.671875,11.1515625
-326.8265625,-314.8171875,12.009375
-330.54375,-316.81875,13.725
-332.83125,-317.9625,14.86875
-333.975,-317.9625,16.0125
-333.6890625,-316.81875,16.8703125
-332.259375,-314.53125,17.728125
-329.971875,-311.671875,18.3
-326.8265625,-308.8125,18.0140625
-323.9671875,-305.953125,18.0140625
-321.39375,-303.9515625,17.4421875
-319.3921875,-302.8078125,16.584375
-318.2484375,-302.8078125,15.440625
-317.9625,-303.665625,14.296875
-317.9625,-305.0953125,12.8671875
-318.534375,-306.8109375,11.7234375
-319.10625,-308.240625,10.865625
-319.10625,-309.0984375,10.0078125
-318.8203125,-309.384375,9.43593749999997
-317.6765625,-308.5265625,9.14999999999998
-316.246875,-306.8109375,9.43593749999997
-314.2453125,-304.5234375,9.72187500000001
-312.5296875,-302.2359375,10.29375
-311.1,-299.6625,11.4375
-310.2421875,-297.946875,12.2953125
-310.528125,-297.0890625,13.4390625
-312.24375,-297.0890625,15.1546875
-314.8171875,-298.51875,16.2984375
-318.2484375,-300.80625,17.4421875
-322.2515625,-303.665625,18.5859375
-326.540625,-307.096875,19.44375
-330.54375,-310.2421875,20.3015625
-333.975,-312.815625,21.159375
-336.834375,-314.8171875,22.0171875
-338.55,-315.9609375,22.5890625
-339.4078125,-316.5328125,22.875
-339.4078125,-315.9609375,23.446875
-338.8359375,-315.3890625,23.446875
-337.978125,-314.2453125,23.7328125
-337.40625,-313.3875,24.01875
-336.834375,-312.815625,24.01875
-336.834375,-312.815625,24.01875
-337.1203125,-313.1015625,24.01875
-337.978125,-314.2453125,23.7328125
-338.8359375,-315.3890625,23.446875
-339.9796875,-317.1046875,22.875
-341.1234375,-318.8203125,22.303125
-341.98125,-320.5359375,21.4453125
-342.8390625,-322.2515625,20.5875
-343.4109375,-323.68125,19.7296875
-343.9828125,-325.1109375,18.871875
-344.26875,-326.2546875,18.0140625
-344.840625,-327.1125,17.728125
-345.4125,-327.9703125,17.4421875
-346.2703125,-328.828125,17.4421875
-346.8421875,-329.1140625,17.728125
-347.7,-329.4,18.3
-348.271875,-329.4,18.871875
-348.84375,-328.828125,20.015625
-349.1296875,-328.5421875,20.5875
