LEFT,RIGHT,DIFF
-120.9515625,-377.7234375,-256.771875
-122.953125,-377.4375,-254.484375
-124.096875,-376.5796875,-252.4828125
-124.9546875,-375.4359375,-250.48125
-124.9546875,-374.00625,-249.0515625
-124.66875,-372.290625,-247.621875
-123.8109375,-370.575,-246.7640625
-122.6671875,-369.43125,-246.7640625
-121.5234375,-368.2875,-246.7640625
-120.3796875,-367.715625,-247.3359375
-119.2359375,-367.715625,-248.4796875
-117.80625,-367.715625,-249.909375
-116.6625,-367.715625,-251.053125
-114.946875,-367.4296875,-252.4828125
-113.5171875,-366.8578125,-253.340625
-111.515625,-365.7140625,-254.1984375
-109.228125,-363.9984375,-254.7703125
-106.940625,-361.7109375,-254.7703125
-104.9390625,-359.1375,-254.1984375
-102.6515625,-356.278125,-253.6265625
-101.221875,-353.990625,-252.76875
-100.3640625,-351.9890625,-251.625
-100.65,-351.13125,-250.48125
-101.79375,-351.703125,-249.909375
-104.08125,-353.41875,-249.3375
-107.2265625,-355.9921875,-248.765625
-111.2296875,-359.709375,-248.4796875
-114.946875,-363.4265625,-248.4796875
-118.6640625,-367.4296875,-248.765625
-121.809375,-370.575,-248.765625
-123.8109375,-372.5765625,-248.765625
-124.3828125,-373.1484375,-248.765625
-123.8109375,-372.5765625,-248.765625
-121.809375,-370.8609375,-249.0515625
-119.2359375,-368.2875,-249.0515625
-116.3765625,-365.428125,-249.0515625
-113.5171875,-362.8546875,-249.3375
-111.8015625,-361.1390625,-249.3375
-111.2296875,-361.1390625,-249.909375
-112.0875,-362.2828125,-250.1953125
-114.375,-365.428125,-251.053125
-118.0921875,-370.003125,-251.9109375
-122.6671875,-375.15,-252.4828125
-127.528125,-381.1546875,-253.6265625
-132.103125,-386.3015625,-254.1984375
-135.534375,-390.8765625,-255.3421875
-137.25,-393.7359375,-256.4859375
-137.25,-395.165625,-257.915625
-134.9625,-394.59375,-259.63125
-131.2453125,-392.5921875,-261.346875
-126.384375,-389.446875,-263.0625
-121.2375,-386.015625,-264.778125
-116.3765625,-382.584375,-266.2078125
-112.3734375,-380.296875,-267.9234375
-110.371875,-379.4390625,-269.0671875
-110.371875,-380.0109375,-269.6390625
-112.659375,-382.2984375,-269.6390625
-116.6625,-386.015625,-269.353125
-122.38125,-390.590625,-268.209375
-128.671875,-396.0234375,-267.3515625
-124.9546875,-391.734375,-266.7796875
-123.8109375,-390.3046875,-266.49375
-122.953125,-389.446875,-266.49375
-122.38125,-389.1609375,-266.7796875
-122.953125,-389.446875,-266.49375
-124.096875,-390.590625,-266.49375
-126.0984375,-392.0203125,-265.921875
-128.9578125,-393.7359375,-264.778125
-131.8171875,-395.165625,-263.3484375
-134.390625,-396.0234375,-261.6328125
-136.3921875,-396.309375,-259.9171875
-137.5359375,-395.165625,-257.6296875
-137.25,-392.878125,-255.628125
-135.8203125,-389.446875,-253.6265625
-133.5328125,-385.44375,-251.9109375
-130.3875,-381.1546875,-250.7671875
-127.2421875,-377.1515625,-249.909375
-124.096875,-373.7203125,-249.6234375
-121.809375,-371.146875,-249.3375
-120.3796875,-370.003125,-249.6234375
-120.3796875,-370.003125,-249.6234375
-121.5234375,-371.146875,-249.6234375
-123.8109375,-373.1484375,-249.3375
-126.6703125,-375.721875,-249.0515625
-129.815625,-378.2953125,-248.4796875
-132.675,-380.5828125,-247.9078125
-134.9625,-382.0125,-247.05
-136.3921875,-382.2984375,-245.90625
-136.678125,-382.0125,-245.334375
-136.10625,-380.5828125,-244.4765625
-134.9625,-378.58125,-243.61875
-132.9609375,-376.29375,-243.3328125
-131.2453125,-374.2921875,-243.046875
-129.24375,-372.5765625,-243.3328125
-127.8140625,-371.4328125,-243.61875
-127.2421875,-371.146875,-243.9046875
-127.2421875,-371.71875,-244.4765625
-127.528125,-372.5765625,-245.0484375
-128.671875,-374.00625,-245.334375
-130.1015625,-375.721875,-245.6203125
-131.53125,-377.1515625,-245.6203125
-132.675,-378.58125,-245.90625
-133.5328125,-379.4390625,-245.90625
-134.1046875,-379.4390625,-245.334375
-134.390625,-379.4390625,-245.0484375
-134.1046875,-378.58125,-244.4765625
-133.5328125,-377.7234375,-244.190625
-132.675,-376.5796875,-243.9046875
-131.53125,-375.4359375,-243.9046875
-130.6734375,-374.578125,-243.9046875
-129.5296875,-373.7203125,-244.190625
-128.671875,-373.1484375,-244.4765625
-127.528125,-372.8625,-245.334375
-126.6703125,-372.8625,-246.1921875
-125.5265625,-372.8625,-247.3359375
-124.66875,-372.8625,-248.19375
-123.525,-372.8625,-249.3375
-122.6671875,-373.1484375,-250.48125
-122.0953125,-373.434375,-251.3390625
-121.5234375,-374.00625,-252.4828125
-121.2375,-374.2921875,-253.0546875
