LEFT,RIGHT,DIFF
112.3734375,35.1703125,-77.203125
114.946875,37.171875,-77.775
117.5203125,40.03125,-77.4890625
120.09375,42.890625,-77.203125
122.38125,46.321875,-76.059375
124.66875,49.753125,-74.915625
126.384375,53.184375,-73.2
127.8140625,56.3296875,-71.484375
128.9578125,59.1890625,-69.76875
129.815625,61.4765625,-68.3390625
130.6734375,63.1921875,-67.48125
131.53125,64.9078125,-66.6234375
132.3890625,65.765625,-66.6234375
133.81875,66.6234375,-67.1953125
135.2484375,67.48125,-67.7671875
136.9640625,68.053125,-68.9109375
139.2515625,68.625,-70.6265625
141.5390625,69.76875,-71.7703125
144.1125,70.9125,-73.2
146.6859375,72.3421875,-74.34375
149.259375,73.771875,-75.4875
151.546875,75.4875,-76.059375
153.834375,77.4890625,-76.3453125
155.55,79.2046875,-76.3453125
156.9796875,80.9203125,-76.059375
157.8375,82.35,-75.4875
158.1234375,83.49375,-74.6296875
158.1234375,84.065625,-74.0578125
157.8375,84.3515625,-73.4859375
157.265625,84.3515625,-72.9140625
156.9796875,84.065625,-72.9140625
156.69375,83.7796875,-72.9140625
156.69375,83.7796875,-72.9140625
157.5515625,84.3515625,-73.2
159.2671875,85.78125,-73.4859375
162.1265625,88.3546875,-73.771875
165.5578125,92.071875,-73.4859375
170.1328125,96.646875,-73.4859375
174.99375,101.79375,-73.2
179.8546875,107.7984375,-72.05625
184.715625,113.5171875,-71.1984375
189.0046875,118.6640625,-70.340625
192.4359375,122.953125,-69.4828125
194.4375,126.0984375,-68.3390625
195.2953125,127.8140625,-67.48125
195.009375,127.8140625,-67.1953125
193.865625,126.384375,-67.48125
192.15,124.096875,-68.053125
190.434375,121.5234375,-68.9109375
189.290625,119.2359375,-70.0546875
189.290625,117.5203125,-71.7703125
190.1484375,117.234375,-72.9140625
192.4359375,118.378125,-74.0578125
196.153125,121.2375,-74.915625
201.0140625,125.8125,-75.2015625
206.1609375,131.2453125,-74.915625
211.8796875,137.25,-74.6296875
217.0265625,143.540625,-73.4859375
221.6015625,148.9734375,-72.628125
224.746875,153.5484375,-71.1984375
227.034375,156.69375,-70.340625
227.8921875,158.409375,-69.4828125
227.60625,158.98125,-68.625
226.7484375,158.1234375,-68.625
225.6046875,156.69375,-68.9109375
224.4609375,154.978125,-69.4828125
223.603125,153.5484375,-70.0546875
223.603125,152.9765625,-70.6265625
224.4609375,152.9765625,-71.484375
225.890625,153.834375,-72.05625
228.178125,155.55,-72.628125
231.0375,158.1234375,-72.9140625
234.1828125,160.9828125,-73.2
237.328125,163.8421875,-73.4859375
240.1875,166.9875,-73.2
243.046875,169.5609375,-73.4859375
245.6203125,172.134375,-73.4859375
248.19375,174.421875,-73.771875
