LEFT,RIGHT,DIFF
-580.453125,-625.63125,-45.178125
-580.453125,-625.3453125,-44.8921875
-579.5953125,-624.4875,-44.8921875000001
-578.4515625,-623.34375,-44.8921875
-576.7359375,-621.9140625,-45.178125
-574.734375,-619.9125,-45.178125
-572.446875,-617.625,-45.178125
-569.8734375,-614.765625,-44.8921875
-566.728125,-611.6203125,-44.8921875000001
-563.0109375,-607.903125,-44.8921875
-559.29375,-604.471875,-45.178125
-555.5765625,-601.6125,-46.0359375
-552.43125,-599.6109375,-47.1796875
-550.14375,-598.753125,-48.609375
-549.2859375,-599.6109375,-50.3249999999999
-550.14375,-602.4703125,-52.3265624999999
-553.003125,-607.33125,-54.328125
-557.8640625,-613.621875,-55.7578125
-563.86875,-621.05625,-57.1875
-571.0171875,-628.7765625,-57.7593750000001
-577.8796875,-635.6390625,-57.759375
-584.1703125,-641.3578125,-57.1875
-589.03125,-644.503125,-55.4718750000001
-591.31875,-645.075,-53.75625
-590.746875,-642.7875,-52.040625
-587.8875,-637.9265625,-50.0390625
-582.4546875,-631.0640625,-48.609375
-575.30625,-623.0578125,-47.7515625000001
-567.5859375,-615.0515625,-47.465625
-560.1515625,-608.475,-48.3234375
-554.4328125,-603.9,-49.4671874999999
-551.0015625,-602.4703125,-51.46875
-550.4296875,-603.9,-53.4703125
-553.003125,-608.1890625,-55.1859374999999
-558.15,-614.765625,-56.615625
-565.0125,-622.771875,-57.759375
-573.01875,-630.778125,-57.759375
-580.453125,-637.640625,-57.1875
-586.4578125,-642.5015625,-56.0437499999999
-589.8890625,-644.503125,-54.6140625
-590.746875,-643.0734375,-52.3265625
-588.1734375,-638.784375,-50.6109375000001
-582.740625,-631.6359375,-48.8953125
-575.0203125,-623.0578125,-48.0375
-566.15625,-613.9078125,-47.7515625
-557.2921875,-605.3296875,-48.0374999999999
-549.571875,-598.18125,-48.609375
-543.5671875,-593.60625,-50.0390625
-540.1359375,-591.31875,-51.1828125
-539.5640625,-592.1765625,-52.6125000000001
-540.99375,-594.75,-53.75625
-544.7109375,-599.325,-54.6140625
