LEFT,RIGHT,DIFF
-543.853125,-600.46875,-56.615625
-548.7140625,-605.615625,-56.9015625
-553.8609375,-610.7625,-56.9015625000001
-558.4359375,-615.0515625,-56.615625
-562.153125,-617.625,-55.471875
-564.440625,-619.0546875,-54.6140624999999
-565.2984375,-618.4828125,-53.184375
-564.440625,-616.1953125,-51.7546874999999
-561.8671875,-613.05,-51.1828125000001
-558.721875,-608.7609375,-50.0390625
-554.4328125,-604.1859375,-49.753125
-550.4296875,-600.1828125,-49.7531250000001
-546.4265625,-596.7515625,-50.3249999999999
-543.28125,-594.178125,-50.896875
-540.7078125,-593.034375,-52.3265625
-539.278125,-593.034375,-53.75625
-538.70625,-593.8921875,-55.1859374999999
-539.278125,-595.6078125,-56.3296875
-540.1359375,-597.8953125,-57.759375
-541.2796875,-600.1828125,-58.903125
-542.709375,-602.184375,-59.475
-544.1390625,-603.9,-59.7609375
-545.2828125,-605.3296875,-60.046875
-546.140625,-606.1875,-60.046875
-546.7125,-606.4734375,-59.7609375000001
-546.9984375,-606.759375,-59.7609375
-547.284375,-606.759375,-59.4749999999999
-547.85625,-607.0453125,-59.1890625
-548.1421875,-607.33125,-59.1890625000001
-548.428125,-607.6171875,-59.1890625
-549.0,-608.475,-59.475
-549.8578125,-609.61875,-59.7609375
-550.4296875,-610.7625,-60.3328125
-551.2875,-611.90625,-60.61875
-551.859375,-613.05,-61.1906250000001
-552.43125,-614.19375,-61.7625
-553.003125,-615.0515625,-62.0484375
-553.2890625,-615.909375,-62.6203125000001
-553.575,-616.48125,-62.90625
-553.575,-617.053125,-63.478125
-553.575,-617.3390625,-63.7640625
-553.575,-617.625,-64.05
-553.8609375,-617.9109375,-64.0500000000001
-553.8609375,-618.196875,-64.3359375
-553.8609375,-618.4828125,-64.621875
-553.575,-618.4828125,-64.9078125
-553.575,-618.196875,-64.6218749999999
-553.003125,-617.625,-64.6218749999999
-552.1453125,-616.48125,-64.3359375
-551.2875,-614.765625,-63.478125
-549.8578125,-612.7640625,-62.90625
-548.1421875,-610.190625,-62.0484375000001
-546.4265625,-607.33125,-60.9046875
-544.7109375,-604.7578125,-60.046875
-542.9953125,-602.184375,-59.1890625
-541.8515625,-600.1828125,-58.3312500000001
-541.2796875,-599.0390625,-57.759375
-541.2796875,-598.4671875,-57.1875
-541.8515625,-599.0390625,-57.1875
-543.28125,-600.46875,-57.1875
-544.996875,-602.4703125,-57.4734374999999
-546.7125,-604.7578125,-58.0453125
-548.7140625,-606.759375,-58.0453124999999
-549.8578125,-608.475,-58.6171875
-550.715625,-609.3328125,-58.6171875
-550.4296875,-609.046875,-58.6171875
-549.0,-607.6171875,-58.6171875
-546.4265625,-605.04375,-58.6171875
-543.28125,-601.040625,-57.759375
-538.9921875,-596.7515625,-57.759375
-534.703125,-592.1765625,-57.4734375
-530.7,-587.6015625,-56.9015625
-526.9828125,-584.1703125,-57.1875
-524.1234375,-581.596875,-57.4734375
-522.69375,-580.453125,-57.759375
-522.121875,-580.7390625,-58.6171875
-522.9796875,-582.4546875,-59.4749999999999
-524.98125,-585.028125,-60.046875
-527.5546875,-588.1734375,-60.61875
-530.4140625,-591.31875,-60.9046875
-532.9875,-593.60625,-60.61875
-534.9890625,-595.0359375,-60.046875
-536.1328125,-595.321875,-59.1890625
-536.1328125,-594.178125,-58.0453125
-534.9890625,-591.6046875,-56.615625
-532.9875,-587.8875,-54.9
-530.128125,-583.884375,-53.7562499999999
-526.696875,-579.5953125,-52.8984375
-523.5515625,-575.878125,-52.3265625
-520.6921875,-572.7328125,-52.040625
-518.690625,-571.0171875,-52.3265624999999
-517.8328125,-570.73125,-52.8984375
-517.8328125,-571.5890625,-53.75625
-518.9765625,-573.590625,-54.6140625
-521.2640625,-576.45,-55.1859375
-524.1234375,-579.88125,-55.7578125
-527.26875,-583.0265625,-55.7578125
-530.4140625,-585.8859375,-55.4718750000001
-532.9875,-588.1734375,-55.1859374999999
-535.275,-589.3171875,-54.0421875000001
-536.41875,-589.8890625,-53.4703125
-536.990625,-589.3171875,-52.3265625
-536.7046875,-588.459375,-51.7546875
-535.846875,-587.0296875,-51.1828125
-534.4171875,-585.3140625,-50.8968749999999
-532.7015625,-583.5984375,-50.896875
-530.9859375,-581.8828125,-50.896875
-528.984375,-580.453125,-51.46875
-526.9828125,-579.0234375,-52.040625
-524.98125,-577.3078125,-52.3265625
-522.69375,-575.0203125,-52.3265625
-520.1203125,-572.1609375,-52.040625
-516.975,-568.7296875,-51.7546875
-513.54375,-564.1546875,-50.6109375
-508.96875,-558.721875,-49.7531250000001
-504.1078125,-553.003125,-48.8953125
-498.3890625,-546.7125,-48.3234375
-492.6703125,-540.421875,-47.7515625
-486.9515625,-534.9890625,-48.0375
-481.8046875,-530.128125,-48.3234375000001
-477.515625,-526.9828125,-49.4671875
-474.3703125,-525.2671875,-50.896875
-472.6546875,-525.2671875,-52.6125
-472.6546875,-526.9828125,-54.328125
-473.7984375,-529.8421875,-56.04375
-476.371875,-533.8453125,-57.4734374999999
-479.5171875,-538.134375,-58.6171874999999
-483.234375,-542.1375,-58.903125
-486.3796875,-545.56875,-59.1890625
-488.6671875,-547.85625,-59.1890625
-489.8109375,-549.0,-59.1890625
-489.525,-548.428125,-58.903125
-487.809375,-546.7125,-58.9031249999999
-484.6640625,-543.853125,-59.1890625
-480.946875,-540.421875,-59.475
-476.6578125,-536.990625,-60.3328125
-472.6546875,-533.8453125,-61.190625
-469.2234375,-531.5578125,-62.334375
-466.9359375,-530.128125,-63.1921875
-465.7921875,-529.8421875,-64.05
-465.7921875,-530.4140625,-64.621875
-466.65,-531.84375,-65.19375
-468.365625,-532.9875,-64.621875
-470.08125,-534.13125,-64.05
-471.225,-534.4171875,-63.1921875
-471.5109375,-533.559375,-62.0484375
-470.653125,-531.271875,-60.61875
-468.6515625,-527.5546875,-58.903125
-465.2203125,-522.9796875,-57.759375
-460.93125,-517.546875,-56.615625
-456.0703125,-512.1140625,-56.04375
-451.78125,-507.253125,-55.471875
-448.0640625,-503.5359375,-55.471875
-445.7765625,-501.2484375,-55.471875
-444.91875,-500.390625,-55.471875
-446.0625,-501.534375,-55.471875
-448.6359375,-504.1078125,-55.471875
-452.6390625,-507.5390625,-54.9
-456.928125,-511.5421875,-54.6140625
-461.503125,-515.5453125,-54.0421875
-465.50625,-518.4046875,-52.8984375
-468.6515625,-520.40625,-51.7546875
-470.08125,-520.978125,-50.896875
-470.3671875,-520.40625,-50.0390625
-469.2234375,-518.690625,-49.4671875
-467.221875,-516.1171875,-48.8953125
-464.934375,-513.8296875,-48.8953124999999
-462.646875,-511.828125,-49.18125
-461.2171875,-510.9703125,-49.753125
-460.93125,-510.9703125,-50.0390625
-461.7890625,-512.6859375,-50.896875
-463.790625,-515.5453125,-51.7546875
-466.65,-518.9765625,-52.3265625
-470.08125,-522.69375,-52.6125
-473.2265625,-526.125,-52.8984375
-476.0859375,-528.4125,-52.3265625
-477.515625,-529.55625,-52.040625
-477.8015625,-528.984375,-51.1828125
-476.371875,-526.4109375,-50.0390625
-473.5125,-522.69375,-49.18125
-469.509375,-518.11875,-48.6093749999999
-464.934375,-512.971875,-48.0375
