LEFT,RIGHT,DIFF
-245.6203125,-233.0390625,12.58125
-248.765625,-236.75625,12.009375
-253.0546875,-242.1890625,10.865625
-258.2015625,-248.19375,10.0078125
-263.0625,-253.9125,9.14999999999998
-267.3515625,-259.059375,8.29218750000001
-270.2109375,-262.490625,7.72031249999998
-271.3546875,-264.4921875,6.86250000000001
-270.496875,-264.4921875,6.00468749999999
-267.9234375,-262.7765625,5.14687500000002
-264.20625,-259.63125,4.57499999999999
-259.3453125,-255.628125,3.71718750000002
-254.484375,-251.3390625,3.14531249999999
-249.6234375,-247.3359375,2.28750000000002
-245.6203125,-243.9046875,1.71562499999999
-242.7609375,-241.33125,1.4296875
-240.759375,-239.9015625,0.857812499999994
-240.1875,-239.3296875,0.857812499999994
-240.1875,-239.04375,1.14374999999998
-240.4734375,-239.04375,1.4296875
-240.759375,-238.7578125,2.00156250000001
-240.1875,-237.6140625,2.57343749999998
-239.04375,-235.8984375,3.14531250000002
-236.75625,-233.0390625,3.71718750000002
-233.896875,-229.6078125,4.2890625
-230.465625,-226.1765625,4.2890625
-227.60625,-223.3171875,4.2890625
-225.6046875,-221.6015625,4.00312500000001
-225.0328125,-221.8875,3.14531249999999
-227.034375,-224.175,2.859375
-231.3234375,-229.0359375,2.28749999999999
-237.9,-235.8984375,2.00156250000001
-246.7640625,-244.4765625,2.28750000000002
-256.771875,-253.6265625,3.14531250000002
-267.3515625,-262.7765625,4.57499999999999
-277.359375,-270.2109375,7.1484375
-285.365625,-275.3578125,10.0078125
-291.084375,-277.359375,13.725
-293.6578125,-276.215625,17.4421875
-293.0859375,-271.640625,21.4453125
-289.0828125,-264.4921875,24.590625
-282.7921875,-255.628125,27.1640625
-274.7859375,-245.90625,28.8796875
-265.921875,-236.184375,29.7375
-257.6296875,-228.178125,29.4515625
-250.48125,-222.1734375,28.3078125
-245.6203125,-218.7421875,26.878125
-242.7609375,-218.1703125,24.590625
-242.1890625,-220.171875,22.0171875
-243.61875,-224.175,19.44375
-246.7640625,-229.0359375,17.728125
-250.7671875,-234.46875,16.2984375
-254.7703125,-239.615625,15.1546875
-258.2015625,-243.9046875,14.296875
-261.0609375,-247.05,14.0109375
-262.490625,-248.765625,13.725
-262.7765625,-249.3375,13.4390625
-262.2046875,-249.3375,12.8671875
-261.0609375,-248.765625,12.2953125
-259.63125,-248.4796875,11.1515625
-258.2015625,-248.765625,9.43593750000002
-257.0578125,-249.3375,7.72031250000001
-256.771875,-250.48125,6.29062500000001
-256.771875,-252.196875,4.57500000000002
-257.0578125,-253.9125,3.14531249999999
-257.34375,-255.05625,2.28749999999999
-257.915625,-255.9140625,2.00156250000003
-257.915625,-255.9140625,2.00156250000003
-257.34375,-255.05625,2.28749999999999
-255.9140625,-253.340625,2.57343749999998
-254.484375,-251.3390625,3.14531249999999
-252.4828125,-249.3375,3.14531250000002
-250.48125,-247.621875,2.859375
-248.765625,-246.7640625,2.00156249999998
-247.9078125,-246.7640625,1.14374999999998
-247.9078125,-248.19375,-0.285937500000017
-248.765625,-250.7671875,-2.00156250000001
-250.48125,-254.1984375,-3.71718749999999
-252.76875,-257.915625,-5.14687500000002
-255.628125,-261.6328125,-6.00468749999999
-258.4875,-264.778125,-6.29062499999998
-260.775,-267.065625,-6.29062499999998
-262.490625,-267.3515625,-4.86093749999998
-262.7765625,-266.2078125,-3.43124999999998
-261.6328125,-263.3484375,-1.71562499999999
-259.63125,-259.3453125,0.285937499999989
-256.2,-254.1984375,2.00156249999998
-252.4828125,-248.765625,3.71718750000002
-248.19375,-243.61875,4.57500000000002
-244.4765625,-239.3296875,5.14687499999999
-241.6171875,-236.75625,4.86093749999998
-240.1875,-235.8984375,4.2890625
-240.1875,-237.328125,2.859375
-241.903125,-240.4734375,1.4296875
-245.334375,-245.0484375,0.285937500000017
-249.909375,-251.053125,-1.14375000000001
