LEFT,RIGHT,DIFF
24.01875,-70.0546875,-94.0734375
28.59375,-64.621875,-93.215625
30.88125,-60.9046875,-91.7859375
31.1671875,-58.6171875,-89.784375
30.5953125,-57.1875,-87.7828125
29.165625,-56.3296875,-85.4953125
28.3078125,-55.471875,-83.7796875
28.021875,-54.0421875,-82.0640625
29.4515625,-51.7546875,-81.20625
32.596875,-48.609375,-81.20625
36.8859375,-44.3203125,-81.20625
42.31875,-39.7453125,-82.0640625
47.7515625,-35.1703125,-82.921875
52.8984375,-30.88125,-83.7796875
56.3296875,-28.021875,-84.3515625
58.0453125,-26.878125,-84.9234375
57.1875,-27.45,-84.6375
53.75625,-30.309375,-84.065625
48.0375,-34.884375,-82.921875
40.8890625,-41.175,-82.0640625
32.596875,-48.0375,-80.634375
24.590625,-54.9,-79.490625
17.4421875,-60.9046875,-78.346875
12.009375,-65.4796875,-77.4890625
8.8640625,-68.3390625,-77.203125
8.2921875,-69.4828125,-77.775
9.4359375,-68.3390625,-77.775
12.2953125,-66.0515625,-78.346875
16.2984375,-62.6203125,-78.91875
20.3015625,-58.903125,-79.2046875
24.01875,-55.471875,-79.490625
26.5921875,-52.6125,-79.2046875
28.021875,-50.6109375,-78.6328125
28.3078125,-49.4671875,-77.775
27.7359375,-49.18125,-76.9171875
26.5921875,-49.18125,-75.7734375
26.0203125,-48.8953125,-74.915625
25.734375,-48.3234375,-74.0578125
26.878125,-46.89375,-73.771875
29.165625,-44.3203125,-73.4859375
32.596875,-40.8890625,-73.4859375
36.8859375,-36.8859375,-73.771875
41.4609375,-32.596875,-74.0578125
45.75,-28.59375,-74.34375
49.4671875,-25.4484375,-74.915625
52.040625,-23.1609375,-75.2015625
52.8984375,-22.0171875,-74.915625
52.3265625,-22.5890625,-74.915625
50.6109375,-24.01875,-74.6296875
48.0375,-26.30625,-74.34375
45.178125,-28.8796875,-74.0578125
42.31875,-31.1671875,-73.4859375
40.3171875,-33.16875,-73.4859375
38.8875,-34.3125,-73.2
38.8875,-34.3125,-73.2
39.7453125,-33.16875,-72.9140625
41.4609375,-31.7390625,-73.2
43.1765625,-29.7375,-72.9140625
44.8921875,-27.7359375,-72.628125
45.75,-26.30625,-72.05625
45.4640625,-26.0203125,-71.484375
43.7484375,-26.5921875,-70.340625
41.175,-28.59375,-69.76875
37.171875,-31.7390625,-68.9109375
32.8828125,-35.45625,-68.3390625
28.021875,-40.03125,-68.053125
23.7328125,-44.60625,-68.3390625
20.3015625,-48.609375,-68.9109375
18.0140625,-51.7546875,-69.76875
16.8703125,-53.4703125,-70.340625
17.4421875,-54.0421875,-71.484375
19.44375,-53.4703125,-72.9140625
22.303125,-51.46875,-73.771875
26.0203125,-48.3234375,-74.34375
30.0234375,-44.60625,-74.6296875
34.0265625,-40.3171875,-74.34375
38.0296875,-36.3140625,-74.34375
41.175,-32.3109375,-73.4859375
44.3203125,-28.59375,-72.9140625
46.89375,-25.4484375,-72.3421875
48.8953125,-22.5890625,-71.484375
51.1828125,-20.3015625,-71.484375
53.184375,-18.0140625,-71.1984375
55.471875,-16.0125,-71.484375
57.759375,-14.296875,-72.05625
59.7609375,-12.58125,-72.3421875
61.4765625,-11.1515625,-72.628125
62.334375,-10.29375,-72.628125
62.6203125,-10.0078125,-72.628125
61.4765625,-10.5796875,-72.05625
59.475,-12.009375,-71.484375
56.3296875,-14.0109375,-70.340625
52.3265625,-16.8703125,-69.196875
48.0375,-20.3015625,-68.3390625
43.7484375,-23.1609375,-66.909375
40.03125,-26.0203125,-66.0515625
37.4578125,-27.7359375,-65.19375
36.028125,-28.3078125,-64.3359375
36.3140625,-27.7359375,-64.05
37.74375,-26.0203125,-63.7640625
40.3171875,-23.446875,-63.7640625
43.1765625,-20.3015625,-63.478125
45.75,-17.4421875,-63.1921875
47.7515625,-15.1546875,-62.90625
48.3234375,-14.0109375,-62.334375
47.1796875,-14.0109375,-61.190625
44.60625,-15.7265625,-60.3328125
40.603125,-18.5859375,-59.1890625
35.7421875,-22.0171875,-57.759375
30.88125,-25.734375,-56.615625
26.5921875,-29.165625,-55.7578125
23.1609375,-31.1671875,-54.328125
21.73125,-32.025,-53.75625
22.0171875,-31.1671875,-53.184375
23.7328125,-28.8796875,-52.6125
26.5921875,-25.734375,-52.3265625
30.0234375,-22.303125,-52.3265625
33.16875,-19.44375,-52.6125
35.1703125,-17.728125,-52.8984375
35.45625,-17.728125,-53.184375
33.740625,-19.7296875,-53.4703125
