LEFT,RIGHT,DIFF
-18.3,30.0234375,48.3234375
-16.8703125,31.453125,48.3234375
-15.440625,32.596875,48.0375
-14.296875,33.4546875,47.7515625
-13.4390625,34.0265625,47.465625
-12.8671875,34.3125,47.1796875
-12.8671875,34.0265625,46.89375
-12.8671875,33.740625,46.6078125
-13.4390625,32.8828125,46.321875
-14.296875,32.025,46.321875
-15.440625,30.88125,46.321875
-16.8703125,30.0234375,46.89375
-18.3,29.7375,48.0375
-19.44375,29.7375,49.18125
-20.3015625,30.309375,50.6109375
-20.5875,31.7390625,52.3265625
-20.015625,33.740625,53.75625
-18.5859375,36.6,55.1859375
-16.2984375,40.03125,56.3296875
-13.4390625,43.7484375,57.1875
-10.29375,47.465625,57.759375
-6.5765625,50.896875,57.4734375
-3.1453125,54.0421875,57.1875
-0.2859375,56.615625,56.9015625
1.715625,58.33125,56.615625
3.1453125,59.1890625,56.04375
3.7171875,59.7609375,56.04375
3.7171875,59.7609375,56.04375
2.859375,59.475,56.615625
2.2875,59.1890625,56.9015625
1.4296875,59.475,58.0453125
1.14375,60.046875,58.903125
1.715625,61.190625,59.475
2.859375,62.6203125,59.7609375
4.575,64.3359375,59.7609375
6.5765625,66.0515625,59.475
8.8640625,67.1953125,58.33125
10.865625,67.7671875,56.9015625
12.009375,67.48125,55.471875
12.58125,66.0515625,53.4703125
11.7234375,63.478125,51.7546875
9.721875,60.046875,50.325
6.290625,56.04375,49.753125
2.2875,51.7546875,49.4671875
-2.0015625,47.1796875,49.18125
-6.5765625,43.1765625,49.753125
-10.865625,39.7453125,50.6109375
-14.5828125,36.8859375,51.46875
-17.15625,35.1703125,52.3265625
-18.871875,34.0265625,52.8984375
-19.44375,33.4546875,52.8984375
-19.44375,33.4546875,52.8984375
-18.5859375,33.4546875,52.040625
-17.15625,33.740625,50.896875
-16.0125,33.740625,49.753125
-15.1546875,33.4546875,48.609375
-14.86875,32.596875,47.465625
-15.440625,31.7390625,47.1796875
-16.2984375,30.5953125,46.89375
-17.728125,29.165625,46.89375
-19.7296875,28.021875,47.7515625
-21.73125,27.1640625,48.8953125
-23.1609375,26.5921875,49.753125
-24.3046875,26.5921875,50.896875
-24.3046875,27.45,51.7546875
-23.446875,29.165625,52.6125
-21.159375,31.453125,52.6125
-18.0140625,34.5984375,52.6125
-13.4390625,38.6015625,52.040625
-8.2921875,43.1765625,51.46875
-2.859375,47.7515625,50.6109375
2.5734375,52.6125,50.0390625
8.00625,57.1875,49.18125
12.2953125,61.190625,48.8953125
16.0125,64.3359375,48.3234375
18.3,66.909375,48.609375
19.44375,68.3390625,48.8953125
19.44375,68.9109375,49.4671875
18.5859375,68.9109375,50.325
17.15625,68.625,51.46875
15.440625,68.3390625,52.8984375
14.0109375,68.3390625,54.328125
13.153125,68.625,55.471875
13.153125,70.0546875,56.9015625
13.725,72.05625,58.33125
15.1546875,74.6296875,59.475
17.15625,77.4890625,60.3328125
19.1578125,80.634375,61.4765625
20.8734375,83.49375,62.6203125
22.0171875,85.4953125,63.478125
22.303125,86.353125,64.05
21.4453125,86.353125,64.9078125
19.7296875,84.9234375,65.19375
17.15625,82.6359375,65.4796875
14.296875,79.490625,65.19375
11.1515625,76.3453125,65.19375
8.578125,73.4859375,64.9078125
6.5765625,71.1984375,64.621875
6.0046875,70.340625,64.3359375
6.5765625,70.6265625,64.05
8.578125,72.3421875,63.7640625
11.7234375,75.2015625,63.478125
15.440625,78.6328125,63.1921875
19.44375,82.35,62.90625
23.1609375,85.78125,62.6203125
26.30625,88.3546875,62.0484375
28.021875,89.784375,61.7625
28.59375,89.4984375,60.9046875
27.7359375,87.7828125,60.046875
25.4484375,84.9234375,59.475
22.0171875,80.9203125,58.903125
18.0140625,76.059375,58.0453125
13.725,71.1984375,57.4734375
10.0078125,66.909375,56.9015625
6.5765625,63.1921875,56.615625
4.2890625,60.3328125,56.04375
3.1453125,58.903125,55.7578125
3.43125,58.6171875,55.1859375
4.575,59.475,54.9
6.8625,61.190625,54.328125
9.721875,63.478125,53.75625
13.153125,66.3375,53.184375
16.8703125,69.4828125,52.6125
20.3015625,72.3421875,52.040625
23.7328125,75.2015625,51.46875
26.5921875,78.0609375,51.46875
29.4515625,80.9203125,51.46875
32.025,83.49375,51.46875
34.3125,86.0671875,51.7546875
36.6,88.640625,52.040625
38.8875,91.2140625,52.3265625
41.175,93.5015625,52.3265625
42.890625,95.503125,52.6125
44.60625,97.21875,52.6125
45.4640625,98.0765625,52.6125
45.75,98.3625,52.6125
44.8921875,98.0765625,53.184375
43.1765625,96.9328125,53.75625
40.603125,95.2171875,54.6140625
37.171875,92.9296875,55.7578125
33.4546875,90.928125,57.4734375
29.7375,89.2125,59.475
26.30625,87.7828125,61.4765625
23.7328125,87.496875,63.7640625
22.5890625,87.7828125,65.19375
22.875,89.4984375,66.6234375
24.3046875,91.5,67.1953125
27.45,94.359375,66.909375
31.1671875,96.9328125,65.765625
35.1703125,99.2203125,64.05
38.6015625,100.9359375,62.334375
41.4609375,101.221875,59.7609375
42.6046875,100.078125,57.4734375
41.746875,97.5046875,55.7578125
39.459375,93.7875,54.328125
35.1703125,88.9265625,53.75625
29.7375,83.7796875,54.0421875
23.446875,78.6328125,55.1859375
17.15625,74.0578125,56.9015625
11.7234375,70.6265625,58.903125
7.1484375,68.3390625,61.190625
4.2890625,67.48125,63.1921875
3.1453125,67.7671875,64.621875
3.1453125,69.196875,66.0515625
4.2890625,71.1984375,66.909375
6.290625,72.9140625,66.6234375
8.2921875,74.6296875,66.3375
9.721875,75.7734375,66.0515625
10.5796875,76.059375,65.4796875
10.865625,75.7734375,64.9078125
10.29375,74.915625,64.621875
9.4359375,74.0578125,64.621875
8.578125,73.771875,65.19375
8.00625,74.0578125,66.0515625
8.2921875,74.915625,66.6234375
9.4359375,76.9171875,67.48125
11.7234375,79.7765625,68.053125
14.296875,82.921875,68.625
17.4421875,85.78125,68.3390625
20.3015625,88.06875,67.7671875
22.0171875,89.4984375,67.48125
22.875,89.4984375,66.6234375
22.303125,88.06875,65.765625
20.3015625,85.209375,64.9078125
17.15625,81.778125,64.621875
13.4390625,77.775,64.3359375
9.721875,74.34375,64.621875
6.8625,72.05625,65.19375
5.146875,71.1984375,66.0515625
5.4328125,72.05625,66.6234375
7.434375,74.915625,67.48125
11.1515625,79.2046875,68.053125
16.0125,84.6375,68.625
21.73125,90.0703125,68.3390625
27.45,95.503125,68.053125
32.3109375,99.7921875,67.48125
36.028125,102.6515625,66.6234375
37.74375,103.7953125,66.0515625
37.74375,103.2234375,65.4796875
36.028125,101.5078125,65.4796875
33.4546875,99.2203125,65.765625
30.309375,96.646875,66.3375
27.1640625,94.359375,67.1953125
24.590625,92.9296875,68.3390625
23.1609375,92.3578125,69.196875
22.875,92.9296875,70.0546875
23.446875,94.359375,70.9125
24.3046875,95.7890625,71.484375
25.4484375,97.21875,71.7703125
26.0203125,97.790625,71.7703125
25.734375,97.21875,71.484375
24.01875,95.503125,71.484375
21.4453125,92.64375,71.1984375
17.4421875,88.9265625,71.484375
13.4390625,84.9234375,71.484375
9.15,81.20625,72.05625
6.0046875,78.346875,72.3421875
4.003125,77.203125,73.2
3.7171875,77.4890625,73.771875
5.4328125,79.490625,74.0578125
8.578125,82.921875,74.34375
12.8671875,87.2109375,74.34375
17.728125,91.5,73.771875
22.0171875,95.2171875,73.2
25.4484375,97.5046875,72.05625
27.45,98.0765625,70.6265625
27.1640625,96.646875,69.4828125
25.1625,93.215625,68.053125
21.4453125,88.640625,67.1953125
16.8703125,83.2078125,66.3375
11.7234375,78.0609375,66.3375
7.434375,73.4859375,66.0515625
4.2890625,70.6265625,66.3375
2.859375,69.76875,66.909375
3.43125,70.6265625,67.1953125
5.71875,73.4859375,67.7671875
9.721875,77.775,68.053125
14.5828125,82.6359375,68.053125
19.44375,87.2109375,67.7671875
23.7328125,90.928125,67.1953125
26.5921875,92.64375,66.0515625
27.7359375,92.64375,64.9078125
26.878125,90.6421875,63.7640625
24.3046875,86.353125,62.0484375
20.015625,80.9203125,60.9046875
15.1546875,74.915625,59.7609375
10.0078125,68.625,58.6171875
5.146875,63.1921875,58.0453125
1.4296875,59.1890625,57.759375
-0.8578125,56.615625,57.4734375
-2.0015625,55.7578125,57.759375
-2.0015625,56.615625,58.6171875
-0.8578125,58.33125,59.1890625
0.2859375,61.190625,60.9046875
2.0015625,64.05,62.0484375
3.43125,66.909375,63.478125
4.2890625,69.196875,64.9078125
4.575,70.9125,66.3375
4.2890625,72.05625,67.7671875
3.7171875,72.628125,68.9109375
2.859375,72.9140625,70.0546875
2.5734375,73.4859375,70.9125
2.859375,74.0578125,71.1984375
3.7171875,75.4875,71.7703125
5.4328125,77.4890625,72.05625
7.7203125,80.0625,72.3421875
10.5796875,82.6359375,72.05625
13.153125,85.4953125,72.3421875
15.440625,87.7828125,72.3421875
17.15625,89.2125,72.05625
17.728125,89.784375,72.05625
17.4421875,89.4984375,72.05625
15.7265625,88.06875,72.3421875
13.4390625,86.0671875,72.628125
10.5796875,83.2078125,72.628125
7.434375,80.634375,73.2
4.2890625,78.0609375,73.771875
2.0015625,76.059375,74.0578125
0.571875,74.6296875,74.0578125
0.0,74.0578125,74.0578125
0.0,74.34375,74.34375
1.14375,75.2015625,74.0578125
2.859375,76.3453125,73.4859375
4.8609375,77.775,72.9140625
6.5765625,78.91875,72.3421875
8.2921875,80.0625,71.7703125
9.721875,80.634375,70.9125
10.29375,80.634375,70.340625
10.29375,80.3484375,70.0546875
9.721875,79.7765625,70.0546875
