LEFT,RIGHT,DIFF
-9.4359375,46.321875,55.7578125
-6.0046875,50.6109375,56.615625
-3.7171875,54.0421875,57.759375
-2.859375,56.04375,58.903125
-3.7171875,56.3296875,60.046875
-5.71875,55.1859375,60.9046875
-8.578125,52.8984375,61.4765625
-11.4375,50.325,61.7625
-14.296875,47.465625,61.7625
-16.0125,45.4640625,61.4765625
-16.8703125,44.3203125,61.190625
-16.2984375,44.60625,60.9046875
-14.5828125,46.0359375,60.61875
-12.009375,48.8953125,60.9046875
-8.578125,52.6125,61.190625
-5.4328125,56.615625,62.0484375
-2.2875,60.61875,62.90625
0.0,63.7640625,63.7640625
0.8578125,66.0515625,65.19375
0.8578125,67.1953125,66.3375
0.0,66.909375,66.909375
-1.715625,65.19375,66.909375
-4.2890625,62.334375,66.6234375
-7.1484375,58.6171875,65.765625
-10.0078125,54.6140625,64.621875
-12.58125,50.896875,63.478125
-14.5828125,47.465625,62.0484375
-15.7265625,44.8921875,60.61875
-16.2984375,43.1765625,59.475
-16.2984375,42.6046875,58.903125
-15.7265625,42.31875,58.0453125
-14.86875,42.890625,57.759375
-14.0109375,43.7484375,57.759375
-13.4390625,44.60625,58.0453125
-12.8671875,45.178125,58.0453125
-13.153125,45.178125,58.33125
-13.4390625,44.60625,58.0453125
-14.5828125,44.034375,58.6171875
-15.7265625,42.890625,58.6171875
-17.4421875,41.4609375,58.903125
-18.871875,40.3171875,59.1890625
-20.3015625,39.7453125,60.046875
-21.4453125,39.459375,60.9046875
-22.303125,39.7453125,62.0484375
-22.303125,40.8890625,63.1921875
-21.73125,42.31875,64.05
-20.8734375,44.3203125,65.19375
-19.44375,46.6078125,66.0515625
-17.4421875,48.609375,66.0515625
-15.1546875,50.6109375,65.765625
-12.8671875,52.3265625,65.19375
-10.5796875,53.75625,64.3359375
-8.2921875,54.9,63.1921875
-6.0046875,56.04375,62.0484375
-3.7171875,57.1875,60.9046875
-1.715625,58.33125,60.046875
0.0,59.7609375,59.7609375
2.0015625,61.190625,59.1890625
3.43125,62.90625,59.475
4.8609375,64.621875,59.7609375
5.71875,66.0515625,60.3328125
6.0046875,67.1953125,61.190625
6.0046875,67.48125,61.4765625
5.146875,66.6234375,61.4765625
3.43125,65.19375,61.7625
1.4296875,63.1921875,61.7625
-0.8578125,60.61875,61.4765625
-3.43125,57.759375,61.190625
-5.71875,55.471875,61.190625
-7.7203125,53.75625,61.4765625
-9.15,53.4703125,62.6203125
-9.4359375,54.0421875,63.478125
-8.8640625,56.3296875,65.19375
-7.434375,59.475,66.909375
-5.146875,63.478125,68.625
-2.5734375,67.48125,70.0546875
0.0,71.1984375,71.1984375
2.0015625,74.0578125,72.05625
3.7171875,75.4875,71.7703125
4.575,75.7734375,71.1984375
4.2890625,74.0578125,69.76875
3.43125,71.484375,68.053125
2.0015625,67.7671875,65.765625
0.0,64.05,64.05
-1.4296875,60.61875,62.0484375
-2.859375,57.759375,60.61875
-3.7171875,56.3296875,60.046875
-3.7171875,56.04375,59.7609375
-3.1453125,56.9015625,60.046875
-2.0015625,58.903125,60.9046875
-0.8578125,61.4765625,62.334375
0.0,63.7640625,63.7640625
0.8578125,65.19375,64.3359375
0.571875,66.0515625,65.4796875
0.0,65.19375,65.19375
-1.715625,63.478125,65.19375
-3.7171875,60.61875,64.3359375
-6.0046875,57.4734375,63.478125
-8.00625,54.6140625,62.6203125
-9.15,52.3265625,61.4765625
-9.15,51.1828125,60.3328125
-8.00625,51.7546875,59.7609375
-5.4328125,54.0421875,59.475
-2.0015625,57.4734375,59.475
1.4296875,61.7625,60.3328125
5.4328125,66.0515625,60.61875
8.578125,70.0546875,61.4765625
10.865625,72.9140625,62.0484375
11.1515625,74.0578125,62.90625
10.29375,73.4859375,63.1921875
7.434375,70.9125,63.478125
3.7171875,67.1953125,63.478125
-0.2859375,62.6203125,62.90625
-4.575,57.759375,62.334375
-8.2921875,54.0421875,62.334375
-10.5796875,51.1828125,61.7625
-11.1515625,50.325,61.4765625
-10.29375,51.46875,61.7625
-7.7203125,54.0421875,61.7625
-4.2890625,58.0453125,62.334375
0.0,62.6203125,62.6203125
3.7171875,67.48125,63.7640625
7.1484375,71.484375,64.3359375
9.4359375,74.34375,64.9078125
10.5796875,75.7734375,65.19375
10.5796875,76.059375,65.4796875
9.721875,74.915625,65.19375
8.00625,72.9140625,64.9078125
6.290625,70.6265625,64.3359375
4.8609375,68.9109375,64.05
4.003125,67.48125,63.478125
4.003125,66.909375,62.90625
4.8609375,66.909375,62.0484375
6.290625,67.48125,61.190625
8.00625,68.3390625,60.3328125
9.4359375,68.9109375,59.475
10.0078125,68.625,58.6171875
9.4359375,67.1953125,57.759375
8.00625,64.9078125,56.9015625
4.8609375,61.190625,56.3296875
1.14375,56.9015625,55.7578125
-3.1453125,52.6125,55.7578125
-7.7203125,48.3234375,56.04375
-11.7234375,45.4640625,57.1875
-14.86875,43.7484375,58.6171875
-16.8703125,43.7484375,60.61875
-17.15625,45.75,62.90625
-16.2984375,48.8953125,65.19375
-14.296875,53.184375,67.48125
-11.4375,57.759375,69.196875
-8.578125,61.7625,70.340625
-5.71875,65.19375,70.9125
-3.43125,66.909375,70.340625
-1.715625,67.1953125,68.9109375
-0.8578125,65.765625,66.6234375
-1.14375,63.1921875,64.3359375
-1.715625,59.475,61.190625
-2.859375,55.7578125,58.6171875
-4.003125,52.040625,56.04375
-5.146875,49.18125,54.328125
-5.71875,47.465625,53.184375
-6.0046875,46.89375,52.8984375
-5.71875,48.0375,53.75625
-4.8609375,49.753125,54.6140625
-3.7171875,52.6125,56.3296875
-2.2875,55.7578125,58.0453125
-0.8578125,58.903125,59.7609375
0.2859375,61.7625,61.4765625
1.715625,64.05,62.334375
3.1453125,65.4796875,62.334375
4.2890625,66.3375,62.0484375
5.146875,66.0515625,60.9046875
5.71875,65.4796875,59.7609375
6.0046875,64.05,58.0453125
6.0046875,62.6203125,56.615625
5.4328125,60.9046875,55.471875
4.2890625,59.1890625,54.9
2.859375,57.759375,54.9
0.8578125,56.615625,55.7578125
-0.8578125,55.7578125,56.615625
-2.5734375,55.1859375,57.759375
-4.2890625,55.1859375,59.475
-5.4328125,55.7578125,61.190625
-6.0046875,56.615625,62.6203125
-5.71875,57.759375,63.478125
-4.8609375,58.903125,63.7640625
-3.1453125,60.046875,63.1921875
-1.14375,60.9046875,62.0484375
0.571875,61.4765625,60.9046875
2.2875,61.4765625,59.1890625
3.7171875,61.190625,57.4734375
4.575,60.3328125,55.7578125
4.575,59.1890625,54.6140625
4.003125,58.0453125,54.0421875
2.859375,56.9015625,54.0421875
1.4296875,56.04375,54.6140625
0.0,55.7578125,55.7578125
-1.715625,55.7578125,57.4734375
-3.1453125,56.3296875,59.475
-4.575,56.9015625,61.4765625
-6.0046875,57.4734375,63.478125
-7.7203125,57.4734375,65.19375
-9.721875,56.9015625,66.6234375
-12.2953125,55.1859375,67.48125
-15.440625,52.3265625,67.7671875
-19.1578125,48.3234375,67.48125
-23.446875,44.034375,67.48125
-27.7359375,39.1734375,66.909375
-31.7390625,34.5984375,66.3375
-34.5984375,31.1671875,65.765625
-36.3140625,28.8796875,65.19375
-36.6,28.3078125,64.9078125
-34.5984375,29.4515625,64.05
-31.1671875,32.3109375,63.478125
-26.0203125,36.8859375,62.90625
-19.7296875,42.31875,62.0484375
-13.153125,48.0375,61.190625
-6.8625,53.75625,60.61875
-1.4296875,58.33125,59.7609375
2.2875,62.0484375,59.7609375
4.8609375,64.05,59.1890625
5.4328125,64.9078125,59.475
4.2890625,64.3359375,60.046875
2.0015625,62.90625,60.9046875
-0.571875,60.9046875,61.4765625
-3.43125,58.6171875,62.0484375
-6.290625,56.9015625,63.1921875
-8.2921875,55.471875,63.7640625
-9.4359375,54.6140625,64.05
-9.4359375,54.0421875,63.478125
-8.8640625,54.0421875,62.90625
-7.434375,54.0421875,61.4765625
-6.290625,53.75625,60.046875
-5.146875,53.184375,58.33125
-4.2890625,52.3265625,56.615625
-4.2890625,50.896875,55.1859375
-4.575,49.4671875,54.0421875
-5.71875,48.3234375,54.0421875
-6.8625,47.465625,54.328125
-8.2921875,47.1796875,55.471875
-9.15,47.7515625,56.9015625
-9.15,49.18125,58.33125
-8.8640625,51.46875,60.3328125
-7.7203125,54.328125,62.0484375
-5.71875,57.759375,63.478125
-3.7171875,60.9046875,64.621875
-1.4296875,63.7640625,65.19375
0.2859375,65.765625,65.4796875
1.715625,66.6234375,64.9078125
2.2875,66.3375,64.05
2.2875,64.9078125,62.6203125
1.4296875,62.6203125,61.190625
0.0,59.7609375,59.7609375
-1.715625,56.615625,58.33125
-3.43125,53.4703125,56.9015625
-5.146875,50.896875,56.04375
-6.290625,49.18125,55.471875
-6.8625,48.3234375,55.1859375
-6.8625,48.3234375,55.1859375
-6.5765625,49.4671875,56.04375
-5.4328125,51.1828125,56.615625
-4.003125,53.184375,57.1875
-2.5734375,55.1859375,57.759375
-1.14375,57.1875,58.33125
0.0,58.903125,58.903125
0.8578125,59.7609375,58.903125
2.0015625,60.3328125,58.33125
2.859375,60.046875,57.1875
3.43125,59.7609375,56.3296875
4.003125,59.1890625,55.1859375
4.575,58.6171875,54.0421875
5.4328125,58.33125,52.8984375
6.0046875,58.6171875,52.6125
6.5765625,59.1890625,52.6125
7.1484375,60.61875,53.4703125
7.1484375,62.0484375,54.9
7.1484375,64.05,56.9015625
6.8625,65.765625,58.903125
6.290625,67.7671875,61.4765625
5.4328125,69.4828125,64.05
4.575,70.9125,66.3375
3.7171875,71.7703125,68.053125
3.1453125,72.3421875,69.196875
2.859375,72.628125,69.76875
2.859375,72.628125,69.76875
3.43125,72.628125,69.196875
4.2890625,72.628125,68.3390625
5.4328125,72.3421875,66.909375
6.5765625,72.05625,65.4796875
7.7203125,71.484375,63.7640625
8.2921875,70.9125,62.6203125
8.578125,69.76875,61.190625
8.578125,68.3390625,59.7609375
8.00625,66.6234375,58.6171875
6.8625,64.621875,57.759375
6.0046875,62.334375,56.3296875
4.8609375,60.3328125,55.471875
4.003125,58.6171875,54.6140625
3.43125,57.759375,54.328125
3.43125,57.759375,54.328125
4.003125,58.33125,54.328125
5.146875,60.3328125,55.1859375
6.5765625,62.90625,56.3296875
8.578125,66.3375,57.759375
10.5796875,69.76875,59.1890625
12.58125,73.2,60.61875
14.0109375,76.3453125,62.334375
15.1546875,78.6328125,63.478125
15.7265625,79.7765625,64.05
15.7265625,80.0625,64.3359375
15.1546875,78.91875,63.7640625
13.725,77.203125,63.478125
12.2953125,74.6296875,62.334375
10.29375,71.7703125,61.4765625
8.2921875,69.196875,60.9046875
6.290625,66.909375,60.61875
4.2890625,64.9078125,60.61875
2.2875,63.7640625,61.4765625
0.8578125,63.478125,62.6203125
0.0,63.478125,63.478125
-0.571875,64.05,64.621875
-1.14375,64.9078125,66.0515625
-0.8578125,65.4796875,66.3375
-0.571875,66.0515625,66.6234375
0.0,66.3375,66.3375
0.8578125,66.3375,65.4796875
2.0015625,66.0515625,64.05
2.859375,65.19375,62.334375
4.003125,64.3359375,60.3328125
4.575,63.7640625,59.1890625
5.146875,62.90625,57.759375
5.146875,62.6203125,57.4734375
4.8609375,62.334375,57.4734375
4.2890625,62.334375,58.0453125
4.003125,62.90625,58.903125
3.43125,63.478125,60.046875
3.43125,64.3359375,60.9046875
4.003125,65.4796875,61.4765625
5.146875,66.6234375,61.4765625
6.8625,68.053125,61.190625
9.4359375,69.76875,60.3328125
12.2953125,71.1984375,58.903125
15.1546875,72.628125,57.4734375
17.728125,73.771875,56.04375
19.44375,73.771875,54.328125
20.3015625,72.9140625,52.6125
19.1578125,70.6265625,51.46875
16.2984375,66.6234375,50.325
11.4375,60.3328125,48.8953125
4.2890625,52.3265625,48.0375
-4.2890625,42.6046875,46.89375
-14.86875,31.1671875,46.0359375
-26.30625,18.871875,45.178125
-38.0296875,6.5765625,44.60625
-49.18125,-4.8609375,44.3203125
-59.1890625,-15.1546875,44.034375
-67.48125,-22.875,44.60625
-73.2,-27.45,45.75
-76.059375,-29.165625,46.89375
-76.059375,-27.1640625,48.8953125
-73.2,-22.0171875,51.1828125
-67.7671875,-14.0109375,53.75625
-60.3328125,-4.2890625,56.04375
-51.46875,6.290625,57.759375
-42.0328125,17.728125,59.7609375
-32.596875,28.3078125,60.9046875
-23.446875,38.0296875,61.4765625
-15.1546875,46.0359375,61.190625
-8.2921875,52.3265625,60.61875
-2.5734375,56.9015625,59.475
1.715625,59.7609375,58.0453125
4.8609375,61.190625,56.3296875
6.8625,61.4765625,54.6140625
8.00625,61.190625,53.184375
8.2921875,60.3328125,52.040625
8.00625,58.903125,50.896875
7.1484375,57.1875,50.0390625
5.4328125,55.1859375,49.753125
3.1453125,52.6125,49.4671875
0.571875,49.753125,49.18125
-2.2875,46.6078125,48.8953125
-5.71875,43.7484375,49.4671875
-8.578125,41.4609375,50.0390625
-11.1515625,39.7453125,50.896875
