LEFT,RIGHT,DIFF
-454.9265625,-156.9796875,297.946875
-459.5015625,-160.125,299.3765625
-464.6484375,-163.2703125,301.378125
-470.08125,-166.415625,303.665625
-475.5140625,-169.5609375,305.953125
-480.375,-172.70625,307.66875
-484.6640625,-175.8515625,308.8125
-488.0953125,-178.7109375,309.384375
-490.3828125,-181.284375,309.0984375
-491.240625,-183.2859375,307.9546875
-490.66875,-184.4296875,306.2390625
-489.2390625,-185.0015625,304.2375
-486.3796875,-184.4296875,301.95
-483.234375,-183.2859375,299.9484375
-479.803125,-181.5703125,298.2328125
-476.371875,-179.56875,296.803125
-473.7984375,-177.5671875,296.23125
-471.796875,-175.8515625,295.9453125
-471.225,-174.99375,296.23125
-471.796875,-174.99375,296.803125
-473.5125,-176.1375,297.375
-476.0859375,-178.1390625,297.946875
-479.23125,-180.7125,298.51875
-482.9484375,-183.8578125,299.090625
-486.3796875,-187.2890625,299.090625
-489.8109375,-190.1484375,299.6625
-492.6703125,-192.721875,299.9484375
-495.24375,-194.4375,300.80625
-497.2453125,-195.58125,301.6640625
-498.675,-195.8671875,302.8078125
-499.81875,-195.2953125,304.5234375
-500.9625,-194.4375,306.525
-501.534375,-193.5796875,307.9546875
-501.8203125,-192.4359375,309.384375
-502.10625,-191.578125,310.528125
-501.8203125,-190.7203125,311.1
-500.9625,-190.1484375,310.8140625
-499.5328125,-189.5765625,309.95625
-497.53125,-189.290625,308.240625
-494.9578125,-188.71875,306.2390625
-492.0984375,-187.8609375,304.2375
-488.6671875,-187.003125,301.6640625
-484.95,-185.859375,299.090625
-481.8046875,-184.715625,297.0890625
-478.9453125,-183.571875,295.3734375
-476.6578125,-182.7140625,293.94375
-475.5140625,-182.1421875,293.371875
-475.228125,-182.428125,292.8
-476.0859375,-183.2859375,292.8
-477.8015625,-184.715625,293.0859375
-480.375,-186.7171875,293.6578125
-483.5203125,-189.0046875,294.515625
-486.9515625,-191.2921875,295.659375
-490.096875,-193.865625,296.23125
-493.2421875,-195.8671875,297.375
-495.5296875,-197.296875,298.2328125
-496.959375,-197.86875,299.090625
-497.8171875,-197.86875,299.9484375
-497.2453125,-197.296875,299.9484375
-496.1015625,-195.8671875,300.234375
-493.8140625,-194.1515625,299.6625
-491.240625,-192.4359375,298.8046875
-488.0953125,-190.434375,297.6609375
