LEFT,RIGHT,DIFF
-180.7125,-169.5609375,11.1515625
-182.1421875,-170.41875,11.7234375
-183.0,-170.1328125,12.8671875
-183.0,-168.703125,14.296875
-182.7140625,-166.1296875,16.584375
-181.85625,-162.6984375,19.1578125
-180.7125,-158.98125,21.73125
-178.996875,-154.978125,24.01875
-176.9953125,-151.2609375,25.734375
-174.99375,-147.8296875,27.1640625
-173.278125,-145.5421875,27.7359375
-171.5625,-144.1125,27.45
-170.7046875,-143.8265625,26.878125
-170.41875,-144.684375,25.734375
-170.990625,-146.6859375,24.3046875
-172.134375,-149.259375,22.875
-173.5640625,-152.4046875,21.159375
-175.565625,-155.8359375,19.7296875
-177.5671875,-158.6953125,18.871875
-178.996875,-161.26875,17.728125
-180.140625,-162.6984375,17.4421875
-180.9984375,-162.984375,18.0140625
-180.9984375,-162.6984375,18.3
-180.9984375,-161.5546875,19.44375
-180.7125,-159.8390625,20.8734375
-180.7125,-158.1234375,22.5890625
-181.284375,-156.69375,24.590625
-182.428125,-156.4078125,26.0203125
-184.715625,-156.69375,28.021875
-187.575,-158.409375,29.165625
-191.00625,-161.26875,29.7375
-195.009375,-164.9859375,30.0234375
-198.7265625,-168.9890625,29.7375
-201.871875,-173.5640625,28.3078125
-204.4453125,-177.28125,27.1640625
-205.875,-180.7125,25.1625
-206.1609375,-182.7140625,23.446875
-205.0171875,-183.8578125,21.159375
-203.3015625,-183.8578125,19.44375
-200.728125,-182.7140625,18.0140625
-197.86875,-180.7125,17.15625
-195.009375,-178.425,16.584375
-192.4359375,-176.4234375,16.0125
-190.7203125,-174.421875,16.2984375
-189.290625,-172.70625,16.584375
-188.71875,-171.8484375,16.8703125
-188.4328125,-171.2765625,17.15625
-188.4328125,-171.2765625,17.15625
-188.4328125,-171.5625,16.8703125
-188.146875,-171.8484375,16.2984375
-187.8609375,-172.134375,15.7265625
-187.575,-171.8484375,15.7265625
-187.003125,-171.5625,15.440625
-186.43125,-170.7046875,15.7265625
-186.1453125,-169.846875,16.2984375
-186.43125,-168.703125,17.728125
-186.7171875,-167.8453125,18.871875
-187.575,-166.9875,20.5875
-188.4328125,-166.1296875,22.303125
-189.290625,-165.84375,23.446875
-190.1484375,-165.271875,24.8765625
-190.434375,-165.271875,25.1625
-190.1484375,-164.9859375,25.1625
-189.0046875,-164.7,24.3046875
-187.575,-164.128125,23.446875
-185.5734375,-163.55625,22.0171875
-183.2859375,-162.984375,20.3015625
-180.9984375,-161.840625,19.1578125
-178.996875,-160.696875,18.3
-177.28125,-159.2671875,18.0140625
-176.1375,-157.8375,18.3
-175.2796875,-156.121875,19.1578125
-174.99375,-154.40625,20.5875
-175.2796875,-152.9765625,22.303125
-175.2796875,-151.2609375,24.01875
-175.565625,-149.83125,25.734375
-176.1375,-148.6875,27.45
-176.4234375,-148.115625,28.3078125
-176.709375,-148.4015625,28.3078125
-177.5671875,-149.259375,28.3078125
-178.425,-150.975,27.45
-179.8546875,-153.5484375,26.30625
-182.1421875,-156.69375,25.4484375
-184.715625,-160.4109375,24.3046875
-187.575,-164.4140625,23.1609375
-190.434375,-167.8453125,22.5890625
-193.29375,-170.990625,22.303125
-195.58125,-173.278125,22.303125
-197.0109375,-174.421875,22.5890625
-197.5828125,-174.7078125,22.875
-197.0109375,-174.1359375,22.875
-195.8671875,-173.278125,22.5890625
-194.1515625,-171.8484375,22.303125
-192.15,-170.990625,21.159375
-190.434375,-170.41875,20.015625
-189.290625,-170.7046875,18.5859375
-189.0046875,-172.134375,16.8703125
-189.5765625,-174.1359375,15.440625
-190.7203125,-177.28125,13.4390625
-192.4359375,-180.4265625,12.009375
-194.7234375,-183.8578125,10.865625
-196.4390625,-186.7171875,9.72187500000001
-197.86875,-188.71875,9.15000000000001
-198.440625,-190.1484375,8.29218750000001
-197.86875,-190.1484375,7.72031250000001
-196.4390625,-189.5765625,6.86250000000001
-193.865625,-187.8609375,6.00468749999999
-191.00625,-185.859375,5.14687499999999
-187.575,-183.571875,4.00312500000001
-184.4296875,-181.284375,3.14531249999999
-181.5703125,-179.2828125,2.28749999999999
-179.2828125,-177.853125,1.4296875
-177.5671875,-176.709375,0.857812500000023
-176.709375,-175.8515625,0.857812499999994
-176.4234375,-174.99375,1.4296875
-176.709375,-174.7078125,2.00156249999998
-177.28125,-174.421875,2.859375
-178.1390625,-174.1359375,4.00312499999998
-179.56875,-174.421875,5.14687499999999
-181.284375,-174.7078125,6.57656249999999
-183.2859375,-175.8515625,7.43437500000002
-185.859375,-177.5671875,8.29218749999998
-189.0046875,-179.8546875,9.15000000000001
-192.4359375,-182.7140625,9.72187499999998
-195.8671875,-185.859375,10.0078125
-199.2984375,-188.71875,10.5796875
-201.871875,-191.00625,10.865625
-203.5875,-192.15,11.4375
-203.5875,-191.8640625,11.7234375
-202.1578125,-189.8625,12.2953125
-198.7265625,-185.859375,12.8671875
-193.5796875,-180.4265625,13.153125
-187.003125,-173.5640625,13.4390625
-179.8546875,-166.415625,13.4390625
-172.4203125,-158.98125,13.4390625
-165.84375,-152.4046875,13.4390625
-160.4109375,-146.971875,13.4390625
-156.9796875,-143.2546875,13.725
-155.55,-141.5390625,14.0109375
-155.8359375,-141.825,14.0109375
-158.1234375,-143.540625,14.5828125
-161.840625,-146.4,15.440625
-166.1296875,-149.83125,16.2984375
-170.41875,-153.5484375,16.8703125
-174.1359375,-156.4078125,17.728125
-176.9953125,-158.98125,18.0140625
-178.996875,-160.125,18.871875
-179.56875,-160.696875,18.871875
-178.996875,-160.4109375,18.5859375
-178.1390625,-159.553125,18.5859375
-176.709375,-158.98125,17.728125
-175.565625,-158.1234375,17.4421875
-174.421875,-157.8375,16.584375
-174.1359375,-158.1234375,16.0125
-174.1359375,-158.6953125,15.440625
-174.7078125,-159.8390625,14.86875
-175.2796875,-160.9828125,14.296875
-176.1375,-162.4125,13.725
-176.9953125,-163.55625,13.4390625
-177.28125,-164.4140625,12.8671875
-177.5671875,-165.271875,12.2953125
-177.28125,-165.5578125,11.7234375
-176.9953125,-165.84375,11.1515625
-176.4234375,-165.84375,10.5796875
-176.1375,-165.84375,10.29375
-175.565625,-165.84375,9.72187500000001
-175.2796875,-165.5578125,9.72187499999998
-174.99375,-165.271875,9.72187500000001
-174.421875,-164.4140625,10.0078125
-173.85,-163.55625,10.29375
-172.70625,-162.1265625,10.5796875
-171.2765625,-160.125,11.1515625
-169.846875,-158.409375,11.4375
-167.8453125,-156.4078125,11.4375
-166.415625,-154.6921875,11.7234375
-165.271875,-153.834375,11.4375
-164.7,-153.2625,11.4375
-164.9859375,-153.834375,11.1515625
-166.1296875,-154.978125,11.1515625
-167.8453125,-156.9796875,10.865625
-170.41875,-158.98125,11.4375
-173.278125,-160.9828125,12.2953125
-175.565625,-162.6984375,12.8671875
-177.5671875,-163.2703125,14.296875
-178.7109375,-162.984375,15.7265625
-178.7109375,-161.5546875,17.15625
-177.5671875,-158.98125,18.5859375
-175.565625,-155.55,20.015625
-173.278125,-151.8328125,21.4453125
-170.41875,-148.115625,22.303125
-167.8453125,-145.25625,22.5890625
-166.1296875,-142.96875,23.1609375
-164.9859375,-141.5390625,23.446875
