LEFT,RIGHT,DIFF
-135.2484375,-141.253125,-6.00468750000002
-122.38125,-128.671875,-6.29062499999999
-110.371875,-116.090625,-5.71875
-100.3640625,-103.7953125,-3.43125000000001
-92.071875,-92.9296875,-0.857812499999994
-86.353125,-84.3515625,2.00156250000001
-82.921875,-77.775,5.14687499999999
-81.4921875,-73.771875,7.72031249999999
-81.778125,-71.7703125,10.0078125
-82.921875,-72.05625,10.865625
-84.6375,-73.4859375,11.1515625
-86.0671875,-75.7734375,10.29375
-86.6390625,-77.775,8.8640625
-86.6390625,-79.490625,7.1484375
-85.78125,-80.3484375,5.4328125
-84.3515625,-80.0625,4.2890625
-82.35,-78.91875,3.43125000000001
-80.9203125,-76.9171875,4.00312500000001
-79.7765625,-74.6296875,5.14687499999999
-79.490625,-72.628125,6.86250000000001
-80.3484375,-71.1984375,9.15000000000001
-82.35,-70.6265625,11.7234375
-85.209375,-71.484375,13.725
-88.640625,-73.2,15.440625
-92.3578125,-76.059375,16.2984375
-95.503125,-79.2046875,16.2984375
-98.3625,-82.6359375,15.7265625
-99.7921875,-85.209375,14.5828125
-100.3640625,-86.925,13.4390625
-99.50625,-87.2109375,12.2953125
-97.21875,-86.0671875,11.1515625
-94.359375,-83.2078125,11.1515625
-91.2140625,-79.490625,11.7234375
-87.7828125,-74.6296875,13.153125
-84.6375,-69.76875,14.86875
-82.35,-65.4796875,16.8703125
-80.9203125,-62.0484375,18.871875
-80.3484375,-59.7609375,20.5875
-80.634375,-58.903125,21.73125
-81.778125,-59.7609375,22.0171875
-83.49375,-62.0484375,21.4453125
-85.78125,-65.19375,20.5875
-87.7828125,-69.196875,18.5859375
-89.784375,-73.2,16.584375
-91.7859375,-76.9171875,14.86875
-93.215625,-80.0625,13.153125
-94.0734375,-82.35,11.7234375
-94.93125,-83.2078125,11.7234375
-94.93125,-83.2078125,11.7234375
-94.93125,-82.35,12.58125
-94.6453125,-80.634375,14.0109375
-94.0734375,-78.6328125,15.440625
-93.215625,-76.3453125,16.8703125
-92.3578125,-74.6296875,17.728125
-91.5,-73.4859375,18.0140625
-90.6421875,-72.9140625,17.728125
-90.0703125,-73.2,16.8703125
-90.0703125,-74.34375,15.7265625
-90.35625,-76.059375,14.296875
-91.2140625,-78.91875,12.2953125
-92.64375,-82.0640625,10.5796875
-94.359375,-85.209375,9.14999999999999
-96.3609375,-88.640625,7.72031250000001
-98.3625,-91.7859375,6.57656249999999
-100.65,-94.359375,6.29062500000001
-102.0796875,-96.075,6.0046875
-103.2234375,-97.21875,6.0046875
-103.7953125,-97.790625,6.0046875
-103.509375,-97.5046875,6.0046875
-102.365625,-96.646875,5.71875
-100.65,-95.2171875,5.4328125
-98.6484375,-93.7875,4.86093749999999
-96.646875,-92.64375,4.00312500000001
-94.6453125,-91.5,3.1453125
-92.9296875,-90.6421875,2.28749999999999
-91.7859375,-90.35625,1.4296875
-91.5,-90.35625,1.14375
-91.5,-90.6421875,0.857812499999994
-92.071875,-90.928125,1.14375
-92.9296875,-91.5,1.4296875
-93.7875,-91.5,2.28750000000001
-94.6453125,-91.5,3.1453125
-95.2171875,-90.928125,4.2890625
-95.2171875,-89.784375,5.43281250000001
-94.93125,-88.3546875,6.57656250000001
-94.0734375,-86.353125,7.72031249999999
-92.9296875,-84.3515625,8.578125
-92.071875,-82.35,9.721875
-90.928125,-80.634375,10.29375
-90.6421875,-79.2046875,11.4375
-90.35625,-78.0609375,12.2953125
-90.928125,-77.4890625,13.4390625
-92.071875,-77.4890625,14.5828125
-93.215625,-77.4890625,15.7265625
-94.93125,-78.0609375,16.8703125
-96.646875,-78.6328125,18.0140625
-98.0765625,-79.2046875,18.871875
-99.2203125,-79.7765625,19.44375
-99.7921875,-80.3484375,19.44375
-100.078125,-81.20625,18.871875
-100.078125,-81.778125,18.3
-99.7921875,-82.921875,16.8703125
-99.50625,-84.065625,15.440625
-99.2203125,-85.4953125,13.725
-99.2203125,-87.2109375,12.009375
-99.50625,-88.9265625,10.5796875
-99.7921875,-90.928125,8.86406249999999
-100.3640625,-92.3578125,8.00624999999999
-101.221875,-93.7875,7.43437499999999
-101.5078125,-94.6453125,6.8625
-101.79375,-94.93125,6.8625
-101.221875,-94.6453125,6.57656249999999
-100.3640625,-94.359375,6.0046875
-99.2203125,-93.5015625,5.71875
-97.21875,-92.9296875,4.2890625
-95.503125,-92.3578125,3.14531249999999
-93.7875,-92.071875,1.715625
-92.3578125,-92.3578125,0.0
-91.5,-93.215625,-1.715625
-91.5,-94.359375,-2.859375
-92.071875,-96.3609375,-4.2890625
-93.5015625,-98.3625,-4.86093749999999
-95.2171875,-100.3640625,-5.14687499999999
-96.9328125,-102.0796875,-5.14687500000001
-98.6484375,-103.509375,-4.86093750000001
-100.078125,-104.653125,-4.575
-100.9359375,-105.225,-4.2890625
-100.9359375,-105.225,-4.2890625
-100.3640625,-104.653125,-4.2890625
-98.934375,-104.08125,-5.14687499999999
-97.21875,-103.509375,-6.29062500000001
-95.503125,-102.9375,-7.434375
-94.0734375,-102.6515625,-8.578125
-92.9296875,-102.6515625,-9.721875
-92.3578125,-103.2234375,-10.865625
-92.64375,-104.08125,-11.4375
-93.7875,-105.225,-11.4375
-95.2171875,-106.36875,-11.1515625
-97.21875,-107.7984375,-10.5796875
-99.2203125,-108.9421875,-9.721875
-100.9359375,-109.8,-8.8640625
-102.365625,-109.8,-7.434375
-103.2234375,-109.5140625,-6.29062500000001
-103.2234375,-108.3703125,-5.14687499999999
-102.6515625,-106.6546875,-4.00312500000001
-101.5078125,-103.7953125,-2.28750000000001
-99.50625,-100.3640625,-0.857812499999994
-97.21875,-96.075,1.14375
-94.6453125,-91.2140625,3.43125000000001
-92.071875,-86.353125,5.71875
-89.4984375,-81.4921875,8.00625000000001
-87.2109375,-76.63125,10.5796875
-85.209375,-72.9140625,12.2953125
-83.7796875,-69.76875,14.0109375
-82.6359375,-68.3390625,14.296875
-82.35,-68.053125,14.296875
-82.6359375,-68.9109375,13.725
-83.7796875,-71.484375,12.2953125
-85.209375,-74.6296875,10.5796875
-87.496875,-78.6328125,8.8640625
-89.784375,-82.35,7.43437499999999
-92.3578125,-86.0671875,6.29062500000001
-94.6453125,-88.9265625,5.71875
-96.9328125,-90.6421875,6.29062499999999
-98.6484375,-91.2140625,7.434375
-100.078125,-90.6421875,9.43593749999999
-100.9359375,-89.2125,11.7234375
-101.221875,-87.2109375,14.0109375
-101.221875,-84.9234375,16.2984375
-100.9359375,-82.921875,18.0140625
-100.3640625,-81.4921875,18.871875
-99.7921875,-80.9203125,18.871875
-99.50625,-81.20625,18.3
-99.2203125,-82.35,16.8703125
-98.934375,-84.065625,14.86875
-98.6484375,-86.0671875,12.58125
-98.3625,-88.06875,10.29375
-98.0765625,-89.4984375,8.578125
-97.790625,-90.35625,7.434375
-97.21875,-90.35625,6.8625
-96.646875,-89.784375,6.86250000000001
-96.075,-88.3546875,7.72031250000001
-95.503125,-86.6390625,8.86406249999999
-95.2171875,-84.9234375,10.29375
-94.93125,-83.49375,11.4375
-94.93125,-82.35,12.58125
-94.93125,-81.778125,13.153125
-94.93125,-81.4921875,13.4390625
-94.6453125,-81.4921875,13.153125
