LEFT,RIGHT,DIFF
3.7171875,-1.14375,-4.8609375
5.71875,1.14375,-4.575
6.5765625,3.43125,-3.1453125
6.290625,5.4328125,-0.857812500000001
5.146875,6.8625,1.715625
3.7171875,8.2921875,4.575
2.2875,9.721875,7.434375
1.14375,11.4375,10.29375
0.8578125,13.4390625,12.58125
1.4296875,15.440625,14.0109375
2.5734375,17.728125,15.1546875
4.575,19.44375,14.86875
6.290625,21.159375,14.86875
8.00625,21.73125,13.725
8.8640625,22.0171875,13.153125
9.15,21.159375,12.009375
8.2921875,19.7296875,11.4375
6.5765625,18.0140625,11.4375
4.575,16.2984375,11.7234375
2.859375,14.86875,12.009375
1.4296875,14.0109375,12.58125
1.14375,14.296875,13.153125
2.5734375,15.440625,12.8671875
5.4328125,17.728125,12.2953125
9.721875,20.8734375,11.1515625
15.440625,24.590625,9.15
21.73125,28.59375,6.8625
28.021875,32.3109375,4.2890625
33.740625,35.45625,1.715625
38.6015625,37.74375,-0.857812500000001
41.746875,39.1734375,-2.5734375
43.1765625,39.7453125,-3.43125
43.1765625,39.7453125,-3.43125
41.746875,39.459375,-2.2875
39.7453125,38.8875,-0.857812500000001
37.4578125,38.6015625,1.14375
35.45625,38.6015625,3.1453125
34.3125,39.1734375,4.8609375
34.3125,40.603125,6.290625
35.1703125,42.31875,7.1484375
37.4578125,44.3203125,6.8625
40.3171875,46.6078125,6.290625
43.4625,48.609375,5.146875
46.89375,50.325,3.43125
49.753125,51.7546875,2.0015625
52.040625,52.6125,0.571875000000006
53.4703125,53.4703125,0.0
54.0421875,54.0421875,0.0
54.0421875,54.6140625,0.571874999999999
53.4703125,55.7578125,2.2875
52.6125,57.1875,4.575
52.040625,59.1890625,7.14843750000001
51.7546875,61.7625,10.0078125
52.3265625,64.621875,12.2953125
53.184375,67.48125,14.296875
55.1859375,70.6265625,15.440625
57.4734375,73.771875,16.2984375
60.61875,76.3453125,15.7265625
64.05,78.91875,14.86875
68.053125,81.20625,13.153125
72.05625,83.2078125,11.1515625
76.059375,84.9234375,8.8640625
80.3484375,86.925,6.57656249999999
84.065625,88.9265625,4.86093750000001
87.7828125,91.2140625,3.43124999999999
90.928125,93.5015625,2.5734375
93.5015625,95.7890625,2.28749999999999
95.2171875,98.0765625,2.859375
96.3609375,99.7921875,3.43124999999999
96.646875,101.221875,4.57499999999999
96.3609375,102.0796875,5.71875
95.503125,101.79375,6.29062500000001
94.0734375,101.221875,7.1484375
92.64375,100.078125,7.434375
91.2140625,98.6484375,7.434375
90.6421875,97.21875,6.57656249999999
90.35625,96.3609375,6.0046875
91.2140625,95.7890625,4.575
92.9296875,96.075,3.1453125
95.503125,97.21875,1.715625
98.934375,98.934375,0.0
102.9375,101.5078125,-1.4296875
106.940625,104.3671875,-2.5734375
110.6578125,107.5125,-3.1453125
114.0890625,110.0859375,-4.00312500000001
116.6625,112.3734375,-4.2890625
118.378125,114.0890625,-4.2890625
119.521875,114.946875,-4.575
119.8078125,114.946875,-4.86093750000001
119.8078125,114.6609375,-5.14687500000001
119.521875,113.803125,-5.71875
119.521875,112.659375,-6.8625
119.8078125,112.0875,-7.72031250000001
120.665625,111.515625,-9.15000000000001
122.0953125,111.8015625,-10.29375
124.096875,112.659375,-11.4375
126.6703125,114.375,-12.2953125
129.815625,116.6625,-13.153125
132.9609375,119.2359375,-13.725
135.8203125,122.38125,-13.4390625
138.1078125,125.8125,-12.2953125
140.109375,128.9578125,-11.1515625
141.5390625,132.103125,-9.43593749999999
142.1109375,134.9625,-7.1484375
142.1109375,137.25,-4.86093750000001
141.825,139.5375,-2.28750000000002
141.253125,141.5390625,0.285937499999989
140.9671875,143.540625,2.57343750000001
140.9671875,145.5421875,4.57500000000002
141.5390625,147.54375,6.00468750000002
142.96875,149.83125,6.86250000000001
145.25625,152.690625,7.43437500000002
148.6875,155.55,6.86250000000001
152.690625,158.98125,6.29062500000001
157.5515625,162.4125,4.86093749999998
162.6984375,165.5578125,2.859375
168.13125,168.703125,0.571875000000006
172.9921875,171.5625,-1.4296875
177.5671875,173.85,-3.71718750000002
180.9984375,175.2796875,-5.71875
183.2859375,176.1375,-7.1484375
184.14375,176.1375,-8.00624999999999
183.8578125,175.2796875,-8.578125
182.1421875,174.421875,-7.72031250000001
179.2828125,172.9921875,-6.29062500000001
176.1375,171.5625,-4.57500000000002
172.70625,170.41875,-2.28749999999999
169.275,169.846875,0.571875000000006
166.7015625,169.5609375,2.859375
164.9859375,169.846875,4.86093750000001
164.7,170.990625,6.29062499999998
165.5578125,172.4203125,6.86249999999998
167.8453125,174.421875,6.57656249999999
170.7046875,176.4234375,5.71875
174.1359375,178.425,4.2890625
177.853125,180.4265625,2.57343750000001
181.284375,182.1421875,0.857812499999994
184.14375,183.8578125,-0.285937500000017
186.43125,185.0015625,-1.4296875
187.8609375,186.43125,-1.4296875
188.4328125,187.575,-0.857812499999994
189.0046875,189.290625,0.285937499999989
189.290625,191.00625,1.71562499999999
190.1484375,193.0078125,2.859375
191.2921875,195.58125,4.2890625
193.29375,198.1546875,4.86093749999998
196.153125,200.728125,4.57499999999999
199.2984375,203.015625,3.71718749999999
203.015625,204.73125,1.71562500000002
206.446875,205.875,-0.571875000000006
209.5921875,206.1609375,-3.43124999999998
211.8796875,205.875,-6.00468750000002
213.0234375,205.0171875,-8.00624999999999
213.0234375,203.8734375,-9.15000000000001
212.4515625,203.015625,-9.43593749999999
211.021875,202.7296875,-8.29218749999998
209.878125,203.3015625,-6.57656249999999
209.0203125,205.0171875,-4.00312500000001
209.0203125,207.8765625,-1.14375000000001
210.45,212.165625,1.71562499999999
213.309375,217.3125,4.00312499999998
217.3125,223.03125,5.71875
222.1734375,228.75,6.57656249999999
227.60625,234.1828125,6.57656249999999
232.4671875,238.7578125,6.29062499999998
236.75625,242.1890625,5.43281249999998
239.9015625,243.9046875,4.00312500000001
241.33125,244.4765625,3.14531249999999
241.0453125,243.61875,2.57343749999998
239.3296875,242.1890625,2.859375
237.0421875,240.1875,3.14531249999999
234.1828125,238.471875,4.2890625
231.8953125,237.328125,5.43281249999998
230.7515625,237.0421875,6.29062500000001
230.7515625,238.1859375,7.43437500000002
232.4671875,240.4734375,8.00624999999999
235.6125,243.3328125,7.72031250000001
240.1875,247.05,6.86250000000001
245.0484375,251.053125,6.00468750000002
250.1953125,254.484375,4.2890625
254.484375,257.6296875,3.14531249999999
257.6296875,259.63125,2.00156250000003
259.3453125,260.4890625,1.14374999999995
259.63125,260.775,1.14375000000001
258.2015625,259.9171875,1.71562499999999
255.628125,259.059375,3.43124999999998
252.76875,257.915625,5.14687500000002
249.6234375,256.771875,7.1484375
247.05,256.4859375,9.43593750000002
245.334375,256.4859375,11.1515625
244.7625,257.34375,12.58125
245.334375,258.7734375,13.4390625
246.7640625,260.203125,13.4390625
249.0515625,261.91875,12.8671875
251.625,263.3484375,11.7234375
254.1984375,264.4921875,10.29375
256.4859375,265.0640625,8.578125
257.915625,265.35,7.43437499999999
259.059375,265.35,6.29062500000003
259.63125,265.0640625,5.43281250000001
259.9171875,265.0640625,5.14687500000002
260.203125,265.35,5.14687500000002
260.775,266.2078125,5.43281249999995
261.6328125,267.6375,6.00468749999999
263.3484375,269.6390625,6.29062500000003
265.6359375,272.2125,6.57656250000002
268.4953125,275.3578125,6.86250000000001
271.3546875,278.503125,7.1484375
274.5,281.6484375,7.1484375
277.6453125,284.5078125,6.86250000000001
279.9328125,287.08125,7.1484375
281.934375,289.0828125,7.1484375
283.3640625,290.5125,7.1484375
284.221875,291.65625,7.43437499999999
284.79375,292.8,8.00625000000002
285.0796875,293.94375,8.86406249999999
285.6515625,295.3734375,9.72187500000001
286.509375,297.0890625,10.5796875
287.9390625,299.3765625,11.4375
290.2265625,302.521875,12.2953125
293.0859375,305.953125,12.8671875
296.803125,309.95625,13.153125
301.0921875,314.2453125,13.153125
305.6671875,318.8203125,13.153125
310.2421875,323.109375,12.8671875
314.8171875,327.1125,12.2953125
318.8203125,330.8296875,12.009375
322.2515625,333.6890625,11.4375
325.1109375,335.9765625,10.865625
327.1125,337.6921875,10.5796875
328.828125,338.8359375,10.0078125
329.971875,339.69375,9.72187500000001
330.8296875,340.265625,9.43593749999997
331.4015625,340.8375,9.43593750000002
332.259375,341.409375,9.14999999999998
333.1171875,342.2671875,9.15000000000003
334.2609375,343.4109375,9.14999999999998
335.4046875,344.840625,9.43593749999997
336.5484375,345.984375,9.43593749999997
337.6921875,347.4140625,9.72187500000001
338.55,348.271875,9.72187500000001
338.8359375,349.1296875,10.29375
338.55,349.1296875,10.5796875
337.6921875,348.5578125,10.865625
335.9765625,347.7,11.7234375
333.975,346.55625,12.58125
331.9734375,345.1265625,13.153125
329.6859375,343.9828125,14.296875
328.25625,343.4109375,15.1546875
327.3984375,343.696875,16.2984375
327.684375,344.840625,17.15625
329.1140625,347.128125,18.0140625
331.6875,350.2734375,18.5859375
335.11875,354.5625,19.44375
339.121875,359.4234375,20.3015625
343.4109375,364.284375,20.8734375
347.9859375,369.43125,21.4453125
351.9890625,374.00625,22.0171875
355.70625,378.2953125,22.5890625
358.565625,381.7265625,23.1609375
361.1390625,384.3,23.1609375
363.140625,386.3015625,23.1609375
364.85625,388.0171875,23.1609375
366.8578125,389.446875,22.5890625
368.859375,390.8765625,22.0171875
371.146875,392.0203125,20.8734375
374.00625,393.1640625,19.1578125
376.5796875,394.021875,17.4421875
378.8671875,394.3078125,15.440625
380.86875,393.7359375,12.8671875
381.440625,391.734375,10.29375
380.86875,388.5890625,7.72031249999998
378.58125,383.728125,5.14687500000002
374.578125,377.1515625,2.57343750000001
368.859375,369.43125,0.571875000000034
361.996875,360.5671875,-1.4296875
354.2765625,351.13125,-3.14531249999999
346.2703125,341.98125,-4.2890625
338.55,333.403125,-5.14687500000002
331.9734375,325.96875,-6.00468749999999
326.8265625,319.9640625,-6.86250000000001
323.109375,315.9609375,-7.1484375
321.39375,313.6734375,-7.72031249999998
321.6796875,313.3875,-8.29218750000001
323.3953125,314.8171875,-8.578125
326.8265625,318.2484375,-8.578125
331.115625,323.109375,-8.00625000000002
336.5484375,329.1140625,-7.43437500000005
342.2671875,336.2625,-6.00468750000005
348.84375,344.26875,-4.57499999999999
355.70625,353.1328125,-2.57343750000001
363.140625,362.56875,-0.571874999999977
370.575,372.290625,1.71562500000005
378.58125,382.0125,3.43124999999998
386.5875,391.4484375,4.86093749999998
394.59375,400.3125,5.71875
402.6,408.0328125,5.43281250000001
409.7484375,414.609375,4.86093749999998
416.325,420.0421875,3.71718750000002
421.7578125,423.759375,2.00156250000003
426.046875,426.046875,0.0
428.90625,427.190625,-1.71562499999999
430.05,427.4765625,-2.57343750000001
430.05,427.190625,-2.859375
429.1921875,426.61875,-2.57343749999995
427.190625,426.046875,-1.14375000000001
424.6171875,425.475,0.857812500000023
422.04375,425.475,3.43125000000003
419.4703125,425.475,6.00468749999999
417.1828125,425.7609375,8.578125
415.4671875,426.046875,10.5796875
414.0375,425.7609375,11.7234375
412.89375,425.1890625,12.2953125
412.321875,424.33125,12.009375
412.0359375,422.9015625,10.865625
412.0359375,421.1859375,9.15000000000003
411.75,419.4703125,7.72031250000003
411.75,418.040625,6.29062500000003
411.4640625,416.896875,5.43281250000001
411.178125,416.325,5.14687499999997
410.60625,416.6109375,6.00468750000005
409.7484375,417.46875,7.72031249999998
409.1765625,418.8984375,9.72187500000001
408.6046875,420.9,12.2953125
408.0328125,422.9015625,14.86875
407.746875,424.903125,17.15625
408.0328125,426.61875,18.5859375
408.6046875,428.334375,19.7296875
409.4625,429.478125,20.015625
411.178125,430.9078125,19.7296875
413.1796875,432.0515625,18.871875
415.4671875,433.1953125,17.728125
418.3265625,434.625,16.2984375
420.9,436.340625,15.440625
423.759375,438.3421875,14.5828125
425.7609375,440.34375,14.5828125
427.4765625,442.3453125,14.86875
428.6203125,443.775,15.1546875
428.6203125,444.6328125,16.0125
428.334375,444.91875,16.584375
427.4765625,444.346875,16.8703125
426.3328125,442.9171875,16.584375
424.903125,440.915625,16.0125
424.0453125,438.628125,14.5828125
423.1875,436.0546875,12.8671875
423.1875,433.7671875,10.5796875
423.759375,432.0515625,8.29218749999995
424.903125,431.19375,6.29062500000003
426.3328125,430.9078125,4.57500000000005
428.334375,431.4796875,3.14531249999999
430.3359375,432.6234375,2.28750000000002
432.0515625,434.053125,2.00156250000003
433.7671875,435.76875,2.00156249999998
434.9109375,437.484375,2.57343750000001
436.0546875,439.2,3.14531250000005
436.6265625,440.34375,3.71718749999997
436.9125,441.2015625,4.2890625
437.484375,442.059375,4.57500000000005
437.7703125,442.3453125,4.57500000000005
438.05625,442.3453125,4.2890625
438.3421875,442.63125,4.2890625
438.9140625,442.63125,3.71718750000002
439.2,442.9171875,3.71718749999997
439.2,443.203125,4.00312499999995
439.2,443.203125,4.00312499999995
438.628125,443.4890625,4.86093750000003
437.7703125,443.775,6.00468750000005
436.9125,444.0609375,7.1484375
436.0546875,444.0609375,8.00625000000002
435.196875,444.346875,9.14999999999998
434.9109375,444.346875,9.43593750000002
435.196875,444.346875,9.14999999999998
436.0546875,444.6328125,8.578125
437.1984375,444.6328125,7.43437499999999
438.9140625,444.6328125,5.71875
440.6296875,444.346875,3.71718749999997
442.059375,443.4890625,1.4296875
443.203125,442.63125,-0.571874999999977
443.775,441.2015625,-2.57343750000001
443.203125,439.2,-4.00312499999995
442.059375,437.484375,-4.57500000000005
440.0578125,435.4828125,-4.57499999999999
437.7703125,434.053125,-3.71718749999997
435.76875,432.909375,-2.859375
434.053125,432.909375,-1.14375000000001
433.1953125,433.7671875,0.571875000000034
433.1953125,435.76875,2.57343750000001
434.3390625,438.628125,4.2890625
436.6265625,442.059375,5.43281250000001
439.4859375,446.3484375,6.86250000000001
442.63125,450.3515625,7.72031249999998
445.7765625,454.06875,8.29218750000001
448.35,457.2140625,8.86406249999999
449.7796875,459.5015625,9.72187500000001
450.065625,460.6453125,10.5796875
449.49375,460.6453125,11.1515625
447.778125,460.0734375,12.2953125
445.490625,458.64375,13.153125
442.9171875,457.2140625,14.296875
440.915625,456.0703125,15.1546875
439.2,455.4984375,16.2984375
438.3421875,455.2125,16.8703125
438.628125,455.784375,17.15625
439.771875,456.928125,17.15625
441.4875,458.64375,17.15625
443.203125,460.359375,17.15625
444.91875,462.075,17.15625
445.7765625,463.21875,17.4421875
446.0625,463.5046875,17.4421875
444.91875,463.21875,18.3
442.9171875,462.075,19.1578125
440.34375,460.6453125,20.3015625
437.484375,458.64375,21.159375
434.9109375,456.6421875,21.73125
433.1953125,455.2125,22.0171875
432.3375,454.06875,21.73125
432.6234375,453.7828125,21.159375
434.625,454.3546875,19.7296875
437.7703125,455.4984375,17.728125
441.4875,457.2140625,15.7265625
445.7765625,459.215625,13.4390625
449.7796875,460.93125,11.1515625
452.925,462.3609375,9.43593750000002
454.9265625,463.21875,8.29218749999995
455.4984375,463.21875,7.72031249999998
454.640625,462.3609375,7.72031250000003
452.6390625,460.93125,8.29218750000001
449.49375,458.9296875,9.43593749999997
446.0625,456.928125,10.865625
442.9171875,454.9265625,12.009375
440.0578125,453.2109375,13.153125
438.628125,452.353125,13.725
438.3421875,452.0671875,13.725
439.2,452.6390625,13.4390625
441.2015625,453.7828125,12.58125
444.0609375,455.4984375,11.4375
447.20625,457.5,10.29375
450.3515625,459.215625,8.86406250000005
452.925,460.6453125,7.72031250000003
454.640625,461.7890625,7.1484375
455.4984375,462.075,6.57656250000002
455.4984375,462.075,6.57656250000002
454.9265625,461.7890625,6.86249999999995
454.06875,461.2171875,7.1484375
453.496875,460.6453125,7.1484375
453.2109375,460.6453125,7.43437500000005
454.06875,461.2171875,7.1484375
455.784375,462.3609375,6.57656250000002
458.3578125,464.3625,6.00468749999999
461.7890625,466.9359375,5.14687500000002
465.2203125,469.7953125,4.57499999999999
468.6515625,473.2265625,4.57499999999999
471.5109375,476.6578125,5.14687500000002
