LEFT,RIGHT,DIFF
-145.5421875,-166.7015625,-21.159375
-146.971875,-169.275,-22.303125
-148.4015625,-171.8484375,-23.446875
-149.259375,-174.1359375,-24.8765625
-149.83125,-175.8515625,-26.0203125
-149.5453125,-176.709375,-27.1640625
-148.9734375,-176.709375,-27.7359375
-147.54375,-176.4234375,-28.8796875
-145.828125,-175.2796875,-29.4515625
-144.1125,-173.85,-29.7375
-142.1109375,-172.134375,-30.0234375
-140.3953125,-170.1328125,-29.7375
-138.965625,-168.703125,-29.7375
-138.1078125,-167.2734375,-29.165625
-137.821875,-166.415625,-28.59375
-137.821875,-165.84375,-28.021875
-138.6796875,-165.5578125,-26.878125
-139.8234375,-165.84375,-26.0203125
-141.253125,-166.415625,-25.1625
-142.6828125,-167.2734375,-24.590625
-144.1125,-167.8453125,-23.7328125
-144.9703125,-168.4171875,-23.446875
-145.5421875,-168.703125,-23.1609375
-145.5421875,-168.703125,-23.1609375
-144.684375,-167.8453125,-23.1609375
-143.2546875,-166.7015625,-23.446875
-141.253125,-164.9859375,-23.7328125
-138.6796875,-162.984375,-24.3046875
-135.8203125,-160.4109375,-24.590625
-132.9609375,-158.1234375,-25.1625
-130.3875,-155.55,-25.1625
-128.1,-153.5484375,-25.4484375
-126.6703125,-152.11875,-25.4484375
-126.0984375,-151.2609375,-25.1625
-126.384375,-151.2609375,-24.8765625
-127.528125,-151.8328125,-24.3046875
-129.24375,-152.690625,-23.446875
-131.53125,-154.1203125,-22.5890625
-133.81875,-155.55,-21.73125
-136.10625,-156.69375,-20.5875
-137.821875,-157.5515625,-19.7296875
-138.965625,-157.8375,-18.871875
-139.5375,-157.5515625,-18.0140625
-139.2515625,-156.69375,-17.4421875
-138.1078125,-155.55,-17.4421875
-136.9640625,-154.1203125,-17.15625
-135.534375,-152.690625,-17.15625
-134.1046875,-151.546875,-17.4421875
-132.9609375,-150.975,-18.0140625
-132.675,-150.975,-18.3
-132.9609375,-151.546875,-18.5859375
-133.81875,-152.9765625,-19.1578125
-135.2484375,-154.6921875,-19.44375
-136.9640625,-156.9796875,-20.015625
-138.965625,-159.2671875,-20.3015625
-140.9671875,-161.5546875,-20.5875
-142.6828125,-163.55625,-20.8734375
-143.8265625,-165.271875,-21.4453125
-144.3984375,-166.415625,-22.0171875
-144.3984375,-166.9875,-22.5890625
-143.540625,-167.2734375,-23.7328125
-142.396875,-166.7015625,-24.3046875
-140.3953125,-165.84375,-25.4484375
-138.1078125,-164.7,-26.5921875
-135.534375,-162.984375,-27.45
-132.675,-160.9828125,-28.3078125
-129.815625,-158.6953125,-28.8796875
-126.95625,-156.121875,-29.165625
-124.096875,-153.2625,-29.165625
-121.2375,-150.1171875,-28.8796875
-118.95,-147.54375,-28.59375
-117.234375,-145.25625,-28.021875
-116.090625,-143.540625,-27.45
-115.8046875,-142.6828125,-26.878125
-116.3765625,-142.96875,-26.5921875
-118.0921875,-144.684375,-26.5921875
-120.9515625,-147.8296875,-26.878125
-124.9546875,-152.4046875,-27.45
-129.815625,-158.1234375,-28.3078125
-135.534375,-164.9859375,-29.4515625
-141.825,-172.70625,-30.88125
-148.4015625,-180.9984375,-32.596875
-155.2640625,-189.290625,-34.0265625
-162.1265625,-197.5828125,-35.45625
-168.9890625,-205.5890625,-36.6
-175.565625,-213.0234375,-37.4578125
-181.85625,-219.8859375,-38.0296875
-187.8609375,-225.6046875,-37.74375
-193.0078125,-230.465625,-37.4578125
-197.5828125,-233.896875,-36.3140625
-201.3,-236.184375,-34.884375
-203.8734375,-237.0421875,-33.16875
-205.0171875,-236.184375,-31.1671875
-205.0171875,-233.6109375,-28.59375
-203.3015625,-229.0359375,-25.734375
-199.8703125,-223.03125,-23.1609375
-194.7234375,-215.3109375,-20.5875
-188.146875,-206.1609375,-18.0140625
-180.4265625,-195.8671875,-15.440625
-171.5625,-185.2875,-13.725
-161.840625,-174.1359375,-12.2953125
-152.11875,-163.55625,-11.4375
-142.96875,-153.834375,-10.865625
-134.1046875,-145.5421875,-11.4375
-126.6703125,-138.6796875,-12.009375
-120.665625,-133.5328125,-12.8671875
-116.3765625,-130.1015625,-13.725
-113.803125,-128.3859375,-14.5828125
-112.9453125,-128.3859375,-15.440625
-113.5171875,-129.24375,-15.7265625
-115.51875,-131.2453125,-15.7265625
-118.6640625,-133.5328125,-14.86875
-122.38125,-136.3921875,-14.0109375
-126.384375,-138.965625,-12.58125
-130.3875,-141.253125,-10.865625
-133.81875,-142.96875,-9.15000000000001
-136.678125,-144.3984375,-7.72031250000001
-138.965625,-145.25625,-6.29062499999998
-140.3953125,-145.5421875,-5.14687499999999
-141.253125,-145.5421875,-4.2890625
-141.825,-145.5421875,-3.71718749999999
-142.1109375,-145.25625,-3.14531249999999
-142.6828125,-145.5421875,-2.859375
-143.540625,-145.828125,-2.28749999999999
-145.25625,-146.6859375,-1.4296875
-147.2578125,-148.115625,-0.857812499999994
-150.1171875,-149.83125,0.285937499999989
-153.2625,-152.11875,1.14375000000001
-156.69375,-154.40625,2.28749999999999
-159.8390625,-156.69375,3.14531250000002
-162.1265625,-158.6953125,3.43125000000001
-163.55625,-159.8390625,3.71718749999999
-163.8421875,-160.4109375,3.43124999999998
-162.6984375,-160.125,2.57343750000001
-160.4109375,-158.98125,1.4296875
-157.265625,-157.265625,0.0
-153.834375,-154.978125,-1.14375000000001
-150.403125,-152.4046875,-2.00156249999998
-147.8296875,-150.1171875,-2.28749999999999
-146.1140625,-148.6875,-2.57343749999998
-145.828125,-147.8296875,-2.00156250000001
-146.6859375,-148.115625,-1.4296875
-149.259375,-149.259375,0.0
-152.4046875,-151.546875,0.857812499999994
-156.121875,-154.40625,1.71562500000002
-159.553125,-157.265625,2.28749999999999
-162.4125,-160.125,2.28749999999999
-163.8421875,-162.1265625,1.71562499999999
-163.55625,-162.984375,0.571875000000006
-162.1265625,-162.6984375,-0.571875000000006
-158.98125,-160.9828125,-2.00156249999998
-154.978125,-158.1234375,-3.14531249999999
