LEFT,RIGHT,DIFF
-262.2046875,-132.9609375,129.24375
-263.9203125,-134.9625,128.9578125
-266.2078125,-137.5359375,128.671875
-269.0671875,-139.8234375,129.24375
-272.2125,-141.825,130.3875
-274.7859375,-142.96875,131.8171875
-276.5015625,-143.2546875,133.246875
-277.359375,-142.396875,134.9625
-277.0734375,-140.68125,136.3921875
-275.64375,-138.1078125,137.5359375
-273.35625,-134.9625,138.39375
-270.2109375,-131.8171875,138.39375
-267.065625,-128.671875,138.39375
-263.9203125,-126.384375,137.5359375
-261.6328125,-124.66875,136.9640625
-259.63125,-124.096875,135.534375
-258.7734375,-124.3828125,134.390625
-258.7734375,-125.240625,133.5328125
-259.3453125,-126.95625,132.3890625
-260.4890625,-128.9578125,131.53125
-261.91875,-130.6734375,131.2453125
-263.634375,-132.103125,131.53125
-265.6359375,-133.246875,132.3890625
-267.3515625,-133.81875,133.5328125
-269.353125,-133.81875,135.534375
-271.3546875,-133.5328125,137.821875
-273.35625,-132.9609375,140.3953125
-275.64375,-132.9609375,142.6828125
-278.2171875,-132.9609375,145.25625
-281.0765625,-133.81875,147.2578125
-283.65,-134.9625,148.6875
-285.9375,-136.3921875,149.5453125
-287.653125,-138.39375,149.259375
-288.5109375,-139.8234375,148.6875
-288.225,-140.9671875,147.2578125
-286.509375,-141.253125,145.25625
-283.65,-140.68125,142.96875
-279.646875,-138.6796875,140.9671875
-274.5,-135.2484375,139.2515625
-268.78125,-130.959375,137.821875
-262.7765625,-126.0984375,136.678125
-257.34375,-120.9515625,136.3921875
-252.76875,-116.090625,136.678125
-249.3375,-112.0875,137.25
-247.3359375,-109.5140625,137.821875
-247.05,-108.65625,138.39375
-248.4796875,-109.5140625,138.965625
-251.053125,-112.0875,138.965625
-254.484375,-115.8046875,138.6796875
-258.2015625,-120.3796875,137.821875
-261.91875,-124.9546875,136.9640625
-264.778125,-128.9578125,135.8203125
-266.2078125,-131.53125,134.6765625
-266.49375,-132.675,133.81875
-264.778125,-131.8171875,132.9609375
-261.91875,-129.24375,132.675
-257.6296875,-125.240625,132.3890625
-253.0546875,-120.09375,132.9609375
-248.19375,-114.6609375,133.5328125
-244.190625,-109.8,134.390625
-241.33125,-106.0828125,135.2484375
-240.4734375,-104.08125,136.3921875
-241.33125,-104.3671875,136.9640625
-244.4765625,-106.6546875,137.821875
-249.3375,-110.94375,138.39375
-255.628125,-116.6625,138.965625
-262.490625,-123.525,138.965625
-269.6390625,-130.1015625,139.5375
-276.215625,-136.3921875,139.8234375
-281.3625,-141.253125,140.109375
-285.0796875,-144.3984375,140.68125
-287.08125,-145.828125,141.253125
-287.3671875,-145.828125,141.5390625
-285.9375,-144.1125,141.825
-283.65,-141.253125,142.396875
-280.790625,-138.1078125,142.6828125
-277.93125,-135.2484375,142.6828125
-275.3578125,-132.3890625,142.96875
-273.35625,-130.6734375,142.6828125
-272.4984375,-129.5296875,142.96875
-272.4984375,-129.24375,143.2546875
-273.0703125,-129.815625,143.2546875
-273.928125,-130.3875,143.540625
-275.071875,-131.53125,143.540625
-276.215625,-132.3890625,143.8265625
-277.0734375,-132.9609375,144.1125
-277.6453125,-133.5328125,144.1125
-277.93125,-133.81875,144.1125
-278.2171875,-134.1046875,144.1125
-278.503125,-134.390625,144.1125
-279.075,-135.2484375,143.8265625
-279.9328125,-136.10625,143.8265625
-281.3625,-137.5359375,143.8265625
-283.078125,-138.965625,144.1125
-285.0796875,-140.68125,144.3984375
-287.08125,-142.1109375,144.9703125
-288.225,-142.96875,145.25625
-288.796875,-143.2546875,145.5421875
-288.225,-142.396875,145.828125
-286.2234375,-140.9671875,145.25625
-283.3640625,-138.39375,144.9703125
-279.075,-134.9625,144.1125
-274.5,-131.53125,142.96875
-269.353125,-127.528125,141.825
-264.4921875,-123.8109375,140.68125
-260.203125,-120.9515625,139.2515625
-257.0578125,-118.378125,138.6796875
-255.3421875,-116.9484375,138.39375
-255.05625,-116.6625,138.39375
-256.2,-116.9484375,139.2515625
-258.7734375,-118.0921875,140.68125
-262.2046875,-120.09375,142.1109375
-266.49375,-122.0953125,144.3984375
-271.3546875,-124.66875,146.6859375
-275.9296875,-127.2421875,148.6875
-280.21875,-129.5296875,150.6890625
-283.65,-131.8171875,151.8328125
-286.509375,-133.81875,152.690625
-288.5109375,-135.2484375,153.2625
-289.0828125,-136.3921875,152.690625
-288.796875,-136.9640625,151.8328125
-287.653125,-137.25,150.403125
-285.365625,-136.678125,148.6875
-282.50625,-135.8203125,146.6859375
-279.075,-134.390625,144.684375
-275.071875,-132.3890625,142.6828125
-270.7828125,-130.1015625,140.68125
-266.49375,-127.8140625,138.6796875
-262.7765625,-125.5265625,137.25
-259.3453125,-123.8109375,135.534375
-256.771875,-122.6671875,134.1046875
-255.05625,-122.0953125,132.9609375
-254.1984375,-122.6671875,131.53125
-254.484375,-124.096875,130.3875
-255.628125,-126.6703125,128.9578125
-257.6296875,-130.1015625,127.528125
-260.203125,-134.390625,125.8125
-263.3484375,-138.6796875,124.66875
-266.49375,-143.2546875,123.2390625
-269.6390625,-147.54375,122.0953125
-272.4984375,-151.2609375,121.2375
-274.5,-154.1203125,120.3796875
-275.9296875,-155.55,120.3796875
-276.215625,-155.8359375,120.3796875
-275.9296875,-154.6921875,121.2375
-274.7859375,-152.11875,122.6671875
-272.784375,-148.4015625,124.3828125
-270.496875,-143.8265625,126.6703125
-267.6375,-138.6796875,128.9578125
-264.778125,-133.5328125,131.2453125
-261.91875,-128.671875,133.246875
-259.63125,-124.3828125,135.2484375
-257.6296875,-120.9515625,136.678125
-256.2,-118.95,137.25
-255.628125,-118.0921875,137.5359375
-255.9140625,-118.378125,137.5359375
-256.771875,-119.8078125,136.9640625
-258.4875,-122.38125,136.10625
-260.4890625,-125.5265625,134.9625
-263.3484375,-129.24375,134.1046875
-266.2078125,-133.246875,132.9609375
-269.6390625,-137.25,132.3890625
-272.784375,-140.9671875,131.8171875
-276.215625,-144.684375,131.53125
