LEFT,RIGHT,DIFF
-132.9609375,-62.6203125,70.340625
-132.3890625,-65.765625,66.6234375
-133.81875,-70.9125,62.90625
-137.25,-77.775,59.475
-142.1109375,-84.9234375,57.1875
-148.115625,-92.071875,56.04375
-153.834375,-98.3625,55.471875
-159.2671875,-102.6515625,56.615625
-162.984375,-104.9390625,58.0453125
-164.7,-104.653125,60.046875
-164.4140625,-102.365625,62.0484375
-162.1265625,-98.3625,63.7640625
-158.1234375,-93.5015625,64.621875
-153.834375,-88.640625,65.19375
-149.259375,-84.3515625,64.9078125
-146.1140625,-81.778125,64.3359375
-144.1125,-81.20625,62.90625
-144.1125,-82.35,61.7625
-146.1140625,-85.209375,60.9046875
-149.5453125,-89.2125,60.3328125
-154.1203125,-93.215625,60.9046875
-158.6953125,-96.9328125,61.7625
-162.4125,-99.50625,62.90625
-164.7,-100.078125,64.621875
-164.9859375,-98.3625,66.6234375
-162.984375,-94.359375,68.625
-158.98125,-88.640625,70.340625
-153.2625,-81.4921875,71.7703125
-146.1140625,-73.4859375,72.628125
-138.965625,-66.0515625,72.9140625
-132.103125,-59.1890625,72.9140625
-126.6703125,-54.0421875,72.628125
-122.6671875,-50.896875,71.7703125
-121.2375,-50.0390625,71.1984375
-121.809375,-51.7546875,70.0546875
-124.9546875,-55.7578125,69.196875
-130.1015625,-62.334375,67.7671875
-137.5359375,-70.9125,66.6234375
-146.4,-80.9203125,65.4796875
-156.4078125,-92.64375,63.7640625
-167.559375,-104.9390625,62.6203125
-178.7109375,-117.5203125,61.190625
-190.1484375,-129.815625,60.3328125
-200.728125,-140.9671875,59.7609375
-210.45,-150.975,59.475
-218.7421875,-158.6953125,60.046875
-224.746875,-163.8421875,60.9046875
-228.4640625,-166.1296875,62.334375
-229.6078125,-165.84375,63.7640625
-228.178125,-162.4125,65.765625
-224.746875,-156.9796875,67.7671875
-219.3140625,-149.5453125,69.76875
-212.7375,-141.5390625,71.1984375
-205.875,-133.246875,72.628125
-199.2984375,-125.5265625,73.771875
-193.5796875,-118.95,74.6296875
-189.0046875,-113.803125,75.2015625
-186.1453125,-110.0859375,76.059375
-185.0015625,-107.7984375,77.203125
-184.715625,-106.940625,77.775
-185.2875,-106.36875,78.91875
-186.1453125,-106.36875,79.7765625
-186.7171875,-106.0828125,80.634375
-186.7171875,-105.796875,80.9203125
-185.859375,-104.9390625,80.9203125
-184.14375,-104.08125,80.0625
-182.1421875,-103.509375,78.6328125
-179.56875,-103.2234375,76.3453125
-177.28125,-103.2234375,74.0578125
-175.2796875,-104.08125,71.1984375
-174.1359375,-105.5109375,68.625
-173.5640625,-106.940625,66.6234375
-173.278125,-108.084375,65.19375
-173.278125,-108.9421875,64.3359375
-172.9921875,-108.3703125,64.621875
-172.4203125,-106.940625,65.4796875
-170.990625,-104.08125,66.909375
-168.703125,-100.3640625,68.3390625
-166.1296875,-96.075,70.0546875
