LEFT,RIGHT,DIFF
-1345.3359375,-660.2296875,685.10625
-1344.478125,-660.2296875,684.2484375
-1343.90625,-660.515625,683.390625
-1343.0484375,-660.515625,682.5328125
-1342.4765625,-660.8015625,681.675
-1341.9046875,-661.3734375,680.53125
-1341.61875,-661.659375,679.959375
-1341.046875,-661.9453125,679.1015625
-1340.7609375,-662.23125,678.5296875
-1340.1890625,-662.23125,677.9578125
-1339.6171875,-662.23125,677.3859375
-1338.759375,-662.23125,676.528125
-1338.1875,-661.9453125,676.2421875
-1337.3296875,-661.659375,675.6703125
-1336.471875,-661.0875,675.384375
-1335.9,-660.515625,675.384375
-1335.328125,-659.94375,675.384375
-1335.0421875,-659.6578125,675.384375
-1335.0421875,-659.0859375,675.95625
-1335.0421875,-658.8,676.2421875
-1335.328125,-658.5140625,676.8140625
-1335.6140625,-658.228125,677.3859375
-1336.1859375,-658.228125,677.9578125
-1336.1859375,-657.9421875,678.24375
-1336.471875,-657.65625,678.815625
-1336.471875,-657.3703125,679.1015625
-1336.1859375,-656.7984375,679.3875
-1335.9,-656.5125,679.3875
-1335.6140625,-656.2265625,679.3875
-1335.328125,-656.2265625,679.1015625
-1335.328125,-656.2265625,679.1015625
-1335.328125,-656.5125,678.815625
-1335.9,-656.7984375,679.1015625
-1336.471875,-657.3703125,679.1015625
-1337.3296875,-657.9421875,679.3875
-1338.1875,-658.5140625,679.6734375
-1339.33125,-658.8,680.53125
-1339.903125,-658.8,681.103125
-1340.475,-658.228125,682.246875
-1340.7609375,-657.084375,683.6765625
-1340.7609375,-655.940625,684.8203125
-1340.1890625,-653.9390625,686.25
-1339.33125,-651.9375,687.39375
-1338.4734375,-649.9359375,688.5375
-1337.04375,-647.934375,689.109375
-1335.9,-646.21875,689.68125
-1334.75625,-644.7890625,689.9671875
-1333.6125,-643.6453125,689.9671875
-1332.46875,-643.0734375,689.3953125
-1331.896875,-642.7875,689.109375
-1331.325,-642.7875,688.5375
-1331.325,-642.7875,688.5375
-1331.6109375,-643.0734375,688.5375
-1332.1828125,-643.6453125,688.5375
-1333.8984375,-644.503125,689.3953125
-1335.9,-645.9328125,689.9671875
-1339.33125,-648.2203125,691.1109375
-1343.334375,-651.6515625,691.6828125
-1348.48125,-656.2265625,692.2546875
-1354.771875,-661.9453125,692.8265625
-1361.634375,-668.8078125,692.8265625
-1368.7828125,-676.8140625,691.96875
-1376.2171875,-685.10625,691.1109375
-1382.79375,-693.1125,689.68125
-1388.2265625,-700.546875,687.6796875
-1392.2296875,-706.5515625,685.678125
-1394.23125,-710.5546875,683.6765625
-1393.9453125,-711.984375,681.9609375
-1391.371875,-710.5546875,680.8171875
-1387.0828125,-706.8375,680.2453125
-1380.7921875,-700.8328125,679.959375
-1373.3578125,-693.1125,680.2453125
