LEFT,RIGHT,DIFF
4796.6015625,3791.2453125,-1005.35625
4583.8640625,3729.4828125,-854.381249999999
4431.1734375,3715.1859375,-715.9875
4321.659375,3702.6046875,-619.0546875
4218.4359375,3636.2671875,-582.16875
4073.7515625,3462.13125,-611.6203125
3835.2796875,3134.1609375,-701.11875
3458.128125,2626.3359375,-831.7921875
2913.13125,1937.5125,-975.61875
2196.571875,1095.9984375,-1100.5734375
1331.325,155.55,-1175.775
368.0015625,-805.771875,-1173.7734375
-617.625,-1697.0390625,-1079.4140625
-1535.484375,-2421.890625,-886.40625
-2288.64375,-2891.1140625,-602.4703125
-2785.8890625,-3032.9390625,-247.05
-2953.4484375,-2801.9015625,151.546875
-2744.7140625,-2186.5640625,558.15
-2145.675,-1208.6578125,937.0171875
-1179.4921875,74.6296875,1254.121875
96.9328125,1580.090625,1483.1578125
1598.9625,3203.3578125,1604.3953125
3222.2296875,4832.0578125,1609.828125
4853.503125,6355.5328125,1502.0296875
6383.5546875,7677.99375,1294.4390625
7719.16875,8727.0984375,1007.9296875
8792.00625,9369.3140625,577.307812499999
9369.3140625,9369.3140625,0.0
9369.3140625,9369.3140625,0.0
9369.3140625,9369.3140625,0.0
9369.3140625,9369.3140625,0.0
9369.3140625,8987.8734375,-381.440624999999
9369.3140625,8482.9078125,-886.40625
9208.6171875,8004.534375,-1204.0828125
8865.20625,7601.934375,-1263.271875
8584.1296875,7303.1296875,-1281.0
8383.9734375,7113.2671875,-1270.70625
8262.45,7018.621875,-1243.828125
8201.5453125,6990.028125,-1211.5171875
8172.9515625,6990.6,-1182.3515625
8142.928125,6983.4515625,-1159.4765625
8081.7375,6937.415625,-1144.321875
7968.50625,6834.478125,-1134.028125
7794.65625,6669.4921875,-1125.1640625
7564.7625,6451.89375,-1112.86875
7295.98125,6201.984375,-1093.996875
7012.903125,5946.928125,-1065.975
6743.2640625,5713.8890625,-1029.375
6511.940625,5526.3140625,-985.6265625
6336.946875,5396.784375,-940.1625
6224.0015625,5327.5875,-896.4140625
6167.9578125,5308.14375,-859.8140625
6152.803125,5319.58125,-833.221875
6155.3765625,5337.88125,-817.4953125
6151.0875,5339.3109375,-811.7765625
6117.91875,5305.284375,-812.634375
6042.7171875,5227.2234375,-815.493750000001
5922.3375,5107.7015625,-814.6359375
5766.215625,4960.44375,-805.771874999999
5593.509375,4806.8953125,-786.614062500001
-1239.825,-775.7484375,464.0765625
-456.35625,118.6640625,575.0203125
563.0109375,1174.63125,611.6203125
1721.0578125,2290.359375,569.3015625
2906.840625,3359.4796875,452.6390625
4008.5578125,4283.6296875,275.071875
4927.275,4983.890625,56.6156249999995
5587.5046875,5408.221875,-179.2828125
5945.4984375,5538.3234375,-407.175
5992.678125,5387.634375,-605.04375
5753.3484375,4998.759375,-754.589062499999
5280.9796875,4436.034375,-844.9453125
4648.2,3776.090625,-872.109375
3937.6453125,3096.9890625,-840.65625
3230.2359375,2469.928125,-760.3078125
2596.0265625,1949.8078125,-646.21875
2087.34375,1571.7984375,-515.5453125
1733.6390625,1349.3390625,-384.3
1541.775,1274.709375,-267.065625
1498.5984375,1323.890625,-174.7078125
1574.371875,1461.7125,-112.659375
1730.7796875,1649.0015625,-81.778125
1926.3609375,1847.728125,-78.6328125
2123.371875,2026.153125,-97.2187500000002
2292.3609375,2163.6890625,-128.671875
2415.028125,2250.0421875,-164.9859375
2484.5109375,2286.35625,-198.1546875
2505.384375,2282.0671875,-223.3171875
2490.2296875,2252.9015625,-237.328125
2455.63125,2216.3015625,-239.3296875
2420.175,2188.8515625,-231.3234375
2399.5875,2181.703125,-217.884375
2403.590625,2201.146875,-202.44375
2435.615625,2245.4671875,-190.1484375
2491.3734375,2306.0859375,-185.2875
2559.140625,2368.9921875,-190.1484375
2622.61875,2416.74375,-205.875
2661.50625,2430.1828125,-231.3234375
2656.6453125,2392.725,-263.9203125
2591.165625,2292.075,-299.090625
2453.915625,2122.8,-331.115625
2242.89375,1888.0453125,-354.8484375
1964.390625,1600.10625,-364.284375
1635.5625,1280.428125,-355.134375
1282.14375,957.31875,-324.825
937.303125,664.51875,-272.784375
637.9265625,436.340625,-201.5859375
420.9,305.0953125,-115.8046875
319.10625,296.23125,-22.875
356.5640625,424.6171875,68.053125
545.56875,693.1125,147.54375
883.2609375,1089.99375,206.7328125
1352.484375,1590.0984375,237.6140625
1921.5,2157.1125,235.6125
2547.9890625,2746.715625,198.7265625
3183.3421875,3312.0140625,128.671875
3777.234375,3809.5453125,32.3109375000004
4285.059375,4202.4234375,-82.6359374999993
4671.646875,4466.915625,-204.73125
4915.8375,4593.0140625,-322.8234375
2536.5515625,2315.2359375,-221.315625
2555.1375,2334.6796875,-220.4578125
2567.71875,2347.546875,-220.171875
2572.5796875,2352.121875,-220.4578125
2569.7203125,2349.5484375,-220.171875
2559.9984375,2341.25625,-218.7421875
2545.7015625,2328.9609375,-216.740625
2528.5453125,2314.378125,-214.1671875
2510.2453125,2297.79375,-212.4515625
2491.0875,2279.49375,-211.59375
2469.928125,2258.90625,-211.021875
2446.48125,2235.459375,-211.021875
2419.3171875,2208.58125,-210.7359375
2388.4359375,2179.1296875,-209.30625
2354.6953125,2148.534375,-206.1609375
2320.096875,2119.940625,-200.15625
2288.071875,2095.921875,-192.15
2261.19375,2079.0515625,-182.1421875
2242.89375,2070.759375,-172.134375
2233.74375,2071.0453125,-162.6984375
2233.4578125,2077.3359375,-156.121875
2238.890625,2086.2,-152.690625
2246.0390625,2092.2046875,-153.834375
2248.8984375,2090.775,-158.1234375
2243.1796875,2077.9078125,-165.271875
2224.8796875,2052.459375,-172.4203125
2193.4265625,2015.859375,-177.5671875
2152.2515625,1972.6828125,-179.56875
2106.5015625,1930.9359375,-175.565625
2064.7546875,1898.625,-166.1296875
2036.1609375,1884.0421875,-152.11875
2028.1546875,1892.6203125,-135.534375
2045.596875,1925.7890625,-119.8078125
2087.6296875,1979.5453125,-108.084375
2148.2484375,2043.88125,-104.3671875
2214.871875,2104.2140625,-110.6578125
2270.6296875,2142.5296875,-128.1
2296.078125,2139.6703125,-156.4078125
2270.915625,2079.3375,-191.578125
2178.5578125,1948.6640625,-229.89375
-3224.803125,-2862.80625,361.996875
-3410.3765625,-3015.2109375,395.165625
-3579.365625,-3148.171875,431.19375
-3725.765625,-3257.4,468.365625
-3846.1453125,-3342.3234375,503.821875
-3941.3625,-3406.0875,535.275
-4014.5625,-3453.553125,561.009375
-4071.75,-3490.4390625,581.3109375
-4119.215625,-3523.0359375,596.1796875
-4162.10625,-3555.346875,606.759375
-4204.7109375,-3589.659375,615.0515625
-4247.8875,-3625.4015625,622.4859375
-4291.0640625,-3660.0,631.064062500001
-4330.809375,-3690.0234375,640.7859375
-4363.1203125,-3711.46875,651.6515625
-4384.565625,-3720.61875,663.946875
-4392.2859375,-3716.3296875,675.95625
-4385.709375,-3699.1734375,686.5359375
-4366.5515625,-3672.2953125,694.256249999999
-4338.815625,-3640.55625,698.259375
-4652.775,-3953.371875,699.403125
-4670.503125,-3977.390625,693.1125
-4697.953125,-4008.271875,689.68125
-4730.8359375,-4040.296875,690.5390625
-4762.003125,-4066.03125,695.971875
-4783.734375,-4078.3265625,705.4078125
-4788.0234375,-4069.7484375,718.275
-4767.721875,-4035.721875,732.0
-4717.6828125,-3972.815625,744.8671875
-4636.4765625,-3881.6015625,754.875
-4525.246875,-3766.0828125,759.1640625
-4389.7125,-3632.8359375,756.876562500001
-4237.8796875,-3491.86875,746.0109375
-4081.471875,-3353.7609375,727.7109375
-3931.9265625,-3229.95,701.9765625
-3801.5390625,-3130.1578125,671.38125
-3700.03125,-3062.1046875,637.9265625
-3634.8375,-3030.0796875,604.7578125
-3609.3890625,-3034.940625,574.4484375
-3622.5421875,-3073.25625,549.2859375
-2436.1875,-1916.353125,519.834375
-2253.1875,-1765.6640625,487.5234375
-2088.4875,-1634.1328125,454.3546875
-1945.2328125,-1524.046875,421.1859375
-1824.5671875,-1434.2625,390.3046875
-1725.0609375,-1362.778125,362.2828125
-1643.56875,-1305.590625,337.978125
-1575.8015625,-1257.8390625,317.9625
-1516.8984375,-1215.5203125,301.378125
-1462.284375,-1175.4890625,286.7953125
-1409.3859375,-1135.74375,273.6421875
-1357.3453125,-1096.5703125,260.775
-1306.734375,-1059.684375,247.05
-1259.5546875,-1027.0875,232.4671875
-1218.09375,-1000.209375,217.884375
-1182.6375,-978.7640625,203.8734375
-1152.328125,-959.3203125,193.0078125
-1122.01875,-935.5875,186.43125
-1083.4171875,-898.415625,185.0015625
-1025.94375,-836.08125,189.8625
-936.73125,-737.4328125,199.2984375
-804.3421875,-593.034375,211.3078125
-619.9125,-397.453125,222.459375
-379.725,-151.546875,228.178125
-88.06875,136.10625,224.175
243.046875,450.065625,207.01875
594.75,768.3140625,173.5640625
940.1625,1063.115625,122.953125
1250.11875,1307.30625,57.1875
1494.5953125,1474.865625,-19.7296875
1648.715625,1546.0640625,-102.6515625
1693.89375,1510.89375,-183.0
1623.2671875,1369.640625,-253.6265625
1442.26875,1135.171875,-307.096875
1168.0546875,830.6484375,-337.40625
829.21875,487.2375,-341.98125
460.93125,141.253125,-319.678125
102.9375,-170.7046875,-273.6421875
-207.8765625,-418.3265625,-210.45
-440.915625,-577.3078125,-136.3921875
-575.0203125,-637.06875,-62.0484375
-602.75625,-598.18125,4.57500000000005
-530.4140625,-474.9421875,55.471875
-376.5796875,-291.9421875,84.6375
-170.1328125,-80.634375,89.4984375
53.184375,124.66875,71.484375
258.4875,291.9421875,33.4546875
413.465625,396.0234375,-17.4421875
494.3859375,421.471875,-72.9140625
489.8109375,365.1421875,-124.66875
400.884375,237.0421875,-163.8421875
243.046875,57.1875,-185.859375
40.8890625,-144.1125,-185.0015625
-171.5625,-335.11875,-163.55625
-359.9953125,-483.234375,-123.2390625
-491.5265625,-561.009375,-69.4828125
-540.421875,-551.2875,-10.865625
