LEFT,RIGHT,DIFF
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-8624.1609375,-7894.4484375,729.712500000001
-6458.184375,-5572.921875,885.2625
-3870.7359375,-2927.1421875,943.59375
-1130.8828125,-241.0453125,889.8375
1446.84375,2172.2671875,725.4234375
3547.9125,4013.41875,465.50625
4899.253125,5036.7890625,137.5359375
5312.146875,5090.83125,-221.315625
4710.534375,4140.6609375,-569.8734375
3142.7390625,2274.91875,-867.8203125
777.75,-302.8078125,-1080.5578125
-2115.0796875,-3297.43125,-1182.3515625
-5201.4890625,-6361.5375,-1160.0484375
-8126.0578125,-9139.134375,-1013.0765625
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-8554.10625,-17923.70625
-7334.86875,-5945.4984375,1389.3703125
-4794.6,-3271.125,1523.475
-2386.434375,-847.8046875,1538.6296875
-386.8734375,1053.39375,1440.2671875
993.6328125,2242.0359375,1248.403125
1635.8484375,2626.621875,990.7734375
1518.6140625,2222.30625,703.6921875
717.4171875,1145.465625,428.0484375
-609.3328125,-409.4625,199.8703125
-2248.6125,-2200.003125,48.609375
-3963.09375,-3969.95625,-6.86250000000018
-5522.8828125,-5484.853125,38.0296874999995
-6736.9734375,-6565.9828125,170.990624999999
-7478.409375,-7110.4078125,368.0015625
-7696.5796875,-7101.2578125,595.321875000001
-7418.0765625,-6605.15625,812.9203125
-9093.0984375,-8952.13125,140.9671875
-9011.034375,-8998.7390625,12.2953125000004
-9052.209375,-9170.3015625,-118.0921875
-9183.16875,9369.6,18552.76875
-9347.5828125,9369.6,18717.1828125
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9175.734375,-9108.825,66.9093749999993
-8794.865625,-8570.9765625,223.8890625
-8324.4984375,-7963.359375,361.1390625
-7829.8265625,-7374.0421875,455.784375
-7386.3375,-6892.2375,494.1
-7064.0859375,-6593.71875,470.3671875
-6916.828125,-6526.2375,390.590625
-6972.0140625,-6702.0890625,269.925
-7225.3546875,-7097.2546875,128.099999999999
-7643.3953125,-7655.4046875,-12.0093749999996
-8168.090625,-8297.6203125,-129.5296875
-8727.95625,-8936.11875,-208.162499999999
-9249.2203125,9369.6,18618.8203125
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9365.3109375,-9227.775,137.535937500001
-9151.4296875,-9021.6140625,129.815624999999
-9011.60625,-8916.103125,95.5031250000011
-8966.428125,-8921.821875,44.6062500000007
-9015.3234375,-9026.7609375,-11.4375
-9139.134375,-9199.753125,-60.6187500000015
-9305.55,9369.6,18675.15
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9284.6765625,-9192.890625,91.7859375000007
-9094.528125,-9000.740625,93.7875000000004
-8947.2703125,-8871.7828125,75.4875000000011
-8880.3609375,-8843.475,36.8859374999993
-8920.3921875,-8937.834375,-17.4421875000007
-9076.228125,-9154.575,-78.3468750000011
-9333.571875,9369.6,18703.171875
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9104.25,-18473.85
-8630.165625,-8067.1546875,563.010937499999
-7539.3140625,-6811.03125,728.282812500001
-6277.471875,-5429.6671875,847.8046875
-4939.5703125,-4041.7265625,897.84375
-3640.2703125,-2779.884375,860.3859375
-2503.66875,-1778.2453125,725.4234375
-1651.2890625,-1156.903125,494.3859375
-1187.784375,-1006.5,181.284375
-1190.071875,-1376.2171875,-186.1453125
-1693.89375,-2265.4828125,-571.5890625
-2686.9546875,-3617.68125,-930.7265625
-4104.91875,-5322.1546875,-1217.2359375
-5832.2671875,-7222.4953125,-1390.228125
-7708.5890625,-9126.8390625,-1418.25
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-8688.496875,-18058.096875
-7939.9125,-6247.1625,1692.75
-5452.25625,-3647.7046875,1804.5515625
-2907.1265625,-1170.628125,1736.4984375
-598.753125,904.134375,1502.8875
1190.64375,2333.25,1142.60625
2230.5984375,2941.4390625,710.840625
2377.284375,2647.209375,269.925
1595.53125,1476.009375,-119.521875
-30.309375,-438.9140625,-408.6046875
-2303.7984375,-2870.5265625,-566.728125
-4934.9953125,-5526.028125,-591.0328125
-7581.91875,-8083.7390625,-501.8203125
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-8952.9890625,-9299.5453125,-346.55625
-6376.40625,-7100.4,-723.993750000001
-3555.91875,-4749.421875,-1193.503125
-844.3734375,-2542.2703125,-1697.896875
1429.115625,-742.29375,-2171.409375
3000.628125,451.4953125,-2549.1328125
3707.465625,928.153125,-2779.3125
3502.734375,671.38125,-2831.353125
2455.059375,-246.478125,-2701.5375
729.7125,-1680.740625,-2410.453125
-1440.553125,-3441.2578125,-2000.7046875
-3793.5328125,-5322.440625,-1528.9078125
-6077.6015625,-7131.853125,-1054.2515625
-8083.1671875,-8712.8015625,-629.634375000001
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9326.1375,-18695.7375
-8946.4125,-8453.1703125,493.2421875
-8188.3921875,-7503.2859375,685.10625
-7382.6203125,-6503.3625,879.2578125
-6522.5203125,-5487.140625,1035.3796875
-5614.66875,-4502.94375,1111.725
-4689.946875,-3612.2484375,1077.6984375
-8454.6,-8565.54375,-110.94375
-8444.878125,-8690.4984375,-245.620312499999
-8623.875,-8941.265625,-317.390625
-8936.690625,-9256.0828125,-319.3921875
-9309.2671875,9369.6,18678.8671875
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9262.0875,-18631.6875
-9188.0296875,-9091.9546875,96.0750000000007
-9004.4578125,-8999.3109375,5.14687500000036
-8916.9609375,-8995.8796875,-78.9187500000007
-8934.403125,-9074.2265625,-139.823437499999
-9043.9171875,-9211.4765625,-167.559374999999
-9216.0515625,9369.6,18585.6515625
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9362.7375,-9280.1015625,82.6359375000011
-9236.925,-9201.1828125,35.7421875
-9154.2890625,-9168.871875,-14.5828125000007
-9127.4109375,-9185.45625,-58.0453125000004
-9158.00625,-9244.359375,-86.3531249999996
-9234.9234375,-9330.4265625,-95.5031250000011
-9339.0046875,9369.6,18708.6046875
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9359.30625,-9317.559375,41.7468749999989
-9293.540625,-9277.8140625,15.7265625
-9253.509375,-9264.6609375,-11.1515625000011
-9245.2171875,-9278.1,-32.8828125
-9266.9484375,-9312.6984375,-45.75
-9311.5546875,-9359.878125,-48.3234375000011
-9368.1703125,9369.6,18737.7703125
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9367.3125,-18736.9125
-9353.5875,-9352.1578125,1.4296875
-9337.2890625,-9348.7265625,-11.4375
-9335.0015625,-9355.875,-20.8734375000004
-9344.7234375,9369.6,18714.3234375
-9363.0234375,9369.6,18732.6234375
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9361.021875,-18730.621875
9369.6,-9337.2890625,-18706.8890625
-9344.4375,-9319.5609375,24.8765624999996
-9318.9890625,-9311.840625,7.1484375
-9302.9765625,-9316.9875,-14.0109375000011
-9301.2609375,-9335.0015625,-33.7406249999985
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9302.4046875,-18672.0046875
-9330.9984375,-9226.9171875,104.081249999999
-9231.20625,-9184.0265625,47.1796875
-9161.1515625,-9185.7421875,-24.5906249999989
-9138.2765625,-9235.78125,-97.5046874999989
-9172.0171875,-9327.853125,-155.8359375
-9260.371875,9369.6,18629.971875
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9327.5671875,-18697.1671875
9369.6,-9170.8734375,-18540.4734375
-9206.9015625,-9051.6375,155.2640625
-9042.2015625,-8999.025,43.1765625000007
-8942.1234375,-9030.478125,-88.3546874999993
-8934.1171875,-9146.56875,-212.4515625
-9028.190625,-9329.8546875,-301.6640625
-9213.478125,9369.6,18583.078125
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9172.303125,-18541.903125
-9284.390625,-8897.23125,387.159374999999
-8930.4,-8701.9359375,228.464062499999
-8637.8859375,-8634.4546875,3.43125000000146
-8474.04375,-8720.8078125,-246.7640625
-8486.3390625,-8956.70625,-470.3671875
-8691.35625,-9307.8375,-616.481249999999
-9068.79375,9369.6,18438.39375
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9085.378125,-18454.978125
-9324.7078125,-8472.0421875,852.665625
-8332.790625,-7898.4515625,434.339062499999
-7227.928125,-7421.5078125,-193.5796875
-6096.1875,-7064.0859375,-967.8984375
-5007.3375,-6805.5984375,-1798.2609375
-4003.125,-6584.56875,-2581.44375
-3090.4125,-6307.78125,-3217.36875
-2243.1796875,-5868.009375,-3624.8296875
-1414.5328125,-5170.89375,-3756.3609375
-549.8578125,-4157.2453125,-3607.3875
391.4484375,-2822.203125,-3213.6515625
1419.1078125,-1228.959375,-2648.0671875
2501.6671875,491.240625,-2010.4265625
3560.49375,2155.1109375,-1405.3828125
4479.2109375,3550.771875,-928.4390625
5118.853125,4469.4890625,-649.364062500001
5344.171875,4743.4171875,-600.7546875
5049.65625,4277.3390625,-772.3171875
4185.553125,3072.3984375,-1113.1546875
2776.7390625,1232.390625,-1544.3484375
927.8671875,-1040.5265625,-1968.39375
-1180.921875,-3470.1375,-2289.215625
-3313.7296875,-5741.625,-2427.8953125
-5208.9234375,-7545.6046875,-2336.68125
-6616.8796875,-8619.871875,-2002.9921875
-7333.153125,-8788.575,-1455.421875
-7231.359375,-7987.6640625,-756.3046875
-6283.4765625,-6271.4671875,12.0093749999996
-4563.5625,-3806.1140625,757.4484375
-2238.890625,-845.5171875,1393.3734375
451.209375,2302.36875,1851.159375
3229.378125,5321.5828125,2092.2046875
5816.8265625,7925.04375,2108.2171875
7967.934375,9369.3140625,1401.3796875
9369.3140625,9369.3140625,0.0
9369.3140625,9369.3140625,0.0
9369.3140625,9369.3140625,0.0
9369.3140625,9369.3140625,0.0
8536.378125,8293.903125,-242.475
6911.109375,6344.6671875,-566.4421875
5022.778125,4225.0125,-797.765625
3020.3578125,2077.621875,-942.7359375
1026.2296875,8.578125,-1017.6515625
-873.5390625,-1915.209375,-1041.6703125
-2628.6234375,-3660.571875,-1031.9484375
-4215.290625,-5215.2140625,-999.9234375
-5628.39375,-6579.421875,-951.028125
-6871.3640625,-7754.053125,-882.689062500001
-7944.4875,-8733.9609375,-789.4734375
-8841.1875,9369.6,18210.7875
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9365.8828125,-18735.4828125
9369.6,-9020.184375,-18389.784375
-9052.4953125,-8782.5703125,269.925000000001
-8833.753125,-8693.3578125,140.395312500001
-8744.8265625,-8762.5546875,-17.7281249999996
-8791.1484375,-8968.14375,-176.995312500001
-8948.9859375,-9261.2296875,-312.243750000001
-9172.5890625,9369.6,18542.1890625
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9258.65625,-9248.6484375,10.0078125
-9011.034375,-8923.5375,87.4968750000007
-8808.01875,-8687.6390625,120.379687500001
-8712.515625,-8606.71875,105.796875
-8767.9875,-8717.9484375,50.0390625
-8988.4453125,-9019.3265625,-30.8812500000004
-9349.8703125,9369.6,18719.4703125
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9007.3171875,-8588.7046875,418.612500000001
-7780.93125,-7159.875,621.056250000001
-6328.36875,-5533.4625,794.90625
-4778.3015625,-3861.5859375,916.715625
-3281.1328125,-2311.8046875,969.328125
-1992.1265625,-1049.1046875,943.021875
-1050.8203125,-213.0234375,837.796875
-564.440625,97.790625,662.23125
-595.6078125,-160.4109375,435.196875
-1153.1859375,-973.903125,179.2828125
-2190.853125,-2269.4859375,-78.6328125
-3615.39375,-3925.6359375,-310.2421875
-5293.5609375,-5785.3734375,-491.8125
-7067.5171875,-7671.13125,-603.6140625
-8769.703125,9369.6,18139.303125
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-8988.159375,-18357.759375
-8060.578125,-7351.453125,709.125
-6422.4421875,-5680.7203125,741.721874999999
-4828.9125,-4137.515625,691.396875
-3431.25,-2868.2390625,563.0109375
-2358.6984375,-1987.265625,371.4328125
-1706.1890625,-1566.365625,139.8234375
-1524.61875,-1629.5578125,-104.9390625
-1816.846875,-2151.6796875,-334.8328125
-2537.98125,-3061.5328125,-523.5515625
-3600.525,-4251.31875,-650.79375
-4886.3859375,-5592.6515625,-706.265625
-6262.603125,-6949.996875,-687.393749999999
-7595.3578125,-8197.25625,-601.8984375
-8765.4140625,-9231.4921875,-466.078125
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9216.0515625,-9092.5265625,123.525
-8916.103125,-8872.06875,44.0343749999993
-8748.8296875,-8783.7140625,-34.8843750000015
-8726.240625,-8824.3171875,-98.0765625000004
-8833.18125,-8967.2859375,-134.104687500001
-9033.6234375,-9171.4453125,-137.821875
-9278.1,9369.6,18647.7
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9341.578125,-18711.178125
-9250.9359375,-9220.340625,30.5953124999996
-9117.975,-9142.2796875,-24.3046875
-9045.6328125,-9118.8328125,-73.2000000000007
-9043.9171875,-9149.1421875,-105.224999999999
-9108.253125,-9222.05625,-113.803124999999
-9222.3421875,-9318.9890625,-96.6468750000004
-9361.59375,9369.6,18731.19375
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9314.128125,-9342.15,-28.0218749999985
-9229.7765625,-9316.9875,-87.2109375
-9184.0265625,-9313.8421875,-129.815624999999
-7506.7171875,9369.6,16876.3171875
-6734.1140625,9369.6,16103.7140625
-6016.4109375,9369.6,15386.0109375
-5433.95625,-9212.90625,-3778.95
-5059.0921875,-8924.3953125,-3865.303125
-4945.575,-8631.88125,-3686.30625
-5118.28125,-8385.1171875,-3266.8359375
-5570.9203125,-8230.1390625,-2659.21875
-6262.603125,-8199.54375,-1936.940625
-7120.7015625,-8304.76875,-1184.0671875
-8051.1421875,-8532.946875,-481.804687499999
-8949.5578125,-8847.1921875,102.365625
9369.6,-9192.6046875,-18562.2046875
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9267.80625,-9259.228125,8.578125
-8742.5390625,-8950.9875,-208.448437500001
-8343.9421875,-8702.79375,-358.8515625
-8157.796875,-8588.1328125,-430.3359375
-8232.7125,-8657.3296875,-424.6171875
-8568.403125,-8923.5375,-355.134375
-9114.8296875,-9357.01875,-242.189062500001
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9005.315625,-18374.915625
-8125.771875,-7704.3,421.471875
-6661.2,-6250.8796875,410.3203125
-5201.203125,-4823.19375,378.009375
-3934.5,-3611.6765625,322.8234375
-3031.2234375,-2786.175,245.0484375
-2616.6140625,-2469.35625,147.2578125
-2750.146875,-2714.4046875,35.7421875
-3414.9515625,-3493.8703125,-78.9187500000003
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9048.4921875,-8537.521875,510.9703125
-7450.1015625,-6753.271875,696.8296875
-5673.2859375,-4859.5078125,813.778125
-3944.79375,-3102.7078125,842.0859375
-2490.8015625,-1713.6234375,777.178125
-1500.3140625,-874.1109375,626.203125
-1100.2875,-688.8234375,411.4640625
-1335.328125,-1171.4859375,163.8421875
-2163.6890625,-2245.753125,-82.0640625000001
-3464.990625,-3757.21875,-292.228125
-5062.5234375,-5503.725,-441.2015625
-6751.55625,-7263.95625,-512.4
-8329.359375,-8834.0390625,-504.6796875
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9082.8046875,-8872.3546875,210.449999999999
-8675.6296875,-8524.0828125,151.546875
-8471.75625,-8401.1296875,70.6265624999996
-8483.765625,-8498.0625,-14.296875
-8681.9203125,-8768.2734375,-86.3531249999996
-9004.4578125,-9137.41875,-132.9609375
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9366.740625,-9263.5171875,103.223437500001
-9134.559375,-9045.0609375,89.4984375000004
-8973.290625,-8914.3875,58.9031249999989
-8907.525,-8888.08125,19.4437499999985
-8941.265625,-8961.853125,-20.5874999999996
-9058.5,-9111.1125,-52.6125000000011
-9227.775,-9300.1171875,-72.3421875000004
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9345.8671875,-9307.265625,38.6015625
-9238.3546875,-9208.33125,30.0234375
-9170.8734375,-9155.4328125,15.4406249999993
-9153.7171875,-9155.146875,-1.4296875
-9185.45625,-9202.040625,-16.5843749999985
-9255.5109375,-9282.3890625,-26.8781249999993
-9346.725,9369.6,18716.325
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9293.540625,-9293.540625,0.0
-9289.8234375,-9285.534375,4.2890625
-9297.54375,-9291.253125,6.29062499999964
-9314.9859375,-9310.4109375,4.57499999999891
-9339.5765625,-9340.7203125,-1.14374999999927
-9367.3125,9369.6,18736.9125
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9365.025,-9351.871875,13.1531249999989
-9339.5765625,-9302.690625,36.8859374999993
-9320.41875,-9266.090625,54.328125
-9312.1265625,-9251.221875,60.9046874999985
-9316.9875,-9263.5171875,53.4703125000015
-9335.859375,-9303.834375,32.0249999999996
-9366.16875,-9366.4546875,-0.285937499998909
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,-9316.415625,-18686.015625
-9321.8484375,-9219.76875,102.0796875
-9282.675,-9151.14375,131.53125
-9263.5171875,-9128.840625,134.676562499999
-9271.2375,-9162.58125,108.65625
-9307.265625,-9250.9359375,56.3296874999996
-9367.5984375,9369.6,18737.1984375
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-9300.975,-9165.440625,135.534374999999
-9173.446875,-8956.4203125,217.026562499999
-9073.0828125,-8814.309375,258.7734375
-9029.6203125,-8780.8546875,248.765625
-9066.7921875,-8884.078125,182.714062500001
-9198.609375,-9128.26875,70.3406249999989
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
9369.6,9369.6,0.0
-8871.2109375,-8728.2421875,142.96875
-7490.7046875,-7121.8453125,368.859375
-5612.38125,-5050.5140625,561.8671875
-3271.696875,-2589.7359375,681.9609375
-562.4390625,134.390625,696.8296875
2361.271875,2952.3046875,591.0328125
9369.3140625,6821.325,-2547.9890625
9369.3140625,6132.215625,-3237.0984375
9369.3140625,4970.165625,-4399.1484375
9267.80625,3593.090625,-5674.715625
9118.8328125,2273.4890625,-6845.34375
9105.39375,1245.54375,-7859.85
9228.346875,666.234375,-8562.1125
9369.3140625,588.459375,-8780.8546875
9369.3140625,958.4625,-8410.8515625
9369.3140625,1631.8453125,-7737.46875
9369.3140625,2406.7359375,-6962.578125
8774.85,3064.10625,-5710.74375
7775.784375,3415.809375,-4359.975
