LEFT,RIGHT,DIFF
-143.8265625,-166.9875,-23.1609375
161.26875,98.3625,-62.90625
427.4765625,313.959375,-113.5171875
629.3484375,459.215625,-170.1328125
748.0125,521.2640625,-226.7484375
775.7484375,497.8171875,-277.93125
715.1296875,396.5953125,-318.534375
579.5953125,234.7546875,-344.840625
390.590625,35.1703125,-355.4203125
174.7078125,-174.99375,-349.7015625
-39.7453125,-371.4328125,-331.6875
-228.75,-531.84375,-303.09375
-372.290625,-642.5015625,-270.2109375
-459.5015625,-696.8296875,-237.328125
-488.6671875,-697.6875,-209.0203125
-466.3640625,-655.0828125,-188.71875
-406.3171875,-583.884375,-177.5671875
-325.96875,-502.3921875,-176.4234375
-244.190625,-428.0484375,-183.8578125
-178.425,-376.0078125,-197.5828125
-774.890625,-971.615625,-196.725
-814.35,-1011.075,-196.725
-864.675,-1057.396875,-192.721875
-918.1453125,-1102.8609375,-184.715625
-965.896875,-1138.3171875,-172.4203125
-997.6359375,-1153.471875,-155.8359375
-1002.496875,-1140.0328125,-137.5359375
-972.759375,-1091.1375,-118.378125
-902.7046875,-1004.4984375,-101.79375
-792.3328125,-882.403125,-90.0703125
-646.5046875,-732.0,-85.4953125
-475.5140625,-565.584375,-90.0703125
-295.0875,-399.16875,-104.08125
-122.953125,-250.48125,-127.528125
22.0171875,-136.678125,-158.6953125
122.953125,-70.9125,-193.865625
168.4171875,-61.190625,-229.6078125
152.690625,-108.9421875,-261.6328125
78.91875,-207.01875,-285.9375
-41.4609375,-341.409375,-299.9484375
-191.8640625,-492.95625,-301.0921875
-349.1296875,-639.35625,-290.2265625
-490.3828125,-759.1640625,-268.78125
-594.178125,-834.6515625,-240.4734375
-644.503125,-854.38125,-209.878125
-633.3515625,-815.2078125,-181.85625
-561.58125,-722.278125,-160.696875
-439.4859375,-589.03125,-149.5453125
-283.3640625,-434.3390625,-150.975
-115.51875,-279.9328125,-164.4140625
40.8890625,-146.4,-187.2890625
165.84375,-51.1828125,-217.0265625
244.190625,-5.4328125,-249.6234375
267.9234375,-11.4375,-279.3609375
238.471875,-64.621875,-303.09375
164.4140625,-152.690625,-317.1046875
61.7625,-258.7734375,-320.5359375
-50.325,-363.9984375,-313.6734375
-151.8328125,-449.7796875,-297.946875
-224.175,-500.6765625,-276.5015625
-253.9125,-506.68125,-252.76875
-233.0390625,-464.0765625,-231.0375
-160.125,-374.00625,-213.88125
-39.7453125,-243.9046875,-204.159375
118.6640625,-84.065625,-202.7296875
303.9515625,93.5015625,-210.45
503.5359375,277.6453125,-225.890625
705.121875,457.5,-247.621875
898.415625,624.7734375,-273.6421875
1076.5546875,774.0328125,-302.521875
1233.534375,901.275,-332.259375
1365.9234375,1003.9265625,-361.996875
1471.1484375,1079.9859375,-391.1625
1546.6359375,1127.4515625,-419.184375
1589.5265625,1143.75,-445.7765625
1597.246875,1127.165625,-470.08125
1567.2234375,1075.125,-492.0984375
1497.740625,987.628125,-510.1125
1389.9421875,866.390625,-523.5515625
1246.9734375,716.2734375,-530.7
1075.4109375,544.7109375,-530.7
884.9765625,361.996875,-522.9796875
687.965625,180.140625,-507.825
496.959375,10.865625,-486.09375
324.5390625,-134.390625,-458.9296875
181.284375,-248.765625,-430.05
72.9140625,-327.684375,-400.5984375
1.4296875,-372.5765625,-374.00625
-35.7421875,-388.0171875,-352.275
-46.6078125,-382.584375,-335.9765625
-40.603125,-366.571875,-325.96875
-29.165625,-350.559375,-321.39375
-22.303125,-342.8390625,-320.5359375
-26.5921875,-348.271875,-321.6796875
-45.75,-367.4296875,-321.6796875
-76.9171875,-396.5953125,-319.678125
-114.0890625,-427.190625,-313.1015625
-147.2578125,-449.49375,-302.2359375
-164.4140625,-452.353125,-287.9390625
-154.978125,-426.046875,-271.06875
-110.0859375,-364.85625,-254.7703125
-26.30625,-267.3515625,-241.0453125
94.6453125,-138.1078125,-232.753125
245.90625,13.153125,-232.753125
414.609375,173.5640625,-241.0453125
584.45625,326.540625,-257.915625
738.0046875,456.35625,-281.6484375
859.2421875,549.0,-310.2421875
935.5875,595.321875,-340.265625
959.8921875,591.6046875,-368.2875
931.8703125,540.421875,-391.4484375
857.5265625,450.9234375,-406.603125
749.4421875,337.1203125,-412.321875
624.4875,215.596875,-408.890625
500.6765625,104.08125,-396.5953125
395.7375,18.0140625,-377.7234375
324.825,-30.5953125,-355.4203125
296.5171875,-37.171875,-333.6890625
313.3875,-2.0015625,-315.3890625
370.8609375,67.1953125,-303.665625
439.2,35.7421875,-403.4578125
304.809375,-76.3453125,-381.1546875
209.30625,-144.1125,-353.41875
164.4140625,-161.26875,-325.6828125
171.5625,-130.6734375,-302.2359375
