LEFT,RIGHT,DIFF
-55.471875,4.8609375,60.3328125
-53.4703125,4.575,58.0453125
-50.6109375,4.003125,54.6140625
-47.1796875,3.1453125,50.325
-44.034375,2.2875,46.321875
-41.4609375,1.715625,43.1765625
-39.7453125,0.8578125,40.603125
-39.1734375,0.2859375,39.459375
-39.7453125,0.0,39.7453125
-41.175,0.0,41.175
-43.1765625,0.0,43.1765625
-45.4640625,0.0,45.4640625
-47.465625,0.2859375,47.7515625
-49.18125,0.571875,49.753125
-50.0390625,0.571875,50.6109375
-50.0390625,0.8578125,50.896875
-49.4671875,0.571875,50.0390625
-47.7515625,0.571875,48.3234375
-46.0359375,0.571875,46.6078125
-43.7484375,0.2859375,44.034375
-41.746875,0.2859375,42.0328125
-40.3171875,0.2859375,40.603125
-39.1734375,0.2859375,39.459375
-38.6015625,0.571875,39.1734375
-38.6015625,0.8578125,39.459375
-38.8875,0.8578125,39.7453125
-39.459375,1.14375,40.603125
-40.3171875,1.14375,41.4609375
-41.175,1.14375,42.31875
-41.746875,0.8578125,42.6046875
-42.0328125,0.571875,42.6046875
-41.746875,0.571875,42.31875
-40.8890625,0.2859375,41.175
-39.7453125,0.2859375,40.03125
-37.74375,0.2859375,38.0296875
-35.1703125,0.571875,35.7421875
-32.025,1.14375,33.16875
-28.59375,2.0015625,30.5953125
-25.1625,2.859375,28.021875
-22.0171875,3.7171875,25.734375
-19.7296875,4.575,24.3046875
-18.3,5.146875,23.446875
-18.0140625,5.4328125,23.446875
-19.1578125,5.4328125,24.590625
-21.73125,4.8609375,26.5921875
-26.0203125,4.2890625,30.309375
-30.88125,3.43125,34.3125
-36.6,2.2875,38.8875
-42.6046875,1.4296875,44.034375
-47.7515625,0.571875,48.3234375
-52.3265625,0.0,52.3265625
-55.1859375,0.0,55.1859375
-56.615625,-0.2859375,56.3296875
-56.615625,0.0,56.615625
-55.471875,0.0,55.471875
-53.4703125,0.2859375,53.75625
-51.1828125,0.571875,51.7546875
-48.8953125,0.8578125,49.753125
-47.465625,0.8578125,48.3234375
-46.89375,0.8578125,47.7515625
-47.1796875,0.8578125,48.0375
-48.0375,0.571875,48.609375
-49.4671875,0.2859375,49.753125
-50.896875,0.2859375,51.1828125
-51.46875,0.0,51.46875
-51.46875,0.2859375,51.7546875
-50.0390625,0.2859375,50.325
-47.465625,0.571875,48.0375
-43.7484375,0.8578125,44.60625
-39.459375,0.8578125,40.3171875
-35.1703125,1.14375,36.3140625
-31.453125,1.14375,32.596875
-28.59375,1.14375,29.7375
-27.45,0.8578125,28.3078125
-28.021875,0.571875,28.59375
