LEFT,RIGHT,DIFF
-1.4296875,0.8578125,2.2875
0.2859375,1.14375,0.8578125
4.2890625,1.14375,-3.1453125
9.721875,1.14375,-8.578125
15.440625,0.8578125,-14.5828125
21.159375,0.8578125,-20.3015625
25.734375,0.571875,-25.1625
29.165625,0.571875,-28.59375
30.88125,0.2859375,-30.5953125
31.1671875,0.2859375,-30.88125
29.7375,0.2859375,-29.4515625
27.7359375,0.571875,-27.1640625
24.590625,0.571875,-24.01875
21.73125,1.14375,-20.5875
18.5859375,1.4296875,-17.15625
16.0125,2.0015625,-14.0109375
14.0109375,2.5734375,-11.4375
12.58125,3.43125,-9.15
11.7234375,3.7171875,-8.00625
11.1515625,4.2890625,-6.8625
11.1515625,4.575,-6.5765625
11.1515625,4.575,-6.5765625
11.7234375,4.2890625,-7.434375
12.009375,4.003125,-8.00625
12.8671875,3.43125,-9.4359375
13.725,2.5734375,-11.1515625
14.86875,2.0015625,-12.8671875
16.0125,1.4296875,-14.5828125
17.728125,0.8578125,-16.8703125
19.7296875,0.2859375,-19.44375
22.0171875,0.0,-22.0171875
24.3046875,0.0,-24.3046875
26.30625,0.0,-26.30625
28.3078125,0.0,-28.3078125
29.7375,0.0,-29.7375
30.309375,0.2859375,-30.0234375
30.309375,0.571875,-29.7375
29.4515625,0.8578125,-28.59375
27.7359375,0.8578125,-26.878125
25.1625,1.14375,-24.01875
22.303125,1.14375,-21.159375
19.1578125,1.14375,-18.0140625
16.2984375,1.14375,-15.1546875
14.0109375,0.8578125,-13.153125
12.009375,0.8578125,-11.1515625
11.1515625,0.571875,-10.5796875
11.1515625,0.571875,-10.5796875
12.009375,0.2859375,-11.7234375
13.153125,0.2859375,-12.8671875
14.86875,0.2859375,-14.5828125
16.2984375,0.2859375,-16.0125
17.15625,0.571875,-16.584375
17.4421875,1.14375,-16.2984375
16.584375,1.4296875,-15.1546875
15.1546875,2.0015625,-13.153125
12.58125,2.5734375,-10.0078125
10.0078125,3.43125,-6.5765625
7.1484375,4.003125,-3.1453125
4.575,4.2890625,-0.2859375
2.859375,4.575,1.715625
2.0015625,4.575,2.5734375
2.2875,4.575,2.2875
3.43125,4.2890625,0.8578125
5.146875,3.7171875,-1.4296875
6.8625,3.1453125,-3.7171875
8.578125,2.2875,-6.290625
9.721875,1.715625,-8.00625
10.0078125,0.8578125,-9.15
9.15,0.2859375,-8.8640625
7.7203125,0.0,-7.7203125
5.71875,0.0,-5.71875
3.7171875,0.0,-3.7171875
2.2875,0.0,-2.2875
1.14375,0.2859375,-0.8578125
1.4296875,0.571875,-0.8578125
2.859375,0.8578125,-2.0015625
5.146875,1.14375,-4.003125
8.2921875,1.4296875,-6.8625
11.4375,1.715625,-9.721875
14.5828125,1.715625,-12.8671875
16.584375,1.4296875,-15.1546875
17.728125,1.14375,-16.584375
17.728125,0.8578125,-16.8703125
16.584375,0.571875,-16.0125
14.5828125,0.0,-14.5828125
12.2953125,0.0,-12.2953125
10.29375,0.0,-10.29375
8.8640625,0.0,-8.8640625
8.578125,0.2859375,-8.2921875
9.721875,0.8578125,-8.8640625
11.7234375,1.4296875,-10.29375
14.296875,2.2875,-12.009375
16.8703125,3.1453125,-13.725
19.1578125,3.7171875,-15.440625
19.7296875,4.2890625,-15.440625
18.871875,4.8609375,-14.0109375
15.7265625,4.8609375,-10.865625
10.5796875,4.8609375,-5.71875
3.7171875,4.575,0.8578125
-4.003125,4.003125,8.00625
-12.2953125,3.43125,15.7265625
-20.015625,2.5734375,22.5890625
-26.30625,2.0015625,28.3078125
-30.5953125,1.14375,31.7390625
-32.025,0.571875,32.596875
-30.88125,0.2859375,31.1671875
-27.1640625,0.0,27.1640625
-21.159375,0.0,21.159375
-13.725,0.0,13.725
-5.146875,0.0,5.146875
2.859375,0.2859375,-2.5734375
10.5796875,0.2859375,-10.29375
17.15625,0.571875,-16.584375
22.303125,0.8578125,-21.4453125
25.4484375,0.8578125,-24.590625
26.878125,1.14375,-25.734375
26.30625,1.14375,-25.1625
24.590625,1.14375,-23.446875
21.4453125,0.8578125,-20.5875
17.728125,0.8578125,-16.8703125
13.4390625,0.8578125,-12.58125
9.15,0.571875,-8.578125
5.4328125,0.571875,-4.8609375
2.2875,0.2859375,-2.0015625
0.0,0.2859375,0.2859375
-1.14375,0.2859375,1.4296875
-1.14375,0.2859375,1.4296875
-0.2859375,0.571875,0.8578125
1.4296875,0.8578125,-0.571875
4.003125,1.4296875,-2.5734375
6.8625,2.0015625,-4.8609375
10.0078125,2.859375,-7.1484375
12.58125,3.43125,-9.15
14.5828125,4.003125,-10.5796875
15.440625,4.575,-10.865625
15.1546875,4.8609375,-10.29375
14.0109375,4.8609375,-9.15
11.7234375,4.8609375,-6.8625
8.2921875,4.2890625,-4.003125
4.575,3.7171875,-0.8578125
0.571875,2.859375,2.2875
-2.859375,2.0015625,4.8609375
-6.5765625,1.14375,7.7203125
-9.4359375,0.571875,10.0078125
-11.1515625,0.0,11.1515625
-12.2953125,0.0,12.2953125
-12.2953125,-0.2859375,12.009375
-11.1515625,0.0,11.1515625
-9.15,0.0,9.15
-6.290625,0.2859375,6.5765625
-2.859375,0.8578125,3.7171875
0.8578125,1.14375,0.2859375
5.146875,1.4296875,-3.7171875
9.4359375,1.4296875,-8.00625
13.153125,1.4296875,-11.7234375
16.2984375,1.4296875,-14.86875
18.3,1.14375,-17.15625
19.1578125,0.8578125,-18.3
18.5859375,0.2859375,-18.3
16.584375,0.2859375,-16.2984375
13.4390625,0.0,-13.4390625
8.8640625,0.0,-8.8640625
4.003125,0.2859375,-3.7171875
-0.8578125,0.8578125,1.715625
-5.71875,1.4296875,7.1484375
-9.4359375,2.0015625,11.4375
-12.009375,2.5734375,14.5828125
-12.8671875,3.43125,16.2984375
-12.009375,4.003125,16.0125
-9.721875,4.2890625,14.0109375
-6.5765625,4.575,11.1515625
-2.859375,4.575,7.434375
0.8578125,4.2890625,3.43125
4.003125,4.003125,0.0
6.0046875,3.43125,-2.5734375
6.8625,2.859375,-4.003125
6.290625,2.2875,-4.003125
4.003125,1.715625,-2.2875
0.571875,1.14375,0.571875
-3.7171875,0.8578125,4.575
-8.578125,0.2859375,8.8640625
-13.153125,0.2859375,13.4390625
-17.4421875,0.0,17.4421875
-21.159375,0.0,21.159375
-23.446875,0.0,23.446875
-24.590625,0.2859375,24.8765625
-24.590625,0.2859375,24.8765625
-23.446875,0.571875,24.01875
-21.159375,0.571875,21.73125
-18.3,0.8578125,19.1578125
-14.86875,0.8578125,15.7265625
-11.4375,1.14375,12.58125
-8.2921875,1.14375,9.4359375
-5.4328125,1.14375,6.5765625
-3.43125,1.14375,4.575
-2.5734375,0.8578125,3.43125
-2.5734375,0.571875,3.1453125
-4.003125,0.571875,4.575
-6.290625,0.2859375,6.5765625
-9.4359375,0.2859375,9.721875
-12.8671875,0.2859375,13.153125
-16.2984375,0.2859375,16.584375
-19.44375,0.571875,20.015625
-21.4453125,1.14375,22.5890625
-22.5890625,1.715625,24.3046875
-22.303125,2.2875,24.590625
-20.8734375,2.859375,23.7328125
-18.3,3.7171875,22.0171875
-14.86875,4.003125,18.871875
-11.7234375,4.575,16.2984375
-8.8640625,4.575,13.4390625
-7.1484375,4.575,11.7234375
-6.8625,4.2890625,11.1515625
-8.578125,3.7171875,12.2953125
-12.009375,3.1453125,15.1546875
-17.15625,2.2875,19.44375
-23.1609375,1.715625,24.8765625
-30.0234375,0.8578125,30.88125
-36.3140625,0.571875,36.8859375
-41.746875,0.2859375,42.0328125
-45.4640625,0.0,45.4640625
-47.1796875,0.0,47.1796875
-46.6078125,0.0,46.6078125
