LEFT,RIGHT,DIFF
-292.8,-284.79375,8.00625000000002
-293.0859375,-283.9359375,9.14999999999998
-294.8015625,-284.221875,10.5796875
-297.375,-285.6515625,11.7234375
-301.378125,-287.9390625,13.4390625
-305.6671875,-290.7984375,14.86875
-309.95625,-293.94375,16.0125
-313.959375,-297.0890625,16.8703125
-317.1046875,-299.9484375,17.15625
-318.8203125,-301.95,16.8703125
-319.3921875,-303.3796875,16.0125
-318.534375,-304.2375,14.296875
-316.81875,-304.5234375,12.2953125
-314.53125,-304.5234375,10.0078125
-312.24375,-304.5234375,7.72031250000003
-310.2421875,-305.0953125,5.14687499999997
-309.6703125,-306.2390625,3.43125000000003
-309.95625,-308.5265625,1.4296875
-311.9578125,-311.671875,0.285937499999989
-315.3890625,-315.675,-0.285937499999989
-320.25,-320.25,0.0
-325.96875,-325.1109375,0.857812499999966
-331.6875,-330.2578125,1.4296875
-337.6921875,-334.546875,3.14531249999999
-342.553125,-337.978125,4.57499999999999
-346.55625,-340.265625,6.29062500000003
-348.84375,-340.8375,8.00624999999997
-349.415625,-339.9796875,9.43593750000002
-348.271875,-337.6921875,10.5796875
-345.4125,-334.2609375,11.1515625
-341.6953125,-329.6859375,12.009375
-337.1203125,-324.825,12.2953125
-332.5453125,-319.9640625,12.58125
-328.25625,-315.675,12.58125
-325.1109375,-312.5296875,12.58125
-323.3953125,-310.8140625,12.58125
-323.3953125,-310.8140625,12.58125
-325.396875,-312.815625,12.58125
-329.6859375,-316.5328125,13.153125
-335.690625,-321.6796875,14.0109375
-343.4109375,-328.5421875,14.86875
-351.9890625,-335.9765625,16.0125
-361.425,-343.9828125,17.4421875
-370.575,-351.9890625,18.5859375
-379.153125,-359.1375,20.015625
-386.5875,-365.428125,21.159375
-392.30625,-370.575,21.73125
-396.0234375,-373.7203125,22.303125
-397.7390625,-375.4359375,22.303125
-397.453125,-375.721875,21.73125
-395.4515625,-374.578125,20.8734375
-392.0203125,-372.290625,19.7296875
-387.73125,-369.1453125,18.5859375
-383.4421875,-366.0,17.4421875
-379.4390625,-362.8546875,16.584375
-376.0078125,-359.9953125,16.0125
-373.7203125,-357.99375,15.7265625
-372.5765625,-356.85,15.7265625
-372.290625,-356.5640625,15.7265625
-373.1484375,-356.85,16.2984375
-374.8640625,-357.7078125,17.15625
-376.5796875,-358.8515625,17.728125
-378.2953125,-359.709375,18.5859375
-379.725,-360.853125,18.871875
-380.5828125,-361.1390625,19.44375
-381.1546875,-361.425,19.7296875
-381.1546875,-361.1390625,20.015625
-381.1546875,-360.5671875,20.5875
-381.440625,-359.9953125,21.4453125
-382.0125,-359.9953125,22.0171875
