LEFT,RIGHT,DIFF
-96.3609375,-16.8703125,79.490625
-94.0734375,-16.2984375,77.775
-92.64375,-15.440625,77.203125
-92.3578125,-14.86875,77.4890625
-92.64375,-14.5828125,78.0609375
-94.0734375,-14.296875,79.7765625
-96.075,-14.296875,81.778125
-98.6484375,-14.5828125,84.065625
-101.79375,-15.440625,86.353125
-104.9390625,-16.2984375,88.640625
-108.084375,-17.4421875,90.6421875
-111.2296875,-18.871875,92.3578125
-114.0890625,-20.8734375,93.215625
-116.9484375,-22.875,94.0734375
-119.521875,-24.8765625,94.6453125
-121.809375,-27.1640625,94.6453125
-123.8109375,-29.165625,94.6453125
-125.5265625,-31.1671875,94.359375
-126.95625,-32.3109375,94.6453125
-127.8140625,-32.8828125,94.93125
-115.51875,-30.5953125,84.9234375
-118.0921875,-31.7390625,86.353125
-119.521875,-31.7390625,87.7828125
-120.09375,-30.88125,89.2125
-119.521875,-28.8796875,90.6421875
-118.0921875,-26.0203125,92.071875
-115.2328125,-22.0171875,93.215625
-111.8015625,-17.4421875,94.359375
-107.5125,-12.58125,94.93125
-102.365625,-7.7203125,94.6453125
-97.21875,-3.1453125,94.0734375
-91.7859375,1.14375,92.9296875
-86.353125,4.8609375,91.2140625
-81.778125,7.7203125,89.4984375
-77.775,10.0078125,87.7828125
-74.915625,10.865625,85.78125
-73.2,11.1515625,84.3515625
-72.628125,10.29375,82.921875
-73.2,8.578125,81.778125
-74.6296875,6.0046875,80.634375
-76.9171875,3.1453125,80.0625
-79.7765625,0.0,79.7765625
-82.35,-3.1453125,79.2046875
-84.6375,-5.71875,78.91875
-86.0671875,-7.434375,78.6328125
-86.353125,-8.2921875,78.0609375
-85.4953125,-7.434375,78.0609375
-83.2078125,-5.4328125,77.775
-80.3484375,-2.2875,78.0609375
-76.63125,2.0015625,78.6328125
-72.9140625,6.8625,79.7765625
-69.4828125,12.009375,81.4921875
-66.6234375,16.584375,83.2078125
-64.9078125,20.015625,84.9234375
-64.621875,22.303125,86.925
-65.4796875,22.5890625,88.06875
-67.7671875,21.159375,88.9265625
-70.9125,18.0140625,88.9265625
-74.6296875,13.153125,87.7828125
-78.6328125,7.434375,86.0671875
-82.6359375,1.14375,83.7796875
-86.353125,-4.8609375,81.4921875
-89.2125,-10.5796875,78.6328125
-91.7859375,-15.7265625,76.059375
-94.0734375,-19.7296875,74.34375
-95.7890625,-22.875,72.9140625
-97.5046875,-25.1625,72.3421875
-99.2203125,-26.878125,72.3421875
-101.221875,-28.021875,73.2
-103.2234375,-28.8796875,74.34375
-105.5109375,-30.0234375,75.4875
-107.5125,-31.1671875,76.3453125
-109.5140625,-32.3109375,77.203125
-110.6578125,-33.740625,76.9171875
-111.2296875,-34.884375,76.3453125
-111.2296875,-36.028125,75.2015625
-110.371875,-36.8859375,73.4859375
-109.228125,-37.4578125,71.7703125
-107.7984375,-37.74375,70.0546875
-106.940625,-37.74375,69.196875
-87.496875,-22.5890625,64.9078125
-88.3546875,-23.446875,64.9078125
-89.4984375,-24.8765625,64.621875
-91.5,-26.5921875,64.9078125
-93.5015625,-28.8796875,64.621875
-95.7890625,-31.1671875,64.621875
-98.0765625,-33.740625,64.3359375
-100.3640625,-36.028125,64.3359375
-101.79375,-37.74375,64.05
-102.9375,-39.1734375,63.7640625
-103.509375,-40.03125,63.478125
-103.7953125,-40.03125,63.7640625
-103.7953125,-39.7453125,64.05
