LEFT,RIGHT,DIFF
-138.6796875,-89.784375,48.8953125
-134.1046875,-85.4953125,48.609375
-129.24375,-81.4921875,47.7515625
-124.3828125,-77.775,46.6078125
-119.8078125,-74.915625,44.8921875
-116.090625,-72.9140625,43.1765625
-112.659375,-71.484375,41.175
-110.0859375,-70.9125,39.1734375
-107.7984375,-70.340625,37.4578125
-105.796875,-70.0546875,35.7421875
-104.08125,-69.196875,34.884375
-102.365625,-68.3390625,34.0265625
-101.221875,-66.909375,34.3125
-100.65,-65.765625,34.884375
-100.9359375,-64.9078125,36.028125
-102.365625,-64.621875,37.74375
-104.653125,-65.19375,39.459375
-108.3703125,-67.1953125,41.175
-112.659375,-70.0546875,42.6046875
-117.5203125,-74.0578125,43.4625
-122.38125,-78.346875,44.034375
-126.6703125,-82.6359375,44.034375
-130.1015625,-86.6390625,43.4625
-131.8171875,-89.4984375,42.31875
-132.3890625,-90.928125,41.4609375
-130.959375,-90.928125,40.03125
-128.671875,-89.784375,38.8875
-125.8125,-87.2109375,38.6015625
-122.6671875,-84.065625,38.6015625
-120.3796875,-80.9203125,39.459375
-119.521875,-78.346875,41.175
-120.09375,-76.3453125,43.7484375
-122.6671875,-75.7734375,46.89375
-127.2421875,-76.9171875,50.325
-133.5328125,-79.2046875,54.328125
-140.68125,-82.921875,57.759375
-148.4015625,-87.2109375,61.190625
-155.55,-92.071875,63.478125
-162.1265625,-96.9328125,65.19375
-166.9875,-101.221875,65.765625
-170.41875,-104.3671875,66.0515625
-172.134375,-106.6546875,65.4796875
-172.134375,-107.7984375,64.3359375
-170.990625,-108.084375,62.90625
-168.9890625,-107.7984375,61.190625
-166.7015625,-106.940625,59.7609375
-164.7,-106.0828125,58.6171875
-163.2703125,-105.225,58.0453125
-162.6984375,-105.225,57.4734375
-163.2703125,-105.796875,57.4734375
-164.7,-106.940625,57.759375
-166.7015625,-108.9421875,57.759375
-169.275,-111.515625,57.759375
-172.134375,-114.6609375,57.4734375
-174.7078125,-117.80625,56.9015625
-176.9953125,-121.2375,55.7578125
-178.996875,-124.3828125,54.6140625
-180.7125,-127.2421875,53.4703125
-181.85625,-129.815625,52.040625
-182.7140625,-131.8171875,50.896875
-183.571875,-133.81875,49.753125
-184.4296875,-134.9625,49.4671875
-185.5734375,-136.10625,49.4671875
-186.7171875,-136.9640625,49.753125
-188.146875,-137.821875,50.325
-189.5765625,-138.39375,51.1828125
-191.00625,-139.2515625,51.7546875
-192.4359375,-139.8234375,52.6125
-193.29375,-140.3953125,52.8984375
-193.5796875,-140.68125,52.8984375
-193.29375,-140.68125,52.6125
-192.4359375,-140.3953125,52.040625
-190.434375,-139.5375,50.896875
-187.8609375,-138.1078125,49.753125
-184.4296875,-136.10625,48.3234375
-180.7125,-133.246875,47.465625
-176.4234375,-130.1015625,46.321875
-172.134375,-126.0984375,46.0359375
-167.559375,-122.0953125,45.4640625
-163.2703125,-117.80625,45.4640625
-159.2671875,-113.803125,45.4640625
-155.8359375,-110.371875,45.4640625
-152.4046875,-107.2265625,45.178125
-149.83125,-104.9390625,44.8921875
-147.8296875,-103.2234375,44.60625
-146.1140625,-102.365625,43.7484375
-144.684375,-102.365625,42.31875
-144.1125,-102.9375,41.175
-143.540625,-103.509375,40.03125
-143.2546875,-104.653125,38.6015625
-143.2546875,-105.5109375,37.74375
-143.2546875,-106.0828125,37.171875
-143.2546875,-106.0828125,37.171875
-143.2546875,-105.796875,37.4578125
-142.96875,-104.9390625,38.0296875
-142.96875,-103.509375,39.459375
-142.6828125,-101.79375,40.8890625
-142.1109375,-99.50625,42.6046875
-141.825,-97.5046875,44.3203125
-141.253125,-95.503125,45.75
