LEFT,RIGHT,DIFF
-57.1875,-22.875,34.3125
-60.61875,-26.5921875,34.0265625
-63.7640625,-29.7375,34.0265625
-66.909375,-32.596875,34.3125
-69.76875,-35.1703125,34.5984375
-72.05625,-37.4578125,34.5984375
-74.34375,-38.8875,35.45625
-75.7734375,-40.03125,35.7421875
-76.9171875,-40.8890625,36.028125
-77.775,-41.175,36.6
-77.775,-40.8890625,36.8859375
-77.203125,-40.03125,37.171875
-76.059375,-38.6015625,37.4578125
-74.34375,-37.171875,37.171875
-72.628125,-35.1703125,37.4578125
-70.6265625,-33.16875,37.4578125
-68.9109375,-31.453125,37.4578125
-67.1953125,-30.0234375,37.171875
-65.765625,-28.8796875,36.8859375
-64.621875,-28.59375,36.028125
-63.7640625,-28.8796875,34.884375
-63.478125,-29.7375,33.740625
-63.1921875,-31.1671875,32.025
-62.90625,-33.16875,29.7375
-62.6203125,-35.1703125,27.45
-62.334375,-37.171875,25.1625
-61.7625,-38.8875,22.875
-61.190625,-40.03125,21.159375
-60.3328125,-40.8890625,19.44375
-59.475,-40.8890625,18.5859375
-58.903125,-40.603125,18.3
-58.0453125,-39.459375,18.5859375
-57.4734375,-38.0296875,19.44375
-57.1875,-36.3140625,20.8734375
-56.615625,-34.3125,22.303125
-56.3296875,-32.3109375,24.01875
-55.7578125,-30.309375,25.4484375
-55.1859375,-28.59375,26.5921875
-54.328125,-26.878125,27.45
-53.4703125,-25.734375,27.7359375
-57.759375,-20.015625,37.74375
-61.4765625,-22.303125,39.1734375
-66.0515625,-25.4484375,40.603125
-71.484375,-29.7375,41.746875
-77.203125,-34.5984375,42.6046875
-82.921875,-39.7453125,43.1765625
-88.3546875,-45.178125,43.1765625
-92.9296875,-50.6109375,42.31875
-96.9328125,-55.471875,41.4609375
-99.7921875,-59.7609375,40.03125
-102.0796875,-63.1921875,38.8875
-103.509375,-65.765625,37.74375
-104.3671875,-67.48125,36.8859375
-104.653125,-68.053125,36.6
-105.225,-68.053125,37.171875
-105.5109375,-67.1953125,38.315625
-105.796875,-66.0515625,39.7453125
-106.0828125,-64.3359375,41.746875
-106.36875,-62.6203125,43.7484375
-106.6546875,-60.9046875,45.75
-94.359375,-66.909375,27.45
-90.35625,-64.05,26.30625
-86.925,-61.7625,25.1625
-84.3515625,-60.3328125,24.01875
-82.921875,-59.7609375,23.1609375
-82.921875,-60.3328125,22.5890625
-83.7796875,-61.4765625,22.303125
-85.78125,-63.7640625,22.0171875
-88.3546875,-66.0515625,22.303125
-90.928125,-68.3390625,22.5890625
-92.9296875,-70.0546875,22.875
-94.359375,-70.9125,23.446875
-94.359375,-70.6265625,23.7328125
-92.9296875,-69.196875,23.7328125
-90.35625,-66.3375,24.01875
-86.353125,-62.6203125,23.7328125
-82.0640625,-58.0453125,24.01875
-77.203125,-53.184375,24.01875
-72.628125,-48.8953125,23.7328125
-68.9109375,-44.8921875,24.01875
-67.7671875,-47.1796875,20.5875
-68.9109375,-48.3234375,20.5875
-68.053125,-47.465625,20.5875
-65.765625,-44.8921875,20.8734375
-61.7625,-40.8890625,20.8734375
-57.1875,-35.7421875,21.4453125
-52.3265625,-30.5953125,21.73125
-48.0375,-26.30625,21.73125
-44.8921875,-23.1609375,21.73125
-43.7484375,-22.0171875,21.73125
-44.8921875,-23.1609375,21.73125
-48.0375,-26.878125,21.159375
-52.8984375,-32.596875,20.3015625
-59.1890625,-39.459375,19.7296875
-66.3375,-47.1796875,19.1578125
-73.4859375,-54.9,18.5859375
-79.7765625,-61.7625,18.0140625
-85.209375,-66.909375,18.3
-88.9265625,-70.340625,18.5859375
-91.2140625,-71.7703125,19.44375
-91.7859375,-71.1984375,20.5875
-91.5,-69.196875,22.303125
-90.35625,-66.6234375,23.7328125
-89.2125,-63.478125,25.734375
-88.3546875,-60.61875,27.7359375
-88.06875,-58.6171875,29.4515625
-88.640625,-57.4734375,31.1671875
-89.784375,-57.4734375,32.3109375
-91.5,-58.0453125,33.4546875
-93.5015625,-59.475,34.0265625
-95.2171875,-60.61875,34.5984375
-96.646875,-61.7625,34.884375
-97.5046875,-62.0484375,35.45625
-97.790625,-61.4765625,36.3140625
-96.9328125,-60.046875,36.8859375
-95.7890625,-58.0453125,37.74375
-94.0734375,-55.1859375,38.8875
-92.071875,-52.6125,39.459375
-90.0703125,-49.753125,40.3171875
-88.640625,-47.465625,41.175
-87.2109375,-46.0359375,41.175
-86.353125,-45.178125,41.175
-85.209375,-44.60625,40.603125
-84.065625,-44.3203125,39.7453125
-82.35,-44.034375,38.315625
-79.7765625,-43.4625,36.3140625
-76.3453125,-41.746875,34.5984375
-72.05625,-39.459375,32.596875
-66.6234375,-35.7421875,30.88125
-60.9046875,-31.453125,29.4515625
-55.1859375,-26.5921875,28.59375
-50.0390625,-21.73125,28.3078125
-45.75,-17.728125,28.021875
-43.4625,-14.5828125,28.8796875
-43.1765625,-13.153125,30.0234375
-44.8921875,-13.4390625,31.453125
-48.609375,-15.440625,33.16875
-53.75625,-19.44375,34.3125
-60.046875,-24.3046875,35.7421875
-66.3375,-29.4515625,36.8859375
-71.7703125,-34.3125,37.4578125
-76.059375,-38.0296875,38.0296875
-78.0609375,-40.03125,38.0296875
-78.0609375,-40.03125,38.0296875
-75.7734375,-38.0296875,37.74375
-71.484375,-34.0265625,37.4578125
-66.3375,-28.59375,37.74375
-60.61875,-22.5890625,38.0296875
-55.7578125,-16.8703125,38.8875
-52.3265625,-12.58125,39.7453125
-51.1828125,-10.0078125,41.175
-52.3265625,-10.0078125,42.31875
-56.04375,-12.58125,43.4625
-61.4765625,-17.4421875,44.034375
-68.625,-24.01875,44.60625
-76.059375,-31.1671875,44.8921875
-82.921875,-38.6015625,44.3203125
-88.640625,-44.8921875,43.7484375
-92.3578125,-49.4671875,42.890625
-93.7875,-51.7546875,42.0328125
-92.9296875,-51.7546875,41.175
-90.35625,-49.753125,40.603125
-86.353125,-46.321875,40.03125
-82.0640625,-42.0328125,40.03125
-78.346875,-37.74375,40.603125
-75.7734375,-34.3125,41.4609375
-74.915625,-32.596875,42.31875
-75.7734375,-32.596875,43.1765625
-78.346875,-34.5984375,43.7484375
-82.6359375,-38.0296875,44.60625
-87.2109375,-42.6046875,44.60625
-92.071875,-47.465625,44.60625
-96.646875,-52.040625,44.60625
-99.7921875,-55.7578125,44.034375
-101.79375,-58.33125,43.4625
-102.365625,-59.475,42.890625
-101.79375,-59.475,42.31875
-100.3640625,-58.0453125,42.31875
-98.3625,-56.3296875,42.0328125
-96.646875,-54.328125,42.31875
-95.2171875,-52.6125,42.6046875
-94.0734375,-51.1828125,42.890625
-93.5015625,-50.0390625,43.4625
-92.9296875,-49.4671875,43.4625
-92.071875,-48.609375,43.4625
-91.2140625,-47.465625,43.7484375
-89.784375,-46.0359375,43.7484375
-87.7828125,-43.7484375,44.034375
-85.4953125,-41.175,44.3203125
-83.2078125,-38.315625,44.8921875
-81.778125,-36.028125,45.75
-81.20625,-34.3125,46.89375
-82.6359375,-34.0265625,48.609375
-85.4953125,-35.45625,50.0390625
-90.35625,-38.8875,51.46875
-96.3609375,-44.034375,52.3265625
-103.2234375,-50.325,52.8984375
-110.0859375,-57.4734375,52.6125
-115.51875,-64.05,51.46875
-119.521875,-69.76875,49.753125
-146.1140625,-103.7953125,42.31875
-150.975,-107.2265625,43.7484375
-154.6921875,-110.0859375,44.60625
-157.265625,-112.0875,45.178125
-158.98125,-113.23125,45.75
-159.8390625,-113.803125,46.0359375
-160.4109375,-114.0890625,46.321875
-160.9828125,-114.375,46.6078125
-162.1265625,-115.2328125,46.89375
-163.8421875,-116.3765625,47.465625
