LEFT,RIGHT,DIFF
-230.1796875,-184.4296875,45.75
-231.609375,-186.1453125,45.4640625
-232.18125,-187.003125,45.178125
-231.609375,-186.43125,45.178125
-230.1796875,-184.715625,45.4640625
-227.60625,-181.85625,45.75
-224.746875,-178.425,46.321875
-221.8875,-174.99375,46.89375
-219.3140625,-172.134375,47.1796875
-217.884375,-170.41875,47.465625
-217.5984375,-169.846875,47.7515625
-218.7421875,-170.990625,47.7515625
-221.6015625,-173.5640625,48.0375
-225.6046875,-177.853125,47.7515625
-230.465625,-183.0,47.465625
-236.184375,-189.0046875,47.1796875
-241.6171875,-194.7234375,46.89375
-246.1921875,-200.15625,46.0359375
-249.909375,-204.159375,45.75
-252.196875,-207.01875,45.178125
-197.0109375,-155.8359375,41.175
-195.2953125,-154.1203125,41.175
-193.29375,-152.4046875,40.8890625
-191.2921875,-150.975,40.3171875
-189.5765625,-149.5453125,40.03125
-187.8609375,-148.115625,39.7453125
-186.1453125,-146.971875,39.1734375
-184.14375,-146.1140625,38.0296875
-182.428125,-144.9703125,37.4578125
-180.140625,-143.8265625,36.3140625
-177.853125,-142.396875,35.45625
-175.2796875,-140.68125,34.5984375
-172.4203125,-138.965625,33.4546875
-169.846875,-137.25,32.596875
-167.2734375,-135.2484375,32.025
-165.5578125,-134.1046875,31.453125
-164.4140625,-133.246875,31.1671875
-164.128125,-132.9609375,31.1671875
-164.9859375,-133.81875,31.1671875
-166.9875,-135.534375,31.453125
-169.846875,-138.1078125,31.7390625
-173.5640625,-141.253125,32.3109375
-177.5671875,-144.9703125,32.596875
-181.85625,-148.9734375,32.8828125
-185.859375,-152.9765625,32.8828125
-189.5765625,-156.4078125,33.16875
-192.721875,-159.2671875,33.4546875
-195.2953125,-161.26875,34.0265625
-197.0109375,-162.4125,34.5984375
-198.440625,-162.984375,35.45625
-199.2984375,-162.984375,36.3140625
-200.15625,-162.4125,37.74375
-200.4421875,-161.5546875,38.8875
-201.0140625,-160.696875,40.3171875
-201.5859375,-160.4109375,41.175
-202.44375,-160.4109375,42.0328125
-203.3015625,-160.9828125,42.31875
-204.4453125,-162.1265625,42.31875
-205.875,-164.128125,41.746875
-207.590625,-166.415625,41.175
-209.0203125,-169.275,39.7453125
-210.7359375,-172.134375,38.6015625
-212.4515625,-175.2796875,37.171875
-213.88125,-177.853125,36.028125
-214.7390625,-179.8546875,34.884375
-215.025,-180.9984375,34.0265625
-214.453125,-181.284375,33.16875
-213.0234375,-180.140625,32.8828125
-210.45,-178.1390625,32.3109375
-206.7328125,-174.99375,31.7390625
-202.44375,-170.990625,31.453125
-197.296875,-166.415625,30.88125
-192.4359375,-161.840625,30.5953125
-187.8609375,-157.8375,30.0234375
-184.14375,-154.6921875,29.4515625
-182.1421875,-152.9765625,29.165625
-182.1421875,-152.690625,29.4515625
-184.14375,-154.1203125,30.0234375
-187.8609375,-157.265625,30.5953125
-193.29375,-161.26875,32.025
-162.4125,-113.23125,49.18125
-162.6984375,-114.375,48.3234375
-161.26875,-114.375,46.89375
-158.409375,-112.9453125,45.4640625
-154.40625,-110.6578125,43.7484375
-150.403125,-108.65625,41.746875
-146.971875,-107.2265625,39.7453125
-144.684375,-107.2265625,37.4578125
-144.3984375,-108.65625,35.7421875
-145.828125,-111.515625,34.3125
-148.9734375,-115.51875,33.4546875
-152.4046875,-120.09375,32.3109375
-155.8359375,-124.096875,31.7390625
-158.1234375,-126.95625,31.1671875
-158.6953125,-128.1,30.5953125
-156.4078125,-126.384375,30.0234375
-152.11875,-122.38125,29.7375
-145.25625,-116.090625,29.165625
-137.25,-108.084375,29.165625
-128.9578125,-99.7921875,29.165625
-95.2171875,-61.4765625,33.740625
-96.3609375,-61.4765625,34.884375
-98.6484375,-62.6203125,36.028125
-101.221875,-64.05,37.171875
-103.7953125,-65.4796875,38.315625
-105.5109375,-66.6234375,38.8875
-106.36875,-66.909375,39.459375
-106.0828125,-66.3375,39.7453125
-104.9390625,-65.19375,39.7453125
-103.509375,-63.478125,40.03125
-101.5078125,-61.7625,39.7453125
-99.50625,-60.3328125,39.1734375
-98.0765625,-59.475,38.6015625
-96.9328125,-58.903125,38.0296875
-96.075,-59.1890625,36.8859375
-96.075,-59.7609375,36.3140625
-96.3609375,-60.61875,35.7421875
-96.9328125,-61.7625,35.1703125
-97.790625,-62.90625,34.884375
-98.6484375,-63.478125,35.1703125
-99.7921875,-64.3359375,35.45625
-101.221875,-64.621875,36.6
-102.9375,-64.9078125,38.0296875
-104.9390625,-65.19375,39.7453125
-106.940625,-65.765625,41.175
-109.5140625,-66.3375,43.1765625
-112.0875,-67.48125,44.60625
-114.375,-68.625,45.75
-116.6625,-70.6265625,46.0359375
-118.95,-72.628125,46.321875
-120.3796875,-74.915625,45.4640625
-121.809375,-77.4890625,44.3203125
-122.6671875,-80.0625,42.6046875
-123.2390625,-82.921875,40.3171875
-123.8109375,-85.209375,38.6015625
-124.3828125,-87.496875,36.8859375
-124.9546875,-89.784375,35.1703125
-125.5265625,-91.5,34.0265625
-126.384375,-92.64375,33.740625
-127.2421875,-93.5015625,33.740625
-145.5421875,-115.2328125,30.309375
-138.965625,-108.084375,30.88125
-133.5328125,-101.79375,31.7390625
-129.815625,-96.646875,33.16875
-127.2421875,-93.215625,34.0265625
-126.0984375,-91.2140625,34.884375
-125.8125,-90.6421875,35.1703125
-126.384375,-91.5,34.884375
-127.2421875,-92.9296875,34.3125
-128.3859375,-95.2171875,33.16875
-130.1015625,-97.790625,32.3109375
-132.103125,-100.9359375,31.1671875
-134.390625,-104.3671875,30.0234375
-137.821875,-108.3703125,29.4515625
-141.825,-112.9453125,28.8796875
-146.971875,-118.0921875,28.8796875
-152.4046875,-123.525,28.8796875
-157.8375,-129.24375,28.59375
-162.984375,-134.1046875,28.8796875
-167.2734375,-138.39375,28.8796875
-170.1328125,-140.9671875,29.165625
-170.990625,-142.1109375,28.8796875
