LEFT,RIGHT,DIFF
5.146875,32.8828125,27.7359375
2.859375,30.5953125,27.7359375
0.0,28.3078125,28.3078125
-3.1453125,25.734375,28.8796875
-7.1484375,23.1609375,30.309375
-11.4375,20.5875,32.025
-16.0125,18.3,34.3125
-20.3015625,16.0125,36.3140625
-24.01875,14.296875,38.315625
-27.45,12.8671875,40.3171875
-29.4515625,11.7234375,41.175
-30.5953125,11.1515625,41.746875
-30.5953125,11.1515625,41.746875
-29.4515625,11.7234375,41.175
-27.1640625,12.8671875,40.03125
-24.01875,14.5828125,38.6015625
-20.3015625,16.8703125,37.171875
-16.0125,19.44375,35.45625
-12.009375,22.303125,34.3125
-8.00625,25.4484375,33.4546875
-4.2890625,28.3078125,32.596875
-1.14375,31.1671875,32.3109375
1.14375,33.4546875,32.3109375
3.1453125,35.1703125,32.025
4.2890625,36.028125,31.7390625
4.8609375,36.3140625,31.453125
4.575,35.45625,30.88125
3.43125,33.740625,30.309375
2.0015625,31.453125,29.4515625
0.0,28.8796875,28.8796875
-2.0015625,26.30625,28.3078125
-4.2890625,24.3046875,28.59375
-6.5765625,22.875,29.4515625
-8.2921875,22.5890625,30.88125
-9.4359375,23.1609375,32.596875
-9.721875,24.590625,34.3125
-8.8640625,27.1640625,36.028125
-7.434375,30.309375,37.74375
-5.4328125,33.4546875,38.8875
-2.5734375,36.3140625,38.8875
-16.8703125,18.3,35.1703125
-18.0140625,16.584375,34.5984375
-18.5859375,16.0125,34.5984375
-19.1578125,16.2984375,35.45625
-18.5859375,18.0140625,36.6
-17.4421875,20.5875,38.0296875
-15.1546875,23.7328125,38.8875
-12.2953125,27.45,39.7453125
-8.8640625,30.5953125,39.459375
-5.71875,32.8828125,38.6015625
-3.1453125,33.4546875,36.6
-1.4296875,32.8828125,34.3125
-1.4296875,30.309375,31.7390625
-2.5734375,26.30625,28.8796875
-5.4328125,21.159375,26.5921875
-9.15,15.7265625,24.8765625
-13.725,10.5796875,24.3046875
-18.0140625,6.5765625,24.590625
-22.303125,3.7171875,26.0203125
-25.4484375,2.5734375,28.021875
-26.5921875,16.584375,43.1765625
-23.446875,18.5859375,42.0328125
-21.73125,18.871875,40.603125
-21.159375,17.4421875,38.6015625
-21.73125,15.1546875,36.8859375
-23.7328125,11.7234375,35.45625
-26.30625,8.2921875,34.5984375
-28.8796875,5.4328125,34.3125
-31.453125,3.1453125,34.5984375
-33.4546875,1.715625,35.1703125
-34.5984375,1.14375,35.7421875
-35.1703125,1.4296875,36.6
-35.45625,1.715625,37.171875
-35.45625,2.0015625,37.4578125
-35.45625,1.715625,37.171875
-36.028125,0.571875,36.6
-37.4578125,-1.14375,36.3140625
-39.7453125,-4.2890625,35.45625
-42.6046875,-8.00625,34.5984375
-45.75,-11.7234375,34.0265625
-49.18125,-15.440625,33.740625
-52.3265625,-18.3,34.0265625
-54.6140625,-20.015625,34.5984375
-56.04375,-20.8734375,35.1703125
-56.615625,-20.5875,36.028125
-56.3296875,-19.44375,36.8859375
-55.471875,-18.3,37.171875
-54.6140625,-17.15625,37.4578125
-54.0421875,-16.584375,37.4578125
-54.0421875,-16.8703125,37.171875
-55.1859375,-18.5859375,36.6
-57.1875,-20.8734375,36.3140625
-59.7609375,-24.01875,35.7421875
-62.90625,-27.1640625,35.7421875
-65.4796875,-29.4515625,36.028125
-67.1953125,-30.88125,36.3140625
-67.48125,-30.5953125,36.8859375
-65.765625,-28.3078125,37.4578125
-62.0484375,-24.01875,38.0296875
-56.615625,-18.3,38.315625
-49.18125,-11.1515625,38.0296875
-41.175,-3.7171875,37.4578125
-32.8828125,3.43125,36.3140625
-25.1625,10.0078125,35.1703125
-18.5859375,15.1546875,33.740625
-14.0109375,18.5859375,32.596875
-11.4375,20.3015625,31.7390625
-10.865625,20.3015625,31.1671875
-12.009375,19.1578125,31.1671875
-14.296875,17.4421875,31.7390625
-17.4421875,15.440625,32.8828125
-20.3015625,13.725,34.0265625
-22.875,12.58125,35.45625
-24.3046875,12.009375,36.3140625
-24.8765625,12.58125,37.4578125
-24.01875,13.725,37.74375
-22.5890625,15.1546875,37.74375
-20.5875,17.15625,37.74375
-18.3,18.871875,37.171875
-16.2984375,20.3015625,36.6
-14.296875,21.73125,36.028125
-13.153125,22.5890625,35.7421875
-12.2953125,23.7328125,36.028125
-11.7234375,24.590625,36.3140625
-11.7234375,25.4484375,37.171875
-11.4375,26.5921875,38.0296875
-11.1515625,27.7359375,38.8875
-10.5796875,29.165625,39.7453125
-9.721875,30.0234375,39.7453125
-9.15,30.88125,40.03125
-8.8640625,30.88125,39.7453125
-8.578125,30.309375,38.8875
-9.4359375,28.8796875,38.315625
-10.5796875,26.5921875,37.171875
-12.8671875,23.446875,36.3140625
-15.7265625,20.015625,35.7421875
-18.871875,16.2984375,35.1703125
-22.303125,12.8671875,35.1703125
-25.734375,9.4359375,35.1703125
-28.3078125,6.8625,35.1703125
-30.5953125,4.8609375,35.45625
-32.025,3.1453125,35.1703125
-32.8828125,2.2875,35.1703125
-33.16875,1.715625,34.884375
-33.4546875,1.14375,34.5984375
