LEFT,RIGHT,DIFF
-16.584375,2.859375,19.44375
-12.009375,8.00625,20.015625
-7.7203125,12.009375,19.7296875
-4.575,14.5828125,19.1578125
-2.859375,15.1546875,18.0140625
-2.5734375,13.725,16.2984375
-4.003125,10.29375,14.296875
-7.1484375,5.146875,12.2953125
-11.1515625,-0.2859375,10.865625
-15.7265625,-5.71875,10.0078125
-20.015625,-10.5796875,9.4359375
-24.01875,-14.0109375,10.0078125
-26.878125,-15.7265625,11.1515625
-28.8796875,-15.7265625,13.153125
-29.165625,-14.0109375,15.1546875
-28.8796875,-11.1515625,17.728125
-27.7359375,-8.2921875,19.44375
-26.5921875,-6.290625,20.3015625
-26.0203125,-5.4328125,20.5875
-26.0203125,-6.8625,19.1578125
-27.7359375,-10.5796875,17.15625
-30.5953125,-16.2984375,14.296875
-34.884375,-23.7328125,11.1515625
-40.03125,-31.7390625,8.2921875
-45.4640625,-39.459375,6.0046875
-50.6109375,-46.0359375,4.575
-54.6140625,-50.0390625,4.575
-56.615625,-51.1828125,5.4328125
-56.9015625,-48.609375,8.2921875
-54.9,-43.1765625,11.7234375
-50.6109375,-35.45625,15.1546875
-45.178125,-25.734375,19.44375
-38.6015625,-16.0125,22.5890625
-32.025,-7.1484375,24.8765625
-26.30625,-0.571875,25.734375
-22.0171875,2.859375,24.8765625
-20.015625,3.43125,23.446875
-19.7296875,0.8578125,20.5875
-21.73125,-4.003125,17.728125
-25.4484375,-10.5796875,14.86875
-29.7375,-17.728125,12.009375
-34.3125,-24.01875,10.29375
-38.0296875,-28.59375,9.4359375
-40.3171875,-30.309375,10.0078125
-40.8890625,-29.4515625,11.4375
-39.459375,-25.4484375,14.0109375
-36.6,-19.7296875,16.8703125
-32.3109375,-12.58125,19.7296875
-27.45,-5.71875,21.73125
-23.1609375,0.0,23.1609375
-19.7296875,2.859375,22.5890625
-18.3,3.43125,21.73125
-19.44375,0.8578125,20.3015625
-22.5890625,-4.575,18.0140625
-27.7359375,-12.58125,15.1546875
-34.5984375,-21.73125,12.8671875
-42.31875,-31.1671875,11.1515625
-49.753125,-39.459375,10.29375
-56.3296875,-45.75,10.5796875
-60.9046875,-49.18125,11.7234375
-62.90625,-49.18125,13.725
-62.6203125,-46.321875,16.2984375
-59.475,-40.603125,18.871875
-54.328125,-33.16875,21.159375
-47.7515625,-24.590625,23.1609375
