LEFT,RIGHT,DIFF
-30.309375,-26.5921875,3.7171875
-25.734375,-22.0171875,3.7171875
-21.159375,-18.0140625,3.1453125
-18.0140625,-15.440625,2.5734375
-16.0125,-14.296875,1.715625
-15.7265625,-14.86875,0.8578125
-17.15625,-16.8703125,0.285937499999999
-19.44375,-20.015625,-0.571874999999999
-22.5890625,-23.7328125,-1.14375
-25.734375,-27.45,-1.715625
-28.8796875,-31.1671875,-2.2875
-30.88125,-34.0265625,-3.1453125
-32.025,-36.3140625,-4.2890625
-32.3109375,-37.74375,-5.4328125
-31.7390625,-38.8875,-7.1484375
-30.88125,-39.7453125,-8.8640625
-30.309375,-40.603125,-10.29375
-30.0234375,-41.746875,-11.7234375
-30.88125,-43.1765625,-12.2953125
-32.596875,-45.178125,-12.58125
-35.1703125,-47.465625,-12.2953125
-38.8875,-49.753125,-10.865625
-42.890625,-51.7546875,-8.8640625
-46.6078125,-52.8984375,-6.290625
-49.4671875,-53.4703125,-4.003125
-51.46875,-52.6125,-1.14375
-51.46875,-50.325,1.14375
-50.0390625,-47.1796875,2.859375
-46.89375,-43.4625,3.43125000000001
-42.6046875,-39.1734375,3.43125000000001
-37.74375,-35.1703125,2.5734375
-32.8828125,-32.025,0.857812500000001
-28.59375,-29.7375,-1.14375
-25.734375,-29.165625,-3.43125
-24.8765625,-30.309375,-5.4328125
-26.0203125,-32.8828125,-6.8625
-29.7375,-37.171875,-7.434375
-35.1703125,-42.6046875,-7.434375
-42.31875,-49.18125,-6.8625
-50.6109375,-56.04375,-5.4328125
-58.903125,-62.6203125,-3.7171875
-66.909375,-68.625,-1.715625
-73.771875,-73.4859375,0.285937500000003
-78.346875,-76.63125,1.71562499999999
-80.634375,-77.4890625,3.1453125
-79.7765625,-75.7734375,4.003125
-76.3453125,-71.7703125,4.575
-69.76875,-65.19375,4.57499999999999
-60.9046875,-56.615625,4.2890625
-50.325,-46.321875,4.003125
-38.8875,-34.884375,4.003125
-27.1640625,-23.446875,3.7171875
-16.584375,-13.153125,3.43125
-7.7203125,-4.2890625,3.43125
-1.4296875,1.715625,3.1453125
1.715625,5.146875,3.43125
2.0015625,5.146875,3.1453125
-0.571875,2.5734375,3.1453125
-5.71875,-2.2875,3.43125
-12.2953125,-8.8640625,3.43125
-19.7296875,-15.7265625,4.003125
-26.878125,-22.0171875,4.8609375
-32.8828125,-26.878125,6.0046875
-36.8859375,-29.7375,7.1484375
-38.6015625,-30.0234375,8.578125
-38.0296875,-28.021875,10.0078125
-35.45625,-24.590625,10.865625
-31.453125,-20.3015625,11.1515625
-27.1640625,-16.2984375,10.865625
-23.446875,-13.4390625,10.0078125
-20.5875,-12.58125,8.00625
-19.44375,-14.0109375,5.4328125
-20.3015625,-17.728125,2.5734375
-22.303125,-23.1609375,-0.857812499999998
-25.734375,-28.8796875,-3.1453125
-29.165625,-34.5984375,-5.4328125
