LEFT,RIGHT,DIFF
-100.078125,-76.3453125,23.7328125
-98.934375,-74.915625,24.01875
-98.6484375,-74.915625,23.7328125
-99.50625,-76.3453125,23.1609375
-101.221875,-78.6328125,22.5890625
-102.6515625,-81.4921875,21.159375
-103.7953125,-83.7796875,20.015625
-103.7953125,-85.209375,18.5859375
-102.0796875,-85.209375,16.8703125
-98.934375,-83.7796875,15.1546875
-94.6453125,-80.9203125,13.725
-89.4984375,-76.9171875,12.58125
-84.3515625,-72.9140625,11.4375
-80.0625,-69.196875,10.865625
-77.203125,-66.6234375,10.5796875
-76.63125,-65.4796875,11.1515625
-78.346875,-66.3375,12.009375
-82.35,-68.9109375,13.4390625
-87.496875,-72.9140625,14.5828125
-93.5015625,-77.775,15.7265625
-99.50625,-82.921875,16.584375
-104.653125,-87.496875,17.15625
-108.3703125,-91.5,16.8703125
-110.6578125,-94.6453125,16.0125
-111.2296875,-96.646875,14.5828125
-110.94375,-98.3625,12.58125
-110.0859375,-99.7921875,10.29375
-110.0859375,-101.79375,8.2921875
-111.2296875,-104.653125,6.57656250000001
-114.375,-108.65625,5.71875
-119.2359375,-113.5171875,5.71875
-125.8125,-118.95,6.8625
-133.5328125,-124.3828125,9.15000000000001
-141.253125,-129.24375,12.009375
-148.115625,-132.675,15.440625
-152.9765625,-133.81875,19.1578125
-155.2640625,-132.675,22.5890625
-154.40625,-128.9578125,25.4484375
-150.6890625,-122.953125,27.7359375
-144.1125,-115.51875,28.59375
-135.8203125,-106.940625,28.8796875
-126.6703125,-98.3625,28.3078125
-117.5203125,-90.35625,27.1640625
-109.228125,-83.7796875,25.4484375
-102.9375,-78.346875,24.590625
-98.0765625,-74.6296875,23.446875
-95.2171875,-72.05625,23.1609375
-93.215625,-69.4828125,23.7328125
-91.7859375,-67.1953125,24.590625
-90.0703125,-63.7640625,26.30625
-87.2109375,-59.1890625,28.021875
-83.2078125,-53.4703125,29.7375
-77.775,-46.89375,30.88125
-71.1984375,-39.7453125,31.453125
-64.621875,-33.4546875,31.1671875
-58.33125,-28.59375,29.7375
-53.75625,-26.0203125,27.7359375
-51.7546875,-26.5921875,25.1625
-52.6125,-30.5953125,22.0171875
-56.615625,-37.74375,18.871875
-63.478125,-47.465625,16.0125
-72.9140625,-58.6171875,14.296875
-83.49375,-70.340625,13.153125
-94.359375,-81.20625,13.153125
-104.08125,-90.0703125,14.0109375
-112.0875,-96.3609375,15.7265625
-117.5203125,-99.7921875,17.728125
-120.09375,-100.078125,20.015625
-120.09375,-97.790625,22.303125
-118.0921875,-94.0734375,24.01875
-114.6609375,-89.4984375,25.1625
-110.94375,-85.209375,25.734375
-107.5125,-82.0640625,25.4484375
-105.5109375,-80.634375,24.8765625
-104.3671875,-80.9203125,23.446875
-104.9390625,-82.6359375,22.303125
-106.0828125,-85.78125,20.3015625
-108.084375,-89.2125,18.871875
-109.8,-92.071875,17.728125
-110.94375,-94.0734375,16.8703125
-111.2296875,-94.6453125,16.584375
-110.371875,-93.7875,16.584375
-108.3703125,-91.5,16.8703125
-106.0828125,-88.06875,18.0140625
-103.7953125,-84.6375,19.1578125
-102.0796875,-81.778125,20.3015625
-101.5078125,-79.7765625,21.73125
-102.365625,-79.490625,22.875
-104.653125,-80.634375,24.01875
-107.7984375,-82.921875,24.8765625
-111.8015625,-86.353125,25.4484375
-115.2328125,-89.784375,25.4484375
-117.80625,-92.64375,25.1625
-118.378125,-94.0734375,24.3046875
-116.9484375,-93.7875,23.1609375
-112.9453125,-91.5,21.4453125
-107.2265625,-87.2109375,20.015625
-100.078125,-81.4921875,18.5859375
-92.3578125,-75.2015625,17.15625
-85.209375,-68.9109375,16.2984375
-79.7765625,-63.7640625,16.0125
-76.63125,-60.046875,16.584375
-76.059375,-58.6171875,17.4421875
-78.0609375,-59.1890625,18.871875
-82.35,-62.0484375,20.3015625
-88.3546875,-66.6234375,21.73125
-94.93125,-72.05625,22.875
-100.9359375,-77.775,23.1609375
-106.36875,-83.2078125,23.1609375
-109.8,-87.7828125,22.0171875
-111.8015625,-91.2140625,20.5875
-111.8015625,-93.7875,18.0140625
-110.94375,-95.503125,15.440625
