LEFT,RIGHT,DIFF
38.8875,52.8984375,14.0109375
40.603125,55.471875,14.86875
42.0328125,58.33125,16.2984375
43.1765625,60.61875,17.4421875
43.4625,62.0484375,18.5859375
42.890625,62.90625,20.015625
41.175,62.6203125,21.4453125
38.8875,61.4765625,22.5890625
36.028125,59.475,23.446875
32.596875,57.4734375,24.8765625
29.4515625,55.1859375,25.734375
26.878125,53.184375,26.30625
24.590625,51.7546875,27.1640625
23.446875,51.1828125,27.7359375
22.5890625,51.1828125,28.59375
22.5890625,52.040625,29.4515625
23.1609375,53.184375,30.0234375
23.7328125,54.6140625,30.88125
24.8765625,56.04375,31.1671875
26.0203125,57.1875,31.1671875
27.45,58.0453125,30.5953125
28.8796875,58.6171875,29.7375
30.5953125,58.903125,28.3078125
32.3109375,59.1890625,26.878125
34.3125,59.475,25.1625
36.028125,59.7609375,23.7328125
38.0296875,60.3328125,22.303125
39.459375,60.9046875,21.4453125
40.603125,61.7625,21.159375
40.8890625,62.6203125,21.73125
40.603125,63.1921875,22.5890625
39.1734375,63.1921875,24.01875
37.171875,62.90625,25.734375
34.3125,62.0484375,27.7359375
31.7390625,60.9046875,29.165625
29.165625,59.1890625,30.0234375
27.1640625,57.759375,30.5953125
26.30625,56.3296875,30.0234375
26.5921875,55.471875,28.8796875
28.021875,55.471875,27.45
30.88125,56.3296875,25.4484375
34.3125,57.759375,23.446875
38.0296875,59.7609375,21.73125
42.0328125,62.334375,20.3015625
45.178125,64.621875,19.44375
47.1796875,66.6234375,19.44375
48.0375,67.7671875,19.7296875
47.465625,68.3390625,20.8734375
45.75,67.7671875,22.0171875
42.890625,66.3375,23.446875
39.7453125,64.05,24.3046875
36.6,61.4765625,24.8765625
34.0265625,58.903125,24.8765625
32.3109375,56.9015625,24.590625
31.7390625,55.1859375,23.446875
32.596875,54.6140625,22.0171875
34.3125,54.6140625,20.3015625
36.8859375,55.7578125,18.871875
40.03125,57.759375,17.728125
43.4625,59.7609375,16.2984375
46.0359375,62.0484375,16.0125
48.3234375,63.7640625,15.440625
49.4671875,64.9078125,15.440625
49.753125,65.19375,15.440625
48.8953125,64.621875,15.7265625
47.465625,63.1921875,15.7265625
45.4640625,60.9046875,15.440625
43.4625,58.0453125,14.5828125
41.4609375,55.1859375,13.725
40.03125,52.3265625,12.2953125
39.1734375,50.0390625,10.865625
39.1734375,48.3234375,9.15000000000001
39.459375,47.465625,8.00625
40.603125,47.7515625,7.1484375
42.0328125,48.609375,6.5765625
43.4625,50.325,6.8625
45.178125,52.3265625,7.1484375
46.321875,54.9,8.57812500000001
46.89375,57.4734375,10.5796875
46.89375,59.7609375,12.8671875
46.321875,61.7625,15.440625
45.4640625,63.1921875,17.728125
43.7484375,63.7640625,20.015625
42.31875,64.05,21.73125
40.3171875,63.7640625,23.446875
38.8875,63.1921875,24.3046875
37.74375,62.334375,24.590625
36.8859375,61.7625,24.8765625
36.8859375,61.4765625,24.590625
37.4578125,61.4765625,24.01875
38.6015625,62.0484375,23.446875
40.3171875,62.6203125,22.303125
42.0328125,63.478125,21.4453125
43.7484375,64.3359375,20.5875
45.178125,64.621875,19.44375
46.321875,64.621875,18.3
46.89375,64.05,17.15625
46.6078125,62.90625,16.2984375
46.0359375,60.9046875,14.86875
44.8921875,58.33125,13.4390625
43.4625,55.7578125,12.2953125
41.746875,53.184375,11.4375
40.603125,51.1828125,10.5796875
39.459375,49.4671875,10.0078125
39.1734375,48.8953125,9.721875
39.1734375,49.18125,10.0078125
40.03125,50.325,10.29375
40.8890625,52.040625,11.1515625
42.0328125,54.0421875,12.009375
43.1765625,56.04375,12.8671875
43.7484375,57.759375,14.0109375
43.4625,58.903125,15.440625
42.6046875,58.903125,16.2984375
41.175,58.0453125,16.8703125
38.6015625,56.3296875,17.728125
35.7421875,53.75625,18.0140625
32.8828125,50.896875,18.0140625
30.0234375,47.7515625,17.728125
27.45,44.8921875,17.4421875
25.734375,42.6046875,16.8703125
24.8765625,40.603125,15.7265625
24.8765625,39.459375,14.5828125
25.4484375,38.8875,13.4390625
26.878125,38.6015625,11.7234375
28.3078125,38.8875,10.5796875
30.309375,39.1734375,8.8640625
32.025,39.459375,7.434375
33.4546875,40.03125,6.5765625
34.884375,40.3171875,5.4328125
36.028125,40.8890625,4.8609375
36.8859375,41.175,4.2890625
37.4578125,42.0328125,4.575
38.315625,42.890625,4.575
39.1734375,44.3203125,5.146875
39.7453125,45.4640625,5.71875
40.603125,46.89375,6.29062500000001
41.4609375,48.0375,6.5765625
41.746875,49.18125,7.434375
42.0328125,49.753125,7.72031250000001
42.0328125,50.325,8.2921875
41.746875,50.6109375,8.8640625
41.175,50.896875,9.721875
40.8890625,51.1828125,10.29375
40.603125,52.3265625,11.7234375
40.8890625,54.0421875,13.153125
41.746875,56.615625,14.86875
43.1765625,59.7609375,16.584375
45.4640625,63.7640625,18.3
48.0375,67.7671875,19.7296875
51.1828125,71.484375,20.3015625
53.75625,74.34375,20.5875
56.04375,76.059375,20.015625
57.1875,76.059375,18.871875
57.4734375,74.6296875,17.15625
56.3296875,71.484375,15.1546875
54.328125,67.1953125,12.8671875
51.46875,62.0484375,10.5796875
48.0375,56.615625,8.578125
44.60625,51.46875,6.8625
41.746875,47.465625,5.71875
39.459375,44.3203125,4.8609375
38.315625,42.890625,4.575
38.315625,42.890625,4.575
39.459375,44.034375,4.575
41.4609375,45.75,4.2890625
44.034375,48.3234375,4.2890625
46.89375,50.896875,4.003125
50.0390625,53.184375,3.1453125
52.8984375,55.1859375,2.2875
55.7578125,56.9015625,1.14375
58.0453125,58.33125,0.285937500000003
60.3328125,59.7609375,-0.571874999999999
62.6203125,61.190625,-1.4296875
