LEFT,RIGHT,DIFF
1.4296875,-8.2921875,-9.721875
2.0015625,-7.7203125,-9.721875
2.859375,-6.8625,-9.721875
3.43125,-5.71875,-9.15
4.003125,-4.575,-8.578125
4.575,-3.43125,-8.00625
4.575,-2.2875,-6.8625
4.575,-1.4296875,-6.0046875
4.2890625,-0.571875,-4.8609375
4.003125,0.0,-4.003125
3.43125,0.0,-3.43125
2.859375,0.571875,-2.2875
2.0015625,0.8578125,-1.14375
1.4296875,1.14375,-0.2859375
0.8578125,1.4296875,0.571875
0.571875,1.715625,1.14375
0.571875,2.0015625,1.4296875
0.8578125,2.5734375,1.715625
1.14375,2.859375,1.715625
1.715625,3.43125,1.715625
2.2875,3.7171875,1.4296875
2.859375,4.003125,1.14375
3.43125,4.003125,0.571874999999999
3.7171875,3.7171875,0.0
3.43125,3.1453125,-0.2859375
2.5734375,2.0015625,-0.571875
1.4296875,0.2859375,-1.14375
0.0,-1.14375,-1.14375
-2.2875,-3.43125,-1.14375
-4.575,-5.4328125,-0.8578125
-6.8625,-7.434375,-0.571874999999999
-8.8640625,-8.8640625,0.0
-10.5796875,-9.721875,0.8578125
-11.1515625,-9.721875,1.4296875
-11.1515625,-8.8640625,2.2875
-10.29375,-7.1484375,3.1453125
-8.8640625,-4.8609375,4.003125
-6.8625,-2.2875,4.575
-4.575,0.0,4.575
-2.5734375,1.4296875,4.003125
-1.14375,2.2875,3.43125
-0.8578125,2.0015625,2.859375
-1.14375,0.2859375,1.4296875
-2.5734375,-2.0015625,0.571875
-4.575,-5.4328125,-0.8578125
-7.1484375,-9.15,-2.0015625
-9.4359375,-13.153125,-3.7171875
-11.7234375,-16.584375,-4.8609375
-13.153125,-19.1578125,-6.0046875
-14.0109375,-20.5875,-6.5765625
-13.725,-20.8734375,-7.1484375
-12.58125,-20.5875,-8.00625
-11.1515625,-19.44375,-8.2921875
-9.4359375,-18.0140625,-8.578125
-8.00625,-16.8703125,-8.8640625
-7.434375,-16.2984375,-8.8640625
-7.7203125,-16.584375,-8.8640625
