LEFT,RIGHT,DIFF
-55.1859375,-58.0453125,-2.859375
-53.184375,-56.3296875,-3.1453125
-52.6125,-55.471875,-2.859375
-53.4703125,-56.04375,-2.5734375
-55.471875,-57.759375,-2.2875
-58.6171875,-60.3328125,-1.715625
-62.334375,-63.7640625,-1.4296875
-66.3375,-67.48125,-1.14375
-70.340625,-71.1984375,-0.857812499999994
-73.4859375,-74.34375,-0.857812499999994
-75.4875,-76.63125,-1.14375000000001
-76.3453125,-78.0609375,-1.715625
-76.059375,-78.6328125,-2.5734375
-74.6296875,-77.775,-3.1453125
-72.3421875,-76.059375,-3.71718749999999
-69.4828125,-74.0578125,-4.57499999999999
-66.3375,-71.7703125,-5.4328125
-63.1921875,-69.76875,-6.57656249999999
-61.190625,-68.3390625,-7.14843749999999
-59.7609375,-67.7671875,-8.00625
-59.475,-68.053125,-8.57812500000001
-60.3328125,-69.4828125,-9.15000000000001
-61.7625,-71.7703125,-10.0078125
-64.05,-74.34375,-10.29375
-66.6234375,-77.203125,-10.5796875
-68.9109375,-79.490625,-10.5796875
-70.9125,-81.20625,-10.29375
-72.05625,-82.0640625,-10.0078125
-72.05625,-81.4921875,-9.43593749999999
-71.1984375,-79.7765625,-8.578125
-69.196875,-77.203125,-8.00624999999999
-66.6234375,-73.771875,-7.1484375
-63.1921875,-69.76875,-6.57656249999999
-59.7609375,-65.765625,-6.0046875
-56.615625,-62.0484375,-5.4328125
-53.4703125,-58.903125,-5.4328125
-51.1828125,-56.615625,-5.4328125
-49.18125,-54.9,-5.71875000000001
-48.3234375,-54.0421875,-5.71875
-48.0375,-53.75625,-5.71875
-48.3234375,-54.0421875,-5.71875
-48.8953125,-54.6140625,-5.71875
-50.0390625,-55.471875,-5.4328125
-51.1828125,-56.04375,-4.8609375
-52.3265625,-56.9015625,-4.575
-53.184375,-57.4734375,-4.2890625
-54.0421875,-58.0453125,-4.003125
-54.328125,-58.6171875,-4.2890625
-54.6140625,-59.1890625,-4.575
-54.328125,-59.475,-5.146875
-54.0421875,-60.3328125,-6.290625
-53.4703125,-60.9046875,-7.434375
-52.8984375,-61.4765625,-8.578125
-52.6125,-62.0484375,-9.4359375
-52.3265625,-62.334375,-10.0078125
-52.040625,-62.6203125,-10.5796875
-52.040625,-62.6203125,-10.5796875
-52.3265625,-62.0484375,-9.721875
-52.8984375,-61.4765625,-8.578125
-53.184375,-60.3328125,-7.1484375
-53.75625,-59.1890625,-5.4328125
